Địa phương,Năm,Giá trị
Hà Nội,2018,"0,787"
Hà Nội,2019,"0,79"
Hà Nội,2020,"0,783"
Vĩnh Phúc,2018,"0,653"
Vĩnh Phúc,2019,"0,675"
Vĩnh Phúc,2020,"0,678"
Bắc Ninh,2018,"0,668"
Bắc Ninh,2019,"0,673"
Bắc Ninh,2020,"0,683"
Quảng Ninh,2018,"0,683"
Quảng Ninh,2019,"0,696"
Quảng Ninh,2020,"0,681"
Hải Dương,2018,"0,672"
Hải Dương,2019,"0,676"
Hải Dương,2020,"0,688"
Hải Phòng,2018,"0,729"
Hải Phòng,2019,"0,729"
Hải Phòng,2020,"0,732"
Hưng Yên,2018,"0,674"
Hưng Yên,2019,"0,683"
Hưng Yên,2020,"0,692"
Thái Bình,2018,"0,65"
Thái Bình,2019,"0,666"
Thái Bình,2020,"0,67"
Hà Nam,2018,"0,642"
Hà Nam,2019,"0,666"
Hà Nam,2020,"0,666"
Nam Định,2018,"0,639"
Nam Định,2019,"0,646"
Nam Định,2020,"0,639"
Ninh Bình,2018,"0,657"
Ninh Bình,2019,"0,671"
Ninh Bình,2020,"0,675"
Hà Giang,2018,"0,462"
Hà Giang,2019,"0,482"
Hà Giang,2020,"0,5"
Cao Bằng,2018,"0,558"
Cao Bằng,2019,"0,571"
Cao Bằng,2020,"0,581"
Bắc Kạn,2018,"0,598"
Bắc Kạn,2019,"0,603"
Bắc Kạn,2020,"0,599"
Tuyên Quang,2018,"0,614"
Tuyên Quang,2019,"0,611"
Tuyên Quang,2020,"0,613"
Lào Cai,2018,"0,531"
Lào Cai,2019,"0,549"
Lào Cai,2020,"0,551"
Điện Biên,2018,"0,497"
Điện Biên,2019,"0,492"
Điện Biên,2020,"0,512"
Lai Châu,2018,"0,441"
Lai Châu,2019,"0,456"
Lai Châu,2020,"0,45"
Sơn La,2018,"0,501"
Sơn La,2019,"0,517"
Sơn La,2020,"0,529"
Yên Bái,2018,"0,576"
Yên Bái,2019,"0,575"
Yên Bái,2020,"0,594"
Hòa Bình,2018,"0,618"
Hòa Bình,2019,"0,628"
Hòa Bình,2020,"0,63"
Thái Nguyên,2018,"0,703"
Thái Nguyên,2019,"0,701"
Thái Nguyên,2020,"0,677"
Lạng Sơn,2018,"0,626"
Lạng Sơn,2019,"0,614"
Lạng Sơn,2020,"0,616"
Bắc Giang,2018,"0,629"
Bắc Giang,2019,"0,641"
Bắc Giang,2020,"0,65"
Phú Thọ,2018,"0,654"
Phú Thọ,2019,"0,658"
Phú Thọ,2020,"0,659"
Thanh Hóa,2018,"0,634"
Thanh Hóa,2019,"0,636"
Thanh Hóa,2020,"0,642"
Nghệ An,2018,"0,665"
Nghệ An,2019,"0,662"
Nghệ An,2020,"0,669"
Hà Tĩnh,2018,"0,664"
Hà Tĩnh,2019,"0,671"
Hà Tĩnh,2020,"0,668"
Quảng Bình,2018,"0,639"
Quảng Bình,2019,"0,645"
Quảng Bình,2020,"0,652"
Quảng Trị,2018,"0,621"
Quảng Trị,2019,"0,62"
Quảng Trị,2020,"0,626"
Thừa Thiên - Huế,2018,"0,607"
Thừa Thiên - Huế,2019,"0,65"
Thừa Thiên - Huế,2020,"0,632"
Đà Nẵng,2018,"0,745"
Đà Nẵng,2019,"0,775"
Đà Nẵng,2020,"0,763"
Quảng Nam,2018,"0,624"
Quảng Nam,2019,"0,629"
Quảng Nam,2020,"0,635"
Quảng Ngãi,2018,"0,602"
Quảng Ngãi,2019,"0,608"
Quảng Ngãi,2020,"0,609"
Bình Định,2018,"0,605"
Bình Định,2019,"0,617"
Bình Định,2020,"0,632"
Phú Yên,2018,"0,582"
Phú Yên,2019,"0,596"
Phú Yên,2020,"0,603"
Khánh Hòa,2018,"0,625"
Khánh Hòa,2019,"0,636"
Khánh Hòa,2020,"0,636"
Ninh Thuận,2018,"0,514"
Ninh Thuận,2019,"0,53"
Ninh Thuận,2020,"0,516"
Bình Thuận,2018,"0,529"
Bình Thuận,2019,"0,56"
Bình Thuận,2020,"0,561"
Kon Tum,2018,"0,536"
Kon Tum,2019,"0,563"
Kon Tum,2020,"0,578"
Gia Lai,2018,"0,514"
Gia Lai,2019,"0,521"
Gia Lai,2020,"0,517"
Đắk Lắk,2018,"0,554"
Đắk Lắk,2019,"0,593"
Đắk Lắk,2020,"0,557"
Đắk Nông,2018,"0,561"
Đắk Nông,2019,"0,566"
Đắk Nông,2020,"0,586"
Lâm Đồng,2018,"0,598"
Lâm Đồng,2019,"0,613"
Lâm Đồng,2020,"0,622"
Bình Phước,2018,"0,544"
Bình Phước,2019,"0,562"
Bình Phước,2020,"0,568"
Tây Ninh,2018,"0,529"
Tây Ninh,2019,"0,547"
Tây Ninh,2020,"0,546"
Bình Dương,2018,"0,582"
Bình Dương,2019,"0,604"
Bình Dương,2020,"0,592"
Đồng Nai,2018,"0,629"
Đồng Nai,2019,"0,637"
Đồng Nai,2020,"0,645"
Bà Rịa - Vũng Tàu,2018,"0,624"
Bà Rịa - Vũng Tàu,2019,"0,653"
Bà Rịa - Vũng Tàu,2020,"0,649"
TP. Hồ Chí Minh,2018,"0,718"
TP. Hồ Chí Minh,2019,"0,737"
TP. Hồ Chí Minh,2020,"0,73"
Long An,2018,"0,569"
Long An,2019,"0,572"
Long An,2020,"0,577"
Tiền Giang,2018,"0,555"
Tiền Giang,2019,"0,559"
Tiền Giang,2020,"0,554"
Bến Tre,2018,"0,542"
Bến Tre,2019,"0,554"
Bến Tre,2020,"0,557"
Trà Vinh,2018,"0,522"
Trà Vinh,2019,"0,538"
Trà Vinh,2020,"0,536"
Vĩnh Long,2018,"0,595"
Vĩnh Long,2019,"0,604"
Vĩnh Long,2020,"0,606"
Đồng Tháp,2018,"0,521"
Đồng Tháp,2019,"0,543"
Đồng Tháp,2020,"0,546"
An Giang,2018,"0,516"
An Giang,2019,"0,522"
An Giang,2020,"0,531"
Kiên Giang,2018,"0,512"
Kiên Giang,2019,"0,521"
Kiên Giang,2020,"0,517"
TP. Cần Thơ,2018,"0,599"
TP. Cần Thơ,2019,"0,64"
TP. Cần Thơ,2020,"0,627"
Hậu Giang,2018,"0,528"
Hậu Giang,2019,"0,538"
Hậu Giang,2020,"0,553"
Sóc Trăng,2018,"0,511"
Sóc Trăng,2019,"0,503"
Sóc Trăng,2020,"0,515"
Bạc Liêu,2018,"0,51"
Bạc Liêu,2019,"0,52"
Bạc Liêu,2020,"0,52"
Cà Mau,2018,"0,535"
Cà Mau,2019,"0,535"
Cà Mau,2020,"0,542"
