Địa phương,Năm,Giá trị
Hà Nội,2018,"0,794"
Hà Nội,2019,"0,799"
Hà Nội,2020,"0,799"
Vĩnh Phúc,2018,"0,736"
Vĩnh Phúc,2019,"0,749"
Vĩnh Phúc,2020,"0,751"
Bắc Ninh,2018,"0,762"
Bắc Ninh,2019,"0,764"
Bắc Ninh,2020,"0,768"
Quảng Ninh,2018,"0,757"
Quảng Ninh,2019,"0,769"
Quảng Ninh,2020,"0,769"
Hải Dương,2018,"0,723"
Hải Dương,2019,"0,728"
Hải Dương,2020,"0,735"
Hải Phòng,2018,"0,769"
Hải Phòng,2019,"0,777"
Hải Phòng,2020,"0,782"
Hưng Yên,2018,"0,728"
Hưng Yên,2019,"0,736"
Hưng Yên,2020,"0,745"
Thái Bình,2018,"0,694"
Thái Bình,2019,"0,706"
Thái Bình,2020,"0,711"
Hà Nam,2018,"0,707"
Hà Nam,2019,"0,724"
Hà Nam,2020,"0,729"
Nam Định,2018,"0,678"
Nam Định,2019,"0,687"
Nam Định,2020,"0,691"
Ninh Bình,2018,"0,706"
Ninh Bình,2019,"0,719"
Ninh Bình,2020,"0,727"
Hà Giang,2018,"0,565"
Hà Giang,2019,"0,579"
Hà Giang,2020,"0,591"
Cao Bằng,2018,"0,624"
Cao Bằng,2019,"0,633"
Cao Bằng,2020,"0,641"
Bắc Kạn,2018,"0,656"
Bắc Kạn,2019,"0,662"
Bắc Kạn,2020,"0,664"
Tuyên Quang,2018,"0,66"
Tuyên Quang,2019,"0,666"
Tuyên Quang,2020,"0,673"
Lào Cai,2018,"0,643"
Lào Cai,2019,"0,657"
Lào Cai,2020,"0,663"
Điện Biên,2018,"0,588"
Điện Biên,2019,"0,589"
Điện Biên,2020,"0,602"
Lai Châu,2018,"0,571"
Lai Châu,2019,"0,576"
Lai Châu,2020,"0,582"
Sơn La,2018,"0,616"
Sơn La,2019,"0,622"
Sơn La,2020,"0,633"
Yên Bái,2018,"0,632"
Yên Bái,2019,"0,637"
Yên Bái,2020,"0,649"
Hoà Bình,2018,"0,686"
Hoà Bình,2019,"0,692"
Hoà Bình,2020,"0,697"
Thái Nguyên,2018,"0,745"
Thái Nguyên,2019,"0,748"
Thái Nguyên,2020,"0,743"
Lạng Sơn,2018,"0,667"
Lạng Sơn,2019,"0,668"
Lạng Sơn,2020,"0,674"
Bắc Giang,2018,"0,691"
Bắc Giang,2019,"0,702"
Bắc Giang,2020,"0,714"
Phú Thọ,2018,"0,691"
Phú Thọ,2019,"0,697"
Phú Thọ,2020,"0,703"
Thanh Hóa,2018,"0,679"
Thanh Hóa,2019,"0,689"
Thanh Hóa,2020,"0,697"
Nghệ An,2018,"0,683"
Nghệ An,2019,"0,686"
Nghệ An,2020,"0,696"
Hà Tĩnh,2018,"0,703"
Hà Tĩnh,2019,"0,712"
Hà Tĩnh,2020,"0,713"
Quảng Bình,2018,"0,676"
Quảng Bình,2019,"0,681"
Quảng Bình,2020,"0,69"
Quảng Trị,2018,"0,659"
Quảng Trị,2019,"0,664"
Quảng Trị,2020,"0,671"
Thừa Thiên - Huế,2018,"0,664"
Thừa Thiên - Huế,2019,"0,685"
Thừa Thiên - Huế,2020,"0,681"
Đà Nẵng,2018,"0,773"
