Địa phương,Năm,Giá trị
Hà Nội,2018,"0,852"
Hà Nội,2019,"0,854"
Hà Nội,2020,"0,853"
Vĩnh Phúc,2018,"0,834"
Vĩnh Phúc,2019,"0,835"
Vĩnh Phúc,2020,"0,831"
Bắc Ninh,2018,"0,835"
Bắc Ninh,2019,"0,835"
Bắc Ninh,2020,"0,832"
Quảng Ninh,2018,"0,822"
Quảng Ninh,2019,"0,823"
Quảng Ninh,2020,"0,822"
Hải Dương,2018,"0,842"
Hải Dương,2019,"0,843"
Hải Dương,2020,"0,843"
Hải Phòng,2018,"0,84"
Hải Phòng,2019,"0,842"
Hải Phòng,2020,"0,839"
Hưng Yên,2018,"0,838"
Hưng Yên,2019,"0,84"
Hưng Yên,2020,"0,842"
Thái Bình,2018,"0,851"
Thái Bình,2019,"0,852"
Thái Bình,2020,"0,845"
Hà Nam,2018,"0,84"
Hà Nam,2019,"0,842"
Hà Nam,2020,"0,842"
Nam Định,2018,"0,837"
Nam Định,2019,"0,838"
Nam Định,2020,"0,839"
Ninh Bình,2018,"0,826"
Ninh Bình,2019,"0,828"
Ninh Bình,2020,"0,833"
Hà Giang,2018,"0,734"
Hà Giang,2019,"0,737"
Hà Giang,2020,"0,745"
Cao Bằng,2018,"0,777"
Cao Bằng,2019,"0,778"
Cao Bằng,2020,"0,778"
Bắc Kạn,2018,"0,808"
Bắc Kạn,2019,"0,809"
Bắc Kạn,2020,"0,809"
Tuyên Quang,2018,"0,802"
Tuyên Quang,2019,"0,803"
Tuyên Quang,2020,"0,804"
Lào Cai,2018,"0,754"
Lào Cai,2019,"0,757"
Lào Cai,2020,"0,758"
Điện Biên,2018,"0,734"
Điện Biên,2019,"0,735"
Điện Biên,2020,"0,745"
Lai Châu,2018,"0,703"
Lai Châu,2019,"0,705"
Lai Châu,2020,"0,718"
Sơn La,2018,"0,782"
Sơn La,2019,"0,783"
Sơn La,2020,"0,784"
Yên Bái,2018,"0,762"
Yên Bái,2019,"0,765"
Yên Bái,2020,"0,762"
Hòa Bình,2018,"0,809"
Hòa Bình,2019,"0,811"
Hòa Bình,2020,"0,809"
Thái Nguyên,2018,"0,823"
Thái Nguyên,2019,"0,825"
Thái Nguyên,2020,"0,826"
Lạng Sơn,2018,"0,803"
Lạng Sơn,2019,"0,805"
Lạng Sơn,2020,"0,807"
Bắc Giang,2018,"0,82"
Bắc Giang,2019,"0,822"
Bắc Giang,2020,"0,822"
Phú Thọ,2018,"0,822"
Phú Thọ,2019,"0,823"
Phú Thọ,2020,"0,822"
Thanh Hóa,2018,"0,82"
Thanh Hóa,2019,"0,82"
Thanh Hóa,2020,"0,822"
Nghệ An,2018,"0,812"
Nghệ An,2019,"0,814"
Nghệ An,2020,"0,817"
Hà Tĩnh,2018,"0,811"
Hà Tĩnh,2019,"0,812"
Hà Tĩnh,2020,"0,809"
Quảng Bình,2018,"0,811"
Quảng Bình,2019,"0,802"
Quảng Bình,2020,"0,81"
Quảng Trị,2018,"0,742"
Quảng Trị,2019,"0,743"
Quảng Trị,2020,"0,741"
Thừa Thiên - Huế,2018,"0,795"
Thừa Thiên - Huế,2019,"0,797"
Thừa Thiên - Huế,2020,"0,796"
Đà Nẵng,2018,"0,862"
Đà Nẵng,2019,"0,863"
Đà Nẵng,2020,"0,866"
Quảng Nam,2018,"0,812"
Quảng Nam,2019,"0,814"
Quảng Nam,2020,"0,816"
Quảng Ngãi,2018,"0,806"
Quảng Ngãi,2019,"0,808"
Quảng Ngãi,2020,"0,806"
Bình Định,2018,"0,822"
Bình Định,2019,"0,823"
Bình Định,2020,"0,823"
Phú Yên,2018,"0,822"
Phú Yên,2019,"0,823"
Phú Yên,2020,"0,824"
Khánh Hòa,2018,"0,828"
Khánh Hòa,2019,"0,829"
Khánh Hòa,2020,"0,823"
Ninh Thuận,2018,"0,814"
Ninh Thuận,2019,"0,815"
Ninh Thuận,2020,"0,814"
Bình Thuận,2018,"0,837"
Bình Thuận,2019,"0,838"
Bình Thuận,2020,"0,839"
Kon Tum,2018,"0,717"
Kon Tum,2019,"0,718"
Kon Tum,2020,"0,733"
Gia Lai,2018,"0,765"
Gia Lai,2019,"0,768"
Gia Lai,2020,"0,77"
Đắk Lắk,2018,"0,775"
Đắk Lắk,2019,"0,778"
Đắk Lắk,2020,"0,784"
Đắk Nông,2018,"0,768"
Đắk Nông,2019,"0,769"
Đắk Nông,2020,"0,771"
Lâm Đồng,2018,"0,814"
Lâm Đồng,2019,"0,815"
Lâm Đồng,2020,"0,82"
Bình Phước,2018,"0,828"
Bình Phước,2019,"0,829"
Bình Phước,2020,"0,83"
