Địa phương,Năm,Giá trị
Hà Nội,2018,0.746
Hà Nội,2019,0.758
Hà Nội,2020,0.763
Vĩnh Phúc,2018,0.733
Vĩnh Phúc,2019,0.744
Vĩnh Phúc,2020,0.753
Bắc Ninh,2018,0.794
Bắc Ninh,2019,0.793
Bắc Ninh,2020,0.796
Quảng Ninh,2018,0.772
Quảng Ninh,2019,0.794
Quảng Ninh,2020,0.811
Hải Dương,2018,0.667
Hải Dương,2019,0.677
Hải Dương,2020,0.684
Hải Phòng,2018,0.742
Hải Phòng,2019,0.765
Hải Phòng,2020,0.78
Hưng Yên,2018,0.683
Hưng Yên,2019,0.695
Hưng Yên,2020,0.709
Thái Bình,2018,0.604
Thái Bình,2019,0.621
Thái Bình,2020,0.635
Hà Nam,2018,0.656
Hà Nam,2019,0.677
Hà Nam,2020,0.69
Nam Định,2018,0.584
Nam Định,2019,0.599
Nam Định,2020,0.617
Ninh Bình,2018,0.649
Ninh Bình,2019,0.668
Ninh Bình,2020,0.683
Hà Giang,2018,0.532
Hà Giang,2019,0.545
Hà Giang,2020,0.555
Cao Bằng,2018,0.56
Cao Bằng,2019,0.57
Cao Bằng,2020,0.584
Bắc Kạn,2018,0.584
Bắc Kạn,2019,0.593
Bắc Kạn,2020,0.605
Tuyên Quang,2018,0.585
Tuyên Quang,2019,0.601
Tuyên Quang,2020,0.618
Lào Cai,2018,0.665
Lào Cai,2019,0.683
Lào Cai,2020,0.698
Điện Biên,2018,0.557
Điện Biên,2019,0.566
Điện Biên,2020,0.571
Lai Châu,2018,0.599
Lai Châu,2019,0.594
Lai Châu,2020,0.609
Sơn La,2018,0.599
Sơn La,2019,0.596
Sơn La,2020,0.611
Yên Bái,2018,0.575
Yên Bái,2019,0.588
Yên Bái,2020,0.604
Hòa Bình,2018,0.646
Hòa Bình,2019,0.65
Hòa Bình,2020,0.663
Thái Nguyên,2018,0.715
Thái Nguyên,2019,0.723
Thái Nguyên,2020,0.735
Lạng Sơn,2018,0.59
Lạng Sơn,2019,0.605
Lạng Sơn,2020,0.616
Bắc Giang,2018,0.64
Bắc Giang,2019,0.657
Bắc Giang,2020,0.681
Phú Thọ,2018,0.614
