SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
60000001,5.4,7.25,5.6,6.083333333333333,6.083333333333333
60000002,6.2,6.25,4.0,5.483333333333333,5.483333333333333
60000003,5.6,7.75,6.8,6.716666666666666,6.716666666666666
60000004,3.8,5.0,4.4,4.4,4.4
60000005,6.6,5.5,5.2,5.766666666666667,5.766666666666667
60000006,4.8,5.5,4.4,4.9,4.9
60000007,8.0,7.0,8.2,7.733333333333333,7.733333333333333
60000008,5.4,5.5,5.4,5.433333333333334,5.433333333333334
60000009,4.4,5.75,3.0,4.383333333333334,4.383333333333334
60000010,5.4,5.5,5.0,5.3,5.3
60000011,5.0,6.25,3.4,4.883333333333334,4.883333333333334
60000012,6.4,7.0,5.4,6.266666666666667,6.266666666666667
60000013,6.0,6.75,7.6,6.783333333333334,6.783333333333334
60000014,6.2,6.5,2.8,5.166666666666667,5.166666666666667
60000015,5.4,4.75,1.6,3.9166666666666665,3.9166666666666665
60000016,5.0,7.08,4.2,5.426666666666667,5.426666666666667
60000017,3.2,6.5,1.8,3.8333333333333335,3.8333333333333335
60000018,6.4,5.75,4.4,5.516666666666667,5.516666666666667
60000019,4.8,6.25,3.6,4.883333333333334,4.883333333333334
60000020,4.6,2.25,2.6,3.15,3.15
60000021,6.0,7.5,7.2,6.9,6.8999999999999995
60000022,6.4,6.0,4.6,5.666666666666667,5.666666666666667
60000023,5.0,6.0,3.2,4.733333333333333,4.733333333333333
60000024,5.2,7.25,8.4,6.95,6.95
60000025,6.0,7.5,5.4,6.3,6.3
60000026,5.6,5.25,4.6,5.15,5.1499999999999995
60000027,5.8,7.0,5.6,6.133333333333333,6.133333333333333
60000028,4.0,6.25,4.6,4.95,4.95
60000029,5.4,6.5,7.2,6.366666666666667,6.366666666666667
60000030,5.8,4.5,4.0,4.766666666666667,4.766666666666667
60000031,5.8,6.75,4.8,5.783333333333334,5.783333333333334
60000032,5.4,6.25,4.8,5.483333333333333,5.483333333333333
60000033,6.0,3.75,5.2,4.983333333333333,4.983333333333333
60000034,6.8,6.25,5.0,6.016666666666667,6.016666666666667
60000035,6.0,6.25,6.2,6.15,6.1499999999999995
60000036,5.8,6.0,3.8,5.2,5.2
60000037,6.6,6.75,5.0,6.116666666666667,6.116666666666667
60000038,7.4,6.0,3.6,5.666666666666667,5.666666666666667
60000039,8.8,7.25,5.4,7.150000000000001,7.150000000000001
60000040,4.2,5.25,3.6,4.35,4.35
60000041,5.6,5.25,3.2,4.683333333333334,4.683333333333334
60000042,7.0,6.0,8.8,7.266666666666667,7.266666666666667
60000043,6.8,6.0,5.2,6.0,6.0
60000044,7.4,6.5,7.8,7.233333333333333,7.233333333333333
60000045,6.8,6.5,4.4,5.900000000000001,5.900000000000001
60000046,6.6,7.0,3.6,5.733333333333333,5.733333333333333
60000047,5.2,6.25,4.0,5.15,5.1499999999999995
60000048,7.0,5.75,3.8,5.516666666666667,5.516666666666667
60000049,4.2,6.5,3.6,4.766666666666667,4.766666666666667
60000050,7.0,5.5,8.4,6.966666666666666,6.966666666666666
60000051,5.6,6.5,6.4,6.166666666666667,6.166666666666667
60000052,4.4,5.0,3.2,4.2,4.2
