SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
14000128,4.4,7.25,2.8,4.816666666666666,4.816666666666666
14000129,4.6,5.5,2.6,4.233333333333333,4.233333333333333
14000130,2.6,4.0,3.8,3.4666666666666663,3.4666666666666663
14000131,4.0,7.5,3.6,5.033333333333333,5.033333333333333
14000133,3.2,7.0,2.2,4.133333333333333,4.133333333333333
14000135,3.0,0.0,3.2,2.066666666666667,2.066666666666667
14000136,4.4,0.0,1.4,1.9333333333333336,1.9333333333333336
14000137,4.4,6.5,2.6,4.5,4.5
14000138,2.4,3.25,2.4,2.6833333333333336,2.6833333333333336
14000139,3.6,3.5,3.2,3.4333333333333336,3.4333333333333336
14000140,3.2,5.5,2.4,3.7,3.6999999999999997
14000141,3.0,6.0,2.4,3.8,3.8000000000000003
14000142,2.6,3.0,1.4,2.333333333333333,2.3333333333333335
14000145,5.8,6.25,2.8,4.95,4.95
14000146,2.2,3.75,2.6,2.85,2.85
14000147,3.4,6.5,3.2,4.366666666666667,4.366666666666667
14000149,3.2,6.75,3.6,4.516666666666667,4.516666666666667
14000150,6.0,6.0,3.4,5.133333333333334,5.133333333333334
14000151,4.4,4.0,2.8,3.733333333333333,3.733333333333333
14000152,3.6,5.75,3.6,4.316666666666666,4.316666666666666
14000153,5.4,5.0,3.4,4.6000000000000005,4.6000000000000005
14000154,4.4,6.75,1.4,4.183333333333334,4.183333333333334
14000155,3.4,4.25,2.2,3.2833333333333337,3.2833333333333337
14000156,3.8,3.5,2.6,3.3000000000000003,3.3000000000000003
14000157,3.0,3.25,3.2,3.15,3.15
14000158,2.8,2.5,2.0,2.433333333333333,2.433333333333333
14000159,1.6,3.75,2.8,2.7166666666666663,2.7166666666666663
14000160,2.4,3.25,2.8,2.8166666666666664,2.8166666666666664
14000161,4.0,5.75,3.0,4.25,4.25
14000162,2.0,5.0,2.6,3.2,3.1999999999999997
14000163,3.6,5.25,3.4,4.083333333333333,4.083333333333333
14000164,6.4,0.0,7.2,4.533333333333334,4.533333333333334
14000165,5.8,7.0,5.8,6.2,6.2
14000166,3.0,3.5,2.8,3.1,3.1
14000167,2.4,2.75,2.6,2.583333333333333,2.5833333333333335
14000168,3.2,3.0,1.8,2.6666666666666665,2.6666666666666665
14000172,4.8,5.5,6.4,5.566666666666667,5.566666666666667
14000175,2.4,5.0,2.0,3.1333333333333333,3.1333333333333333
14000176,3.0,5.0,4.6,4.2,4.2
14000179,3.0,4.0,1.6,2.8666666666666667,2.8666666666666667
14000180,3.8,3.5,2.0,3.1,3.1
14000181,5.6,6.75,2.6,4.983333333333333,4.983333333333333
14000183,3.6,4.0,2.8,3.4666666666666663,3.4666666666666663
14000187,3.6,3.0,2.2,2.9333333333333336,2.9333333333333336
14000188,3.2,0.0,2.6,1.9333333333333336,1.9333333333333336
14000194,3.2,4.0,3.2,3.466666666666667,3.466666666666667
14000195,2.6,3.5,2.6,2.9,2.9
14000199,3.2,4.0,3.6,3.6,3.6
14000200,4.8,4.25,2.6,3.883333333333333,3.8833333333333333
14000202,3.2,2.25,1.2,2.216666666666667,2.216666666666667
14000204,2.0,2.75,2.8,2.5166666666666666,2.5166666666666666
14000205,5.0,7.25,4.2,5.483333333333333,5.483333333333333
14000206,2.6,3.75,1.4,2.583333333333333,2.5833333333333335
14000207,4.0,3.25,3.4,3.5500000000000003,3.5500000000000003
14000209,4.2,5.75,6.2,5.383333333333333,5.383333333333333
14000210,2.8,2.75,1.8,2.45,2.4499999999999997
14000212,4.2,3.5,3.4,3.7,3.6999999999999997
14000213,2.6,3.75,2.0,2.783333333333333,2.783333333333333
14000218,3.4,0.0,3.6,2.333333333333333,2.3333333333333335
14000219,4.4,5.5,2.2,4.033333333333334,4.033333333333334
14000220,4.2,2.75,4.6,3.85,3.85
14000225,3.8,5.0,4.8,4.533333333333334,4.533333333333334
14000226,1.8,2.25,2.2,2.083333333333333,2.0833333333333335
14000227,6.2,5.5,2.6,4.766666666666667,4.766666666666667
14000228,2.4,2.5,2.4,2.4333333333333336,2.4333333333333336
14000229,3.2,3.5,3.2,3.3000000000000003,3.3000000000000003
14000230,5.8,7.75,4.0,5.8500000000000005,5.8500000000000005
14000231,4.2,6.5,3.6,4.766666666666667,4.766666666666667
14000232,3.2,3.0,2.8,3.0,3.0
14000233,2.6,6.5,1.6,3.5666666666666664,3.5666666666666664
14000236,1.8,0.0,1.4,1.0666666666666669,1.0666666666666667
14000238,5.8,6.75,4.6,5.716666666666666,5.716666666666666
14000239,4.2,5.25,5.0,4.816666666666666,4.816666666666666
14000242,6.4,3.25,3.4,4.3500000000000005,4.3500000000000005
14000244,5.0,3.5,3.2,3.9,3.9
14000245,3.8,2.0,2.8,2.8666666666666667,2.8666666666666667
14000246,2.8,4.25,2.6,3.216666666666667,3.216666666666667
14000248,2.6,3.75,2.6,2.983333333333333,2.983333333333333
14000252,3.0,3.75,1.4,2.716666666666667,2.716666666666667
14000253,3.0,3.0,1.8,2.6,2.6
14000254,2.2,2.75,2.2,2.3833333333333333,2.3833333333333333
14000255,1.8,4.75,2.0,2.85,2.85
14000256,3.8,6.0,1.6,3.8,3.8000000000000003
14000257,3.4,4.75,2.6,3.583333333333333,3.5833333333333335
14000258,3.4,2.5,2.6,2.833333333333333,2.8333333333333335
14000259,3.0,4.5,3.4,3.633333333333333,3.6333333333333333
14000262,2.4,4.5,2.8,3.233333333333333,3.233333333333333
14000263,3.6,5.5,4.8,4.633333333333333,4.633333333333333
14000264,1.8,3.0,2.6,2.466666666666667,2.466666666666667
14000265,1.6,2.0,2.2,1.9333333333333336,1.9333333333333336
14000269,2.6,5.75,3.6,3.983333333333333,3.983333333333333
14000270,6.2,5.25,3.0,4.816666666666666,4.816666666666666
14000271,3.4,2.5,2.6,2.833333333333333,2.8333333333333335
14000274,3.8,2.25,2.8,2.95,2.9499999999999997
14000275,4.6,6.25,4.4,5.083333333333333,5.083333333333333
14000278,2.2,3.75,1.6,2.516666666666667,2.516666666666667
14000284,2.4,0.0,2.0,1.4666666666666668,1.4666666666666668
14000285,2.2,3.5,3.0,2.9,2.9
14000289,3.6,4.75,2.2,3.516666666666667,3.516666666666667
14000290,2.2,3.25,2.4,2.6166666666666667,2.6166666666666667
14000291,5.6,4.5,7.0,5.7,5.7
14000292,3.8,2.0,4.2,3.333333333333333,3.3333333333333335
14000293,2.0,0.0,2.2,1.4,1.4000000000000001
