SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
48000001,5.6,8.0,6.2,6.6000000000000005,6.6000000000000005
48000002,6.2,5.5,6.4,6.033333333333334,6.033333333333334
48000003,7.2,4.75,7.6,6.516666666666666,6.516666666666666
48000004,6.0,2.75,6.4,5.05,5.05
48000005,4.2,5.5,4.8,4.833333333333333,4.833333333333333
48000006,6.4,5.0,3.8,5.066666666666666,5.066666666666666
48000007,6.4,7.5,6.0,6.633333333333333,6.633333333333333
48000008,5.6,5.5,2.8,4.633333333333333,4.633333333333333
48000009,4.2,4.0,4.2,4.133333333333333,4.133333333333333
48000010,7.6,5.0,7.0,6.533333333333334,6.533333333333334
48000011,6.6,5.5,7.4,6.5,6.5
48000012,6.0,6.25,7.6,6.616666666666667,6.616666666666667
48000013,5.6,7.0,9.0,7.2,7.2
48000014,7.4,6.0,7.0,6.8,6.8
48000015,5.6,6.5,5.4,5.833333333333333,5.833333333333333
48000016,7.6,6.25,9.0,7.616666666666667,7.616666666666667
48000017,5.0,4.5,2.6,4.033333333333333,4.033333333333333
48000018,6.8,4.25,7.2,6.083333333333333,6.083333333333333
48000019,5.8,5.5,4.4,5.233333333333333,5.233333333333333
48000020,5.8,5.75,5.0,5.516666666666667,5.516666666666667
48000021,6.6,7.0,5.4,6.333333333333333,6.333333333333333
48000022,7.4,3.75,4.4,5.183333333333334,5.183333333333334
48000023,6.8,7.0,7.6,7.133333333333333,7.133333333333333
48000024,7.4,3.0,5.6,5.333333333333333,5.333333333333333
48000025,7.0,8.0,6.6,7.2,7.2
48000026,5.8,5.75,6.0,5.8500000000000005,5.8500000000000005
48000027,5.6,7.5,5.6,6.233333333333333,6.233333333333333
48000028,5.8,7.5,6.8,6.7,6.7
48000029,6.4,7.25,8.2,7.283333333333334,7.283333333333334
48000030,4.8,5.75,2.2,4.25,4.25
48000031,5.2,7.5,6.2,6.3,6.3
48000032,6.2,4.0,6.8,5.666666666666667,5.666666666666667
48000033,5.8,5.25,4.4,5.15,5.15
48000034,7.6,4.75,3.6,5.316666666666666,5.316666666666666
48000035,5.2,5.5,3.6,4.766666666666667,4.766666666666667
48000036,6.4,4.75,7.0,6.05,6.05
48000037,6.2,3.5,4.8,4.833333333333333,4.833333333333333
48000038,6.8,4.25,7.0,6.016666666666667,6.016666666666667
48000039,6.0,5.5,6.6,6.033333333333334,6.033333333333334
48000040,4.2,4.25,3.0,3.8166666666666655,3.8166666666666664
48000041,5.8,5.0,8.4,6.400000000000001,6.400000000000001
48000043,5.8,3.75,5.8,5.116666666666667,5.116666666666667
48000044,6.6,6.0,3.8,5.466666666666666,5.466666666666666
48000045,5.4,5.5,5.4,5.433333333333334,5.433333333333334
48000046,6.0,6.5,7.8,6.766666666666667,6.766666666666667
48000047,5.2,5.25,6.2,5.55,5.55
48000048,6.0,5.0,5.4,5.466666666666666,5.466666666666666
48000049,4.4,5.5,4.4,4.766666666666667,4.766666666666667
48000050,5.2,6.75,6.4,6.116666666666667,6.116666666666667
48000051,8.0,5.75,8.8,7.516666666666667,7.516666666666667
48000052,7.2,6.0,5.2,6.133333333333333,6.133333333333333
48000053,6.2,8.75,8.6,7.849999999999999,7.849999999999999
48000054,3.4,8.0,7.2,6.2,6.2
48000055,7.0,6.25,7.4,6.883333333333333,6.883333333333333
48000056,5.6,5.5,4.2,5.1000000000000005,5.1000000000000005
48000057,6.8,4.0,3.4,4.733333333333333,4.733333333333333
48000058,5.2,5.75,5.4,5.45,5.45
48000059,5.4,7.0,4.4,5.6000000000000005,5.6000000000000005
48000060,7.8,6.0,5.2,6.333333333333333,6.333333333333333
48000061,6.6,5.75,4.6,5.65,5.6499999999999995
48000062,6.0,5.0,5.0,5.333333333333333,5.333333333333333
48000064,4.0,5.25,2.8,4.016666666666667,4.016666666666667
48000065,6.8,4.75,5.2,5.583333333333333,5.583333333333333
48000066,6.2,4.75,7.0,5.983333333333333,5.983333333333333
48000067,7.8,5.5,5.4,6.233333333333334,6.233333333333334
48000068,7.0,3.75,6.4,5.716666666666666,5.716666666666666
48000069,6.4,4.25,6.4,5.683333333333334,5.683333333333334
48000070,3.6,5.75,2.6,3.983333333333333,3.983333333333333
48000071,6.0,5.0,4.2,5.066666666666666,5.066666666666666
48000072,6.0,4.75,4.0,4.916666666666667,4.916666666666667
48000073,6.4,7.0,5.4,6.266666666666667,6.266666666666667
48000074,6.4,5.5,6.4,6.1000000000000005,6.1000000000000005
48000075,6.6,8.0,4.6,6.4,6.3999999999999995
48000076,3.2,2.25,1.4,2.283333333333333,2.283333333333333
48000077,7.4,4.5,6.2,6.033333333333334,6.033333333333334
48000078,5.2,6.25,2.8,4.75,4.75
48000079,5.6,4.25,4.0,4.616666666666666,4.616666666666666
48000080,7.0,4.25,8.8,6.683333333333334,6.683333333333334
48000081,7.4,6.0,8.4,7.266666666666667,7.266666666666667
48000082,6.4,5.25,5.4,5.683333333333334,5.683333333333334
48000083,4.4,4.75,2.6,3.9166666666666665,3.9166666666666665
48000084,6.8,5.75,5.2,5.916666666666667,5.916666666666667
48000085,6.8,5.0,4.0,5.266666666666667,5.266666666666667
48000086,3.4,3.5,3.0,3.3000000000000003,3.3000000000000003
48000087,6.4,5.0,6.8,6.066666666666666,6.066666666666666
48000088,6.0,4.5,4.2,4.9,4.8999999999999995
48000089,7.2,5.5,5.4,6.033333333333334,6.033333333333334
48000090,6.6,4.5,6.0,5.7,5.7
48000091,6.0,5.5,4.2,5.233333333333333,5.233333333333333
48000092,7.2,6.25,7.6,7.016666666666666,7.016666666666666
48000094,6.0,7.25,6.2,6.483333333333333,6.483333333333333
48000095,6.2,8.25,8.0,7.483333333333333,7.483333333333333
48000096,7.8,4.0,7.0,6.266666666666667,6.266666666666667
48000097,5.8,7.75,7.2,6.916666666666667,6.916666666666667
48000098,6.0,8.5,8.4,7.633333333333333,7.633333333333333
48000099,6.8,5.0,3.6,5.133333333333334,5.133333333333334
48000100,7.6,3.5,5.2,5.433333333333334,5.433333333333334
48000101,7.2,5.25,7.0,6.483333333333333,6.483333333333333
48000102,6.2,5.75,3.0,4.983333333333333,4.983333333333333
48000103,6.6,6.5,6.2,6.433333333333334,6.433333333333334
48000104,6.8,6.0,8.4,7.066666666666667,7.066666666666667
48000105,6.6,6.5,8.6,7.233333333333333,7.233333333333333
48000106,6.8,5.5,5.2,5.833333333333333,5.833333333333333
48000107,6.8,4.0,4.0,4.933333333333334,4.933333333333334
48000109,6.0,6.0,5.2,5.733333333333333,5.733333333333333
48000110,6.4,7.25,6.2,6.616666666666667,6.616666666666667
48000111,4.6,4.75,5.6,4.983333333333333,4.983333333333333
48000112,6.4,4.0,4.6,5.0,5.0
48000113,5.6,7.25,8.4,7.083333333333333,7.083333333333333
48000114,5.2,6.25,5.6,5.683333333333333,5.683333333333333
48000115,6.6,8.0,8.6,7.733333333333333,7.733333333333333
48000116,6.2,5.75,6.8,6.25,6.25
48000117,6.4,6.5,7.2,6.7,6.7
48000119,5.2,3.75,3.0,3.983333333333333,3.983333333333333
48000120,5.8,6.0,4.8,5.533333333333334,5.533333333333334
48000121,5.0,4.0,3.2,4.066666666666666,4.066666666666666
48000122,7.8,6.25,8.4,7.483333333333334,7.483333333333334
48000123,6.4,4.0,7.2,5.866666666666667,5.866666666666667
48000124,4.2,3.75,4.6,4.183333333333334,4.183333333333334
48000125,6.0,4.5,5.2,5.233333333333333,5.233333333333333
48000126,7.2,8.5,8.0,7.899999999999999,7.8999999999999995
48000127,5.8,3.75,6.8,5.45,5.45
48000129,6.4,6.0,4.4,5.6000000000000005,5.6000000000000005
48000130,6.4,8.0,5.2,6.533333333333334,6.533333333333334
48000131,6.2,4.5,2.6,4.433333333333333,4.433333333333333
48000132,7.8,5.5,9.0,7.433333333333334,7.433333333333334
48000133,5.8,7.0,7.6,6.8,6.8
48000134,6.8,4.75,4.4,5.316666666666667,5.316666666666667
48000135,7.0,7.25,7.2,7.15,7.1499999999999995
48000136,6.2,4.25,8.4,6.283333333333334,6.283333333333334
48000137,5.2,5.5,5.8,5.5,5.5
48000138,6.6,4.5,7.4,6.166666666666667,6.166666666666667
48000139,7.0,7.0,8.8,7.6,7.6000000000000005
48000140,8.4,4.25,4.6,5.75,5.75
48000142,6.4,6.25,6.2,6.283333333333334,6.283333333333334
48000143,7.6,3.75,5.0,5.45,5.45
48000144,6.2,6.75,8.8,7.25,7.25
48000145,6.2,7.5,9.4,7.7,7.7
48000146,6.2,4.0,6.6,5.599999999999999,5.599999999999999
48000147,7.6,7.0,7.2,7.266666666666667,7.266666666666667
48000148,6.6,8.0,6.8,7.133333333333333,7.133333333333333
48000149,5.4,7.75,10.0,7.716666666666666,7.716666666666666
48000150,4.4,4.25,3.8,4.15,4.1499999999999995
48000151,6.6,5.5,5.6,5.9,5.8999999999999995
48000152,5.4,4.25,3.0,4.216666666666667,4.216666666666667
48000153,6.4,5.5,7.4,6.433333333333334,6.433333333333334
48000154,5.0,5.5,3.4,4.633333333333334,4.633333333333334
48000155,6.8,4.5,4.4,5.233333333333333,5.233333333333333
48000156,4.8,4.0,3.8,4.2,4.2
48000157,7.0,5.25,7.8,6.683333333333334,6.683333333333334
48000158,6.4,5.5,7.0,6.3,6.3
48000159,7.4,1.75,8.2,5.783333333333334,5.783333333333334
48000160,6.8,8.0,7.2,7.333333333333333,7.333333333333333
48000161,6.0,8.5,8.2,7.566666666666666,7.566666666666666
48000162,5.4,4.0,3.2,4.2,4.2
48000163,6.6,7.0,6.0,6.533333333333334,6.533333333333334
48000164,6.8,7.75,6.8,7.116666666666667,7.116666666666667
48000165,5.2,7.75,7.0,6.65,6.6499999999999995
48000166,7.0,6.5,7.0,6.833333333333333,6.833333333333333
48000167,4.8,5.75,1.6,4.05,4.05
48000168,6.4,7.0,5.2,6.2,6.2
48000169,6.8,5.5,3.8,5.366666666666667,5.366666666666667
48000170,6.0,5.0,4.0,5.0,5.0
48000171,6.6,3.75,2.0,4.116666666666666,4.116666666666666
48000172,6.6,5.0,5.0,5.533333333333334,5.533333333333334
48000173,5.0,5.5,7.2,5.9,5.8999999999999995
48000174,5.8,3.0,6.6,5.133333333333334,5.133333333333334
48000175,4.8,5.25,3.6,4.55,4.55
48000176,6.2,5.25,4.0,5.15,5.1499999999999995
48000177,6.2,5.5,4.6,5.433333333333333,5.433333333333333
48000178,6.8,3.75,7.2,5.916666666666667,5.916666666666667
48000179,7.2,5.75,8.0,6.983333333333333,6.983333333333333
48000180,6.6,7.0,6.8,6.8,6.8
48000181,6.4,3.75,7.4,5.8500000000000005,5.8500000000000005
48000182,4.0,4.5,4.8,4.433333333333334,4.433333333333334
48000183,3.6,4.0,2.0,3.2,3.1999999999999997
48000184,2.8,3.5,2.0,2.766666666666667,2.766666666666667
48000185,7.8,4.0,7.2,6.333333333333333,6.333333333333333
48000186,6.8,4.25,2.8,4.616666666666667,4.616666666666667
48000187,7.2,5.5,6.4,6.366666666666667,6.366666666666667
48000188,5.4,5.75,5.4,5.516666666666667,5.516666666666667
48000189,4.6,4.75,3.8,4.383333333333333,4.383333333333333
48000190,3.6,3.75,3.4,3.583333333333333,3.5833333333333335
48000191,6.0,6.0,6.8,6.266666666666667,6.266666666666667
48000192,7.2,3.75,4.2,5.05,5.05
48000193,6.6,6.25,8.2,7.016666666666666,7.016666666666666
48000194,5.8,8.0,8.6,7.466666666666666,7.466666666666666
48000195,5.6,7.25,3.4,5.416666666666667,5.416666666666667
48000196,5.2,5.5,2.6,4.433333333333333,4.433333333333333
48000197,4.8,5.5,6.8,5.7,5.7
48000198,5.8,5.75,5.0,5.516666666666667,5.516666666666667
48000199,7.4,8.25,7.4,7.683333333333334,7.683333333333334
48000200,6.8,8.25,6.8,7.283333333333334,7.283333333333334
48000201,6.0,3.75,2.2,3.983333333333333,3.983333333333333
48000202,5.8,6.5,6.6,6.3,6.3
48000203,5.6,3.0,5.0,4.533333333333333,4.533333333333333
48000204,6.6,4.25,7.4,6.083333333333333,6.083333333333333
48000205,6.8,3.0,5.0,4.933333333333334,4.933333333333334
48000206,6.6,5.75,5.6,5.983333333333333,5.983333333333333
48000207,7.8,4.0,5.8,5.866666666666667,5.866666666666667
48000208,7.0,3.25,8.0,6.083333333333333,6.083333333333333
48000209,6.0,7.5,7.2,6.9,6.8999999999999995
48000210,4.0,5.25,4.8,4.683333333333334,4.683333333333334
48000211,7.8,3.75,7.0,6.183333333333334,6.183333333333334
48000212,6.2,4.75,6.8,5.916666666666667,5.916666666666667
48000213,6.2,3.25,2.8,4.083333333333333,4.083333333333333
48000214,7.8,5.0,8.6,7.133333333333333,7.133333333333333
48000215,7.4,4.25,7.4,6.3500000000000005,6.3500000000000005
48000216,7.4,6.5,4.6,6.166666666666667,6.166666666666667
48000217,7.2,5.0,4.6,5.599999999999999,5.599999999999999
48000218,6.2,5.25,4.8,5.416666666666667,5.416666666666667
48000219,4.8,4.75,6.2,5.25,5.25
48000220,6.2,7.5,7.4,7.033333333333334,7.033333333333334
48000221,5.6,4.5,2.2,4.1000000000000005,4.1000000000000005
48000222,6.6,4.5,5.6,5.566666666666666,5.566666666666666
48000223,5.0,5.75,4.4,5.05,5.05
48000224,6.8,5.25,9.0,7.016666666666667,7.016666666666667
48000225,6.0,8.0,7.8,7.266666666666667,7.266666666666667
48000226,5.0,5.5,3.2,4.566666666666666,4.566666666666666
48000227,6.2,5.75,4.6,5.516666666666666,5.516666666666666
48000228,6.6,5.0,4.6,5.4,5.3999999999999995
48000229,6.8,3.5,7.0,5.766666666666667,5.766666666666667
48000230,6.8,6.0,4.0,5.6000000000000005,5.6000000000000005
48000231,6.4,5.0,7.0,6.133333333333333,6.133333333333333
48000232,4.2,4.5,3.8,4.166666666666667,4.166666666666667
48000233,6.4,5.0,6.8,6.066666666666666,6.066666666666666
48000234,6.0,5.75,4.8,5.516666666666667,5.516666666666667
48000235,7.2,6.0,4.4,5.866666666666667,5.866666666666667
48000236,5.8,5.5,5.8,5.7,5.7
48000237,5.6,4.5,3.0,4.366666666666666,4.366666666666666
48000238,5.0,6.25,6.4,5.883333333333333,5.883333333333333
48000239,6.4,6.0,7.2,6.533333333333334,6.533333333333334
48000240,5.0,3.5,2.8,3.766666666666667,3.766666666666667
48000241,5.6,3.25,3.4,4.083333333333333,4.083333333333333
48000242,7.0,7.0,5.8,6.6000000000000005,6.6000000000000005
48000243,6.4,6.75,6.2,6.45,6.45
48000244,6.4,5.0,5.4,5.6000000000000005,5.6000000000000005
48000245,7.2,8.0,8.4,7.866666666666667,7.866666666666667
48000246,7.4,5.0,5.6,6.0,6.0
48000247,5.4,6.25,6.6,6.083333333333333,6.083333333333333
48000248,5.0,5.25,3.8,4.683333333333334,4.683333333333334
48000249,5.0,4.5,2.8,4.1000000000000005,4.1000000000000005
48000250,7.2,4.5,6.2,5.966666666666666,5.966666666666666
48000251,5.2,7.25,6.4,6.283333333333334,6.283333333333334
48000252,5.8,7.0,7.0,6.6000000000000005,6.6000000000000005
48000253,6.8,2.75,3.2,4.25,4.25
48000254,6.2,4.5,3.6,4.766666666666667,4.766666666666667
48000255,6.6,6.25,6.0,6.283333333333334,6.283333333333334
48000256,7.2,5.75,7.0,6.65,6.6499999999999995
48000257,7.8,3.0,4.4,5.066666666666667,5.066666666666667
48000258,5.6,2.25,3.4,3.75,3.75
48000259,6.4,6.75,6.0,6.383333333333333,6.383333333333333
48000260,5.8,6.75,7.4,6.650000000000001,6.650000000000001
48000261,6.2,4.75,7.2,6.05,6.05
48000262,6.2,5.75,7.2,6.383333333333333,6.383333333333333
48000263,7.0,6.25,6.4,6.55,6.55
48000264,6.0,7.5,8.8,7.433333333333334,7.433333333333334
48000265,6.0,4.75,6.4,5.716666666666666,5.716666666666666
48000266,6.2,5.5,6.2,5.966666666666666,5.966666666666666
48000267,4.8,6.5,7.0,6.1000000000000005,6.1000000000000005
48000268,6.8,5.25,7.2,6.416666666666667,6.416666666666667
48000269,5.8,3.5,7.6,5.633333333333333,5.633333333333333
48000270,6.2,4.5,6.4,5.7,5.7
48000271,7.2,7.5,7.0,7.233333333333333,7.233333333333333
48000272,5.8,7.25,7.4,6.816666666666667,6.816666666666667
48000273,6.6,5.0,5.2,5.6000000000000005,5.6000000000000005
48000274,6.0,5.5,6.2,5.9,5.8999999999999995
48000276,6.8,5.0,4.6,5.466666666666666,5.466666666666666
48000277,4.8,4.75,5.4,4.983333333333333,4.983333333333333
48000278,6.6,6.25,5.0,5.95,5.95
48000279,6.8,5.5,6.8,6.366666666666667,6.366666666666667
48000280,5.8,5.5,3.2,4.833333333333333,4.833333333333333
48000281,6.2,6.0,6.4,6.2,6.2
