SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
54000001,0.8,4.5,1.4,2.233333333333333,2.233333333333333
54000002,5.4,4.75,4.4,4.8500000000000005,4.8500000000000005
54000003,6.0,6.5,5.2,5.9,5.8999999999999995
54000004,6.6,6.0,3.0,5.2,5.2
54000006,5.6,6.25,3.2,5.016666666666667,5.016666666666667
54000007,5.0,6.75,3.4,5.05,5.05
54000008,6.2,7.25,2.4,5.283333333333333,5.283333333333333
54000009,3.8,5.5,4.2,4.5,4.5
54000010,7.8,7.0,5.2,6.666666666666667,6.666666666666667
54000011,7.0,5.5,4.0,5.5,5.5
54000012,5.6,7.0,4.0,5.533333333333334,5.533333333333334
54000013,5.8,4.75,3.2,4.583333333333333,4.583333333333333
54000014,5.4,5.0,2.6,4.333333333333333,4.333333333333333
54000015,6.4,6.25,4.2,5.616666666666667,5.616666666666667
54000016,7.4,8.25,5.4,7.016666666666667,7.016666666666667
54000017,6.4,5.25,4.0,5.216666666666667,5.216666666666667
54000019,5.6,5.75,3.2,4.8500000000000005,4.8500000000000005
54000020,7.2,6.75,6.0,6.65,6.6499999999999995
54000021,4.6,5.25,2.6,4.15,4.1499999999999995
54000022,5.0,5.5,3.8,4.766666666666667,4.766666666666667
54000024,2.4,2.5,3.0,2.6333333333333333,2.6333333333333333
54000025,6.8,5.5,3.2,5.166666666666667,5.166666666666667
54000026,5.0,5.75,3.0,4.583333333333333,4.583333333333333
54000028,4.6,5.5,1.8,3.966666666666667,3.966666666666667
54000029,5.2,5.0,3.2,4.466666666666666,4.466666666666666
54000030,5.4,5.5,3.4,4.766666666666667,4.766666666666667
54000031,6.0,5.5,2.8,4.766666666666667,4.766666666666667
54000032,8.0,5.5,4.2,5.9,5.8999999999999995
54000033,5.6,7.75,6.0,6.45,6.45
54000034,2.4,3.25,2.2,2.6166666666666667,2.6166666666666667
54000035,6.0,5.0,4.6,5.2,5.2
54000037,4.6,6.25,3.4,4.75,4.75
54000038,5.2,5.25,2.8,4.416666666666667,4.416666666666667
54000039,4.6,6.0,4.0,4.866666666666666,4.866666666666666
54000040,6.2,5.25,4.6,5.349999999999999,5.349999999999999
54000041,4.8,6.5,2.6,4.633333333333334,4.633333333333334
54000042,7.2,8.5,5.2,6.966666666666666,6.966666666666666
54000043,5.4,5.75,3.8,4.983333333333333,4.983333333333333
54000044,5.0,4.0,3.0,4.0,4.0
54000045,5.0,4.25,2.6,3.95,3.9499999999999997
54000047,7.4,5.5,2.6,5.166666666666667,5.166666666666667
54000048,4.6,5.0,2.6,4.066666666666666,4.066666666666666
54000049,7.0,7.25,3.6,5.95,5.95
54000050,5.4,6.25,3.6,5.083333333333333,5.083333333333333
54000051,5.6,6.75,5.8,6.05,6.05
54000052,5.8,6.0,4.4,5.400000000000001,5.400000000000001
54000053,5.8,4.0,4.6,4.8,4.8
54000055,4.6,4.5,3.2,4.1000000000000005,4.1000000000000005
54000056,5.4,5.75,4.6,5.25,5.25
54000057,7.2,5.25,3.6,5.3500000000000005,5.3500000000000005
54000059,5.0,5.25,3.2,4.483333333333333,4.483333333333333
54000060,3.6,4.25,3.8,3.883333333333333,3.883333333333333
54000061,5.2,5.25,2.4,4.283333333333333,4.283333333333333
54000062,6.6,6.5,3.4,5.5,5.5
54000063,7.6,5.0,2.4,5.0,5.0
54000064,4.8,4.75,1.4,3.65,3.6500000000000004
54000065,4.0,7.0,5.2,5.4,5.3999999999999995
54000066,5.4,4.75,3.4,4.516666666666667,4.516666666666667
54000067,3.6,6.5,2.4,4.166666666666667,4.166666666666667
54000068,2.6,4.75,2.8,3.383333333333333,3.383333333333333
54000069,5.4,6.5,4.4,5.433333333333334,5.433333333333334
54000070,6.0,3.75,2.6,4.116666666666666,4.116666666666666
54000072,4.8,3.75,2.0,3.516666666666667,3.516666666666667
54000073,4.0,5.5,3.4,4.3,4.3
54000074,3.0,5.75,3.2,3.983333333333333,3.983333333333333
54000075,7.8,7.0,4.8,6.533333333333334,6.533333333333334
54000076,7.0,6.25,2.8,5.3500000000000005,5.3500000000000005
54000077,3.2,5.5,3.0,3.9,3.9
54000078,4.4,5.5,3.4,4.433333333333334,4.433333333333334
54000079,8.2,7.75,5.6,7.183333333333333,7.183333333333333
54000080,5.6,5.0,2.8,4.466666666666666,4.466666666666666
