SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
36000001,6.8,5.25,6.8,6.283333333333334,6.283333333333334
36000002,8.2,4.5,3.8,5.5,5.5
36000003,7.6,5.25,4.4,5.75,5.75
36000004,5.2,6.5,5.0,5.566666666666666,5.566666666666666
36000005,8.2,7.0,5.4,6.866666666666667,6.866666666666667
36000006,7.6,4.5,4.4,5.5,5.5
36000007,8.0,6.0,3.2,5.733333333333333,5.733333333333333
36000008,5.8,5.75,4.4,5.316666666666667,5.316666666666667
36000009,6.4,5.5,8.0,6.633333333333333,6.633333333333333
36000010,4.8,5.25,4.8,4.95,4.95
36000011,7.8,7.25,8.0,7.683333333333334,7.683333333333334
36000012,6.8,5.5,5.8,6.033333333333334,6.033333333333334
36000013,7.2,5.0,5.8,6.0,6.0
36000014,5.6,6.5,4.0,5.366666666666667,5.366666666666667
36000015,8.6,4.75,5.2,6.183333333333334,6.183333333333334
36000016,6.6,5.5,4.2,5.433333333333334,5.433333333333334
36000017,6.6,6.5,7.8,6.966666666666666,6.966666666666666
36000018,6.8,5.5,6.8,6.366666666666667,6.366666666666667
36000019,4.8,6.5,1.6,4.3,4.3
36000020,7.6,7.0,8.4,7.666666666666667,7.666666666666667
36000021,7.4,5.25,2.8,5.15,5.1499999999999995
36000022,7.4,5.75,4.2,5.783333333333334,5.783333333333334
36000023,8.2,4.75,3.0,5.316666666666666,5.316666666666666
36000024,7.6,5.5,4.8,5.966666666666666,5.966666666666666
36000025,9.2,7.0,5.8,7.333333333333333,7.333333333333333
36000026,7.6,5.0,5.0,5.866666666666667,5.866666666666667
36000027,7.6,5.0,4.2,5.6000000000000005,5.6000000000000005
36000028,7.8,6.58,7.2,7.1933333333333325,7.1933333333333325
36000029,5.8,5.0,6.8,5.866666666666667,5.866666666666667
36000030,6.2,6.25,4.8,5.75,5.75
36000031,6.6,5.25,2.4,4.75,4.75
36000032,8.0,5.5,7.4,6.966666666666666,6.966666666666666
36000033,7.6,5.75,6.0,6.45,6.45
36000034,6.8,6.5,3.8,5.7,5.7
36000035,6.2,4.5,4.8,5.166666666666667,5.166666666666667
36000036,6.8,7.5,9.4,7.900000000000001,7.900000000000001
36000037,8.2,6.0,7.6,7.266666666666666,7.266666666666666
36000038,7.6,5.5,5.6,6.233333333333333,6.233333333333333
36000039,6.6,7.5,5.8,6.633333333333333,6.633333333333333
36000040,7.0,6.5,5.8,6.433333333333334,6.433333333333334
36000041,6.8,7.0,7.0,6.933333333333334,6.933333333333334
36000042,6.2,6.5,5.4,6.033333333333334,6.033333333333334
36000043,5.8,6.0,2.6,4.8,4.8
36000044,6.2,3.5,4.2,4.633333333333333,4.633333333333333
