SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
59000001,8.0,5.5,4.4,5.966666666666666,5.966666666666666
59000002,6.2,7.0,6.8,6.666666666666667,6.666666666666667
59000004,4.6,5.5,8.6,6.233333333333333,6.233333333333333
59000005,9.0,3.75,5.2,5.983333333333333,5.983333333333333
59000006,6.8,5.0,8.2,6.666666666666667,6.666666666666667
59000007,6.2,6.75,3.6,5.516666666666667,5.516666666666667
59000008,5.2,7.5,4.2,5.633333333333333,5.633333333333333
59000010,6.2,6.5,2.2,4.966666666666666,4.966666666666666
59000011,6.6,7.0,4.6,6.066666666666666,6.066666666666666
59000012,7.6,6.0,5.8,6.466666666666666,6.466666666666666
59000013,6.8,5.0,3.2,5.0,5.0
59000014,4.8,7.5,8.0,6.766666666666667,6.766666666666667
59000015,6.4,6.0,4.0,5.466666666666666,5.466666666666666
59000018,7.6,5.75,5.4,6.25,6.25
59000019,4.4,5.5,6.4,5.433333333333334,5.433333333333334
59000020,6.6,6.25,7.8,6.883333333333333,6.883333333333333
59000021,7.0,7.25,3.2,5.816666666666666,5.816666666666666
59000024,6.2,8.25,8.2,7.55,7.55
59000025,5.8,5.5,4.6,5.3,5.3
59000027,7.6,6.25,9.0,7.616666666666667,7.616666666666667
59000028,5.2,4.5,6.6,5.433333333333333,5.433333333333333
59000030,4.6,4.25,2.2,3.6833333333333336,3.6833333333333336
59000031,6.6,7.25,4.6,6.15,6.1499999999999995
59000032,8.0,6.75,6.6,7.116666666666667,7.116666666666667
59000033,7.8,6.0,5.0,6.266666666666667,6.266666666666667
59000034,8.0,5.5,7.8,7.1000000000000005,7.1000000000000005
59000036,7.0,6.0,4.4,5.8,5.8
59000037,7.2,8.0,9.0,8.066666666666666,8.066666666666666
59000038,6.4,4.5,3.4,4.766666666666667,4.766666666666667
59000039,3.4,3.5,2.8,3.233333333333333,3.233333333333333
59000040,6.4,6.5,5.6,6.166666666666667,6.166666666666667
59000041,3.2,5.75,3.2,4.05,4.05
59000042,6.4,7.5,3.8,5.9,5.8999999999999995
59000043,8.8,6.0,5.2,6.666666666666667,6.666666666666667
59000044,8.6,6.0,5.6,6.733333333333333,6.733333333333333
59000045,8.0,7.0,7.6,7.533333333333334,7.533333333333334
59000047,8.0,3.5,5.4,5.633333333333333,5.633333333333333
59000048,8.6,6.25,9.0,7.95,7.95
59000049,7.0,4.25,2.8,4.683333333333334,4.683333333333334
59000051,6.2,6.0,4.0,5.4,5.3999999999999995
59000053,5.2,5.0,3.0,4.4,4.3999999999999995
59000054,7.8,4.5,6.4,6.233333333333334,6.233333333333334
59000055,6.8,4.25,3.2,4.75,4.75
59000056,5.6,6.75,3.0,5.116666666666666,5.116666666666666
59000058,7.8,6.5,4.8,6.366666666666667,6.366666666666667
59000059,6.6,6.0,4.6,5.733333333333333,5.733333333333333
59000060,6.6,6.25,2.6,5.15,5.1499999999999995
59000061,5.2,5.0,2.0,4.066666666666666,4.066666666666666
59000062,4.6,7.25,5.0,5.616666666666667,5.616666666666667
59000064,8.0,5.5,5.6,6.366666666666667,6.366666666666667
59000065,5.0,5.0,2.2,4.066666666666666,4.066666666666666
59000067,4.0,4.0,2.8,3.6,3.6
59000068,6.8,6.5,3.2,5.5,5.5
59000070,5.0,6.0,3.2,4.733333333333333,4.733333333333333
59000072,5.2,5.75,3.2,4.716666666666666,4.716666666666666
59000076,8.8,5.5,7.6,7.3,7.3
59000078,4.8,4.25,2.8,3.9500000000000006,3.9500000000000006
59000080,6.8,5.75,6.2,6.25,6.25
59000082,8.4,5.5,8.8,7.566666666666667,7.566666666666667
59000084,6.4,5.0,6.4,5.933333333333334,5.933333333333334
59000087,8.0,5.5,9.4,7.633333333333333,7.633333333333333
59000088,7.8,3.75,4.8,5.45,5.45
59000089,7.0,7.0,7.4,7.133333333333333,7.133333333333333
59000090,6.2,4.75,8.2,6.383333333333333,6.383333333333333
59000092,8.2,7.25,6.2,7.216666666666666,7.216666666666666
59000093,5.0,5.0,2.6,4.2,4.2
59000094,9.0,7.25,9.2,8.483333333333333,8.483333333333333
59000098,7.6,6.5,6.6,6.9,6.8999999999999995
59000099,7.8,4.5,3.4,5.233333333333333,5.233333333333333
59000102,7.8,8.25,6.2,7.416666666666667,7.416666666666667
59000103,6.4,7.0,4.4,5.933333333333334,5.933333333333334
59000104,6.6,6.75,6.6,6.65,6.6499999999999995
59000105,5.8,6.0,8.4,6.733333333333334,6.733333333333334
59000106,3.6,7.5,7.2,6.1000000000000005,6.1000000000000005
59000107,6.2,3.5,2.4,4.033333333333333,4.033333333333333
