SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
40000001,5.8,3.75,3.0,4.183333333333334,4.183333333333334
40000002,6.6,5.75,4.0,5.45,5.45
40000003,6.2,5.0,3.6,4.933333333333333,4.933333333333333
40000004,7.8,4.0,3.2,5.0,5.0
40000005,7.4,6.75,3.6,5.916666666666667,5.916666666666667
40000006,5.2,4.5,2.4,4.033333333333333,4.033333333333333
40000007,4.4,5.5,2.8,4.233333333333333,4.233333333333333
40000008,7.4,6.0,6.2,6.533333333333334,6.533333333333334
40000009,6.8,5.0,3.0,4.933333333333334,4.933333333333334
40000010,6.8,6.5,4.0,5.766666666666667,5.766666666666667
40000011,6.0,6.0,3.8,5.266666666666667,5.266666666666667
40000012,4.8,3.75,3.6,4.05,4.05
40000013,7.2,3.25,2.8,4.416666666666667,4.416666666666667
40000014,4.6,5.92,2.4,4.306666666666667,4.306666666666667
40000015,8.0,7.5,6.0,7.166666666666667,7.166666666666667
40000016,4.8,4.83,2.8,4.1433333333333335,4.1433333333333335
40000017,6.8,6.0,7.0,6.6000000000000005,6.6000000000000005
40000018,5.4,4.5,2.6,4.166666666666667,4.166666666666667
40000019,5.0,5.5,3.8,4.766666666666667,4.766666666666667
40000020,6.8,6.25,6.0,6.3500000000000005,6.3500000000000005
40000021,4.6,4.0,3.2,3.9333333333333336,3.9333333333333336
40000022,3.8,6.5,4.8,5.033333333333334,5.033333333333334
40000023,5.6,6.0,3.6,5.066666666666666,5.066666666666666
40000024,3.8,3.67,2.0,3.1566666666666663,3.1566666666666663
40000025,7.8,6.0,4.4,6.066666666666667,6.066666666666667
40000026,7.6,5.25,5.6,6.15,6.1499999999999995
40000027,3.8,5.25,2.6,3.883333333333333,3.8833333333333333
40000028,7.2,6.25,4.2,5.883333333333333,5.883333333333333
40000029,2.0,2.5,2.0,2.1666666666666665,2.1666666666666665
40000030,4.8,4.75,4.8,4.783333333333334,4.783333333333334
40000031,4.0,3.0,3.2,3.4,3.4
40000032,7.0,6.5,4.0,5.833333333333333,5.833333333333333
40000033,6.0,5.75,5.0,5.583333333333333,5.583333333333333
40000034,7.0,5.5,4.8,5.766666666666667,5.766666666666667
40000035,6.2,5.0,2.8,4.666666666666667,4.666666666666667
40000036,3.8,4.75,2.6,3.716666666666667,3.716666666666667
40000037,4.2,3.75,3.8,3.9166666666666665,3.9166666666666665
40000038,5.2,5.0,4.0,4.733333333333333,4.733333333333333
40000039,2.6,2.5,4.0,3.033333333333333,3.033333333333333
40000040,5.6,3.5,2.6,3.9,3.9
40000041,1.8,4.0,3.0,2.9333333333333336,2.9333333333333336
40000042,2.6,5.0,3.4,3.6666666666666665,3.6666666666666665
40000043,3.0,3.5,2.2,2.9,2.9
40000044,5.8,5.0,2.6,4.466666666666667,4.466666666666667
40000045,4.6,4.75,0.8,3.3833333333333333,3.3833333333333333
40000046,5.4,5.5,2.6,4.5,4.5
40000047,4.6,6.0,3.4,4.666666666666667,4.666666666666667
40000048,5.6,6.0,2.6,4.733333333333333,4.733333333333333
40000049,5.6,6.5,3.6,5.233333333333333,5.233333333333333
40000050,1.8,2.0,2.6,2.1333333333333333,2.1333333333333333
40000051,4.8,4.0,3.2,4.0,4.0
40000052,6.4,5.25,3.8,5.15,5.1499999999999995
40000053,3.8,5.0,2.8,3.866666666666667,3.866666666666667
40000054,7.6,6.5,9.6,7.899999999999999,7.8999999999999995
40000055,5.2,5.0,2.8,4.333333333333333,4.333333333333333
40000056,5.0,2.5,3.8,3.766666666666667,3.766666666666667
40000057,5.0,5.5,3.6,4.7,4.7
40000058,6.4,5.0,3.2,4.866666666666667,4.866666666666667
40000059,6.0,4.0,4.6,4.866666666666666,4.866666666666666
40000060,4.6,5.0,3.6,4.4,4.3999999999999995
40000061,3.4,3.0,3.0,3.1333333333333333,3.1333333333333333
40000062,3.4,3.25,3.2,3.2833333333333337,3.2833333333333337
40000063,4.6,5.25,3.0,4.283333333333333,4.283333333333333
40000064,3.0,5.5,2.8,3.766666666666667,3.766666666666667
40000065,4.2,3.5,3.6,3.766666666666667,3.766666666666667
40000066,7.6,5.33,5.0,5.976666666666667,5.976666666666667
40000067,4.8,5.25,2.8,4.283333333333334,4.283333333333334
40000068,5.8,4.75,3.8,4.783333333333334,4.783333333333334
40000069,2.2,3.75,3.0,2.983333333333333,2.983333333333333
40000070,2.8,4.0,2.6,3.1333333333333333,3.1333333333333333
40000071,4.2,4.25,3.0,3.8166666666666655,3.8166666666666664
40000072,7.0,6.0,2.6,5.2,5.2
40000073,4.4,6.5,4.6,5.166666666666667,5.166666666666667
40000074,6.4,5.5,2.4,4.766666666666667,4.766666666666667
40000075,4.2,5.5,4.4,4.7,4.7
40000076,3.4,5.75,4.0,4.383333333333334,4.383333333333334
40000077,7.0,6.5,4.4,5.966666666666666,5.966666666666666
40000078,5.8,5.75,7.6,6.383333333333333,6.383333333333333
40000079,4.6,5.5,3.0,4.366666666666666,4.366666666666666
40000080,5.2,5.0,4.0,4.733333333333333,4.733333333333333
40000081,2.4,3.25,3.0,2.8833333333333333,2.8833333333333333
40000082,6.8,5.0,2.8,4.866666666666667,4.866666666666667
40000083,3.0,3.25,2.8,3.016666666666667,3.016666666666667
40000084,1.2,3.25,2.0,2.15,2.15
40000085,6.2,4.5,2.8,4.5,4.5
40000086,3.2,3.5,3.0,3.233333333333333,3.233333333333333
40000087,5.0,3.5,2.8,3.766666666666667,3.766666666666667
40000088,6.4,7.0,4.2,5.866666666666667,5.866666666666667
40000089,5.6,4.5,2.6,4.233333333333333,4.233333333333333
40000090,5.8,3.75,2.4,3.983333333333334,3.983333333333334
40000091,3.0,4.75,2.6,3.45,3.4499999999999997
40000092,6.4,5.25,4.2,5.283333333333334,5.283333333333334
