SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
50000001,7.4,5.5,7.2,6.7,6.7
50000002,6.6,6.0,6.6,6.4,6.3999999999999995
50000003,6.4,5.0,3.8,5.066666666666666,5.066666666666666
50000004,5.2,6.25,3.4,4.95,4.95
50000005,5.2,6.0,2.8,4.666666666666667,4.666666666666667
50000006,5.6,7.0,4.0,5.533333333333334,5.533333333333334
50000007,7.4,6.75,4.8,6.316666666666666,6.316666666666666
50000008,4.8,6.25,2.8,4.616666666666667,4.616666666666667
50000009,5.6,5.75,4.8,5.383333333333333,5.383333333333333
50000010,6.6,6.5,5.2,6.1000000000000005,6.1000000000000005
50000011,7.6,6.5,5.8,6.633333333333333,6.633333333333333
50000012,9.4,4.75,5.4,6.516666666666667,6.516666666666667
50000013,7.4,6.25,6.6,6.75,6.75
50000014,6.2,7.25,4.4,5.95,5.95
50000015,7.4,7.25,4.6,6.416666666666667,6.416666666666667
50000016,6.6,6.0,4.8,5.8,5.8
50000017,7.8,7.75,6.0,7.183333333333334,7.183333333333334
50000018,6.2,6.5,3.4,5.366666666666666,5.366666666666666
50000019,6.4,6.25,4.0,5.55,5.55
50000020,6.6,7.0,5.6,6.4,6.3999999999999995
50000021,7.8,7.75,5.2,6.916666666666667,6.916666666666667
50000022,4.0,7.0,2.6,4.533333333333333,4.533333333333333
50000023,6.6,7.5,5.0,6.366666666666667,6.366666666666667
50000024,7.0,8.0,4.0,6.333333333333333,6.333333333333333
50000025,3.6,4.5,3.8,3.9666666666666655,3.9666666666666663
50000026,6.4,5.0,3.4,4.933333333333334,4.933333333333334
50000027,6.2,5.25,3.6,5.016666666666667,5.016666666666667
50000028,5.6,5.25,4.2,5.016666666666667,5.016666666666667
50000029,6.4,5.25,4.2,5.283333333333334,5.283333333333334
50000030,4.4,5.25,4.0,4.55,4.55
50000031,7.4,6.5,4.8,6.233333333333333,6.233333333333333
50000032,8.2,6.0,4.2,6.133333333333333,6.133333333333333
50000033,5.0,7.5,6.6,6.366666666666667,6.366666666666667
50000034,5.6,5.83,4.0,5.1433333333333335,5.1433333333333335
50000035,6.0,6.75,7.6,6.783333333333334,6.783333333333334
50000036,6.4,5.75,4.0,5.383333333333333,5.383333333333333
50000037,7.8,7.0,3.0,5.933333333333334,5.933333333333334
50000038,7.2,7.5,4.0,6.233333333333333,6.233333333333333
50000039,7.2,5.75,5.2,6.05,6.05
50000040,3.0,5.0,1.8,3.266666666666667,3.266666666666667
50000041,3.2,5.75,2.8,3.9166666666666665,3.9166666666666665
50000042,7.8,7.0,3.8,6.2,6.2
50000043,5.8,6.25,3.8,5.283333333333334,5.283333333333334
50000044,5.8,7.0,5.4,6.066666666666667,6.066666666666667
50000045,6.4,5.25,3.8,5.15,5.1499999999999995
50000046,8.0,6.75,3.6,6.116666666666667,6.116666666666667
50000047,7.6,6.75,4.8,6.383333333333333,6.383333333333333
50000048,7.0,7.0,4.0,6.0,6.0
50000049,6.6,5.0,5.0,5.533333333333334,5.533333333333334
50000050,5.2,5.0,2.8,4.333333333333333,4.333333333333333
50000051,7.4,7.25,5.6,6.75,6.75
50000052,3.6,6.25,3.0,4.283333333333333,4.283333333333333
50000053,3.4,5.0,3.4,3.9333333333333336,3.9333333333333336
50000054,9.0,6.5,4.0,6.5,6.5
50000055,6.2,5.75,3.6,5.183333333333333,5.183333333333333
50000056,5.8,5.25,3.0,4.683333333333334,4.683333333333334
50000057,3.2,5.75,2.6,3.85,3.8499999999999996
50000058,6.0,6.0,4.6,5.533333333333334,5.533333333333334
50000059,3.2,5.0,3.6,3.933333333333333,3.933333333333333
50000060,7.6,7.25,6.2,7.016666666666667,7.016666666666667
50000061,6.2,5.25,4.0,5.15,5.1499999999999995
50000062,5.0,5.25,3.2,4.483333333333333,4.483333333333333
50000063,9.0,6.25,7.6,7.616666666666667,7.616666666666667
50000064,6.8,5.0,3.2,5.0,5.0
50000065,4.8,5.75,3.6,4.716666666666667,4.716666666666667
50000066,5.6,5.75,4.2,5.183333333333334,5.183333333333334
50000067,5.6,6.25,1.2,4.35,4.35
50000068,4.6,5.75,3.6,4.65,4.6499999999999995
50000069,7.6,6.0,4.4,6.0,6.0
50000070,7.2,6.75,4.8,6.25,6.25
50000071,5.8,6.5,4.0,5.433333333333334,5.433333333333334
50000072,4.6,7.5,4.0,5.366666666666667,5.366666666666667
50000073,7.8,6.25,7.0,7.016666666666667,7.016666666666667
50000074,5.2,5.75,1.0,3.983333333333333,3.983333333333333
50000075,7.2,5.5,3.6,5.433333333333334,5.433333333333334
50000076,6.6,6.5,3.6,5.566666666666666,5.566666666666666
50000077,6.0,5.75,3.2,4.983333333333333,4.983333333333333
50000078,5.8,5.25,3.0,4.683333333333334,4.683333333333334
50000079,6.8,7.0,5.2,6.333333333333333,6.333333333333333
50000080,7.2,7.75,4.4,6.45,6.45
50000081,4.8,4.0,3.4,4.066666666666667,4.066666666666667
50000082,8.6,6.5,3.8,6.3,6.3
50000083,5.0,6.25,3.4,4.883333333333334,4.883333333333334
50000084,8.2,6.75,4.4,6.45,6.45
50000085,6.6,6.0,4.2,5.6000000000000005,5.6000000000000005
50000086,4.8,5.5,4.0,4.766666666666667,4.766666666666667
50000087,6.8,6.5,3.0,5.433333333333334,5.433333333333334
50000088,6.6,4.25,4.2,5.016666666666667,5.016666666666667
50000089,4.6,5.25,3.6,4.483333333333333,4.483333333333333
50000090,6.0,6.0,3.8,5.266666666666667,5.266666666666667
50000091,6.2,6.0,4.2,5.466666666666666,5.466666666666666
50000092,6.2,7.0,5.0,6.066666666666666,6.066666666666666
50000093,6.8,6.25,4.2,5.75,5.75
