SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
22000001,9.0,7.25,9.8,8.683333333333334,8.683333333333334
22000002,4.2,6.0,9.2,6.466666666666666,6.466666666666666
22000003,5.4,7.25,8.4,7.016666666666667,7.016666666666667
22000004,8.4,4.5,8.8,7.233333333333334,7.233333333333334
22000005,8.4,3.75,9.0,7.05,7.05
22000006,6.2,7.5,8.8,7.5,7.5
22000007,8.0,7.25,9.6,8.283333333333333,8.283333333333333
22000008,8.0,5.25,9.8,7.683333333333334,7.683333333333334
22000009,9.0,7.5,8.4,8.299999999999999,8.299999999999999
22000010,8.4,6.5,9.2,8.033333333333333,8.033333333333333
22000011,7.2,7.5,9.6,8.1,8.1
22000012,6.0,8.5,6.8,7.1000000000000005,7.1000000000000005
22000013,7.6,7.0,6.0,6.866666666666667,6.866666666666667
22000015,9.6,7.25,7.8,8.216666666666667,8.216666666666667
22000016,7.2,8.5,10.0,8.566666666666666,8.566666666666666
22000017,8.6,9.0,10.0,9.2,9.200000000000001
22000018,8.2,8.0,10.0,8.733333333333333,8.733333333333333
22000019,7.2,8.5,10.0,8.566666666666666,8.566666666666666
22000020,9.4,6.5,9.4,8.433333333333334,8.433333333333334
22000021,8.4,7.5,9.8,8.566666666666668,8.566666666666668
22000022,8.0,6.0,9.6,7.866666666666667,7.866666666666667
22000023,9.0,4.5,4.6,6.033333333333334,6.033333333333334
22000024,9.0,6.5,9.6,8.366666666666667,8.366666666666667
22000025,8.6,8.5,9.8,8.966666666666667,8.966666666666667
22000026,8.2,8.0,9.4,8.533333333333333,8.533333333333333
22000027,8.8,7.0,9.2,8.333333333333334,8.333333333333334
22000028,8.6,8.75,9.4,8.916666666666666,8.916666666666666
22000029,9.2,6.75,10.0,8.65,8.65
22000030,8.2,8.75,9.8,8.916666666666666,8.916666666666666
22000031,7.6,7.75,9.8,8.383333333333333,8.383333333333333
22000032,5.6,7.5,9.6,7.566666666666666,7.566666666666666
22000033,8.2,8.0,9.6,8.6,8.6
22000034,8.4,7.5,9.4,8.433333333333334,8.433333333333334
22000035,9.0,6.5,4.6,6.7,6.7
22000036,9.0,5.75,8.4,7.716666666666666,7.716666666666666
22000037,8.8,6.0,9.2,8.0,8.0
22000038,8.8,5.75,9.2,7.916666666666667,7.916666666666667
22000039,8.2,5.0,9.6,7.599999999999999,7.599999999999999
22000041,9.2,6.5,9.4,8.366666666666667,8.366666666666667
22000042,7.8,8.0,9.6,8.466666666666667,8.466666666666667
22000043,7.0,6.5,9.6,7.7,7.7
22000044,9.0,6.25,4.4,6.55,6.55
22000045,9.2,8.25,9.8,9.083333333333334,9.083333333333334
22000046,7.2,8.0,7.4,7.533333333333334,7.533333333333334
22000047,8.8,7.0,8.8,8.200000000000001,8.200000000000001
22000048,7.8,8.0,6.6,7.466666666666666,7.466666666666666
22000049,5.0,7.75,6.8,6.516666666666667,6.516666666666667
22000051,7.8,5.0,9.4,7.400000000000001,7.400000000000001
22000052,8.4,7.5,8.6,8.166666666666666,8.166666666666666
22000053,8.8,8.0,9.6,8.799999999999999,8.799999999999999
22000054,8.6,5.0,7.8,7.133333333333333,7.133333333333333
22000055,6.8,7.0,6.4,6.733333333333334,6.733333333333334
22000056,9.4,5.5,8.2,7.7,7.7
22000057,8.2,7.5,9.2,8.299999999999999,8.299999999999999
22000058,7.8,9.0,9.0,8.6,8.6
22000059,8.2,7.75,10.0,8.65,8.65
22000060,9.2,6.75,9.8,8.583333333333334,8.583333333333334
22000061,7.4,8.0,9.8,8.4,8.4
22000062,8.8,6.75,9.0,8.183333333333334,8.183333333333334
22000063,9.4,6.0,9.6,8.333333333333334,8.333333333333334
22000064,8.4,7.25,9.4,8.35,8.35
22000065,9.0,5.5,9.6,8.033333333333333,8.033333333333333
22000066,7.8,4.5,8.0,6.766666666666667,6.766666666666667
22000067,8.8,6.5,7.8,7.7,7.7
22000068,8.6,6.5,9.4,8.166666666666666,8.166666666666666
22000069,7.4,4.25,6.8,6.15,6.1499999999999995
22000070,8.6,6.75,2.6,5.983333333333333,5.983333333333333
22000071,4.6,5.5,4.4,4.833333333333333,4.833333333333333
22000072,6.0,4.75,6.0,5.583333333333333,5.583333333333333
22000073,8.4,6.5,6.4,7.1000000000000005,7.1000000000000005
