SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
25000001,8.4,8.0,10.0,8.799999999999999,8.799999999999999
25000002,9.0,8.5,9.8,9.1,9.1
25000003,8.8,9.0,9.4,9.066666666666668,9.066666666666668
25000004,8.2,8.0,10.0,8.733333333333333,8.733333333333333
25000005,9.2,9.0,9.4,9.2,9.200000000000001
25000006,9.0,7.5,9.6,8.700000000000001,8.700000000000001
25000007,9.0,6.75,8.6,8.116666666666667,8.116666666666667
25000008,8.6,7.75,9.4,8.583333333333334,8.583333333333334
25000009,7.0,8.0,7.8,7.6,7.6000000000000005
25000010,8.0,8.0,9.8,8.6,8.6
25000011,8.8,8.5,9.8,9.033333333333331,9.033333333333333
25000012,7.4,6.5,7.2,7.033333333333334,7.033333333333334
25000013,8.8,8.0,10.0,8.933333333333334,8.933333333333334
25000014,8.2,7.5,4.8,6.833333333333333,6.833333333333333
25000015,9.4,7.25,9.8,8.816666666666666,8.816666666666666
25000016,9.2,5.75,9.0,7.983333333333333,7.983333333333333
25000017,7.2,8.25,8.2,7.883333333333333,7.883333333333333
25000018,9.0,6.75,6.4,7.383333333333333,7.383333333333333
25000019,9.4,8.0,9.6,9.0,9.0
25000020,9.2,5.75,8.6,7.849999999999999,7.849999999999999
25000021,8.6,8.75,9.2,8.85,8.85
25000022,8.6,7.75,9.2,8.516666666666667,8.516666666666667
25000023,8.8,6.0,9.4,8.066666666666668,8.066666666666668
25000024,8.6,6.75,9.0,8.116666666666667,8.116666666666667
25000025,8.8,7.5,9.0,8.433333333333334,8.433333333333334
25000026,8.6,8.0,9.6,8.733333333333334,8.733333333333334
25000027,7.2,7.75,7.4,7.45,7.45
25000028,8.6,6.5,9.4,8.166666666666666,8.166666666666666
25000029,8.4,7.75,8.8,8.316666666666666,8.316666666666666
25000030,9.2,7.25,9.0,8.483333333333333,8.483333333333333
25000031,6.6,8.0,9.8,8.133333333333333,8.133333333333333
25000032,8.8,8.75,9.0,8.85,8.85
25000033,9.0,6.0,8.8,7.933333333333334,7.933333333333334
25000034,8.8,7.5,9.8,8.700000000000001,8.700000000000001
25000035,8.4,7.5,8.8,8.233333333333334,8.233333333333334
25000036,9.0,6.75,9.6,8.450000000000001,8.450000000000001
25000037,5.0,7.5,7.8,6.766666666666667,6.766666666666667
25000038,8.4,8.75,9.6,8.916666666666666,8.916666666666666
25000039,7.6,7.25,9.2,8.016666666666666,8.016666666666666
25000040,8.6,6.5,9.4,8.166666666666666,8.166666666666666
