SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
15000001,9.0,8.5,10.0,9.166666666666666,9.166666666666666
15000002,9.2,5.5,9.4,8.033333333333333,8.033333333333333
15000003,8.6,8.5,9.4,8.833333333333334,8.833333333333334
15000004,4.6,9.0,7.0,6.866666666666667,6.866666666666667
15000005,8.8,6.25,8.6,7.883333333333333,7.883333333333333
15000006,5.4,9.0,4.8,6.4,6.3999999999999995
15000007,8.4,8.25,10.0,8.883333333333333,8.883333333333333
15000008,8.6,8.5,10.0,9.033333333333331,9.033333333333333
15000009,8.0,7.75,9.8,8.516666666666667,8.516666666666667
15000010,8.4,7.0,8.2,7.866666666666667,7.866666666666667
15000011,8.6,8.0,6.8,7.800000000000001,7.800000000000001
15000012,9.0,8.0,9.0,8.666666666666666,8.666666666666666
15000013,4.6,7.5,5.2,5.766666666666667,5.766666666666667
15000014,7.4,9.0,7.6,8.0,8.0
15000015,9.4,6.5,9.4,8.433333333333334,8.433333333333334
15000016,9.0,8.5,9.8,9.1,9.1
15000017,8.6,7.0,5.6,7.066666666666666,7.066666666666666
15000018,9.2,4.5,9.2,7.633333333333333,7.633333333333333
15000019,8.0,6.75,8.4,7.716666666666666,7.716666666666666
15000020,4.2,8.25,8.2,6.883333333333333,6.883333333333333
15000021,9.0,8.75,10.0,9.25,9.25
15000022,5.4,8.0,3.4,5.6000000000000005,5.6000000000000005
15000023,5.2,8.5,6.8,6.833333333333333,6.833333333333333
15000024,8.2,8.5,9.2,8.633333333333333,8.633333333333333
15000025,8.6,9.0,9.8,9.133333333333336,9.133333333333335
15000026,6.4,7.75,6.8,6.983333333333333,6.983333333333333
15000027,8.6,6.75,10.0,8.450000000000001,8.450000000000001
15000028,8.6,6.5,6.2,7.1000000000000005,7.1000000000000005
15000029,8.4,5.25,3.6,5.75,5.75
15000030,8.2,7.75,8.8,8.25,8.25
15000031,8.6,7.0,10.0,8.533333333333333,8.533333333333333
15000032,8.8,8.75,10.0,9.183333333333334,9.183333333333334
15000033,8.4,8.25,9.4,8.683333333333332,8.683333333333332
15000034,8.0,8.5,8.6,8.366666666666667,8.366666666666667
15000035,8.6,8.25,9.4,8.75,8.75
15000036,8.8,8.0,7.0,7.933333333333334,7.933333333333334
15000037,8.6,7.5,9.4,8.5,8.5
15000038,7.2,8.5,8.6,8.1,8.1
15000039,8.4,9.0,9.2,8.866666666666665,8.866666666666665
15000040,9.2,8.75,10.0,9.316666666666666,9.316666666666666
15000041,7.8,8.25,10.0,8.683333333333334,8.683333333333334
15000042,9.0,7.5,7.4,7.966666666666666,7.966666666666666
15000043,5.0,8.25,3.6,5.616666666666667,5.616666666666667
15000044,8.6,8.5,7.6,8.233333333333334,8.233333333333334
15000045,9.0,6.25,7.8,7.683333333333334,7.683333333333334
15000046,8.8,6.0,7.4,7.400000000000001,7.400000000000001
15000047,8.4,9.0,9.6,9.0,9.0
15000048,8.4,9.0,8.8,8.733333333333333,8.733333333333333
15000049,9.0,5.75,9.6,8.116666666666667,8.116666666666667
15000050,8.4,9.25,9.0,8.883333333333333,8.883333333333333
15000051,8.2,8.25,9.2,8.549999999999999,8.549999999999999
15000052,6.8,8.25,5.4,6.816666666666667,6.816666666666667
15000053,8.4,8.75,9.4,8.85,8.85
15000054,4.6,8.5,7.6,6.9,6.8999999999999995
15000055,8.0,6.75,9.4,8.049999999999999,8.049999999999999
15000056,9.0,9.0,9.4,9.133333333333333,9.133333333333333
15000059,9.0,8.0,8.0,8.333333333333334,8.333333333333334
15000060,8.6,6.25,8.0,7.616666666666667,7.616666666666667
15000061,9.0,7.0,7.4,7.8,7.8
15000062,8.8,6.75,9.8,8.450000000000001,8.450000000000001
15000063,8.6,8.5,9.6,8.9,8.9
15000064,9.2,7.5,9.2,8.633333333333333,8.633333333333333
15000065,7.4,7.75,9.8,8.316666666666668,8.316666666666668
15000066,8.4,8.75,9.4,8.85,8.85
15000067,7.0,8.0,9.0,8.0,8.0
15000068,9.4,7.25,8.8,8.483333333333333,8.483333333333333
15000069,8.8,6.25,9.2,8.083333333333334,8.083333333333334
15000070,8.4,6.5,9.4,8.1,8.1
15000071,8.4,6.25,10.0,8.216666666666667,8.216666666666667
15000072,8.2,7.25,10.0,8.483333333333333,8.483333333333333
15000073,8.0,6.75,10.0,8.25,8.25
15000074,7.8,7.75,10.0,8.516666666666667,8.516666666666667
15000075,9.0,6.25,9.2,8.15,8.15
15000076,9.4,8.75,9.8,9.316666666666666,9.316666666666666
15000077,9.0,6.25,9.4,8.216666666666667,8.216666666666667
15000078,8.8,7.0,9.0,8.266666666666667,8.266666666666667
15000079,7.8,8.0,9.4,8.4,8.4
15000080,9.4,6.75,9.8,8.65,8.65
15000081,7.8,6.5,4.2,6.166666666666667,6.166666666666667
15000082,5.8,9.0,5.8,6.866666666666667,6.866666666666667
15000083,6.4,7.0,5.8,6.4,6.3999999999999995
15000084,8.0,7.75,9.8,8.516666666666667,8.516666666666667
15000085,9.0,7.75,10.0,8.916666666666666,8.916666666666666
15000086,7.0,8.5,10.0,8.5,8.5
15000087,7.8,7.25,8.8,7.95,7.95
15000088,8.0,6.75,10.0,8.25,8.25
15000089,8.2,9.25,9.8,9.083333333333334,9.083333333333334
15000090,8.0,8.75,8.2,8.316666666666666,8.316666666666666
15000091,9.4,6.75,9.0,8.383333333333333,8.383333333333333
15000093,9.8,6.5,10.0,8.766666666666667,8.766666666666667
15000094,8.6,6.75,9.8,8.383333333333333,8.383333333333333
15000095,9.4,7.0,9.8,8.733333333333333,8.733333333333333
15000096,9.0,5.25,6.4,6.883333333333333,6.883333333333333
15000097,9.2,7.5,9.2,8.633333333333333,8.633333333333333
15000098,8.8,6.5,6.4,7.233333333333334,7.233333333333334
15000099,8.8,4.5,5.4,6.233333333333334,6.233333333333334
