SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
9000001,8.8,7.0,8.2,8.0,8.0
9000002,8.2,6.25,7.4,7.283333333333334,7.283333333333334
9000003,8.6,8.5,9.2,8.766666666666667,8.766666666666667
9000004,8.4,7.0,5.8,7.066666666666666,7.066666666666666
9000005,8.4,7.75,9.0,8.383333333333333,8.383333333333333
9000008,8.6,8.5,8.6,8.566666666666668,8.566666666666668
9000009,8.0,7.75,7.4,7.716666666666666,7.716666666666666
9000012,5.8,8.0,5.4,6.400000000000001,6.400000000000001
9000013,8.4,6.5,7.0,7.3,7.3
9000014,8.4,6.5,6.4,7.1000000000000005,7.1000000000000005
9000015,9.2,7.75,7.8,8.25,8.25
9000016,8.4,8.0,6.0,7.466666666666666,7.466666666666666
9000018,6.2,7.75,5.4,6.45,6.45
9000019,7.6,6.5,6.4,6.833333333333333,6.833333333333333
9000020,6.6,8.75,5.8,7.05,7.05
9000021,8.8,7.25,7.6,7.883333333333333,7.883333333333333
9000022,8.8,7.5,7.4,7.900000000000001,7.900000000000001
9000023,6.4,7.25,6.0,6.55,6.55
9000024,7.6,7.75,8.0,7.783333333333334,7.783333333333334
9000025,7.4,7.75,7.4,7.516666666666667,7.516666666666667
9000027,8.8,4.5,7.2,6.833333333333333,6.833333333333333
9000028,7.8,7.25,4.8,6.616666666666667,6.616666666666667
9000029,7.6,7.25,8.8,7.883333333333333,7.883333333333333
9000030,5.6,8.0,6.2,6.6000000000000005,6.6000000000000005
9000031,5.4,8.0,5.6,6.333333333333333,6.333333333333333
9000032,7.8,7.25,5.0,6.683333333333334,6.683333333333334
9000033,3.6,7.25,4.2,5.016666666666667,5.016666666666667
9000034,7.6,8.0,7.4,7.666666666666667,7.666666666666667
9000035,4.4,6.25,5.2,5.283333333333334,5.283333333333334
9000037,7.6,6.25,4.8,6.216666666666666,6.216666666666666
9000038,9.4,7.5,9.0,8.633333333333333,8.633333333333333
9000039,8.2,8.75,8.0,8.316666666666666,8.316666666666666
9000040,8.2,7.5,6.0,7.233333333333333,7.233333333333333
9000041,8.4,7.25,7.2,7.616666666666667,7.616666666666667
9000042,5.6,7.5,5.6,6.233333333333333,6.233333333333333
9000043,6.6,5.75,8.6,6.983333333333333,6.983333333333333
9000044,8.8,7.0,6.8,7.533333333333334,7.533333333333334
9000045,6.8,7.5,5.6,6.633333333333333,6.633333333333333
9000047,8.2,7.25,5.0,6.816666666666666,6.816666666666666
9000048,6.8,6.75,5.2,6.25,6.25
9000050,6.6,6.0,5.8,6.133333333333333,6.133333333333333
9000052,8.4,7.0,5.2,6.866666666666667,6.866666666666667
9000053,8.4,7.5,9.0,8.299999999999999,8.299999999999999
9000054,7.6,8.75,6.4,7.583333333333333,7.583333333333333
9000055,6.8,7.25,6.0,6.683333333333334,6.683333333333334
9000056,6.2,7.0,4.4,5.866666666666667,5.866666666666667
9000057,8.4,8.0,8.2,8.2,8.2
9000058,7.2,8.25,6.4,7.283333333333334,7.283333333333334
9000059,7.0,7.0,5.2,6.4,6.3999999999999995
9000060,8.4,8.0,8.0,8.133333333333333,8.133333333333333
9000062,8.8,7.75,8.8,8.450000000000001,8.450000000000001
9000063,7.8,6.5,7.2,7.166666666666667,7.166666666666667
9000064,9.0,6.25,8.8,8.016666666666667,8.016666666666667
9000065,8.8,7.25,7.0,7.683333333333334,7.683333333333334
9000066,8.2,7.0,4.2,6.466666666666666,6.466666666666666
9000067,7.8,8.5,8.8,8.366666666666667,8.366666666666667
9000068,8.0,7.25,5.0,6.75,6.75
9000069,8.0,6.75,6.2,6.983333333333333,6.983333333333333
9000070,8.0,6.75,5.2,6.65,6.6499999999999995
9000071,6.6,6.75,5.6,6.316666666666666,6.316666666666666
9000072,6.4,6.75,4.6,5.916666666666667,5.916666666666667
9000073,5.2,5.75,4.0,4.983333333333333,4.983333333333333
9000074,7.2,7.5,5.2,6.633333333333333,6.633333333333333
9000075,8.0,6.0,6.0,6.666666666666667,6.666666666666667
9000077,8.8,5.0,5.6,6.466666666666666,6.466666666666666
9000080,8.0,6.5,5.8,6.766666666666667,6.766666666666667
9000081,6.2,7.25,4.6,6.016666666666666,6.016666666666666
9000082,7.0,7.0,3.6,5.866666666666667,5.866666666666667
9000083,7.2,7.75,5.2,6.716666666666666,6.716666666666666
9000084,7.4,8.5,7.8,7.899999999999999,7.8999999999999995
9000085,6.4,7.0,6.2,6.533333333333334,6.533333333333334
9000087,8.6,6.25,4.4,6.416666666666667,6.416666666666667
9000089,8.0,5.0,6.2,6.4,6.3999999999999995
9000090,6.6,8.5,6.0,7.033333333333334,7.033333333333334
9000091,7.0,6.0,4.6,5.866666666666667,5.866666666666667
9000092,7.6,9.25,6.6,7.816666666666667,7.816666666666667
9000093,6.4,7.25,5.6,6.416666666666667,6.416666666666667
9000097,9.4,7.25,8.8,8.483333333333333,8.483333333333333
9000098,8.6,7.75,6.0,7.45,7.45
9000099,5.6,6.75,6.4,6.25,6.25
9000102,7.8,7.75,9.0,8.183333333333334,8.183333333333334
9000105,6.2,6.5,3.8,5.5,5.5
9000106,8.2,7.25,6.8,7.416666666666667,7.416666666666667
9000107,7.0,7.5,5.2,6.566666666666666,6.566666666666666
9000108,6.6,7.75,4.4,6.25,6.25
9000109,5.8,7.5,3.4,5.566666666666666,5.566666666666666
9000110,7.4,8.25,5.6,7.083333333333333,7.083333333333333
9000111,7.4,7.75,6.2,7.116666666666667,7.116666666666667
9000112,8.2,6.25,4.8,6.416666666666667,6.416666666666667
9000113,8.4,7.5,7.2,7.7,7.7
9000114,6.2,7.25,6.2,6.55,6.55
9000117,5.6,8.5,5.6,6.566666666666666,6.566666666666666
9000123,7.4,8.0,9.4,8.266666666666667,8.266666666666667
9000124,8.8,6.25,6.4,7.150000000000001,7.150000000000001
9000125,8.6,8.25,6.8,7.883333333333334,7.883333333333334
9000126,7.4,8.25,7.6,7.75,7.75
9000127,8.2,8.25,9.2,8.549999999999999,8.549999999999999
