SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
51000001,5.6,8.0,8.4,7.333333333333333,7.333333333333333
51000002,8.8,6.5,4.4,6.566666666666667,6.566666666666667
51000003,7.8,6.75,4.2,6.25,6.25
51000004,7.6,9.0,8.8,8.466666666666667,8.466666666666667
51000005,6.2,7.5,7.0,6.9,6.8999999999999995
51000006,8.8,6.25,7.2,7.416666666666667,7.416666666666667
51000007,8.0,7.25,8.2,7.816666666666666,7.816666666666666
51000008,7.2,9.0,4.4,6.866666666666667,6.866666666666667
51000009,6.0,9.25,5.6,6.95,6.95
51000011,8.0,7.25,9.2,8.15,8.15
51000012,8.4,8.0,6.2,7.533333333333332,7.533333333333332
51000013,9.0,4.25,8.6,7.283333333333334,7.283333333333334
51000014,8.6,8.0,5.6,7.400000000000001,7.400000000000001
51000015,8.0,9.0,6.0,7.666666666666667,7.666666666666667
51000016,7.6,7.25,4.2,6.3500000000000005,6.3500000000000005
51000017,6.0,7.17,6.6,6.59,6.59
51000018,7.6,8.0,9.0,8.200000000000001,8.200000000000001
51000019,7.4,8.0,8.0,7.8,7.8
51000021,8.2,9.25,8.4,8.616666666666667,8.616666666666667
51000022,8.2,7.25,7.8,7.75,7.75
51000024,6.8,7.5,8.0,7.433333333333334,7.433333333333334
51000025,6.4,7.0,8.6,7.333333333333333,7.333333333333333
51000026,8.4,8.5,8.2,8.366666666666665,8.366666666666665
51000027,8.4,7.75,7.0,7.716666666666666,7.716666666666666
51000028,8.0,8.75,6.4,7.716666666666666,7.716666666666666
51000029,7.4,7.0,7.2,7.2,7.2
51000030,7.2,7.5,8.4,7.7,7.7
51000031,7.8,6.75,5.6,6.716666666666666,6.716666666666666
51000032,7.6,8.0,6.2,7.266666666666667,7.266666666666667
51000033,7.8,7.0,6.8,7.2,7.2
51000034,8.6,7.0,9.0,8.200000000000001,8.200000000000001
51000035,7.6,8.0,8.8,8.133333333333333,8.133333333333333
51000037,8.6,6.25,6.6,7.15,7.1499999999999995
51000038,7.8,8.0,7.2,7.666666666666667,7.666666666666667
51000039,8.2,7.5,7.2,7.633333333333333,7.633333333333333
51000040,7.4,4.25,9.6,7.083333333333333,7.083333333333333
51000041,8.8,6.0,4.8,6.533333333333334,6.533333333333334
51000042,6.4,7.75,7.4,7.183333333333334,7.183333333333334
51000043,6.6,6.0,9.2,7.266666666666666,7.266666666666666
51000044,6.0,8.5,7.6,7.366666666666667,7.366666666666667
51000046,3.2,1.5,2.0,2.2333333333333334,2.2333333333333334
51000047,8.4,7.75,8.4,8.183333333333332,8.183333333333332
51000048,6.6,7.5,7.0,7.033333333333334,7.033333333333334
51000049,7.4,8.5,8.0,7.966666666666666,7.966666666666666
51000050,4.8,7.75,5.8,6.116666666666667,6.116666666666667
51000051,8.2,6.25,7.6,7.349999999999999,7.349999999999999
51000052,3.6,6.0,6.4,5.333333333333333,5.333333333333333
51000055,8.8,9.0,8.6,8.799999999999999,8.799999999999999
51000056,8.0,7.5,6.8,7.433333333333334,7.433333333333334
51000057,8.2,9.0,8.4,8.533333333333333,8.533333333333333
51000058,7.2,9.0,7.2,7.8,7.8
51000059,8.2,7.25,8.4,7.95,7.95
51000060,8.4,7.75,6.8,7.649999999999999,7.6499999999999995
51000061,6.2,7.75,6.2,6.716666666666666,6.716666666666666
51000062,7.2,7.25,8.6,7.683333333333333,7.683333333333333
51000063,7.6,7.25,6.8,7.216666666666666,7.216666666666666
51000064,7.8,5.0,5.6,6.133333333333333,6.133333333333333
51000065,8.0,7.5,8.4,7.966666666666666,7.966666666666666
51000069,6.8,8.25,5.0,6.683333333333334,6.683333333333334
51000070,7.6,8.25,9.6,8.483333333333333,8.483333333333333
51000071,7.6,8.5,4.4,6.833333333333333,6.833333333333333
51000072,7.8,8.25,5.6,7.216666666666666,7.216666666666666
51000073,7.8,8.0,8.8,8.200000000000001,8.200000000000001
51000074,3.6,4.0,3.2,3.6,3.6
51000076,7.6,6.5,7.6,7.233333333333333,7.233333333333333
51000077,7.4,7.75,6.2,7.116666666666667,7.116666666666667
51000078,7.6,7.75,4.2,6.516666666666667,6.516666666666667
51000079,8.2,6.0,3.6,5.933333333333334,5.933333333333334
51000080,8.6,7.75,6.6,7.650000000000001,7.650000000000001
51000084,8.0,7.5,5.8,7.1000000000000005,7.1000000000000005
51000085,7.2,9.0,8.2,8.133333333333333,8.133333333333333
51000086,5.6,7.25,7.2,6.683333333333334,6.683333333333334
51000087,7.0,8.5,7.8,7.766666666666667,7.766666666666667
51000088,8.2,8.0,6.4,7.533333333333334,7.533333333333334
51000089,7.4,6.75,6.4,6.8500000000000005,6.8500000000000005
51000090,6.2,6.75,3.6,5.516666666666667,5.516666666666667
51000091,3.4,7.25,3.0,4.55,4.55
51000093,7.4,7.75,8.4,7.85,7.8500000000000005
51000094,3.8,4.75,3.2,3.9166666666666665,3.9166666666666665
51000095,8.4,6.75,4.8,6.65,6.6499999999999995
51000096,3.4,4.25,2.4,3.35,3.35
51000097,5.0,9.25,3.4,5.883333333333333,5.883333333333333
51000098,7.8,7.25,7.8,7.616666666666667,7.616666666666667
51000099,8.0,6.0,8.8,7.6,7.6000000000000005
51000101,7.4,8.75,5.2,7.116666666666666,7.116666666666666
51000102,8.4,7.0,6.0,7.133333333333333,7.133333333333333
51000103,7.6,7.75,8.8,8.049999999999999,8.049999999999999
51000104,6.4,7.25,7.2,6.95,6.95
51000106,7.4,6.0,7.0,6.8,6.8
51000107,9.2,4.75,7.4,7.116666666666667,7.116666666666667
51000108,7.2,7.0,6.2,6.8,6.8
51000109,8.4,6.5,4.6,6.5,6.5
51000110,5.4,7.5,4.0,5.633333333333333,5.633333333333333
51000111,3.0,3.5,3.0,3.1666666666666665,3.1666666666666665
51000112,7.0,0.0,2.6,3.2,3.1999999999999997
51000114,8.4,7.5,5.0,6.966666666666666,6.966666666666666
51000115,8.8,8.75,9.0,8.85,8.85
51000116,6.8,6.25,5.0,6.016666666666667,6.016666666666667
51000117,8.0,7.75,6.8,7.516666666666667,7.516666666666667
51000118,7.6,7.25,7.8,7.55,7.55
51000119,2.0,5.0,3.0,3.333333333333333,3.3333333333333335
51000120,6.6,7.75,6.4,6.916666666666667,6.916666666666667
51000122,7.0,7.5,6.2,6.9,6.8999999999999995
51000124,2.2,2.0,3.0,2.4,2.4
51000125,8.0,8.0,5.6,7.2,7.2
51000127,8.4,5.5,4.4,6.1000000000000005,6.1000000000000005
51000128,6.2,7.5,6.2,6.633333333333333,6.633333333333333
51000129,8.0,6.25,7.6,7.283333333333334,7.283333333333334
51000130,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
51000131,8.0,7.75,6.4,7.383333333333333,7.383333333333333
51000133,7.8,7.75,4.8,6.783333333333334,6.783333333333334
51000134,8.0,8.75,8.6,8.450000000000001,8.450000000000001
51000135,5.8,6.75,8.4,6.983333333333334,6.983333333333334
51000136,8.0,7.0,7.8,7.6,7.6000000000000005
51000137,7.8,8.75,8.4,8.316666666666668,8.316666666666668
51000138,4.0,6.0,3.0,4.333333333333333,4.333333333333333
51000139,8.4,8.5,8.2,8.366666666666665,8.366666666666665
51000140,7.8,9.5,8.2,8.5,8.5
51000141,7.2,7.0,6.8,7.0,7.0
51000142,7.8,9.0,6.8,7.866666666666667,7.866666666666667
51000143,7.4,7.75,8.0,7.716666666666666,7.716666666666666
51000144,7.2,6.75,6.0,6.65,6.6499999999999995
51000145,8.2,7.75,7.0,7.649999999999999,7.6499999999999995
51000146,7.6,7.75,8.8,8.049999999999999,8.049999999999999
51000148,6.4,7.75,5.6,6.583333333333333,6.583333333333333
51000150,8.4,8.0,8.0,8.133333333333333,8.133333333333333
51000151,7.0,5.25,5.6,5.95,5.95
51000152,8.0,7.5,8.0,7.833333333333333,7.833333333333333
51000153,4.6,5.25,3.4,4.416666666666667,4.416666666666667
51000156,7.6,5.75,6.6,6.65,6.6499999999999995
51000157,7.2,9.25,5.6,7.349999999999999,7.349999999999999
51000161,2.2,4.5,2.6,3.1,3.1
51000163,8.0,7.0,4.6,6.533333333333334,6.533333333333334
