SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
32000001,8.6,6.0,2.6,5.733333333333333,5.733333333333333
32000002,8.0,5.75,9.4,7.716666666666666,7.716666666666666
32000003,7.6,3.75,7.4,6.25,6.25
32000004,4.6,7.0,2.8,4.8,4.8
32000005,6.8,6.5,4.2,5.833333333333333,5.833333333333333
32000006,7.6,8.0,6.0,7.2,7.2
32000007,4.8,5.5,2.6,4.3,4.3
32000008,7.4,3.0,6.8,5.733333333333333,5.733333333333333
32000009,7.4,2.75,6.2,5.45,5.45
32000010,8.0,5.75,3.6,5.783333333333334,5.783333333333334
32000011,8.6,7.0,5.6,7.066666666666666,7.066666666666666
32000012,4.4,5.0,3.2,4.2,4.2
32000013,7.0,5.0,2.8,4.933333333333334,4.933333333333334
32000014,6.0,7.25,4.2,5.816666666666666,5.816666666666666
32000015,7.2,6.0,7.0,6.733333333333333,6.733333333333333
32000016,7.4,8.75,4.8,6.983333333333333,6.983333333333333
32000017,6.2,7.25,4.2,5.883333333333333,5.883333333333333
32000019,8.0,6.75,3.4,6.05,6.05
32000020,6.6,7.5,5.0,6.366666666666667,6.366666666666667
32000021,7.8,7.5,5.6,6.966666666666666,6.966666666666666
32000022,8.6,5.5,6.0,6.7,6.7
32000023,8.2,5.5,4.2,5.966666666666666,5.966666666666666
32000024,6.8,5.0,3.2,5.0,5.0
32000025,6.8,7.75,4.0,6.183333333333334,6.183333333333334
32000026,8.2,7.75,8.8,8.25,8.25
32000027,8.0,4.5,7.0,6.5,6.5
32000028,8.2,7.0,9.2,8.133333333333333,8.133333333333333
32000029,3.8,8.25,2.4,4.816666666666667,4.816666666666667
32000030,5.6,6.5,4.0,5.366666666666667,5.366666666666667
32000032,5.4,6.0,4.0,5.133333333333334,5.133333333333334
32000033,3.4,5.5,3.2,4.033333333333334,4.033333333333334
32000034,7.2,4.25,4.8,5.416666666666667,5.416666666666667
32000035,5.0,4.5,2.8,4.1000000000000005,4.1000000000000005
