SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
46000001,4.4,7.0,3.2,4.866666666666667,4.866666666666667
46000002,8.2,7.25,6.2,7.216666666666666,7.216666666666666
46000003,4.6,6.75,3.4,4.916666666666667,4.916666666666667
46000004,7.4,5.75,7.2,6.783333333333334,6.783333333333334
46000005,7.6,7.25,4.8,6.55,6.55
46000006,7.6,6.75,4.6,6.316666666666666,6.316666666666666
46000007,7.0,6.75,4.8,6.183333333333334,6.183333333333334
46000008,7.2,8.0,3.8,6.333333333333333,6.333333333333333
46000009,7.8,8.0,6.2,7.333333333333333,7.333333333333333
46000010,7.8,7.75,4.6,6.716666666666666,6.716666666666666
46000011,7.6,7.5,4.8,6.633333333333333,6.633333333333333
46000012,8.2,7.5,8.4,8.033333333333333,8.033333333333333
46000013,6.0,7.25,4.2,5.816666666666666,5.816666666666666
46000014,4.0,7.25,2.6,4.616666666666666,4.616666666666666
46000015,7.4,8.25,8.2,7.95,7.95
46000016,4.6,6.5,4.0,5.033333333333333,5.033333333333333
46000017,7.6,8.25,7.6,7.816666666666666,7.816666666666666
46000018,7.0,6.75,5.0,6.25,6.25
46000020,4.6,5.0,5.4,5.0,5.0
46000021,6.4,8.0,7.6,7.333333333333333,7.333333333333333
46000022,8.4,8.0,8.8,8.4,8.4
46000023,3.6,7.5,3.6,4.9,4.8999999999999995
46000024,7.8,7.0,7.4,7.400000000000001,7.400000000000001
46000026,7.4,5.5,4.2,5.7,5.7
46000027,8.2,7.25,5.8,7.083333333333333,7.083333333333333
46000028,6.4,8.0,4.0,6.133333333333333,6.133333333333333
46000029,6.8,7.75,7.6,7.383333333333333,7.383333333333333
46000030,8.6,8.75,8.2,8.516666666666667,8.516666666666667
46000031,7.2,8.25,7.2,7.55,7.55
46000032,6.8,7.0,3.2,5.666666666666667,5.666666666666667
46000033,7.6,7.5,5.8,6.966666666666666,6.966666666666666
46000034,7.4,7.0,7.2,7.2,7.2
46000035,8.6,7.0,5.2,6.933333333333334,6.933333333333334
46000037,6.0,6.75,7.0,6.583333333333333,6.583333333333333
46000038,7.4,9.0,8.0,8.133333333333333,8.133333333333333
46000039,8.6,8.75,9.4,8.916666666666666,8.916666666666666
46000040,5.6,6.5,3.8,5.3,5.3
46000041,4.4,5.75,5.4,5.183333333333334,5.183333333333334
46000042,7.8,8.0,9.0,8.266666666666667,8.266666666666667
46000043,7.2,6.75,5.2,6.383333333333333,6.383333333333333
46000047,7.8,8.0,9.0,8.266666666666667,8.266666666666667
46000048,7.6,8.25,8.2,8.016666666666666,8.016666666666666
46000049,7.2,7.75,7.8,7.583333333333333,7.583333333333333
46000050,8.6,9.0,8.4,8.666666666666666,8.666666666666666
46000052,9.4,7.0,6.4,7.599999999999999,7.599999999999999
46000053,7.0,7.5,8.0,7.5,7.5
46000055,8.4,8.25,9.0,8.549999999999999,8.549999999999999
46000056,7.2,8.25,7.2,7.55,7.55
46000057,6.6,6.0,4.0,5.533333333333334,5.533333333333334
46000058,9.0,7.25,9.0,8.416666666666666,8.416666666666666
46000059,7.8,8.25,7.6,7.883333333333333,7.883333333333333
46000060,7.4,6.75,4.0,6.05,6.05
46000061,5.2,6.25,2.8,4.75,4.75
46000062,7.4,8.25,6.8,7.483333333333333,7.483333333333333
46000063,7.6,7.5,8.4,7.833333333333333,7.833333333333333
46000064,7.2,7.25,4.2,6.216666666666666,6.216666666666666
46000065,7.6,7.0,5.4,6.666666666666667,6.666666666666667
46000066,4.8,7.5,4.2,5.5,5.5
46000067,8.4,6.0,8.6,7.666666666666667,7.666666666666667
46000068,4.8,5.5,4.2,4.833333333333333,4.833333333333333
46000069,9.2,8.0,7.8,8.333333333333334,8.333333333333334
46000070,5.0,7.0,8.2,6.733333333333333,6.733333333333333
46000071,6.6,5.75,4.2,5.516666666666667,5.516666666666667
46000072,8.0,8.0,6.2,7.399999999999999,7.3999999999999995
46000073,9.0,8.0,8.2,8.4,8.4
46000074,7.2,6.5,6.6,6.766666666666666,6.766666666666666
46000075,7.0,7.5,7.2,7.233333333333333,7.233333333333333
46000076,7.2,7.25,8.0,7.483333333333333,7.483333333333333
46000077,5.8,6.0,3.8,5.2,5.2
46000078,7.2,5.0,5.4,5.866666666666667,5.866666666666667
46000079,5.8,4.5,4.8,5.033333333333334,5.033333333333334
46000080,5.0,7.0,2.4,4.8,4.8
46000081,4.6,5.0,3.6,4.4,4.3999999999999995
46000082,8.2,7.5,7.6,7.766666666666666,7.766666666666666
46000083,7.0,8.0,7.2,7.399999999999999,7.3999999999999995
46000084,7.6,5.0,6.2,6.266666666666667,6.266666666666667
46000085,6.6,9.25,3.2,6.3500000000000005,6.3500000000000005
46000086,8.6,7.5,5.6,7.233333333333334,7.233333333333334
46000087,6.4,5.75,5.4,5.8500000000000005,5.8500000000000005
46000088,6.4,5.5,3.0,4.966666666666667,4.966666666666667
46000089,6.2,7.0,8.8,7.333333333333333,7.333333333333333
46000090,6.4,7.0,4.6,6.0,6.0
46000091,2.8,4.25,3.2,3.4166666666666665,3.4166666666666665
46000092,7.2,6.25,3.6,5.683333333333334,5.683333333333334
46000093,7.6,6.0,6.8,6.8,6.8
46000094,6.2,6.0,6.2,6.133333333333333,6.133333333333333
46000095,4.8,7.75,2.8,5.116666666666667,5.116666666666667
46000096,6.6,7.25,5.8,6.55,6.55
46000098,9.0,5.75,9.0,7.916666666666667,7.916666666666667
46000100,7.4,6.5,5.2,6.366666666666667,6.366666666666667
46000101,6.8,6.75,7.6,7.05,7.05
46000102,8.0,8.5,9.4,8.633333333333333,8.633333333333333
46000103,7.8,8.0,8.8,8.200000000000001,8.200000000000001
46000105,7.4,6.5,7.0,6.966666666666666,6.966666666666666
46000106,5.4,7.25,3.0,5.216666666666667,5.216666666666667
46000107,7.8,6.25,4.6,6.216666666666666,6.216666666666666
46000108,7.8,7.0,8.6,7.8,7.8
46000112,5.2,5.25,2.2,4.216666666666666,4.216666666666666
46000113,6.4,7.5,3.8,5.9,5.8999999999999995
46000114,6.4,5.5,3.0,4.966666666666667,4.966666666666667
46000115,4.8,7.25,5.0,5.683333333333334,5.683333333333334
46000116,7.2,7.0,4.2,6.133333333333333,6.133333333333333
46000117,7.4,5.75,4.8,5.983333333333333,5.983333333333333
46000118,6.4,5.83,8.6,6.9433333333333325,6.9433333333333325
46000120,6.8,8.0,5.4,6.733333333333334,6.733333333333334
46000121,6.4,7.5,3.8,5.9,5.8999999999999995
46000123,7.0,6.5,5.8,6.433333333333334,6.433333333333334
46000124,7.8,6.25,5.6,6.55,6.55
46000126,7.8,6.5,5.8,6.7,6.7
46000127,6.4,4.0,4.2,4.866666666666667,4.866666666666667
46000128,3.8,6.5,4.4,4.9,4.9
46000129,7.8,8.25,7.6,7.883333333333333,7.883333333333333
46000130,9.2,6.0,8.2,7.8,7.8
46000131,7.6,5.0,2.8,5.133333333333333,5.133333333333333
46000132,6.8,7.25,4.4,6.150000000000001,6.150000000000001
46000133,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
46000134,8.2,4.0,6.0,6.066666666666666,6.066666666666666
46000135,8.4,5.25,7.2,6.95,6.95
46000136,5.2,5.25,2.4,4.283333333333333,4.283333333333333
46000138,8.2,8.25,9.4,8.616666666666667,8.616666666666667
46000140,9.2,8.25,9.6,9.016666666666666,9.016666666666666
46000141,6.4,4.5,6.6,5.833333333333333,5.833333333333333
46000142,8.6,7.75,7.0,7.783333333333334,7.783333333333334
46000143,5.6,5.5,1.8,4.3,4.3
46000144,7.0,7.5,5.2,6.566666666666666,6.566666666666666
46000145,6.2,6.75,5.4,6.116666666666667,6.116666666666667
46000146,4.4,5.75,3.8,4.65,4.6499999999999995
46000147,4.4,6.0,3.6,4.666666666666667,4.666666666666667
46000148,7.6,6.5,8.8,7.633333333333333,7.633333333333333
46000149,6.6,6.0,3.6,5.4,5.3999999999999995
46000150,9.2,6.5,9.2,8.299999999999999,8.299999999999999
46000152,4.4,6.5,3.0,4.633333333333334,4.633333333333334
46000153,4.6,7.5,5.6,5.9,5.8999999999999995
46000154,8.4,8.25,7.8,8.15,8.15
46000155,7.6,6.0,6.2,6.6000000000000005,6.6000000000000005
46000156,8.0,6.0,6.8,6.933333333333334,6.933333333333334
46000157,7.0,7.0,7.4,7.133333333333333,7.133333333333333
46000158,4.2,5.25,2.2,3.883333333333333,3.883333333333333
46000159,8.2,7.75,6.8,7.583333333333333,7.583333333333333
46000160,7.2,7.5,6.6,7.099999999999999,7.099999999999999
46000162,6.8,7.25,6.6,6.883333333333333,6.883333333333333
46000163,3.4,6.75,4.6,4.916666666666667,4.916666666666667
46000166,6.8,6.33,4.6,5.909999999999999,5.909999999999999
46000168,6.0,7.5,2.8,5.433333333333334,5.433333333333334
46000170,5.0,5.0,3.4,4.466666666666667,4.466666666666667
46000171,7.0,7.5,5.2,6.566666666666666,6.566666666666666
46000172,8.2,7.0,7.6,7.599999999999999,7.599999999999999
46000173,5.6,6.0,3.6,5.066666666666666,5.066666666666666
46000174,8.2,7.25,6.6,7.349999999999999,7.349999999999999
46000175,6.8,6.25,3.2,5.416666666666667,5.416666666666667
46000176,7.8,6.25,3.2,5.75,5.75
46000177,8.0,7.0,3.4,6.133333333333333,6.133333333333333
46000179,7.6,6.25,8.8,7.55,7.55
46000182,8.2,5.0,6.8,6.666666666666667,6.666666666666667
46000183,7.0,5.0,8.8,6.933333333333334,6.933333333333334
46000184,7.0,6.25,5.2,6.15,6.1499999999999995
46000185,5.2,5.5,4.6,5.1,5.1
46000186,6.0,5.5,2.8,4.766666666666667,4.766666666666667
46000187,7.4,8.0,4.6,6.666666666666667,6.666666666666667
46000188,7.4,6.75,5.4,6.516666666666667,6.516666666666667
46000189,7.8,8.25,5.4,7.150000000000001,7.150000000000001
46000190,4.2,6.5,4.6,5.1,5.1
46000191,7.6,7.0,4.8,6.466666666666666,6.466666666666666
46000192,8.4,8.25,6.4,7.683333333333333,7.683333333333333
46000193,6.8,6.75,4.8,6.116666666666667,6.116666666666667
46000194,9.0,7.5,7.2,7.899999999999999,7.8999999999999995
46000196,8.6,6.5,9.0,8.033333333333333,8.033333333333333
46000197,4.2,5.5,3.4,4.366666666666666,4.366666666666666
46000198,8.0,6.5,6.8,7.1000000000000005,7.1000000000000005
46000199,6.8,7.5,5.0,6.433333333333334,6.433333333333334
46000200,7.2,6.75,6.2,6.716666666666666,6.716666666666666
46000201,7.8,7.25,6.8,7.283333333333334,7.283333333333334
46000202,7.6,6.5,3.4,5.833333333333333,5.833333333333333
46000203,7.6,6.0,5.2,6.266666666666667,6.266666666666667
46000204,7.6,7.42,6.4,7.140000000000001,7.140000000000001
46000205,7.8,7.5,4.0,6.433333333333334,6.433333333333334
46000206,6.2,6.25,2.0,4.816666666666666,4.816666666666666
46000207,8.0,6.25,7.2,7.15,7.1499999999999995
46000208,7.8,6.75,3.4,5.983333333333333,5.983333333333333
46000209,8.6,0.0,9.0,5.866666666666667,5.866666666666667
46000210,6.8,6.75,3.6,5.716666666666668,5.716666666666668
46000211,7.6,6.25,8.0,7.283333333333334,7.283333333333334
46000212,7.4,7.5,7.6,7.5,7.5
46000215,7.2,7.75,5.8,6.916666666666667,6.916666666666667
46000216,5.6,5.25,4.2,5.016666666666667,5.016666666666667
46000217,4.2,4.0,2.6,3.6,3.5999999999999996
46000218,4.8,6.0,4.0,4.933333333333334,4.933333333333334
46000219,7.2,5.5,3.6,5.433333333333334,5.433333333333334
46000221,7.0,5.75,4.0,5.583333333333333,5.583333333333333
46000222,8.4,7.0,6.0,7.133333333333333,7.133333333333333
46000224,8.6,5.5,7.0,7.033333333333334,7.033333333333334
46000225,7.2,5.25,6.2,6.216666666666666,6.216666666666666
46000227,8.0,7.75,7.2,7.649999999999999,7.6499999999999995
46000228,5.6,6.0,3.8,5.133333333333333,5.133333333333333
46000229,6.8,8.5,5.0,6.766666666666667,6.766666666666667
46000230,6.8,7.5,6.6,6.966666666666666,6.966666666666666
46000232,7.4,7.25,7.4,7.35,7.3500000000000005
46000233,7.6,7.0,6.6,7.066666666666666,7.066666666666666
46000234,5.6,6.5,4.6,5.566666666666666,5.566666666666666
46000235,7.6,7.75,6.4,7.25,7.25
46000236,3.4,4.5,4.4,4.1000000000000005,4.1000000000000005
46000237,7.0,4.75,6.2,5.983333333333333,5.983333333333333
46000238,5.2,6.0,4.6,5.266666666666667,5.266666666666667
46000239,4.0,5.75,2.8,4.183333333333334,4.183333333333334
46000240,7.8,7.0,2.8,5.866666666666667,5.866666666666667
46000241,3.8,6.0,3.4,4.4,4.4
46000242,5.8,6.5,5.2,5.833333333333333,5.833333333333333
46000243,7.8,6.75,6.4,6.983333333333334,6.983333333333334
46000244,6.8,8.0,5.2,6.666666666666667,6.666666666666667
46000245,5.8,6.25,3.0,5.016666666666667,5.016666666666667
46000246,7.2,8.0,3.4,6.199999999999999,6.199999999999999
46000247,7.6,7.0,8.2,7.599999999999999,7.599999999999999
46000248,8.0,6.75,7.2,7.316666666666666,7.316666666666666
46000249,8.8,8.25,6.4,7.816666666666667,7.816666666666667
46000250,7.8,7.25,6.4,7.150000000000001,7.150000000000001
46000251,7.8,6.5,8.2,7.5,7.5
46000252,3.8,6.0,3.6,4.466666666666667,4.466666666666667
46000253,7.0,6.75,4.8,6.183333333333334,6.183333333333334
46000254,8.8,5.25,4.8,6.283333333333334,6.283333333333334
46000255,7.2,8.0,5.0,6.733333333333333,6.733333333333333
46000256,7.0,7.5,3.6,6.033333333333334,6.033333333333334
46000257,6.8,7.0,6.0,6.6000000000000005,6.6000000000000005
46000258,8.8,8.5,8.6,8.633333333333333,8.633333333333333
46000259,5.4,6.75,3.0,5.05,5.05
46000260,7.0,8.0,4.6,6.533333333333334,6.533333333333334
46000261,5.2,7.25,2.4,4.95,4.95
46000262,8.0,6.75,7.0,7.25,7.25
46000264,8.0,7.5,7.8,7.766666666666667,7.766666666666667
46000265,8.0,6.75,6.0,6.916666666666667,6.916666666666667
46000266,7.4,8.0,6.0,7.133333333333333,7.133333333333333
46000267,2.8,6.0,3.6,4.133333333333334,4.133333333333334
46000268,8.6,8.0,9.6,8.733333333333334,8.733333333333334
46000269,5.6,7.0,5.4,6.0,6.0
46000270,6.8,7.75,6.6,7.05,7.05
46000271,8.0,8.5,9.0,8.5,8.5
46000272,6.6,7.75,5.2,6.516666666666667,6.516666666666667
46000273,6.2,5.25,3.4,4.95,4.95
46000274,6.4,7.5,5.6,6.5,6.5
46000275,8.0,5.25,5.2,6.15,6.1499999999999995
46000276,7.4,7.0,5.4,6.6000000000000005,6.6000000000000005
46000277,5.6,7.5,4.6,5.9,5.8999999999999995
46000278,7.4,6.75,8.8,7.650000000000001,7.650000000000001
46000279,4.0,5.0,2.8,3.9333333333333336,3.9333333333333336
46000280,7.8,6.25,7.0,7.016666666666667,7.016666666666667
46000281,6.2,8.0,3.2,5.8,5.8
46000282,7.0,6.25,5.0,6.083333333333333,6.083333333333333
46000285,5.2,6.25,5.4,5.616666666666667,5.616666666666667
46000286,7.2,7.0,4.0,6.066666666666666,6.066666666666666
46000288,7.0,7.0,5.4,6.466666666666666,6.466666666666666
46000289,8.0,6.25,6.4,6.883333333333333,6.883333333333333
46000294,5.2,6.0,6.6,5.933333333333333,5.933333333333333
46000295,6.6,5.0,4.0,5.2,5.2
46000296,5.6,5.0,3.2,4.6000000000000005,4.6000000000000005
46000297,7.0,8.5,6.2,7.233333333333333,7.233333333333333
46000298,7.6,8.0,4.4,6.666666666666667,6.666666666666667
46000299,6.6,6.75,4.2,5.8500000000000005,5.8500000000000005
46000300,7.8,8.0,6.0,7.266666666666667,7.266666666666667
46000301,5.6,6.25,5.2,5.683333333333334,5.683333333333334
46000302,7.8,8.25,9.0,8.35,8.35
46000303,4.0,5.5,4.4,4.633333333333334,4.633333333333334
46000304,4.8,6.5,2.6,4.633333333333334,4.633333333333334
46000307,6.4,6.5,2.4,5.1000000000000005,5.1000000000000005
46000308,8.2,3.75,8.6,6.849999999999999,6.849999999999999
46000309,7.8,7.5,4.8,6.7,6.7
46000310,6.8,6.75,6.2,6.583333333333333,6.583333333333333
46000311,6.8,6.5,2.6,5.3,5.3
46000312,5.6,5.75,4.2,5.183333333333334,5.183333333333334
46000313,8.4,6.0,9.0,7.8,7.8
46000314,6.8,4.0,5.2,5.333333333333333,5.333333333333333
46000315,6.0,6.0,4.8,5.6000000000000005,5.6000000000000005
46000318,8.8,6.75,8.6,8.049999999999999,8.049999999999999
46000320,6.8,6.75,5.2,6.25,6.25
46000321,6.0,5.75,3.2,4.983333333333333,4.983333333333333
46000322,6.2,6.5,2.2,4.966666666666666,4.966666666666666
46000323,8.2,7.5,4.0,6.566666666666666,6.566666666666666
46000324,6.6,5.5,2.6,4.9,4.8999999999999995
46000327,5.2,5.0,4.4,4.866666666666666,4.866666666666666
46000328,7.6,6.0,8.8,7.466666666666666,7.466666666666666
46000329,7.2,8.25,4.0,6.483333333333333,6.483333333333333
46000330,6.8,6.25,3.8,5.616666666666667,5.616666666666667
46000331,7.8,6.5,5.6,6.633333333333333,6.633333333333333
46000333,3.4,6.75,3.6,4.583333333333333,4.583333333333333
46000334,6.8,6.5,3.2,5.5,5.5
46000335,4.6,6.25,3.2,4.683333333333334,4.683333333333334
46000336,2.6,4.0,3.2,3.266666666666667,3.266666666666667
46000337,7.6,7.5,6.0,7.033333333333334,7.033333333333334
46000338,7.6,7.75,5.6,6.983333333333333,6.983333333333333
46000339,4.0,8.0,2.8,4.933333333333334,4.933333333333334
46000340,6.0,7.25,3.8,5.683333333333334,5.683333333333334
46000342,5.6,5.0,5.6,5.4,5.3999999999999995
46000344,3.8,7.75,4.6,5.383333333333333,5.383333333333333
46000345,3.8,6.5,8.0,6.1000000000000005,6.1000000000000005
46000346,5.4,4.5,4.8,4.9,4.8999999999999995
46000347,7.6,8.75,5.0,7.116666666666667,7.116666666666667
46000348,2.8,6.0,2.6,3.8,3.8000000000000003
46000349,5.2,5.75,4.0,4.983333333333333,4.983333333333333
46000350,8.2,7.0,6.8,7.333333333333333,7.333333333333333
46000351,9.4,6.75,6.0,7.383333333333333,7.383333333333333
46000353,7.8,8.5,7.2,7.833333333333333,7.833333333333333
46000355,7.4,7.25,8.2,7.616666666666667,7.616666666666667
46000359,4.6,8.5,4.8,5.966666666666666,5.966666666666666
46000360,7.2,6.5,5.2,6.3,6.3
46000361,6.2,5.0,1.4,4.2,4.2
46000362,7.8,6.75,5.4,6.650000000000001,6.650000000000001
46000364,6.2,7.0,5.0,6.066666666666666,6.066666666666666
46000365,4.2,7.0,2.6,4.6,4.6
46000366,6.8,7.75,4.4,6.316666666666667,6.316666666666667
46000368,8.2,5.0,9.0,7.399999999999999,7.3999999999999995
46000370,7.2,6.5,6.4,6.7,6.7
46000371,6.8,8.0,4.6,6.466666666666666,6.466666666666666
46000372,6.2,4.0,2.8,4.333333333333333,4.333333333333333
46000373,8.0,8.25,9.6,8.616666666666667,8.616666666666667
46000374,6.8,6.75,4.6,6.05,6.05
46000375,4.8,5.75,2.8,4.45,4.45
46000376,6.0,7.5,3.6,5.7,5.7
46000377,7.6,6.25,5.4,6.416666666666667,6.416666666666667
46000378,9.0,7.75,8.0,8.25,8.25
46000379,8.6,8.0,9.6,8.733333333333334,8.733333333333334
46000381,5.8,6.5,6.4,6.233333333333334,6.233333333333334
46000382,4.4,7.0,4.6,5.333333333333333,5.333333333333333
46000383,3.4,5.58,3.6,4.193333333333333,4.193333333333333
46000384,5.2,6.25,2.6,4.683333333333333,4.683333333333333
46000385,7.8,7.75,7.0,7.516666666666667,7.516666666666667
46000386,7.4,8.75,6.4,7.516666666666666,7.516666666666666
46000387,7.2,6.5,4.2,5.966666666666666,5.966666666666666
46000388,4.4,4.25,2.6,3.75,3.75
46000389,6.6,6.75,6.0,6.45,6.45
46000390,5.0,7.25,4.2,5.483333333333333,5.483333333333333
46000391,7.6,7.75,6.2,7.183333333333334,7.183333333333334
46000392,7.8,7.75,4.8,6.783333333333334,6.783333333333334
46000393,6.4,6.5,4.8,5.9,5.8999999999999995
46000394,7.2,7.5,3.0,5.9,5.8999999999999995
46000395,8.2,7.5,8.2,7.966666666666666,7.966666666666666
46000396,8.2,5.75,8.0,7.316666666666666,7.316666666666666
46000397,7.0,7.75,4.2,6.316666666666666,6.316666666666666
46000398,8.2,7.75,8.4,8.116666666666667,8.116666666666667
46000399,7.2,6.75,3.4,5.783333333333332,5.783333333333332
46000400,8.6,8.25,7.4,8.083333333333334,8.083333333333334
46000401,8.0,5.75,3.8,5.8500000000000005,5.8500000000000005
46000402,3.4,5.25,3.2,3.9500000000000006,3.9500000000000006
46000403,3.6,5.5,3.8,4.3,4.3
46000404,8.0,6.5,4.0,6.166666666666667,6.166666666666667
46000405,7.2,6.75,3.6,5.8500000000000005,5.8500000000000005
46000406,7.6,6.25,4.2,6.016666666666667,6.016666666666667
46000407,5.8,6.75,4.8,5.783333333333334,5.783333333333334
46000409,8.8,7.25,8.4,8.15,8.15
46000410,7.0,5.5,5.6,6.033333333333334,6.033333333333334
46000411,7.0,5.75,3.6,5.45,5.45
46000413,5.6,6.75,4.0,5.45,5.45
46000414,8.8,6.75,4.8,6.783333333333334,6.783333333333334
46000415,7.0,7.25,4.8,6.3500000000000005,6.3500000000000005
46000416,9.0,6.25,8.2,7.816666666666666,7.816666666666666
46000420,6.8,5.5,3.0,5.1000000000000005,5.1000000000000005
46000421,6.4,7.25,8.8,7.483333333333334,7.483333333333334
46000422,6.0,7.75,6.0,6.583333333333333,6.583333333333333
46000423,4.6,6.5,3.4,4.833333333333333,4.833333333333333
46000425,6.4,8.0,2.2,5.533333333333334,5.533333333333334
46000426,5.6,7.0,6.2,6.266666666666667,6.266666666666667
46000427,8.0,8.0,4.2,6.733333333333333,6.733333333333333
46000428,8.0,8.5,8.2,8.233333333333333,8.233333333333333
46000429,4.4,4.25,3.6,4.083333333333333,4.083333333333333
46000430,8.2,8.0,9.0,8.4,8.4
46000431,7.6,6.75,3.8,6.05,6.05
46000432,7.0,8.0,8.0,7.666666666666667,7.666666666666667
46000433,7.0,6.75,5.4,6.383333333333333,6.383333333333333
46000435,8.2,7.5,8.6,8.1,8.1
46000436,6.4,7.75,5.6,6.583333333333333,6.583333333333333
46000437,5.4,8.75,5.0,6.383333333333333,6.383333333333333
46000438,7.8,7.0,4.8,6.533333333333334,6.533333333333334
46000439,7.8,5.5,4.8,6.033333333333334,6.033333333333334
46000440,7.6,7.75,5.6,6.983333333333333,6.983333333333333
46000441,9.0,5.5,7.0,7.166666666666667,7.166666666666667
46000442,5.0,7.75,5.8,6.183333333333334,6.183333333333334
46000443,5.6,7.0,3.2,5.266666666666667,5.266666666666667
46000444,7.6,6.5,7.6,7.233333333333333,7.233333333333333
46000445,8.0,7.5,8.2,7.899999999999999,7.8999999999999995
46000446,8.2,6.5,4.8,6.5,6.5
46000447,6.8,6.0,6.6,6.466666666666666,6.466666666666666
46000448,8.6,7.75,9.6,8.65,8.65
46000449,3.8,5.5,3.6,4.3,4.3
46000450,7.4,7.0,7.4,7.266666666666667,7.266666666666667
46000451,7.8,8.0,8.6,8.133333333333333,8.133333333333333
46000452,7.2,8.5,5.8,7.166666666666667,7.166666666666667
46000453,6.8,5.5,3.2,5.166666666666667,5.166666666666667
46000454,3.0,5.5,4.2,4.233333333333333,4.233333333333333
46000455,8.0,7.75,8.2,7.983333333333333,7.983333333333333
46000456,7.2,7.25,6.4,6.95,6.95
46000457,7.2,6.25,7.8,7.083333333333333,7.083333333333333
46000458,7.2,7.0,9.4,7.866666666666667,7.866666666666667
46000460,8.8,7.5,9.6,8.633333333333333,8.633333333333333
46000461,7.0,6.25,5.2,6.15,6.1499999999999995
46000462,8.4,9.0,9.0,8.799999999999999,8.799999999999999
46000463,7.6,8.5,7.4,7.833333333333333,7.833333333333333
46000464,6.0,6.25,7.0,6.416666666666667,6.416666666666667
46000465,5.6,6.25,4.4,5.416666666666667,5.416666666666667
46000466,6.0,6.25,3.4,5.216666666666667,5.216666666666667
46000469,8.0,6.5,5.6,6.7,6.7
46000470,8.0,6.25,8.4,7.55,7.55
46000471,6.6,7.25,3.8,5.883333333333333,5.883333333333333
46000472,6.2,6.5,2.8,5.166666666666667,5.166666666666667
46000473,8.2,0.0,8.0,5.4,5.3999999999999995
46000474,7.4,3.75,7.8,6.316666666666666,6.316666666666666
