SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
62000001,3.8,6.75,2.4,4.316666666666667,4.316666666666667
62000003,7.2,7.5,4.8,6.5,6.5
62000005,8.6,6.25,4.6,6.483333333333333,6.483333333333333
62000006,3.6,7.0,3.8,4.8,4.8
62000007,6.6,6.0,1.8,4.8,4.8
62000008,7.8,7.75,5.4,6.983333333333334,6.983333333333334
62000009,8.0,6.0,6.0,6.666666666666667,6.666666666666667
62000010,6.8,8.25,5.2,6.75,6.75
62000012,5.4,5.5,2.0,4.3,4.3
62000013,7.0,8.0,7.2,7.399999999999999,7.3999999999999995
62000014,6.4,6.25,4.8,5.816666666666666,5.816666666666666
62000015,5.4,6.75,7.4,6.516666666666667,6.516666666666667
62000016,7.0,6.5,2.6,5.366666666666667,5.366666666666667
62000017,7.2,7.0,5.6,6.599999999999999,6.599999999999999
62000018,7.4,7.5,8.4,7.766666666666667,7.766666666666667
62000019,4.8,8.0,6.8,6.533333333333334,6.533333333333334
62000020,5.0,6.5,4.6,5.366666666666667,5.366666666666667
62000022,1.4,8.5,2.4,4.1000000000000005,4.1000000000000005
62000023,5.6,7.25,4.4,5.75,5.75
62000024,2.2,3.5,5.6,3.766666666666667,3.766666666666667
62000025,4.4,5.25,2.0,3.883333333333333,3.8833333333333333
62000026,4.0,5.0,4.4,4.466666666666667,4.466666666666667
62000027,7.4,6.75,5.0,6.383333333333333,6.383333333333333
62000028,4.4,6.0,5.0,5.133333333333334,5.133333333333334
62000029,7.6,9.25,5.2,7.35,7.3500000000000005
62000030,6.4,7.25,2.6,5.416666666666667,5.416666666666667
62000031,5.6,7.25,2.8,5.216666666666666,5.216666666666666
62000032,4.4,5.0,3.0,4.133333333333334,4.133333333333334
62000033,4.2,6.5,2.6,4.433333333333333,4.433333333333333
62000034,7.2,5.5,3.2,5.3,5.3
62000035,8.4,5.5,4.6,6.166666666666667,6.166666666666667
62000036,5.8,5.25,4.4,5.15,5.15
62000037,3.6,5.5,3.0,4.033333333333333,4.033333333333333
62000038,4.4,5.75,2.6,4.25,4.25
62000039,7.4,8.75,6.6,7.583333333333333,7.583333333333333
62000040,5.2,7.0,3.8,5.333333333333333,5.333333333333333
62000041,6.2,6.75,3.2,5.383333333333333,5.383333333333333
62000042,3.0,7.0,3.0,4.333333333333333,4.333333333333333
62000043,7.4,6.25,4.4,6.016666666666667,6.016666666666667
62000044,8.4,6.0,4.2,6.2,6.2
62000045,7.2,8.25,6.8,7.416666666666667,7.416666666666667
62000046,7.8,6.5,3.8,6.033333333333334,6.033333333333334
62000047,3.4,5.75,8.4,5.8500000000000005,5.8500000000000005
62000048,3.6,5.5,1.8,3.633333333333333,3.6333333333333333
62000049,8.0,8.0,6.2,7.399999999999999,7.3999999999999995
62000050,6.4,7.5,7.2,7.033333333333334,7.033333333333334
62000053,7.8,7.5,4.4,6.566666666666667,6.566666666666667
62000056,6.2,7.75,4.2,6.05,6.05
62000057,6.2,7.0,6.0,6.4,6.3999999999999995
62000058,7.0,7.25,4.4,6.216666666666666,6.216666666666666
62000059,6.2,7.5,2.6,5.433333333333334,5.433333333333334
62000060,8.2,7.0,6.6,7.266666666666666,7.266666666666666
62000061,7.0,6.75,6.6,6.783333333333334,6.783333333333334
62000062,4.8,7.25,2.6,4.883333333333334,4.883333333333334
62000063,7.4,7.25,4.2,6.283333333333334,6.283333333333334
62000064,3.8,4.25,3.2,3.75,3.75
62000065,4.2,5.75,1.6,3.85,3.8499999999999996
62000066,5.0,6.0,4.2,5.066666666666666,5.066666666666666
62000067,5.4,5.25,3.8,4.816666666666666,4.816666666666666
62000068,5.4,6.25,3.8,5.15,5.1499999999999995
62000069,7.4,5.5,4.4,5.766666666666667,5.766666666666667
62000070,6.4,7.5,3.8,5.9,5.8999999999999995
62000073,6.4,6.0,4.0,5.466666666666666,5.466666666666666
62000075,4.8,4.5,1.6,3.633333333333333,3.6333333333333333
62000076,9.0,7.5,3.2,6.566666666666666,6.566666666666666
62000077,5.8,8.0,4.4,6.066666666666667,6.066666666666667
62000079,4.6,6.5,3.6,4.9,4.8999999999999995
62000081,3.2,6.0,4.2,4.466666666666666,4.466666666666666
62000082,6.8,8.0,6.6,7.133333333333333,7.133333333333333
62000084,3.0,5.5,3.0,3.8333333333333335,3.8333333333333335
62000085,6.0,7.75,2.8,5.516666666666667,5.516666666666667
62000086,3.2,6.25,2.8,4.083333333333333,4.083333333333333
62000087,5.4,6.25,3.2,4.95,4.95
62000088,4.8,7.0,3.8,5.2,5.2
62000089,7.2,8.0,6.4,7.2,7.2
62000090,5.0,6.0,2.8,4.6000000000000005,4.6000000000000005
62000091,3.4,6.0,2.2,3.866666666666667,3.866666666666667
62000092,2.0,5.25,3.0,3.4166666666666665,3.4166666666666665
62000093,4.8,7.5,4.2,5.5,5.5
62000094,2.4,6.0,3.4,3.9333333333333336,3.9333333333333336
62000095,7.0,6.5,4.2,5.9,5.8999999999999995
62000096,8.8,8.75,7.0,8.183333333333334,8.183333333333334
62000097,8.6,5.75,2.8,5.716666666666666,5.716666666666666
62000098,7.0,5.0,2.0,4.666666666666667,4.666666666666667
62000099,5.6,6.25,3.2,5.016666666666667,5.016666666666667
62000101,4.2,6.25,3.0,4.483333333333333,4.483333333333333
62000103,4.4,5.5,2.6,4.166666666666667,4.166666666666667
62000104,8.6,6.75,4.2,6.516666666666667,6.516666666666667
62000105,6.4,6.5,1.8,4.9,4.9
62000106,4.8,7.0,2.8,4.866666666666667,4.866666666666667
62000107,5.4,7.25,7.8,6.816666666666666,6.816666666666666
62000108,3.6,5.25,2.6,3.8166666666666655,3.8166666666666664
62000109,6.0,4.75,3.8,4.8500000000000005,4.8500000000000005
62000110,4.8,5.75,3.8,4.783333333333334,4.783333333333334
62000111,7.2,8.0,5.2,6.8,6.8
62000112,4.6,5.5,3.6,4.566666666666666,4.566666666666666
62000113,5.0,6.5,4.4,5.3,5.3
62000114,7.4,6.75,2.8,5.65,5.6499999999999995
62000115,6.4,5.5,3.8,5.233333333333333,5.233333333333333
62000116,7.2,6.0,3.4,5.533333333333332,5.533333333333332
62000117,3.0,5.25,4.8,4.3500000000000005,4.3500000000000005
62000118,7.4,5.25,3.4,5.3500000000000005,5.3500000000000005
62000119,5.0,6.25,2.6,4.616666666666666,4.616666666666666
62000120,5.6,5.0,2.0,4.2,4.2
62000121,7.8,8.5,5.4,7.233333333333334,7.233333333333334
62000122,6.8,5.75,4.6,5.716666666666666,5.716666666666666
62000123,7.4,8.5,4.2,6.7,6.7
62000124,7.6,6.5,3.6,5.9,5.8999999999999995
62000125,7.2,5.5,2.6,5.1,5.1
62000126,4.8,6.0,4.6,5.133333333333334,5.133333333333334
62000127,7.6,5.75,4.4,5.916666666666667,5.916666666666667
62000128,6.6,6.0,5.8,6.133333333333333,6.133333333333333
62000129,4.6,5.5,2.8,4.3,4.3
62000130,4.0,5.25,2.4,3.883333333333333,3.8833333333333333
62000131,6.4,6.0,3.8,5.4,5.3999999999999995
62000133,8.4,7.5,5.8,7.233333333333333,7.233333333333333
62000134,3.6,6.0,3.4,4.333333333333333,4.333333333333333
62000135,7.4,6.0,4.6,6.0,6.0
62000136,4.2,6.25,5.4,5.283333333333333,5.283333333333333
62000137,4.0,6.0,3.2,4.4,4.3999999999999995
62000138,4.2,5.5,4.0,4.566666666666666,4.566666666666666
62000139,7.8,7.0,7.6,7.466666666666666,7.466666666666666
62000141,2.0,6.75,2.2,3.65,3.65
62000142,7.4,7.0,6.0,6.8,6.8
62000143,8.0,6.5,6.0,6.833333333333333,6.833333333333333
62000144,6.8,6.25,5.6,6.216666666666666,6.216666666666666
62000145,7.6,7.0,4.8,6.466666666666666,6.466666666666666
62000146,5.0,5.25,3.2,4.483333333333333,4.483333333333333
62000148,6.8,7.75,3.6,6.050000000000001,6.050000000000001
62000149,3.4,7.5,4.4,5.1000000000000005,5.1000000000000005
62000150,6.2,7.25,2.8,5.416666666666667,5.416666666666667
62000151,5.4,7.75,4.0,5.716666666666666,5.716666666666666
62000152,6.2,8.0,2.6,5.6000000000000005,5.6000000000000005
62000153,5.0,5.75,2.6,4.45,4.45
