SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
5000002,7.2,7.25,9.8,8.083333333333334,8.083333333333334
5000003,8.6,8.25,8.8,8.55,8.55
5000004,8.4,8.5,6.6,7.833333333333333,7.833333333333333
5000005,6.6,3.5,8.8,6.3,6.3
5000006,8.0,5.25,9.0,7.416666666666667,7.416666666666667
5000007,7.8,7.75,9.0,8.183333333333334,8.183333333333334
5000008,8.2,9.25,9.2,8.883333333333333,8.883333333333333
5000009,7.6,8.75,9.2,8.516666666666667,8.516666666666667
5000010,7.8,8.25,9.0,8.35,8.35
5000011,7.8,7.5,8.2,7.833333333333333,7.833333333333333
5000012,5.8,8.0,7.0,6.933333333333334,6.933333333333334
5000013,7.6,9.0,8.6,8.4,8.4
5000014,8.2,7.75,8.2,8.049999999999999,8.049999999999999
5000015,7.8,5.5,6.6,6.633333333333333,6.633333333333333
5000016,6.2,3.5,6.2,5.3,5.3
5000017,7.4,7.25,8.6,7.75,7.75
5000018,7.0,8.25,7.6,7.616666666666667,7.616666666666667
5000019,5.4,8.75,8.6,7.583333333333333,7.583333333333333
5000020,7.8,5.5,5.8,6.366666666666667,6.366666666666667
5000021,8.6,6.25,6.2,7.016666666666667,7.016666666666667
5000022,6.6,8.25,7.4,7.416666666666667,7.416666666666667
5000023,7.6,9.0,7.6,8.066666666666668,8.066666666666668
5000024,6.2,6.0,4.2,5.466666666666666,5.466666666666666
5000025,8.2,8.5,7.8,8.166666666666666,8.166666666666666
5000026,5.2,4.0,7.2,5.466666666666666,5.466666666666666
5000027,8.4,4.5,9.4,7.433333333333334,7.433333333333334
5000029,8.4,0.0,7.4,5.266666666666667,5.266666666666667
5000031,6.8,7.25,8.4,7.483333333333334,7.483333333333334
5000033,8.0,7.5,7.4,7.633333333333333,7.633333333333333
5000034,7.6,6.5,9.0,7.7,7.7
5000035,7.4,8.75,9.6,8.583333333333334,8.583333333333334
5000036,8.6,5.5,8.6,7.566666666666666,7.566666666666666
5000042,7.8,7.0,8.6,7.8,7.8
5000043,6.8,4.75,8.8,6.783333333333334,6.783333333333334
5000044,8.2,4.75,6.4,6.45,6.45
5000046,8.2,8.75,9.0,8.65,8.65
5000047,8.4,7.0,9.4,8.266666666666667,8.266666666666667
5000051,6.8,7.75,8.0,7.516666666666667,7.516666666666667
5000052,8.2,7.75,8.8,8.25,8.25
5000053,7.6,4.25,8.4,6.75,6.75
5000055,8.6,4.5,7.2,6.766666666666667,6.766666666666667
5000058,7.6,4.75,7.8,6.716666666666666,6.716666666666666
5000059,8.6,8.75,9.8,9.05,9.05
5000060,8.6,6.25,5.4,6.75,6.75
5000061,6.2,6.75,8.0,6.983333333333333,6.983333333333333
5000062,8.6,6.75,8.4,7.916666666666667,7.916666666666667
5000063,9.2,3.75,9.2,7.383333333333333,7.383333333333333
5000065,7.8,7.0,7.8,7.533333333333334,7.533333333333334
5000067,8.0,8.0,9.2,8.4,8.4
5000068,8.2,4.75,9.6,7.516666666666666,7.516666666666666
5000069,7.8,6.5,9.2,7.833333333333333,7.833333333333333
5000070,7.8,7.25,4.8,6.616666666666667,6.616666666666667
5000071,8.2,6.25,8.8,7.75,7.75
5000073,7.8,5.25,6.8,6.616666666666667,6.616666666666667
5000074,8.6,5.0,9.4,7.666666666666667,7.666666666666667
5000076,7.6,9.0,9.4,8.666666666666666,8.666666666666666
5000077,8.0,5.5,8.2,7.233333333333333,7.233333333333333
5000080,7.0,8.0,8.6,7.866666666666667,7.866666666666667
5000082,6.2,4.75,9.4,6.783333333333334,6.783333333333334
5000084,7.2,5.75,7.0,6.65,6.6499999999999995
5000085,6.6,4.0,7.4,6.0,6.0
5000087,8.4,5.0,6.0,6.466666666666666,6.466666666666666
5000088,7.0,8.5,9.2,8.233333333333333,8.233333333333333
5000089,7.8,6.0,9.0,7.6,7.6000000000000005
5000090,6.0,7.5,9.0,7.5,7.5
5000091,7.4,9.0,8.6,8.333333333333334,8.333333333333334
5000092,5.6,9.25,6.6,7.15,7.1499999999999995
5000093,7.6,9.0,9.4,8.666666666666666,8.666666666666666
5000095,8.2,8.0,9.0,8.4,8.4
5000096,7.2,8.0,8.0,7.733333333333333,7.733333333333333
