SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
16000001,7.8,9.0,9.2,8.666666666666666,8.666666666666666
16000002,8.6,7.75,6.4,7.583333333333333,7.583333333333333
16000003,8.0,8.0,7.4,7.8,7.8
16000004,9.0,8.0,6.4,7.8,7.8
16000005,7.0,7.5,7.8,7.433333333333334,7.433333333333334
16000006,8.8,8.5,9.4,8.9,8.9
16000007,8.8,7.5,8.2,8.166666666666666,8.166666666666666
16000008,6.8,9.25,7.2,7.75,7.75
16000009,7.6,9.0,8.6,8.4,8.4
16000010,7.8,9.25,9.2,8.75,8.75
16000011,8.6,8.75,8.8,8.716666666666667,8.716666666666667
16000012,8.8,7.25,9.8,8.616666666666667,8.616666666666667
16000013,8.8,8.0,7.6,8.133333333333333,8.133333333333333
16000014,7.4,7.5,5.8,6.9,6.8999999999999995
16000015,9.0,7.75,5.8,7.516666666666667,7.516666666666667
16000016,8.2,9.0,9.0,8.733333333333333,8.733333333333333
16000018,8.2,9.5,9.0,8.9,8.9
16000019,7.2,8.5,7.2,7.633333333333333,7.633333333333333
16000020,8.4,9.25,9.4,9.016666666666666,9.016666666666666
16000021,8.4,7.5,7.4,7.766666666666667,7.766666666666667
16000022,8.6,8.75,6.0,7.783333333333334,7.783333333333334
16000023,7.6,8.5,9.4,8.5,8.5
16000024,6.8,9.0,9.8,8.533333333333333,8.533333333333333
16000026,6.8,9.25,8.0,8.016666666666667,8.016666666666667
16000027,9.2,9.25,9.8,9.416666666666666,9.416666666666666
16000029,8.2,7.25,7.8,7.75,7.75
16000030,8.4,7.5,9.2,8.366666666666667,8.366666666666667
16000031,5.8,8.0,9.2,7.666666666666667,7.666666666666667
16000032,8.4,8.25,8.8,8.483333333333333,8.483333333333333
16000033,8.2,6.25,9.0,7.816666666666666,7.816666666666666
16000034,8.2,9.25,8.6,8.683333333333332,8.683333333333332
16000035,7.4,8.5,8.0,7.966666666666666,7.966666666666666
16000036,8.0,9.0,9.6,8.866666666666667,8.866666666666667
16000038,8.6,9.0,9.4,9.0,9.0
16000039,8.0,8.75,8.8,8.516666666666667,8.516666666666667
16000040,7.0,9.25,6.8,7.683333333333334,7.683333333333334
16000041,8.6,8.25,8.2,8.35,8.35
16000042,7.0,8.75,9.2,8.316666666666666,8.316666666666666
16000044,6.8,9.25,7.2,7.75,7.75
16000045,7.6,9.0,8.6,8.4,8.4
16000046,8.0,7.0,7.0,7.333333333333333,7.333333333333333
16000047,9.2,9.0,9.0,9.066666666666666,9.066666666666666
16000048,6.4,9.25,8.0,7.883333333333333,7.883333333333333
16000049,5.8,8.75,8.0,7.516666666666667,7.516666666666667
16000050,7.8,9.25,8.6,8.549999999999999,8.549999999999999
16000051,8.4,9.25,8.2,8.616666666666665,8.616666666666665
16000052,7.6,9.0,8.8,8.466666666666667,8.466666666666667
16000053,8.4,9.5,9.4,9.1,9.1
16000055,7.6,8.5,9.6,8.566666666666668,8.566666666666668
16000056,7.0,9.5,7.4,7.966666666666666,7.966666666666666
16000057,9.0,8.5,8.2,8.566666666666666,8.566666666666666
16000058,8.4,8.75,9.0,8.716666666666667,8.716666666666667
16000059,8.6,8.25,9.0,8.616666666666667,8.616666666666667
