SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
52000001,1.8,0.0,2.4,1.4,1.4000000000000001
52000002,2.6,3.25,0.0,1.95,1.95
52000003,6.6,0.0,0.0,2.2,2.1999999999999997
52000004,0.0,6.25,0.0,2.083333333333333,2.0833333333333335
52000005,6.0,8.25,5.4,6.55,6.55
52000006,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
52000007,2.4,3.5,0.0,1.9666666666666668,1.9666666666666668
52000008,3.0,2.75,2.4,2.716666666666667,2.716666666666667
52000009,3.0,3.25,0.0,2.083333333333333,2.0833333333333335
52000010,2.2,4.25,0.0,2.15,2.15
52000011,4.0,0.0,2.8,2.2666666666666666,2.2666666666666666
52000012,2.8,5.5,0.0,2.766666666666667,2.766666666666667
52000013,2.4,2.25,3.6,2.75,2.75
52000014,4.8,3.5,0.0,2.766666666666667,2.766666666666667
52000015,7.2,0.0,9.0,5.4,5.3999999999999995
52000016,2.2,0.0,0.0,0.7333333333333334,0.7333333333333334
52000017,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
52000018,6.2,4.0,0.0,3.4,3.4
52000019,6.2,0.0,7.2,4.466666666666667,4.466666666666667
52000020,7.2,0.0,0.0,2.4,2.4
52000021,4.8,4.5,0.0,3.1,3.1
52000022,6.0,3.0,0.0,3.0,3.0
52000023,5.2,5.25,2.6,4.35,4.35
52000024,2.8,3.0,0.0,1.9333333333333331,1.9333333333333333
52000025,4.0,0.0,2.6,2.2,2.1999999999999997
52000026,2.4,3.0,0.0,1.8,1.8
52000027,4.2,4.25,0.0,2.8166666666666664,2.8166666666666664
52000028,4.8,5.75,0.0,3.516666666666667,3.516666666666667
52000029,1.8,2.5,0.0,1.4333333333333331,1.4333333333333333
52000030,4.6,0.0,0.0,1.5333333333333332,1.5333333333333332
52000031,6.0,0.0,0.0,2.0,2.0
52000032,6.8,0.0,6.0,4.266666666666667,4.266666666666667
52000033,1.4,0.0,2.2,1.2,1.2
52000034,5.4,4.0,0.0,3.1333333333333333,3.1333333333333333
52000035,0.0,0.0,0.0,0.0,0.0
52000036,3.6,0.0,0.0,1.2,1.2
52000037,6.4,0.0,0.0,2.1333333333333333,2.1333333333333333
52000038,3.2,3.0,0.0,2.066666666666667,2.066666666666667
52000039,6.8,0.0,0.0,2.2666666666666666,2.2666666666666666
52000040,6.2,0.0,0.0,2.066666666666667,2.066666666666667
52000041,4.4,5.75,0.0,3.3833333333333333,3.3833333333333333
52000042,6.2,4.75,0.0,3.65,3.65
52000043,4.2,1.0,0.0,1.7333333333333334,1.7333333333333334
52000044,5.6,3.0,0.0,2.8666666666666667,2.8666666666666667
52000045,0.0,5.5,0.0,1.8333333333333333,1.8333333333333333
52000046,4.6,3.5,0.0,2.7,2.6999999999999997
52000047,5.0,0.0,0.0,1.6666666666666667,1.6666666666666667
52000048,6.6,8.5,7.4,7.5,7.5
52000049,4.8,0.0,0.0,1.6,1.5999999999999999
52000050,5.0,6.0,0.0,3.6666666666666665,3.6666666666666665
52000051,3.0,3.5,0.0,2.1666666666666665,2.1666666666666665
52000052,3.6,6.5,0.0,3.3666666666666667,3.3666666666666667
52000053,4.0,0.0,0.0,1.3333333333333333,1.3333333333333333
52000054,2.8,1.75,0.0,1.5166666666666666,1.5166666666666666
52000055,1.4,0.0,0.0,0.4666666666666666,0.4666666666666666
52000056,2.6,2.75,0.0,1.7833333333333332,1.7833333333333332
52000057,5.4,0.0,6.4,3.9333333333333336,3.9333333333333336
52000058,3.8,2.5,0.0,2.1,2.1
52000059,4.0,5.25,5.6,4.95,4.95
52000060,4.6,5.75,0.0,3.45,3.4499999999999997
52000061,6.2,0.0,0.0,2.066666666666667,2.066666666666667
52000062,6.8,6.5,0.0,4.433333333333334,4.433333333333334
52000063,3.4,4.75,0.0,2.716666666666667,2.716666666666667
52000064,4.4,3.75,0.0,2.716666666666667,2.716666666666667
52000065,4.6,0.0,0.0,1.5333333333333332,1.5333333333333332
52000066,4.8,6.0,4.8,5.2,5.2
52000067,2.8,2.25,0.0,1.6833333333333331,1.6833333333333333
52000068,5.6,0.0,7.4,4.333333333333333,4.333333333333333
52000069,6.0,0.0,0.0,2.0,2.0
52000070,4.0,5.25,0.0,3.083333333333333,3.0833333333333335
52000071,3.0,0.0,0.0,1.0,1.0
52000072,4.4,3.75,0.0,2.716666666666667,2.716666666666667
52000073,5.6,6.0,0.0,3.8666666666666663,3.8666666666666667
52000074,3.0,0.0,0.0,1.0,1.0
52000075,5.0,5.0,0.0,3.333333333333333,3.3333333333333335
52000076,6.8,3.5,0.0,3.4333333333333336,3.4333333333333336
52000077,1.8,3.0,0.0,1.6,1.5999999999999999
52000078,4.8,0.0,0.0,1.6,1.5999999999999999
52000079,5.4,0.0,0.0,1.8,1.8
52000080,6.0,0.0,0.0,2.0,2.0
52000081,5.2,4.5,0.0,3.233333333333333,3.233333333333333
52000082,6.4,8.0,6.4,6.933333333333334,6.933333333333334
52000083,2.2,2.5,0.0,1.5666666666666669,1.5666666666666667
52000084,7.0,0.0,6.2,4.4,4.3999999999999995
52000085,5.6,0.0,0.0,1.8666666666666665,1.8666666666666665
52000086,4.6,6.5,0.0,3.7,3.6999999999999997
52000087,3.4,0.0,3.0,2.1333333333333333,2.1333333333333333
52000088,6.8,0.0,4.4,3.733333333333333,3.733333333333333
52000089,3.8,0.0,0.0,1.2666666666666666,1.2666666666666666
52000090,6.0,4.75,0.0,3.583333333333333,3.5833333333333335
52000091,2.8,4.25,0.0,2.35,2.35
52000092,8.0,0.0,6.6,4.866666666666666,4.866666666666666
52000093,5.2,5.25,0.0,3.483333333333333,3.483333333333333
52000094,4.2,0.0,0.0,1.4,1.4000000000000001
