SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
6000002,2.4,6.0,2.0,3.466666666666667,3.466666666666667
6000003,3.0,6.5,2.6,4.033333333333333,4.033333333333333
6000004,2.8,2.25,0.0,1.6833333333333331,1.6833333333333333
6000005,2.6,4.5,2.8,3.2999999999999994,3.2999999999999994
6000006,2.0,4.5,2.6,3.033333333333333,3.033333333333333
6000007,2.6,2.25,0.0,1.6166666666666665,1.6166666666666665
6000008,1.8,5.75,2.4,3.3166666666666664,3.3166666666666664
6000009,2.0,3.5,0.0,1.8333333333333333,1.8333333333333333
6000010,5.2,8.5,2.2,5.3,5.3
6000011,0.0,8.75,0.0,2.9166666666666665,2.9166666666666665
6000012,2.8,2.0,0.0,1.6,1.5999999999999999
6000013,1.8,4.0,2.6,2.8000000000000003,2.8000000000000003
6000014,2.8,2.5,2.4,2.5666666666666664,2.5666666666666664
6000015,2.8,6.25,3.2,4.083333333333333,4.083333333333333
6000016,2.8,3.25,1.6,2.5500000000000003,2.5500000000000003
6000017,3.0,4.5,2.6,3.3666666666666667,3.3666666666666667
6000018,3.4,5.0,2.2,3.5333333333333337,3.5333333333333337
6000019,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
6000020,2.4,7.5,0.0,3.3000000000000003,3.3000000000000003
6000021,2.8,3.75,0.0,2.183333333333333,2.183333333333333
6000022,1.6,2.25,1.8,1.8833333333333333,1.8833333333333335
6000023,3.0,2.25,0.0,1.75,1.75
6000024,3.0,5.25,2.0,3.4166666666666665,3.4166666666666665
6000025,3.0,4.75,1.8,3.1833333333333336,3.1833333333333336
6000026,1.8,5.75,2.0,3.1833333333333336,3.1833333333333336
6000027,0.0,8.0,0.0,2.6666666666666665,2.6666666666666665
6000028,2.6,3.5,2.8,2.9666666666666663,2.9666666666666663
6000029,3.0,3.0,0.0,2.0,2.0
6000030,4.4,5.0,3.4,4.266666666666667,4.266666666666667
6000031,7.4,0.0,0.0,2.466666666666667,2.466666666666667
6000032,1.6,5.5,1.8,2.966666666666667,2.966666666666667
6000033,3.6,5.0,3.0,3.8666666666666663,3.8666666666666667
6000034,3.6,2.5,2.2,2.766666666666667,2.766666666666667
6000035,2.8,3.5,3.0,3.1,3.1
6000036,3.0,4.5,2.6,3.3666666666666667,3.3666666666666667
6000037,2.8,3.0,3.2,3.0,3.0
6000038,4.6,7.25,2.2,4.683333333333334,4.683333333333334
6000039,2.2,3.0,3.2,2.8000000000000003,2.8000000000000003
6000040,2.6,1.25,2.6,2.15,2.15
6000041,2.6,6.75,2.4,3.9166666666666665,3.9166666666666665
6000042,4.0,5.5,3.0,4.166666666666667,4.166666666666667
6000043,5.8,0.0,0.0,1.9333333333333331,1.9333333333333333
6000044,4.0,5.5,2.4,3.966666666666667,3.966666666666667
6000045,3.2,4.5,2.4,3.3666666666666667,3.3666666666666667
