SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
5000001,5.8,6.0,4.2,5.333333333333333,5.333333333333333
5000002,4.6,7.75,4.2,5.516666666666667,5.516666666666667
5000003,2.2,3.0,0.0,1.7333333333333334,1.7333333333333334
5000004,6.0,8.0,8.8,7.6,7.6000000000000005
5000005,8.8,6.5,5.0,6.766666666666667,6.766666666666667
5000006,2.8,1.5,0.0,1.4333333333333331,1.4333333333333333
5000007,9.4,8.0,6.2,7.866666666666666,7.866666666666666
5000008,6.6,7.5,4.6,6.233333333333333,6.233333333333333
5000009,6.0,8.5,7.8,7.433333333333334,7.433333333333334
5000010,9.6,6.25,9.6,8.483333333333333,8.483333333333333
5000011,4.4,5.75,1.8,3.983333333333334,3.983333333333334
5000012,4.6,5.0,3.6,4.4,4.3999999999999995
5000013,7.6,8.75,7.4,7.916666666666667,7.916666666666667
5000014,3.2,8.25,2.0,4.483333333333333,4.483333333333333
5000015,3.8,8.5,4.2,5.5,5.5
5000016,5.4,6.5,5.0,5.633333333333333,5.633333333333333
5000017,2.2,1.5,0.0,1.2333333333333334,1.2333333333333334
5000018,6.0,3.5,3.4,4.3,4.3
5000019,5.0,6.75,4.8,5.516666666666667,5.516666666666667
5000020,4.6,7.25,3.2,5.016666666666667,5.016666666666667
5000021,3.8,5.5,0.0,3.1,3.1
5000022,3.2,3.5,3.6,3.4333333333333336,3.4333333333333336
5000023,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
5000024,0.0,4.5,0.0,1.5,1.5
5000025,3.8,7.0,3.8,4.866666666666667,4.866666666666667
5000026,7.6,6.25,5.8,6.55,6.55
5000027,4.8,3.5,4.6,4.3,4.3
5000028,2.6,3.75,1.8,2.716666666666667,2.716666666666667
5000029,4.8,5.0,3.2,4.333333333333333,4.333333333333333
5000030,2.4,1.75,0.0,1.3833333333333335,1.3833333333333335
5000031,5.2,4.25,4.0,4.483333333333333,4.483333333333333
5000032,2.6,4.5,3.0,3.3666666666666667,3.3666666666666667
5000033,4.4,7.25,2.4,4.683333333333334,4.683333333333334
5000034,4.2,6.5,2.6,4.433333333333333,4.433333333333333
5000035,3.0,5.5,1.6,3.3666666666666667,3.3666666666666667
5000036,2.6,5.75,0.0,2.783333333333333,2.783333333333333
5000037,2.2,6.5,2.6,3.766666666666666,3.766666666666666
5000038,0.0,4.75,0.0,1.5833333333333333,1.5833333333333333
5000039,3.2,7.0,2.6,4.266666666666667,4.266666666666667
5000040,4.0,5.75,3.4,4.383333333333334,4.383333333333334
5000041,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
5000042,1.6,2.25,0.0,1.2833333333333334,1.2833333333333334
5000043,3.8,4.75,0.0,2.85,2.85
5000044,7.2,4.0,3.2,4.8,4.8
5000045,1.8,4.5,2.8,3.033333333333333,3.033333333333333
5000046,9.6,3.75,9.6,7.649999999999999,7.6499999999999995
5000047,3.0,2.5,3.2,2.9,2.9
5000048,5.2,5.75,2.0,4.316666666666666,4.316666666666666
5000049,3.0,2.75,1.8,2.5166666666666666,2.5166666666666666
5000050,5.6,7.25,8.2,7.016666666666666,7.016666666666666
5000051,1.4,1.0,0.0,0.7999999999999999,0.7999999999999999
5000052,6.0,9.0,3.0,6.0,6.0
5000053,2.2,6.0,0.0,2.733333333333333,2.733333333333333
5000054,6.8,0.0,0.0,2.2666666666666666,2.2666666666666666
5000055,0.0,7.75,0.0,2.583333333333333,2.5833333333333335
5000056,3.2,6.5,2.4,4.033333333333333,4.033333333333333
5000057,4.4,3.25,2.8,3.483333333333333,3.483333333333333
5000058,5.2,7.0,3.6,5.266666666666667,5.266666666666667
5000059,5.6,8.5,5.4,6.5,6.5
5000060,1.6,5.75,2.0,3.1166666666666667,3.1166666666666667
5000061,6.8,7.75,8.6,7.716666666666666,7.716666666666666
5000062,8.6,5.5,8.6,7.566666666666666,7.566666666666666
5000063,3.0,4.75,2.8,3.516666666666667,3.516666666666667
5000064,3.0,6.5,2.4,3.966666666666667,3.966666666666667
5000065,8.8,4.5,8.0,7.1000000000000005,7.1000000000000005
5000066,7.6,2.75,4.0,4.783333333333333,4.783333333333333
5000067,5.0,7.0,3.4,5.133333333333334,5.133333333333334
5000068,4.4,6.75,6.6,5.916666666666667,5.916666666666667
5000069,4.0,3.5,2.8,3.4333333333333336,3.4333333333333336
5000070,8.6,4.75,3.6,5.65,5.6499999999999995
5000071,9.2,4.0,3.2,5.466666666666666,5.466666666666666
5000072,6.4,3.5,3.6,4.5,4.5
5000073,4.6,6.75,2.8,4.716666666666666,4.716666666666666
5000074,7.0,4.0,6.4,5.8,5.8
5000076,5.2,7.0,4.0,5.4,5.3999999999999995
5000077,9.4,0.0,9.2,6.2,6.2
5000078,2.4,6.75,1.8,3.65,3.6500000000000004
5000079,4.2,5.0,2.8,4.0,4.0
5000080,6.0,3.0,1.4,3.466666666666667,3.466666666666667
5000081,5.6,4.75,3.6,4.65,4.6499999999999995
5000082,5.8,7.0,3.6,5.466666666666668,5.466666666666668
5000083,5.2,6.0,3.0,4.733333333333333,4.733333333333333
5000084,3.2,5.25,0.0,2.8166666666666664,2.8166666666666664
5000085,9.0,3.5,3.0,5.166666666666667,5.166666666666667
