SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
21000001,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
21000002,6.6,8.0,7.2,7.266666666666667,7.266666666666667
21000003,5.8,6.25,5.2,5.75,5.75
21000004,8.0,5.25,7.4,6.883333333333333,6.883333333333333
21000005,4.8,7.5,5.0,5.766666666666667,5.766666666666667
21000006,6.6,3.5,3.6,4.566666666666666,4.566666666666666
21000007,8.4,7.0,3.2,6.2,6.2
21000008,7.0,7.75,8.2,7.649999999999999,7.6499999999999995
21000009,7.4,0.0,0.0,2.466666666666667,2.466666666666667
21000010,4.6,4.75,3.8,4.383333333333333,4.383333333333333
21000011,5.2,6.0,2.6,4.6,4.6
21000012,3.6,6.0,3.0,4.2,4.2
21000013,6.0,8.0,5.2,6.4,6.3999999999999995
21000014,5.8,6.75,2.8,5.116666666666667,5.116666666666667
21000015,4.2,7.0,6.0,5.733333333333333,5.733333333333333
21000016,3.4,4.75,2.2,3.4500000000000006,3.4500000000000006
21000017,6.2,6.25,4.2,5.55,5.55
21000018,6.0,7.25,7.0,6.75,6.75
21000019,5.6,5.0,4.0,4.866666666666666,4.866666666666666
21000020,6.0,3.75,2.4,4.05,4.05
21000021,5.0,5.0,4.4,4.8,4.8
21000022,6.8,5.5,2.4,4.9,4.9
21000023,5.8,5.5,3.4,4.9,4.9
21000024,3.6,5.0,3.2,3.9333333333333336,3.9333333333333336
21000025,5.6,7.5,4.0,5.7,5.7
21000026,6.4,4.0,4.8,5.066666666666666,5.066666666666666
21000027,6.4,2.75,2.8,3.983333333333333,3.983333333333333
21000028,4.8,8.25,3.8,5.616666666666667,5.616666666666667
21000029,7.6,6.5,3.8,5.966666666666666,5.966666666666666
21000030,6.2,0.0,6.8,4.333333333333333,4.333333333333333
21000031,4.4,3.0,4.0,3.8,3.8000000000000003
21000032,4.6,6.75,3.6,4.983333333333333,4.983333333333333
21000033,6.6,7.75,8.6,7.649999999999999,7.6499999999999995
21000034,5.2,7.75,4.0,5.65,5.6499999999999995
21000035,4.6,6.75,5.8,5.716666666666666,5.716666666666666
21000036,6.4,7.5,4.2,6.033333333333334,6.033333333333334
21000037,5.6,7.5,3.4,5.5,5.5
21000038,6.6,7.75,4.8,6.383333333333333,6.383333333333333
21000039,4.0,4.25,2.6,3.6166666666666663,3.6166666666666667
21000040,7.4,7.0,3.4,5.933333333333334,5.933333333333334
21000041,4.6,2.75,2.4,3.25,3.25
21000042,5.4,6.0,3.6,5.0,5.0
21000043,6.8,7.75,3.4,5.983333333333333,5.983333333333333
21000044,4.6,8.0,2.6,5.066666666666666,5.066666666666666
21000045,7.6,7.0,4.2,6.266666666666667,6.266666666666667
21000046,6.6,7.25,6.6,6.816666666666666,6.816666666666666
21000047,5.4,7.0,4.0,5.466666666666666,5.466666666666666
21000048,5.8,0.0,0.0,1.9333333333333331,1.9333333333333333
21000049,5.0,4.5,2.8,4.1000000000000005,4.1000000000000005
21000050,3.4,5.0,3.0,3.8,3.8000000000000003
21000051,4.8,7.75,8.6,7.05,7.05
21000052,5.2,8.5,4.0,5.9,5.8999999999999995
21000053,6.4,7.5,2.6,5.5,5.5
21000054,4.6,8.0,2.2,4.933333333333334,4.933333333333334
21000055,5.8,8.0,6.8,6.866666666666667,6.866666666666667
21000056,7.0,7.5,7.6,7.366666666666667,7.366666666666667
21000057,7.2,0.0,0.0,2.4,2.4
21000058,6.0,5.0,4.2,5.066666666666666,5.066666666666666
21000059,5.6,7.25,6.6,6.483333333333333,6.483333333333333
21000060,3.2,4.0,3.0,3.4,3.4
21000061,4.6,6.75,3.2,4.8500000000000005,4.8500000000000005
21000062,6.6,7.25,5.8,6.55,6.55
21000063,4.2,8.0,4.0,5.4,5.3999999999999995
21000064,8.6,5.5,3.0,5.7,5.7
21000065,6.6,6.5,3.2,5.433333333333334,5.433333333333334
21000066,3.8,0.0,0.0,1.2666666666666666,1.2666666666666666
21000067,5.8,7.0,3.8,5.533333333333334,5.533333333333334
21000068,5.2,6.75,4.4,5.45,5.45
21000069,5.8,6.5,3.6,5.3,5.3
21000070,8.2,7.25,5.8,7.083333333333333,7.083333333333333
21000071,4.0,5.0,3.4,4.133333333333334,4.133333333333334
21000072,5.4,5.5,2.2,4.366666666666667,4.366666666666667
21000073,3.6,6.0,3.2,4.266666666666667,4.266666666666667
21000074,6.8,8.75,7.0,7.516666666666667,7.516666666666667
21000075,5.0,7.5,4.4,5.633333333333333,5.633333333333333
21000076,5.4,6.5,2.8,4.9,4.8999999999999995
21000077,5.6,5.25,2.4,4.416666666666667,4.416666666666667
21000078,6.6,7.0,4.0,5.866666666666667,5.866666666666667
21000079,6.6,7.25,2.6,5.483333333333333,5.483333333333333
21000080,4.2,7.5,3.4,5.033333333333333,5.033333333333333
21000081,7.0,8.0,8.6,7.866666666666667,7.866666666666667
21000082,5.8,8.0,6.6,6.8,6.8
21000083,4.6,4.5,2.2,3.766666666666667,3.766666666666667
21000084,5.8,6.25,2.4,4.816666666666667,4.816666666666667
21000085,4.8,6.75,2.2,4.583333333333333,4.583333333333333
21000086,4.2,7.0,2.4,4.533333333333333,4.533333333333333
21000087,7.8,7.0,4.2,6.333333333333333,6.333333333333333
21000088,6.4,6.5,3.6,5.5,5.5
21000089,5.2,6.0,4.4,5.2,5.2
21000090,4.2,5.0,3.2,4.133333333333333,4.133333333333333
21000091,5.6,5.0,2.2,4.266666666666667,4.266666666666667
21000092,6.4,6.5,3.8,5.566666666666666,5.566666666666666
21000093,7.2,8.0,7.8,7.666666666666667,7.666666666666667
21000094,5.6,7.0,5.4,6.0,6.0
21000095,3.0,4.5,2.2,3.233333333333333,3.233333333333333
21000096,7.8,0.0,0.0,2.6,2.6
21000097,7.2,8.25,6.6,7.349999999999999,7.349999999999999
21000098,6.4,7.0,6.0,6.466666666666666,6.466666666666666
21000099,4.0,6.0,2.6,4.2,4.2
21000100,6.8,7.5,4.4,6.233333333333334,6.233333333333334
21000101,4.6,6.0,3.0,4.533333333333333,4.533333333333333
21000102,6.6,7.25,2.2,5.3500000000000005,5.3500000000000005
21000103,4.6,7.5,4.4,5.5,5.5
21000104,3.2,4.75,2.6,3.516666666666667,3.516666666666667
21000105,3.4,4.0,3.2,3.5333333333333337,3.5333333333333337
21000106,3.0,4.25,3.0,3.4166666666666665,3.4166666666666665
21000107,4.6,6.5,3.0,4.7,4.7
21000108,6.0,6.5,6.4,6.3,6.3
21000109,7.2,6.0,4.4,5.866666666666667,5.866666666666667
21000110,4.2,4.5,1.4,3.3666666666666667,3.3666666666666667
21000111,5.8,4.75,2.2,4.25,4.25
21000112,4.0,6.0,2.8,4.266666666666667,4.266666666666667
21000113,7.6,4.25,4.8,5.55,5.55
21000114,6.2,5.25,2.0,4.483333333333333,4.483333333333333
21000115,5.4,3.75,3.4,4.183333333333334,4.183333333333334
21000116,3.8,6.75,2.6,4.383333333333334,4.383333333333334
21000117,7.0,6.0,5.4,6.133333333333333,6.133333333333333
21000118,6.0,4.5,3.6,4.7,4.7
21000119,5.6,7.75,2.0,5.116666666666666,5.116666666666666
21000120,6.4,7.5,3.2,5.7,5.7
21000121,6.0,6.0,5.4,5.8,5.8
21000122,6.0,6.5,4.2,5.566666666666666,5.566666666666666
21000123,7.8,6.5,4.2,6.166666666666667,6.166666666666667
21000124,5.0,5.0,3.0,4.333333333333333,4.333333333333333
21000125,8.0,3.5,1.4,4.3,4.3
21000126,5.8,8.25,7.4,7.150000000000001,7.150000000000001
21000127,5.6,7.25,3.6,5.483333333333333,5.483333333333333
21000128,6.0,6.25,2.6,4.95,4.95
21000129,2.6,5.5,2.4,3.5,3.5
21000130,4.8,6.5,3.0,4.766666666666667,4.766666666666667
21000131,5.6,7.0,1.8,4.8,4.8
21000132,6.2,6.5,3.4,5.366666666666666,5.366666666666666
21000133,5.2,6.75,2.2,4.716666666666666,4.716666666666666
21000134,6.0,4.75,3.8,4.8500000000000005,4.8500000000000005
21000135,7.2,8.0,7.8,7.666666666666667,7.666666666666667
21000136,5.2,7.25,4.2,5.55,5.55
21000137,5.2,7.0,1.0,4.4,4.3999999999999995
21000138,5.6,7.25,4.2,5.683333333333334,5.683333333333334
21000139,6.2,4.75,2.4,4.45,4.45
21000140,4.2,6.0,2.2,4.133333333333333,4.133333333333333
21000141,5.8,5.75,3.6,5.05,5.05
21000142,5.8,5.25,3.6,4.883333333333334,4.883333333333334
21000143,5.2,5.25,2.0,4.15,4.1499999999999995
21000144,4.2,5.5,2.8,4.166666666666667,4.166666666666667
21000145,6.2,8.25,6.4,6.95,6.95
21000146,4.4,6.75,3.2,4.783333333333334,4.783333333333334
21000147,6.4,6.25,5.2,5.95,5.95
21000148,6.0,5.5,6.2,5.9,5.8999999999999995
21000149,5.8,6.25,2.6,4.883333333333334,4.883333333333334
21000150,6.8,7.0,5.2,6.333333333333333,6.333333333333333
21000151,6.4,6.75,2.6,5.25,5.25
21000152,5.2,5.0,2.4,4.2,4.2
21000153,6.0,6.5,6.2,6.233333333333333,6.233333333333333
21000154,6.0,7.5,7.0,6.833333333333333,6.833333333333333
21000155,5.0,8.0,4.0,5.666666666666667,5.666666666666667
21000156,6.0,6.25,4.0,5.416666666666667,5.416666666666667
21000157,5.8,7.0,4.6,5.8,5.8
21000158,4.0,5.75,2.8,4.183333333333334,4.183333333333334
21000159,6.8,5.25,2.8,4.95,4.95
21000160,5.4,5.25,2.6,4.416666666666667,4.416666666666667
21000161,5.8,6.75,2.8,5.116666666666667,5.116666666666667
21000162,6.0,6.5,4.2,5.566666666666666,5.566666666666666
21000163,7.4,7.5,5.8,6.9,6.8999999999999995
21000164,6.2,4.5,3.0,4.566666666666666,4.566666666666666
21000165,8.0,7.25,4.4,6.55,6.55
21000166,5.6,7.25,3.6,5.483333333333333,5.483333333333333
21000167,8.4,0.0,0.0,2.8000000000000003,2.8000000000000003
21000168,4.6,6.5,5.0,5.366666666666667,5.366666666666667
21000169,7.0,7.0,2.4,5.466666666666666,5.466666666666666
21000170,5.6,6.5,3.6,5.233333333333333,5.233333333333333
21000171,3.6,5.25,2.8,3.883333333333333,3.883333333333333
21000172,6.2,7.75,3.8,5.916666666666667,5.916666666666667
21000173,6.2,7.0,4.2,5.8,5.8
21000174,5.4,6.25,3.6,5.083333333333333,5.083333333333333
21000175,3.8,5.0,3.8,4.2,4.2
21000176,6.4,5.75,2.4,4.8500000000000005,4.8500000000000005
21000177,6.0,7.25,4.6,5.95,5.95
21000178,8.0,6.75,4.4,6.383333333333333,6.383333333333333
21000179,7.2,6.75,3.8,5.916666666666667,5.916666666666667
21000180,5.6,8.75,6.8,7.05,7.05
21000181,6.6,7.5,5.0,6.366666666666667,6.366666666666667
21000182,6.0,7.0,4.0,5.666666666666667,5.666666666666667
21000183,5.2,6.75,2.4,4.783333333333333,4.783333333333333
21000184,5.6,6.0,4.4,5.333333333333333,5.333333333333333
21000185,4.6,7.25,3.0,4.95,4.95
21000186,7.4,8.0,3.4,6.266666666666667,6.266666666666667
21000187,6.6,7.0,2.8,5.466666666666666,5.466666666666666
21000188,7.2,6.5,3.0,5.566666666666666,5.566666666666666
21000189,4.4,5.0,3.2,4.2,4.2
21000190,3.2,7.25,2.6,4.35,4.35
21000191,6.8,8.0,5.6,6.8,6.8
21000192,7.4,7.75,6.4,7.183333333333334,7.183333333333334
21000193,4.8,8.5,3.4,5.566666666666666,5.566666666666666
21000194,5.2,6.0,2.4,4.533333333333333,4.533333333333333
21000195,6.8,6.5,4.0,5.766666666666667,5.766666666666667
21000196,5.2,6.0,3.2,4.8,4.8
21000197,4.4,7.0,3.8,5.066666666666666,5.066666666666666
21000198,4.8,7.5,5.6,5.966666666666666,5.966666666666666
21000199,8.4,7.0,5.2,6.866666666666667,6.866666666666667
21000200,5.0,7.0,4.6,5.533333333333334,5.533333333333334
21000201,6.2,5.0,2.0,4.4,4.3999999999999995
21000202,7.4,6.5,3.8,5.9,5.8999999999999995
21000203,5.8,4.5,5.6,5.3,5.3
21000204,7.2,8.0,4.0,6.4,6.3999999999999995
21000205,5.4,6.75,3.6,5.25,5.25
21000206,3.4,5.0,1.8,3.4000000000000004,3.4000000000000004
21000207,4.6,3.0,4.6,4.066666666666666,4.066666666666666
21000208,5.6,3.0,3.0,3.8666666666666663,3.8666666666666667
21000209,5.8,3.5,3.4,4.233333333333333,4.233333333333333
21000210,6.2,6.25,3.0,5.15,5.1499999999999995
21000211,5.6,5.0,2.4,4.333333333333333,4.333333333333333
21000212,6.8,6.5,3.6,5.633333333333334,5.633333333333334
