SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
36000001,5.2,8.5,7.2,6.966666666666666,6.966666666666666
36000002,6.2,7.5,7.2,6.966666666666666,6.966666666666666
36000003,4.0,2.75,2.2,2.983333333333333,2.983333333333333
36000004,6.4,5.25,4.4,5.3500000000000005,5.3500000000000005
36000005,4.6,5.25,3.2,4.3500000000000005,4.3500000000000005
36000006,6.0,6.5,5.0,5.833333333333333,5.833333333333333
36000007,5.6,5.25,6.8,5.883333333333333,5.883333333333333
36000008,6.0,3.75,3.4,4.383333333333334,4.383333333333334
36000009,8.0,6.5,4.6,6.366666666666667,6.366666666666667
36000010,6.0,7.5,8.4,7.3,7.3
36000011,3.4,3.5,2.6,3.1666666666666665,3.1666666666666665
36000012,5.4,7.5,4.6,5.833333333333333,5.833333333333333
36000013,4.4,3.5,2.6,3.5,3.5
36000014,6.2,8.75,5.6,6.849999999999999,6.849999999999999
36000015,5.4,8.75,5.0,6.383333333333333,6.383333333333333
36000016,7.0,5.75,8.8,7.183333333333334,7.183333333333334
36000017,4.4,3.25,2.6,3.4166666666666665,3.4166666666666665
36000018,6.6,5.5,7.4,6.5,6.5
36000019,5.4,4.5,1.8,3.9,3.9000000000000004
36000020,4.6,4.25,3.4,4.083333333333333,4.083333333333333
36000021,3.8,6.25,4.8,4.95,4.95
36000022,8.6,6.25,6.0,6.95,6.95
36000023,4.4,5.25,3.8,4.483333333333333,4.483333333333333
36000024,4.8,5.0,3.2,4.333333333333333,4.333333333333333
36000025,7.4,4.5,4.0,5.3,5.3
36000026,5.0,5.5,6.0,5.5,5.5
36000027,7.2,6.0,5.2,6.133333333333333,6.133333333333333
36000028,2.6,4.25,2.4,3.083333333333333,3.0833333333333335
36000029,4.2,5.5,4.2,4.633333333333333,4.633333333333333
36000030,3.6,4.5,2.6,3.5666666666666664,3.5666666666666664
36000031,6.2,5.0,4.2,5.133333333333333,5.133333333333333
36000032,7.8,5.5,9.0,7.433333333333334,7.433333333333334
36000033,7.2,5.0,7.0,6.4,6.3999999999999995
36000034,3.4,2.5,3.0,2.966666666666667,2.966666666666667
36000035,3.4,4.0,2.6,3.333333333333333,3.3333333333333335
36000036,6.4,5.25,3.8,5.15,5.1499999999999995
36000037,6.4,5.5,8.2,6.7,6.7
36000038,5.0,6.5,4.2,5.233333333333333,5.233333333333333
36000039,3.0,3.75,4.2,3.65,3.65
36000040,4.6,5.5,3.2,4.433333333333334,4.433333333333334
36000041,3.0,5.5,3.4,3.966666666666667,3.966666666666667
36000042,3.4,5.0,4.4,4.266666666666667,4.266666666666667
36000043,3.4,4.0,4.0,3.8,3.8000000000000003
36000044,7.2,4.0,3.2,4.8,4.8
36000045,4.6,3.0,3.0,3.533333333333333,3.533333333333333
36000046,6.2,5.0,2.8,4.666666666666667,4.666666666666667
36000047,7.2,5.0,7.6,6.599999999999999,6.599999999999999
36000048,6.8,6.0,6.6,6.466666666666666,6.466666666666666
36000049,7.0,3.75,5.2,5.316666666666666,5.316666666666666
36000050,4.2,4.0,3.0,3.733333333333333,3.733333333333333
36000051,5.6,7.25,5.4,6.083333333333333,6.083333333333333
36000052,6.8,6.0,7.6,6.8,6.8
36000053,4.6,4.75,5.0,4.783333333333333,4.783333333333333
36000054,5.2,4.25,5.0,4.816666666666666,4.816666666666666
36000055,5.6,5.0,3.8,4.8,4.8
36000056,5.6,3.25,5.0,4.616666666666666,4.616666666666666
36000057,7.8,5.5,6.6,6.633333333333333,6.633333333333333
36000058,7.6,5.0,4.8,5.8,5.8
36000059,8.0,5.75,6.6,6.783333333333334,6.783333333333334
36000060,6.8,6.25,4.6,5.883333333333333,5.883333333333333
36000061,5.6,5.75,6.2,5.8500000000000005,5.8500000000000005
36000062,0.0,6.25,3.4,3.216666666666667,3.216666666666667
36000063,6.6,5.75,5.2,5.8500000000000005,5.8500000000000005
36000064,7.4,4.75,4.2,5.45,5.45
36000065,3.4,4.5,2.4,3.4333333333333336,3.4333333333333336
36000066,3.8,5.5,3.8,4.366666666666667,4.366666666666667
36000067,3.6,4.5,3.4,3.8333333333333335,3.8333333333333335
36000068,5.8,4.25,7.2,5.75,5.75
36000069,6.2,6.0,6.4,6.2,6.2
36000070,7.0,5.75,8.2,6.983333333333333,6.983333333333333
36000071,7.0,6.5,4.4,5.966666666666666,5.966666666666666
36000072,7.2,8.25,9.2,8.216666666666667,8.216666666666667
36000073,7.4,7.5,8.8,7.900000000000001,7.900000000000001
36000074,6.6,6.5,6.2,6.433333333333334,6.433333333333334
36000075,4.6,4.25,1.8,3.5500000000000003,3.5500000000000003
36000076,4.2,4.5,3.0,3.9,3.9
36000077,6.6,8.75,9.0,8.116666666666667,8.116666666666667
36000078,7.8,7.5,5.2,6.833333333333333,6.833333333333333
36000079,6.2,7.25,4.2,5.883333333333333,5.883333333333333
36000080,3.0,2.75,3.0,2.9166666666666665,2.9166666666666665
36000081,3.8,6.0,3.8,4.533333333333334,4.533333333333334
36000082,4.0,3.5,3.4,3.633333333333333,3.6333333333333333
36000083,6.6,5.5,4.6,5.566666666666666,5.566666666666666
36000084,6.8,7.5,7.6,7.3,7.3
36000085,6.6,8.5,5.2,6.766666666666667,6.766666666666667
36000086,7.8,6.0,6.6,6.8,6.8
36000087,7.8,5.5,6.4,6.566666666666667,6.566666666666667
36000088,8.4,5.5,5.2,6.366666666666667,6.366666666666667
36000089,8.2,5.5,6.2,6.633333333333333,6.633333333333333
36000090,6.2,6.0,7.2,6.466666666666666,6.466666666666666
36000091,5.8,7.0,7.4,6.733333333333334,6.733333333333334
36000092,6.4,5.75,4.8,5.65,5.6499999999999995
36000093,5.8,7.75,5.6,6.383333333333333,6.383333333333333
36000094,7.4,7.5,9.4,8.1,8.1
36000095,4.6,6.25,3.4,4.75,4.75
36000096,5.6,5.75,3.8,5.05,5.05
36000097,7.4,6.0,6.0,6.466666666666666,6.466666666666666
36000098,7.2,5.25,3.2,5.216666666666666,5.216666666666666
36000099,6.6,6.0,3.8,5.466666666666666,5.466666666666666
36000100,4.0,5.0,2.8,3.9333333333333336,3.9333333333333336
36000101,7.4,7.0,4.6,6.333333333333333,6.333333333333333
36000102,5.0,6.25,6.2,5.816666666666666,5.816666666666666
36000103,7.0,3.75,8.2,6.316666666666666,6.316666666666666
36000104,4.6,3.75,2.8,3.7166666666666655,3.7166666666666663
36000105,5.4,6.5,4.2,5.366666666666667,5.366666666666667
36000106,5.8,7.0,4.2,5.666666666666667,5.666666666666667
36000107,7.0,5.5,7.0,6.5,6.5
36000108,6.6,4.25,4.4,5.083333333333333,5.083333333333333
36000109,7.4,4.0,8.0,6.466666666666666,6.466666666666666
36000110,7.2,7.0,4.4,6.2,6.2
36000111,6.0,6.5,3.0,5.166666666666667,5.166666666666667
36000112,5.8,7.25,7.0,6.683333333333334,6.683333333333334
36000113,5.0,4.25,3.4,4.216666666666667,4.216666666666667
36000114,3.4,3.75,3.6,3.583333333333333,3.5833333333333335
36000115,4.6,4.5,3.6,4.233333333333333,4.233333333333333
36000116,6.0,3.25,3.8,4.3500000000000005,4.3500000000000005
36000117,3.4,6.5,3.0,4.3,4.3
36000118,7.2,6.25,6.8,6.75,6.75
36000119,7.0,5.5,4.2,5.566666666666666,5.566666666666666
36000120,3.2,2.5,2.0,2.566666666666667,2.566666666666667
36000121,4.0,5.75,3.4,4.383333333333334,4.383333333333334
36000122,7.4,6.0,8.4,7.266666666666667,7.266666666666667
36000123,5.4,8.0,8.0,7.133333333333333,7.133333333333333
36000124,6.6,4.5,6.8,5.966666666666666,5.966666666666666
36000125,6.6,4.5,7.0,6.033333333333334,6.033333333333334
36000126,4.6,5.5,4.2,4.766666666666667,4.766666666666667
36000127,5.8,6.0,3.0,4.933333333333334,4.933333333333334
36000128,4.8,5.5,4.2,4.833333333333333,4.833333333333333
36000129,7.2,7.0,7.2,7.133333333333333,7.133333333333333
36000130,6.2,7.5,7.4,7.033333333333334,7.033333333333334
36000131,6.2,8.0,7.6,7.266666666666666,7.266666666666666
36000132,4.6,4.25,3.0,3.95,3.9499999999999997
36000133,6.8,6.25,8.6,7.216666666666666,7.216666666666666
36000134,7.0,4.75,7.4,6.383333333333333,6.383333333333333
36000135,7.4,7.5,6.4,7.1000000000000005,7.1000000000000005
36000136,6.6,6.0,7.8,6.8,6.8
36000137,5.6,4.0,4.8,4.8,4.8
36000138,6.2,5.5,9.4,7.033333333333334,7.033333333333334
36000139,4.0,5.0,3.2,4.066666666666666,4.066666666666666
36000140,4.6,4.5,2.6,3.9,3.9
36000141,3.4,5.0,3.0,3.8,3.8000000000000003
36000142,3.6,5.75,2.4,3.9166666666666665,3.9166666666666665
36000143,6.6,6.5,4.2,5.766666666666667,5.766666666666667
36000144,8.0,4.0,4.4,5.466666666666666,5.466666666666666
36000145,9.0,8.0,6.2,7.733333333333333,7.733333333333333
36000146,6.6,7.0,8.2,7.266666666666666,7.266666666666666
36000147,7.6,5.5,5.6,6.233333333333333,6.233333333333333
36000148,4.4,3.5,3.8,3.9,3.9
36000149,7.4,4.25,7.8,6.483333333333333,6.483333333333333
36000150,7.0,5.75,7.4,6.716666666666666,6.716666666666666
36000151,4.0,3.0,2.6,3.2,3.1999999999999997
36000152,6.4,5.25,8.2,6.616666666666667,6.616666666666667
36000153,6.8,5.0,5.8,5.866666666666667,5.866666666666667
36000154,7.4,6.0,6.4,6.6000000000000005,6.6000000000000005
36000155,4.8,5.75,5.0,5.183333333333334,5.183333333333334
36000156,3.8,4.5,2.6,3.633333333333333,3.6333333333333333
36000157,3.8,5.5,4.4,4.566666666666667,4.566666666666667
36000158,4.2,5.5,2.8,4.166666666666667,4.166666666666667
36000159,6.4,4.0,2.6,4.333333333333333,4.333333333333333
36000160,4.4,3.0,4.2,3.866666666666667,3.866666666666667
36000161,3.2,5.0,2.0,3.4,3.4
36000162,5.0,6.0,3.0,4.666666666666667,4.666666666666667
36000163,8.0,7.0,7.4,7.466666666666666,7.466666666666666
36000164,5.4,5.25,4.4,5.016666666666667,5.016666666666667
36000165,9.0,6.25,8.8,8.016666666666667,8.016666666666667
36000166,6.6,5.5,4.8,5.633333333333333,5.633333333333333
36000167,6.2,7.75,4.0,5.983333333333333,5.983333333333333
36000168,6.0,6.25,8.2,6.816666666666666,6.816666666666666
36000169,5.8,5.75,4.4,5.316666666666667,5.316666666666667
36000170,4.2,9.0,3.4,5.533333333333332,5.533333333333332
36000171,6.0,9.5,6.4,7.3,7.3
36000172,7.4,8.5,6.2,7.366666666666667,7.366666666666667
36000173,7.8,7.0,8.8,7.866666666666667,7.866666666666667
36000174,8.4,6.5,5.6,6.833333333333333,6.833333333333333
36000175,4.2,5.25,4.2,4.55,4.55
36000176,4.2,4.5,2.2,3.633333333333333,3.633333333333333
36000177,3.4,5.25,3.8,4.15,4.1499999999999995
36000178,5.4,4.75,3.6,4.583333333333333,4.583333333333333
36000179,4.8,7.5,4.2,5.5,5.5
36000180,3.6,5.5,2.2,3.766666666666667,3.766666666666667
36000181,6.6,6.5,6.4,6.5,6.5
36000182,8.2,6.25,4.8,6.416666666666667,6.416666666666667
36000183,7.2,4.5,7.4,6.366666666666667,6.366666666666667
36000184,6.4,2.75,5.4,4.8500000000000005,4.8500000000000005
36000185,7.0,4.5,7.4,6.3,6.3
36000186,4.8,4.5,2.6,3.966666666666667,3.966666666666667
36000187,3.0,4.0,2.0,3.0,3.0
36000188,5.0,5.5,3.2,4.566666666666666,4.566666666666666
36000189,7.4,6.0,7.0,6.8,6.8
36000190,5.4,5.25,5.0,5.216666666666667,5.216666666666667
36000191,6.2,5.0,6.0,5.733333333333333,5.733333333333333
36000192,4.4,4.25,2.2,3.616666666666667,3.616666666666667
36000193,4.8,5.0,3.2,4.333333333333333,4.333333333333333
36000194,8.8,5.0,8.0,7.266666666666667,7.266666666666667
36000195,3.2,3.75,3.2,3.3833333333333333,3.3833333333333333
36000196,7.6,6.75,5.6,6.65,6.6499999999999995
36000197,4.2,6.5,2.4,4.366666666666666,4.366666666666666
36000198,5.8,5.5,2.8,4.7,4.7
36000200,5.6,8.0,4.4,6.0,6.0
36000201,4.8,4.5,3.6,4.3,4.3
36000202,4.0,4.0,3.4,3.8,3.8000000000000003
36000203,6.2,5.75,8.4,6.783333333333334,6.783333333333334
