SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
8000001,6.2,5.5,3.4,5.033333333333333,5.033333333333333
8000002,2.8,5.75,2.0,3.516666666666667,3.516666666666667
8000003,3.8,5.25,3.8,4.283333333333334,4.283333333333334
8000004,4.4,4.0,2.4,3.6,3.6
8000005,5.2,6.5,2.8,4.833333333333333,4.833333333333333
8000006,4.2,5.5,3.8,4.5,4.5
8000007,4.6,5.5,3.2,4.433333333333334,4.433333333333334
8000008,4.6,4.75,2.0,3.783333333333333,3.783333333333333
8000009,5.2,7.25,3.0,5.15,5.1499999999999995
8000010,7.6,6.25,3.2,5.683333333333334,5.683333333333334
8000011,4.8,5.5,3.6,4.633333333333334,4.633333333333334
8000012,1.4,5.25,3.8,3.483333333333333,3.483333333333333
8000013,6.8,6.0,2.6,5.133333333333334,5.133333333333334
8000014,4.0,6.5,4.0,4.833333333333333,4.833333333333333
8000015,4.6,6.5,3.2,4.766666666666667,4.766666666666667
8000016,4.0,5.75,3.8,4.516666666666667,4.516666666666667
8000017,4.4,7.0,3.8,5.066666666666666,5.066666666666666
8000018,5.4,7.25,3.8,5.483333333333333,5.483333333333333
8000019,4.8,7.5,2.8,5.033333333333334,5.033333333333334
8000020,4.6,4.5,0.0,3.033333333333333,3.033333333333333
8000021,4.0,6.25,2.2,4.15,4.1499999999999995
8000022,5.4,5.75,2.8,4.65,4.6499999999999995
8000023,4.4,5.75,2.0,4.05,4.05
8000024,5.6,7.75,3.8,5.716666666666666,5.716666666666666
8000025,5.0,8.75,3.4,5.716666666666666,5.716666666666666
8000026,3.8,6.5,3.2,4.5,4.5
8000027,6.2,6.5,6.0,6.233333333333333,6.233333333333333
8000028,5.8,8.75,5.0,6.516666666666667,6.516666666666667
8000029,5.6,6.75,4.0,5.45,5.45
8000030,4.8,5.25,2.6,4.216666666666667,4.216666666666667
8000031,4.6,6.5,4.4,5.166666666666667,5.166666666666667
8000032,3.8,6.0,3.6,4.466666666666667,4.466666666666667
8000033,4.4,5.25,3.4,4.3500000000000005,4.3500000000000005
8000034,6.8,6.0,4.0,5.6000000000000005,5.6000000000000005
8000035,4.2,5.25,4.0,4.483333333333333,4.483333333333333
8000036,4.2,6.5,3.2,4.633333333333333,4.633333333333333
8000037,6.0,8.0,3.6,5.866666666666667,5.866666666666667
8000038,5.2,6.5,3.8,5.166666666666667,5.166666666666667
8000039,7.0,7.0,4.4,6.133333333333333,6.133333333333333
8000040,6.8,6.25,5.2,6.083333333333333,6.083333333333333
8000041,3.8,5.5,3.0,4.1000000000000005,4.1000000000000005
8000042,5.6,7.25,4.4,5.75,5.75
8000043,5.4,7.0,4.2,5.533333333333334,5.533333333333334
8000044,6.8,6.75,4.8,6.116666666666667,6.116666666666667
8000045,4.2,7.0,3.4,4.866666666666666,4.866666666666666
8000046,3.4,2.0,0.0,1.8,1.8
8000047,4.0,6.0,2.0,4.0,4.0
8000048,5.6,7.0,2.6,5.066666666666666,5.066666666666666
8000049,5.4,6.75,3.6,5.25,5.25
8000050,4.0,5.5,3.4,4.3,4.3
8000051,3.2,5.25,2.8,3.75,3.75
8000052,4.4,7.0,3.4,4.933333333333334,4.933333333333334
8000053,3.6,6.75,2.2,4.183333333333334,4.183333333333334
8000054,3.6,5.0,1.8,3.466666666666667,3.466666666666667
8000055,6.4,6.75,2.6,5.25,5.25
8000056,4.8,6.75,3.8,5.116666666666667,5.116666666666667
8000057,5.8,6.0,3.8,5.2,5.2
8000058,4.2,5.0,2.2,3.8,3.7999999999999994
8000059,3.4,5.75,3.4,4.183333333333334,4.183333333333334
8000060,2.8,2.0,0.0,1.6,1.5999999999999999
8000061,4.4,5.5,4.4,4.766666666666667,4.766666666666667
8000062,4.4,7.5,2.6,4.833333333333333,4.833333333333333
8000063,4.4,4.25,3.2,3.9500000000000006,3.9500000000000006
8000064,7.0,6.75,4.2,5.983333333333333,5.983333333333333
8000065,5.4,5.75,2.4,4.516666666666667,4.516666666666667
8000066,4.2,6.75,3.8,4.916666666666667,4.916666666666667
8000067,4.4,5.75,2.6,4.25,4.25
