SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
42000001,6.2,7.5,5.8,6.5,6.5
42000002,5.6,5.25,3.8,4.883333333333333,4.883333333333333
42000003,4.8,5.5,3.8,4.7,4.7
42000004,6.6,3.0,8.2,5.933333333333333,5.933333333333333
42000005,3.6,7.0,4.6,5.066666666666666,5.066666666666666
42000006,4.4,6.0,6.4,5.6000000000000005,5.6000000000000005
42000007,5.0,4.25,1.8,3.6833333333333336,3.6833333333333336
42000008,4.4,5.0,4.6,4.666666666666667,4.666666666666667
42000009,5.2,4.0,6.0,5.066666666666666,5.066666666666666
42000010,5.8,5.25,3.8,4.95,4.95
42000011,7.2,6.0,6.0,6.4,6.3999999999999995
42000012,5.0,6.0,3.6,4.866666666666666,4.866666666666666
42000013,5.8,7.0,2.6,5.133333333333334,5.133333333333334
42000014,5.8,6.75,5.8,6.116666666666667,6.116666666666667
42000015,6.2,7.25,4.2,5.883333333333333,5.883333333333333
42000016,4.4,4.5,2.8,3.9,3.9
42000017,4.2,5.0,3.0,4.066666666666666,4.066666666666666
42000018,3.8,7.75,4.0,5.183333333333334,5.183333333333334
42000019,5.0,7.25,5.2,5.816666666666666,5.816666666666666
42000020,5.2,8.25,6.0,6.483333333333333,6.483333333333333
42000021,6.0,6.25,4.2,5.483333333333333,5.483333333333333
42000022,6.2,4.5,2.6,4.433333333333333,4.433333333333333
42000023,5.0,7.25,5.4,5.883333333333333,5.883333333333333
42000024,4.0,6.75,4.6,5.116666666666666,5.116666666666666
42000025,5.6,5.25,2.8,4.55,4.55
42000026,4.4,3.5,2.4,3.4333333333333336,3.4333333333333336
42000027,5.6,5.0,5.0,5.2,5.2
42000028,5.8,7.5,6.4,6.566666666666667,6.566666666666667
42000029,7.0,7.75,4.0,6.25,6.25
42000030,5.8,5.0,3.6,4.8,4.8
42000031,6.2,6.5,5.0,5.9,5.8999999999999995
42000032,5.4,5.0,4.4,4.933333333333334,4.933333333333334
42000033,3.6,4.0,3.0,3.533333333333333,3.533333333333333
42000034,4.2,6.5,6.0,5.566666666666666,5.566666666666666
42000035,4.6,6.0,6.6,5.733333333333333,5.733333333333333
42000036,2.6,5.5,2.0,3.3666666666666667,3.3666666666666667
42000037,7.8,4.75,9.0,7.183333333333334,7.183333333333334
42000038,5.2,5.0,2.2,4.133333333333333,4.133333333333333
42000039,6.0,3.0,4.4,4.466666666666667,4.466666666666667
42000040,5.6,6.0,3.0,4.866666666666666,4.866666666666666
42000041,5.4,6.75,4.4,5.516666666666667,5.516666666666667
42000042,4.4,5.5,2.6,4.166666666666667,4.166666666666667
42000043,7.4,6.0,6.0,6.466666666666666,6.466666666666666
42000044,5.0,7.0,6.4,6.133333333333333,6.133333333333333
42000045,6.6,7.0,4.6,6.066666666666666,6.066666666666666
42000046,5.8,7.5,7.0,6.766666666666667,6.766666666666667
42000047,5.6,6.75,4.6,5.65,5.6499999999999995
42000048,7.2,8.25,5.4,6.95,6.95
42000049,6.6,7.0,4.2,5.933333333333334,5.933333333333334
42000050,4.6,6.25,3.2,4.683333333333334,4.683333333333334
42000051,5.2,6.25,3.8,5.083333333333333,5.083333333333333
42000052,5.6,8.0,5.2,6.266666666666667,6.266666666666667
42000053,6.2,6.25,5.4,5.95,5.95
42000054,6.2,7.25,5.4,6.283333333333334,6.283333333333334
42000055,4.8,4.5,2.8,4.033333333333334,4.033333333333334
42000056,6.2,6.0,4.0,5.4,5.3999999999999995
42000057,5.8,5.25,6.2,5.75,5.75
42000058,5.2,4.5,3.2,4.3,4.3
42000059,7.2,5.75,7.6,6.849999999999999,6.849999999999999
42000060,5.0,5.25,1.4,3.883333333333333,3.8833333333333333
42000061,6.6,4.5,6.8,5.966666666666666,5.966666666666666
42000062,3.8,4.58,2.2,3.526666666666666,3.526666666666666
42000063,5.0,4.5,5.2,4.9,4.8999999999999995
42000064,6.2,6.25,7.4,6.616666666666667,6.616666666666667
42000065,6.0,5.83,4.0,5.276666666666666,5.276666666666666
42000066,4.2,4.25,2.6,3.683333333333333,3.683333333333333
42000067,3.6,5.0,2.6,3.733333333333333,3.733333333333333
42000068,3.0,1.5,2.4,2.3000000000000003,2.3000000000000003
42000069,7.2,6.25,5.6,6.349999999999999,6.349999999999999
42000070,6.0,5.75,3.6,5.116666666666666,5.116666666666666
42000071,5.8,6.75,4.0,5.516666666666667,5.516666666666667
42000072,5.4,6.0,4.2,5.2,5.2
42000073,5.2,7.5,6.0,6.233333333333333,6.233333333333333
42000074,5.0,7.75,5.8,6.183333333333334,6.183333333333334
42000075,7.0,7.25,5.8,6.683333333333334,6.683333333333334
42000076,4.8,6.5,3.2,4.833333333333333,4.833333333333333
42000077,4.6,6.5,6.6,5.9,5.8999999999999995
42000078,4.4,5.0,2.8,4.066666666666666,4.066666666666666
42000079,6.0,5.75,4.6,5.45,5.45
42000080,2.4,4.25,3.0,3.216666666666667,3.216666666666667
42000081,2.6,3.25,2.6,2.8166666666666664,2.8166666666666664
42000082,6.8,6.25,5.0,6.016666666666667,6.016666666666667
42000083,4.0,5.0,3.4,4.133333333333334,4.133333333333334
42000084,5.0,4.25,6.4,5.216666666666667,5.216666666666667
42000085,6.8,5.0,5.2,5.666666666666667,5.666666666666667
42000086,4.2,6.25,3.0,4.483333333333333,4.483333333333333
42000087,6.4,7.25,6.2,6.616666666666667,6.616666666666667
42000088,3.8,5.0,3.6,4.133333333333334,4.133333333333334
42000089,6.8,7.25,6.8,6.95,6.95
42000090,6.2,5.5,3.0,4.9,4.8999999999999995
42000091,4.6,5.0,3.2,4.266666666666667,4.266666666666667
42000092,5.4,7.0,4.6,5.666666666666667,5.666666666666667
42000093,5.6,5.75,2.2,4.516666666666667,4.516666666666667
42000094,4.6,6.5,3.2,4.766666666666667,4.766666666666667
42000095,6.4,7.5,5.2,6.366666666666667,6.366666666666667
42000096,3.4,3.0,4.0,3.466666666666667,3.466666666666667
42000097,5.0,7.0,6.8,6.266666666666667,6.266666666666667
42000098,5.2,6.25,2.8,4.75,4.75
42000099,3.8,3.5,3.0,3.4333333333333336,3.4333333333333336
42000100,6.4,5.75,7.2,6.45,6.45
42000101,3.6,4.5,3.0,3.7,3.6999999999999997
42000102,3.6,3.0,3.2,3.266666666666667,3.266666666666667
42000103,4.2,5.25,3.0,4.15,4.1499999999999995
42000104,5.4,5.0,4.8,5.066666666666666,5.066666666666666
42000105,4.0,4.25,2.4,3.5500000000000003,3.5500000000000003
42000106,5.0,3.25,3.0,3.75,3.75
42000107,5.4,5.25,3.6,4.75,4.75
42000108,2.6,7.0,4.2,4.6000000000000005,4.6000000000000005
42000109,3.6,4.5,4.0,4.033333333333333,4.033333333333333
42000110,6.0,5.75,3.8,5.183333333333334,5.183333333333334
42000111,5.4,3.75,3.8,4.316666666666666,4.316666666666666
42000112,5.6,4.5,3.6,4.566666666666666,4.566666666666666
42000113,7.4,7.0,5.8,6.733333333333333,6.733333333333333
42000114,2.2,2.75,4.4,3.116666666666667,3.116666666666667
42000115,6.0,6.5,6.8,6.433333333333334,6.433333333333334
42000116,5.0,6.0,4.2,5.066666666666666,5.066666666666666
42000117,3.4,5.0,3.8,4.066666666666666,4.066666666666666
42000118,6.0,6.75,4.8,5.8500000000000005,5.8500000000000005
42000119,4.0,4.5,2.4,3.633333333333333,3.6333333333333333
42000120,5.6,6.25,5.6,5.816666666666666,5.816666666666666
42000121,6.2,6.75,3.8,5.583333333333333,5.583333333333333
42000122,6.4,4.0,5.0,5.133333333333334,5.133333333333334
42000123,5.8,5.5,4.4,5.233333333333333,5.233333333333333
42000124,5.0,6.25,7.6,6.283333333333334,6.283333333333334
42000125,5.6,7.5,6.8,6.633333333333333,6.633333333333333
42000126,5.8,3.5,3.8,4.366666666666667,4.366666666666667
42000127,6.8,7.0,3.4,5.733333333333333,5.733333333333333
42000128,4.6,6.5,4.4,5.166666666666667,5.166666666666667
42000129,4.6,7.5,5.2,5.766666666666667,5.766666666666667
42000130,4.8,7.0,4.2,5.333333333333333,5.333333333333333
42000131,5.2,7.5,3.2,5.3,5.3
42000132,3.8,4.75,3.6,4.05,4.05
42000133,6.4,6.0,8.6,7.0,7.0
42000134,7.0,6.5,8.2,7.233333333333333,7.233333333333333
42000135,6.8,7.0,5.6,6.466666666666666,6.466666666666666
42000136,3.4,4.5,2.8,3.5666666666666664,3.5666666666666664
42000137,5.0,7.25,8.0,6.75,6.75
42000138,5.6,4.5,2.8,4.3,4.3
42000139,5.6,7.0,3.6,5.4,5.3999999999999995
42000140,6.6,6.5,5.4,6.166666666666667,6.166666666666667
42000141,6.2,7.25,4.6,6.016666666666666,6.016666666666666
42000142,5.4,7.0,3.0,5.133333333333334,5.133333333333334
42000143,5.6,5.75,6.8,6.05,6.05
42000144,5.8,7.0,5.2,6.0,6.0
42000145,5.8,5.5,2.6,4.633333333333334,4.633333333333334
42000146,6.6,7.0,4.4,6.0,6.0
42000147,6.2,7.25,3.2,5.55,5.55
42000148,5.8,6.75,6.8,6.45,6.45
42000149,4.6,4.25,3.0,3.95,3.9499999999999997
42000150,5.2,7.0,5.4,5.866666666666667,5.866666666666667
42000151,5.6,5.5,6.6,5.9,5.8999999999999995
42000152,5.8,4.75,5.8,5.45,5.45
42000153,6.6,7.75,5.0,6.45,6.45
42000154,5.2,5.0,4.0,4.733333333333333,4.733333333333333
