SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
15000001,7.4,4.0,2.6,4.666666666666667,4.666666666666667
15000002,8.6,7.0,6.0,7.2,7.2
15000003,7.6,8.0,8.0,7.866666666666667,7.866666666666667
15000004,6.2,7.5,8.4,7.366666666666667,7.366666666666667
15000005,3.8,8.25,5.8,5.95,5.95
15000006,4.0,4.75,4.2,4.316666666666666,4.316666666666666
15000007,5.2,8.25,4.8,6.083333333333333,6.083333333333333
15000008,4.4,8.0,3.6,5.333333333333333,5.333333333333333
15000009,6.8,7.25,4.8,6.283333333333334,6.283333333333334
15000010,7.4,3.5,4.2,5.033333333333334,5.033333333333334
15000011,9.0,8.5,6.6,8.033333333333333,8.033333333333333
15000012,8.6,6.5,7.8,7.633333333333333,7.633333333333333
15000013,7.6,8.0,9.0,8.200000000000001,8.200000000000001
15000014,6.6,7.75,5.0,6.45,6.45
15000015,7.0,6.5,4.2,5.9,5.8999999999999995
15000016,6.0,8.0,7.0,7.0,7.0
15000017,5.8,7.75,8.0,7.183333333333334,7.183333333333334
15000018,6.4,6.75,4.6,5.916666666666667,5.916666666666667
15000019,5.6,7.0,10.0,7.533333333333334,7.533333333333334
15000020,6.0,6.5,9.6,7.366666666666667,7.366666666666667
15000021,5.6,7.25,3.4,5.416666666666667,5.416666666666667
15000022,7.6,5.0,4.4,5.666666666666667,5.666666666666667
15000023,7.0,5.25,9.8,7.35,7.3500000000000005
15000024,8.2,3.5,5.4,5.7,5.7
15000025,6.8,7.75,4.0,6.183333333333334,6.183333333333334
15000026,7.6,7.25,5.0,6.616666666666667,6.616666666666667
15000027,3.8,7.75,6.2,5.916666666666667,5.916666666666667
15000028,5.4,7.75,7.6,6.916666666666667,6.916666666666667
15000029,7.0,8.5,8.0,7.833333333333333,7.833333333333333
15000030,8.6,6.5,5.0,6.7,6.7
15000031,7.0,6.5,6.8,6.766666666666667,6.766666666666667
15000032,8.6,7.5,10.0,8.700000000000001,8.700000000000001
15000033,8.4,5.5,6.4,6.766666666666667,6.766666666666667
15000034,6.8,6.25,6.2,6.416666666666667,6.416666666666667
15000035,6.8,7.75,5.4,6.650000000000001,6.650000000000001
15000036,9.4,7.0,5.4,7.266666666666666,7.266666666666666
15000037,6.8,8.5,7.8,7.7,7.7
15000038,4.4,8.0,4.8,5.733333333333333,5.733333333333333
15000039,6.2,8.0,8.2,7.466666666666666,7.466666666666666
15000040,5.8,7.25,4.8,5.95,5.95
15000041,6.0,6.5,7.0,6.5,6.5
15000042,6.0,4.0,4.6,4.866666666666666,4.866666666666666
15000043,7.2,6.75,5.0,6.316666666666666,6.316666666666666
15000044,5.4,6.25,8.6,6.75,6.75
15000045,6.8,4.5,4.6,5.3,5.3
15000046,8.0,3.75,4.2,5.316666666666666,5.316666666666666
15000047,4.8,8.0,3.2,5.333333333333333,5.333333333333333
15000048,4.0,7.0,6.4,5.8,5.8
15000049,6.4,6.0,6.6,6.333333333333333,6.333333333333333
15000050,5.2,8.25,6.2,6.55,6.55
15000051,6.6,7.5,8.4,7.5,7.5
15000052,4.8,7.0,6.2,6.0,6.0
15000053,7.6,8.25,8.6,8.15,8.15
15000054,5.6,8.25,3.8,5.883333333333333,5.883333333333333
15000055,8.4,6.25,4.0,6.216666666666666,6.216666666666666
15000056,7.0,8.5,9.0,8.166666666666666,8.166666666666666
15000057,5.8,7.0,7.8,6.866666666666667,6.866666666666667
15000058,7.8,8.0,9.2,8.333333333333334,8.333333333333334
