SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
39000001,2.4,5.5,3.0,3.633333333333333,3.6333333333333333
39000002,5.4,6.5,1.6,4.5,4.5
39000003,4.6,5.75,3.2,4.516666666666667,4.516666666666667
39000004,4.2,5.75,3.0,4.316666666666666,4.316666666666666
39000005,4.6,4.25,3.8,4.216666666666666,4.216666666666666
39000006,6.8,5.25,1.8,4.616666666666667,4.616666666666667
39000007,5.0,4.75,3.0,4.25,4.25
39000008,3.2,4.0,1.8,3.0,3.0
39000009,6.2,6.25,1.8,4.75,4.75
39000010,5.4,3.25,4.0,4.216666666666667,4.216666666666667
39000011,4.8,5.0,3.4,4.4,4.4
39000012,3.0,2.75,3.4,3.0500000000000003,3.0500000000000003
39000013,4.8,5.0,2.4,4.066666666666667,4.066666666666667
39000014,4.8,5.5,2.6,4.3,4.3
39000015,5.2,5.0,3.6,4.6,4.6
39000016,4.8,4.25,2.8,3.9500000000000006,3.9500000000000006
39000017,4.6,6.0,4.8,5.133333333333333,5.133333333333333
39000018,3.0,4.75,2.6,3.45,3.4499999999999997
39000019,2.4,4.25,2.0,2.8833333333333333,2.8833333333333333
39000020,2.8,1.5,2.0,2.1,2.1
39000021,2.8,1.75,2.8,2.45,2.4499999999999997
39000022,6.0,6.0,3.0,5.0,5.0
39000023,2.6,5.25,3.6,3.8166666666666655,3.8166666666666664
39000024,4.8,5.25,3.2,4.416666666666667,4.416666666666667
39000025,5.0,6.0,5.2,5.4,5.3999999999999995
39000026,4.6,6.25,4.4,5.083333333333333,5.083333333333333
39000027,6.0,4.5,2.2,4.233333333333333,4.233333333333333
39000028,5.6,3.25,2.4,3.75,3.75
39000029,8.2,5.0,9.0,7.399999999999999,7.3999999999999995
39000030,3.0,5.0,2.6,3.533333333333333,3.533333333333333
39000031,1.8,4.25,2.6,2.8833333333333333,2.8833333333333333
39000032,5.4,4.0,3.2,4.2,4.2
39000033,3.4,5.5,2.8,3.9,3.9
39000034,4.0,2.75,2.2,2.983333333333333,2.983333333333333
