SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
33000001,5.4,5.25,3.4,4.683333333333334,4.683333333333334
33000002,6.2,4.75,5.4,5.45,5.45
33000003,4.2,3.0,2.0,3.0666666666666664,3.0666666666666664
33000004,6.0,5.0,4.6,5.2,5.2
33000005,4.2,4.75,2.4,3.783333333333333,3.783333333333333
33000006,5.0,5.25,3.6,4.616666666666666,4.616666666666666
33000007,6.8,5.5,4.6,5.633333333333333,5.633333333333333
33000008,6.2,5.75,3.4,5.116666666666666,5.116666666666666
33000009,6.8,6.25,4.6,5.883333333333333,5.883333333333333
33000010,6.6,6.5,5.0,6.033333333333334,6.033333333333334
33000011,5.4,5.0,3.0,4.466666666666667,4.466666666666667
33000012,4.6,4.0,1.4,3.333333333333333,3.3333333333333335
33000013,4.4,5.0,2.4,3.9333333333333336,3.9333333333333336
33000014,4.0,4.0,3.0,3.6666666666666665,3.6666666666666665
33000015,2.6,4.25,2.8,3.2166666666666663,3.2166666666666663
33000016,3.2,2.75,0.0,1.9833333333333332,1.9833333333333334
33000017,7.0,3.5,4.2,4.9,4.8999999999999995
33000018,4.8,5.75,2.6,4.383333333333334,4.383333333333334
33000019,4.6,5.5,3.4,4.5,4.5
33000020,7.0,3.25,3.4,4.55,4.55
33000021,6.0,5.0,2.8,4.6000000000000005,4.6000000000000005
33000022,6.4,4.5,2.8,4.566666666666666,4.566666666666666
33000023,6.8,4.5,4.0,5.1000000000000005,5.1000000000000005
33000024,5.6,5.25,4.0,4.95,4.95
33000025,6.8,5.5,3.2,5.166666666666667,5.166666666666667
33000026,3.4,5.0,2.2,3.5333333333333337,3.5333333333333337
33000027,3.4,4.25,2.4,3.35,3.35
33000028,5.8,8.0,7.0,6.933333333333334,6.933333333333334
33000029,4.8,4.0,3.0,3.9333333333333336,3.9333333333333336
33000030,2.6,5.5,2.8,3.633333333333333,3.633333333333333
33000031,2.8,4.5,3.2,3.5,3.5
33000032,3.0,3.5,2.2,2.9,2.9
33000033,5.4,5.25,2.4,4.3500000000000005,4.3500000000000005
33000034,4.8,4.0,0.0,2.9333333333333336,2.9333333333333336
33000035,3.4,4.5,3.2,3.7000000000000006,3.7000000000000006
33000036,3.4,5.0,2.6,3.6666666666666665,3.6666666666666665
33000037,6.0,3.75,4.2,4.65,4.6499999999999995
33000038,3.4,5.0,1.2,3.2,3.1999999999999997
33000039,3.6,2.25,4.0,3.283333333333333,3.283333333333333
33000040,5.4,5.5,0.0,3.633333333333333,3.6333333333333333
33000041,3.4,7.0,3.0,4.466666666666667,4.466666666666667
33000042,7.6,4.5,5.8,5.966666666666666,5.966666666666666
33000043,6.2,6.0,5.0,5.733333333333333,5.733333333333333
33000044,3.2,3.75,4.2,3.716666666666667,3.716666666666667
33000045,4.6,4.75,2.8,4.05,4.05
33000046,6.0,5.75,3.0,4.916666666666667,4.916666666666667
33000047,5.4,5.25,3.2,4.616666666666667,4.616666666666667
33000048,3.8,5.0,3.0,3.9333333333333336,3.9333333333333336
33000049,3.8,5.25,3.4,4.15,4.15
33000050,3.2,4.0,1.8,3.0,3.0
33000051,7.8,5.75,9.0,7.516666666666667,7.516666666666667
33000052,3.0,4.5,0.0,2.5,2.5
33000053,5.6,4.0,3.4,4.333333333333333,4.333333333333333
33000054,5.4,3.75,2.6,3.9166666666666665,3.9166666666666665
33000055,3.0,5.0,2.2,3.4,3.4
33000056,3.6,4.25,1.8,3.216666666666667,3.216666666666667
