SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
16000001,8.0,0.0,0.0,2.6666666666666665,2.6666666666666665
16000002,0.0,8.0,0.0,2.6666666666666665,2.6666666666666665
16000003,0.0,6.75,0.0,2.25,2.25
16000004,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000005,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666
16000006,0.0,7.25,0.0,2.4166666666666665,2.4166666666666665
16000007,2.2,3.25,0.0,1.8166666666666669,1.8166666666666667
16000008,3.2,6.0,0.0,3.0666666666666664,3.0666666666666664
16000009,1.6,3.25,0.0,1.6166666666666665,1.6166666666666665
16000010,3.2,5.0,0.0,2.733333333333333,2.733333333333333
16000011,7.6,0.0,0.0,2.533333333333333,2.533333333333333
16000012,2.6,1.5,0.0,1.3666666666666665,1.3666666666666665
16000013,3.2,0.0,0.0,1.0666666666666669,1.0666666666666667
16000014,2.0,0.0,3.0,1.6666666666666667,1.6666666666666667
16000015,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000016,1.6,3.5,0.0,1.7,1.7
16000017,2.0,3.5,0.0,1.8333333333333333,1.8333333333333333
16000018,2.4,0.0,0.0,0.7999999999999999,0.7999999999999999
16000020,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000021,6.8,0.0,3.8,3.533333333333333,3.533333333333333
16000022,6.8,0.0,0.0,2.2666666666666666,2.2666666666666666
16000023,6.4,0.0,7.2,4.533333333333334,4.533333333333334
16000024,1.2,3.5,0.0,1.5666666666666669,1.5666666666666667
16000025,3.4,5.75,0.0,3.0500000000000003,3.0500000000000003
16000026,2.8,2.75,0.0,1.85,1.8499999999999999
16000027,2.4,0.0,0.0,0.7999999999999999,0.7999999999999999
16000028,2.8,1.75,0.0,1.5166666666666666,1.5166666666666666
16000029,3.6,2.0,0.0,1.8666666666666665,1.8666666666666665
16000030,7.4,0.0,0.0,2.466666666666667,2.466666666666667
16000031,4.2,5.25,0.0,3.15,3.15
16000032,2.0,4.0,0.0,2.0,2.0
16000033,5.2,0.0,0.0,1.7333333333333334,1.7333333333333334
16000034,0.0,7.25,0.0,2.4166666666666665,2.4166666666666665
16000035,3.8,4.0,0.0,2.6,2.6
16000036,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000037,2.6,2.75,0.0,1.7833333333333332,1.7833333333333332
16000038,6.8,0.0,0.0,2.2666666666666666,2.2666666666666666
16000040,4.8,5.25,6.4,5.483333333333334,5.483333333333334
16000041,2.4,2.25,0.0,1.55,1.55
16000042,4.8,4.0,0.0,2.9333333333333336,2.9333333333333336
16000043,4.2,3.25,0.0,2.4833333333333334,2.4833333333333334
16000044,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000045,2.0,0.0,2.0,1.3333333333333333,1.3333333333333333
16000046,4.6,0.0,3.8,2.7999999999999994,2.7999999999999994
16000047,1.6,1.25,0.0,0.95,0.9500000000000001
16000048,7.8,0.0,7.0,4.933333333333334,4.933333333333334
16000049,4.2,5.0,8.4,5.866666666666667,5.866666666666667
16000050,6.0,0.0,0.0,2.0,2.0
16000051,2.2,1.75,0.0,1.3166666666666669,1.3166666666666667
16000052,3.8,0.0,0.0,1.2666666666666666,1.2666666666666666
16000054,3.6,0.0,0.0,1.2,1.2
16000055,2.6,4.5,0.0,2.3666666666666667,2.3666666666666667
16000056,1.4,2.25,0.0,1.2166666666666666,1.2166666666666666
16000058,3.0,2.5,0.0,1.8333333333333333,1.8333333333333333
16000059,2.4,1.25,0.0,1.2166666666666666,1.2166666666666666
16000060,6.8,7.75,7.2,7.25,7.25
16000061,2.6,3.25,0.0,1.95,1.95
16000062,7.2,6.25,0.0,4.483333333333333,4.483333333333333
16000063,6.0,3.75,0.0,3.25,3.25
16000064,3.0,0.0,0.0,1.0,1.0
16000065,2.2,2.75,0.0,1.65,1.6500000000000001
16000066,3.2,0.0,0.0,1.0666666666666669,1.0666666666666667
16000067,2.4,4.25,0.0,2.216666666666667,2.216666666666667
16000068,0.0,7.75,3.8,3.85,3.85
16000069,4.6,2.75,0.0,2.45,2.4499999999999997
16000070,2.4,0.0,0.0,0.7999999999999999,0.7999999999999999
16000071,7.6,0.0,0.0,2.533333333333333,2.533333333333333
16000072,3.8,0.0,0.0,1.2666666666666666,1.2666666666666666
16000073,6.2,0.0,0.0,2.066666666666667,2.066666666666667
16000074,2.6,4.0,0.0,2.2,2.1999999999999997
16000075,6.6,7.75,0.0,4.783333333333333,4.783333333333333
16000076,2.6,6.0,0.0,2.8666666666666667,2.8666666666666667
16000077,6.6,0.0,0.0,2.2,2.1999999999999997
16000078,5.6,5.0,0.0,3.533333333333333,3.533333333333333
16000079,2.0,2.0,0.0,1.3333333333333333,1.3333333333333333
16000080,4.6,3.0,0.0,2.533333333333333,2.533333333333333
16000081,5.2,5.5,0.0,3.5666666666666664,3.5666666666666664
16000082,1.8,0.0,2.0,1.2666666666666666,1.2666666666666666
16000083,6.6,0.0,0.0,2.2,2.1999999999999997
16000084,6.0,7.5,0.0,4.5,4.5
16000085,2.6,4.0,0.0,2.2,2.1999999999999997
16000086,5.4,6.5,0.0,3.966666666666667,3.966666666666667
16000087,7.0,4.75,0.0,3.9166666666666665,3.9166666666666665
16000088,5.8,0.0,5.6,3.8,3.7999999999999994
16000089,3.2,1.5,0.0,1.5666666666666669,1.5666666666666667
16000090,7.6,4.5,3.2,5.1000000000000005,5.1000000000000005
16000091,3.6,4.0,0.0,2.533333333333333,2.533333333333333
16000092,2.8,3.25,3.0,3.016666666666667,3.016666666666667
16000093,7.2,0.0,0.0,2.4,2.4
16000094,3.2,3.0,0.0,2.066666666666667,2.066666666666667
16000095,5.4,7.5,0.0,4.3,4.3
16000096,2.2,0.0,1.6,1.2666666666666668,1.2666666666666668
16000097,6.2,5.25,0.0,3.8166666666666655,3.8166666666666664
16000098,6.6,6.75,0.0,4.45,4.45
16000099,7.6,0.0,0.0,2.533333333333333,2.533333333333333
16000100,6.0,8.5,5.8,6.766666666666667,6.766666666666667
16000101,2.2,2.0,0.0,1.4,1.4000000000000001
16000102,2.4,3.0,0.0,1.8,1.8
16000103,4.8,6.5,0.0,3.766666666666667,3.766666666666667
16000104,6.4,0.0,0.0,2.1333333333333333,2.1333333333333333
16000105,6.0,0.0,0.0,2.0,2.0
16000106,2.8,1.0,0.0,1.2666666666666666,1.2666666666666666
16000107,8.0,0.0,4.6,4.2,4.2
16000108,3.2,0.0,0.0,1.0666666666666669,1.0666666666666667
16000109,2.4,4.0,0.0,2.1333333333333333,2.1333333333333333
16000110,6.6,0.0,0.0,2.2,2.1999999999999997
16000111,2.2,0.0,1.8,1.3333333333333333,1.3333333333333333
16000112,3.8,6.75,0.0,3.516666666666667,3.516666666666667
16000113,5.2,0.0,2.8,2.6666666666666665,2.6666666666666665
16000114,1.6,3.0,0.0,1.5333333333333332,1.5333333333333332
16000115,5.6,5.5,0.0,3.7,3.6999999999999997
16000116,6.4,4.25,0.0,3.5500000000000003,3.5500000000000003
16000117,3.4,0.0,2.0,1.8,1.8
16000118,7.2,0.0,0.0,2.4,2.4
16000119,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
16000120,3.2,3.5,0.0,2.2333333333333334,2.2333333333333334
16000122,6.2,0.0,0.0,2.066666666666667,2.066666666666667
16000123,2.8,4.0,0.0,2.2666666666666666,2.2666666666666666
16000124,9.2,0.0,8.4,5.866666666666667,5.866666666666667
16000125,3.4,0.0,3.4,2.2666666666666666,2.2666666666666666
16000126,2.6,1.5,0.0,1.3666666666666665,1.3666666666666665
16000127,6.4,0.0,0.0,2.1333333333333333,2.1333333333333333
16000128,3.4,0.0,0.0,1.1333333333333333,1.1333333333333333
16000129,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
