SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
62000001,6.4,0.0,2.6,3.0,3.0
62000002,6.2,8.5,3.6,6.1000000000000005,6.1000000000000005
62000003,7.0,7.5,4.2,6.233333333333333,6.233333333333333
62000004,5.4,7.75,2.0,5.05,5.05
62000005,5.8,7.75,4.6,6.05,6.05
62000006,4.0,6.5,6.6,5.7,5.7
62000007,5.2,6.25,3.2,4.883333333333333,4.883333333333333
62000008,4.0,4.0,1.6,3.2,3.1999999999999997
62000009,6.2,7.5,4.8,6.166666666666667,6.166666666666667
62000010,5.8,6.25,2.8,4.95,4.95
62000011,4.6,6.75,4.4,5.25,5.25
62000012,5.0,7.5,2.8,5.1000000000000005,5.1000000000000005
62000013,5.2,5.5,3.2,4.633333333333333,4.633333333333333
62000014,5.6,7.0,3.8,5.466666666666666,5.466666666666666
62000015,3.0,6.75,2.0,3.9166666666666665,3.9166666666666665
62000016,2.8,5.75,2.6,3.716666666666667,3.716666666666667
62000017,6.8,8.25,6.6,7.216666666666666,7.216666666666666
62000018,3.8,7.75,2.6,4.716666666666667,4.716666666666667
62000019,4.2,5.5,2.6,4.1,4.1
62000020,4.2,7.0,4.2,5.133333333333333,5.133333333333333
62000021,3.0,7.0,2.0,4.0,4.0
62000022,6.0,6.75,2.8,5.183333333333334,5.183333333333334
62000023,4.8,8.25,4.2,5.75,5.75
62000024,5.0,7.0,3.2,5.066666666666666,5.066666666666666
62000025,5.0,8.25,0.0,4.416666666666667,4.416666666666667
62000026,5.8,8.75,4.2,6.25,6.25
62000027,6.6,7.0,4.4,6.0,6.0
62000028,5.4,4.5,2.6,4.166666666666667,4.166666666666667
62000029,4.4,6.75,4.2,5.116666666666667,5.116666666666667
62000030,6.0,9.0,7.6,7.533333333333334,7.533333333333334
62000031,2.6,7.0,0.0,3.2,3.1999999999999997
62000032,3.8,5.25,3.0,4.016666666666667,4.016666666666667
62000033,5.4,7.75,2.4,5.183333333333334,5.183333333333334
62000034,5.8,6.5,3.6,5.3,5.3
62000035,3.8,5.75,2.4,3.983333333333334,3.983333333333334
62000036,2.8,6.75,0.0,3.1833333333333336,3.1833333333333336
62000037,6.4,7.0,5.6,6.333333333333333,6.333333333333333
62000038,4.8,6.0,0.0,3.6,3.6
62000039,5.6,5.0,4.6,5.066666666666666,5.066666666666666
62000040,5.2,8.5,4.0,5.9,5.8999999999999995
62000041,6.4,6.75,0.0,4.383333333333334,4.383333333333334
62000042,5.8,8.25,4.2,6.083333333333333,6.083333333333333
62000043,3.8,3.75,0.0,2.5166666666666666,2.5166666666666666
62000044,5.4,5.5,2.2,4.366666666666667,4.366666666666667
62000045,5.2,7.25,3.8,5.416666666666667,5.416666666666667
62000046,5.8,8.0,4.2,6.0,6.0
62000047,3.6,5.0,3.2,3.9333333333333336,3.9333333333333336
62000048,3.2,5.25,0.0,2.8166666666666664,2.8166666666666664
62000049,4.8,7.75,7.0,6.516666666666667,6.516666666666667
62000050,6.8,5.25,6.2,6.083333333333333,6.083333333333333
62000051,3.0,5.75,1.4,3.3833333333333333,3.3833333333333333
62000052,4.4,7.75,5.6,5.916666666666667,5.916666666666667
62000053,4.6,5.75,3.2,4.516666666666667,4.516666666666667
62000054,5.6,6.5,4.8,5.633333333333333,5.633333333333333
62000055,3.0,4.25,3.2,3.483333333333333,3.483333333333333
62000056,2.4,6.25,0.0,2.8833333333333333,2.8833333333333333
62000057,4.8,5.25,3.0,4.3500000000000005,4.3500000000000005
62000058,6.0,8.75,4.2,6.316666666666666,6.316666666666666
62000059,3.6,6.25,3.8,4.55,4.55
62000060,3.8,7.25,3.0,4.683333333333334,4.683333333333334
62000061,6.2,8.5,0.0,4.9,4.8999999999999995
62000062,5.6,6.75,4.2,5.516666666666667,5.516666666666667
62000063,6.0,6.25,5.6,5.95,5.95
62000064,4.2,5.5,0.0,3.233333333333333,3.233333333333333
62000065,5.4,7.5,2.4,5.1000000000000005,5.1000000000000005
62000066,6.8,8.25,2.8,5.95,5.95
62000067,2.8,7.25,0.0,3.35,3.35
62000068,4.2,4.25,0.0,2.8166666666666664,2.8166666666666664
62000069,5.6,5.5,0.0,3.7,3.6999999999999997
62000070,3.8,4.25,0.0,2.6833333333333336,2.6833333333333336
62000071,2.0,5.0,0.0,2.333333333333333,2.3333333333333335
62000072,5.0,6.25,3.8,5.016666666666667,5.016666666666667
62000073,2.4,0.0,0.0,0.7999999999999999,0.7999999999999999
62000074,0.0,7.75,0.0,2.583333333333333,2.5833333333333335
62000075,4.8,6.5,0.0,3.766666666666667,3.766666666666667
62000076,5.8,7.5,0.0,4.433333333333334,4.433333333333334
62000077,2.0,4.0,0.0,2.0,2.0
62000078,4.6,5.0,2.6,4.066666666666666,4.066666666666666
62000079,5.2,8.0,0.0,4.4,4.3999999999999995
62000080,6.2,7.0,0.0,4.4,4.3999999999999995
62000081,4.6,5.75,3.2,4.516666666666667,4.516666666666667
62000082,6.0,7.25,2.6,5.283333333333333,5.283333333333333
62000083,6.4,7.75,0.0,4.716666666666667,4.716666666666667
62000084,5.2,6.75,4.0,5.316666666666666,5.316666666666666
62000085,3.8,5.25,0.0,3.016666666666667,3.016666666666667
62000086,5.2,2.75,3.2,3.716666666666667,3.716666666666667
62000087,5.0,4.5,4.0,4.5,4.5
62000088,4.4,6.5,0.0,3.633333333333333,3.6333333333333333
62000089,5.2,6.5,3.2,4.966666666666666,4.966666666666666
62000090,2.8,3.75,3.4,3.3166666666666664,3.3166666666666664
62000091,4.6,5.5,1.6,3.9,3.9
62000092,5.6,6.75,3.2,5.183333333333334,5.183333333333334
62000093,1.8,0.0,0.0,0.6,0.6
62000094,4.2,7.5,0.0,3.9,3.9
62000095,3.6,4.75,3.2,3.85,3.85
62000096,5.6,6.5,3.0,5.033333333333333,5.033333333333333
62000097,4.8,6.75,3.6,5.05,5.05
62000098,3.6,5.25,4.0,4.283333333333333,4.283333333333333
62000099,5.8,6.75,4.4,5.650000000000001,5.650000000000001
62000100,3.6,7.75,0.0,3.783333333333333,3.783333333333333
62000101,5.2,7.25,0.0,4.15,4.1499999999999995
62000102,5.4,3.5,4.4,4.433333333333334,4.433333333333334
62000103,6.6,3.5,2.2,4.1000000000000005,4.1000000000000005
62000104,4.6,3.0,0.0,2.533333333333333,2.533333333333333
62000105,3.0,4.0,0.0,2.333333333333333,2.3333333333333335
62000106,0.0,5.75,0.0,1.9166666666666667,1.9166666666666667
62000107,2.0,2.0,2.2,2.066666666666667,2.066666666666667
62000108,9.2,0.0,0.0,3.0666666666666664,3.0666666666666664
62000109,3.8,6.0,3.0,4.266666666666667,4.266666666666667
62000110,2.2,4.75,0.0,2.316666666666667,2.316666666666667
62000111,4.4,6.0,4.4,4.933333333333334,4.933333333333334
62000112,5.8,9.5,5.8,7.033333333333334,7.033333333333334
62000113,2.8,6.25,3.8,4.283333333333334,4.283333333333334
62000114,5.2,7.5,7.0,6.566666666666666,6.566666666666666
62000115,3.6,2.5,2.4,2.833333333333333,2.8333333333333335
62000116,5.4,8.0,3.2,5.533333333333334,5.533333333333334
62000117,5.8,8.25,3.8,5.95,5.95
62000118,4.6,7.5,5.2,5.766666666666667,5.766666666666667
62000119,6.6,0.0,0.0,2.2,2.1999999999999997
62000120,6.8,7.25,4.0,6.016666666666667,6.016666666666667
62000121,6.0,6.5,5.0,5.833333333333333,5.833333333333333
62000122,2.4,5.5,0.0,2.6333333333333333,2.6333333333333333
62000123,5.0,6.0,2.4,4.466666666666667,4.466666666666667
62000124,3.2,3.0,0.0,2.066666666666667,2.066666666666667
62000125,0.0,6.75,0.0,2.25,2.25
62000126,3.4,5.25,2.0,3.5500000000000003,3.5500000000000003
62000127,4.0,7.25,6.4,5.883333333333333,5.883333333333333
62000128,5.8,5.25,5.6,5.55,5.55
62000129,4.2,4.5,4.0,4.233333333333333,4.233333333333333
62000130,5.4,4.5,3.0,4.3,4.3
62000131,5.6,5.0,4.2,4.933333333333334,4.933333333333334
62000132,4.0,5.5,0.0,3.1666666666666665,3.1666666666666665
62000133,3.6,4.0,3.0,3.533333333333333,3.533333333333333
62000134,2.8,5.0,0.0,2.6,2.6
62000135,6.8,7.25,5.4,6.483333333333334,6.483333333333334
62000136,5.8,5.0,5.2,5.333333333333333,5.333333333333333
62000137,5.6,5.75,0.0,3.783333333333333,3.783333333333333
62000138,3.0,0.0,0.0,1.0,1.0
62000139,6.0,0.0,0.0,2.0,2.0
62000140,3.8,6.25,2.8,4.283333333333334,4.283333333333334
62000141,3.8,5.0,2.4,3.733333333333334,3.733333333333334
62000142,4.2,7.5,3.0,4.9,4.8999999999999995
62000143,5.8,6.75,0.0,4.183333333333334,4.183333333333334
62000144,4.6,7.5,0.0,4.033333333333333,4.033333333333333
62000145,2.0,3.75,0.0,1.9166666666666667,1.9166666666666667
62000146,4.2,5.75,3.4,4.45,4.45
62000147,5.4,6.5,3.0,4.966666666666667,4.966666666666667
62000148,5.6,5.25,5.4,5.416666666666667,5.416666666666667
62000149,4.6,5.0,2.6,4.066666666666666,4.066666666666666
62000150,2.0,5.75,0.0,2.583333333333333,2.5833333333333335
