SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
49000001,6.8,5.25,3.0,5.016666666666667,5.016666666666667
49000002,3.6,6.0,3.6,4.4,4.3999999999999995
49000003,3.8,2.0,3.4,3.0666666666666664,3.0666666666666664
49000004,4.0,3.25,3.4,3.5500000000000003,3.5500000000000003
49000005,3.6,4.0,4.4,4.0,4.0
49000006,4.6,3.5,3.0,3.7,3.6999999999999997
49000007,4.2,4.25,2.8,3.75,3.75
49000008,7.0,5.5,3.4,5.3,5.3
49000009,3.0,4.0,3.0,3.333333333333333,3.3333333333333335
49000010,5.0,4.5,4.4,4.633333333333334,4.633333333333334
49000011,6.4,4.5,4.8,5.233333333333333,5.233333333333333
49000012,7.0,5.5,4.2,5.566666666666666,5.566666666666666
49000013,6.8,6.25,4.6,5.883333333333333,5.883333333333333
49000014,5.2,4.75,2.6,4.183333333333333,4.183333333333333
49000015,6.2,3.0,7.0,5.4,5.3999999999999995
49000016,6.4,6.5,7.8,6.9,6.8999999999999995
49000017,7.0,6.75,4.4,6.05,6.05
49000018,5.0,4.5,3.2,4.233333333333333,4.233333333333333
49000019,5.2,3.75,2.2,3.7166666666666655,3.7166666666666663
49000020,6.2,4.25,3.8,4.75,4.75
49000021,6.0,5.5,2.2,4.566666666666666,4.566666666666666
49000022,6.2,6.25,4.4,5.616666666666667,5.616666666666667
49000023,5.0,5.75,4.2,4.983333333333333,4.983333333333333
49000024,5.0,6.75,4.8,5.516666666666667,5.516666666666667
49000025,6.0,4.5,3.0,4.5,4.5
49000026,2.8,4.75,3.4,3.65,3.65
49000027,5.8,7.0,5.8,6.2,6.2
49000028,3.6,5.5,4.4,4.5,4.5
49000029,4.4,4.0,2.8,3.733333333333333,3.733333333333333
49000030,4.0,3.75,0.0,2.583333333333333,2.5833333333333335
49000031,5.0,5.25,3.6,4.616666666666666,4.616666666666666
49000032,6.4,5.0,3.4,4.933333333333334,4.933333333333334
49000033,5.6,5.5,3.8,4.966666666666666,4.966666666666666
49000034,3.2,5.0,3.0,3.733333333333333,3.733333333333333
49000035,5.8,5.0,2.0,4.266666666666667,4.266666666666667
49000036,4.6,5.25,2.6,4.15,4.1499999999999995
49000037,3.8,5.25,3.2,4.083333333333333,4.083333333333333
