SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
29000001,7.0,5.75,4.2,5.65,5.6499999999999995
29000002,7.8,6.5,2.0,5.433333333333334,5.433333333333334
29000003,7.2,5.25,4.0,5.483333333333333,5.483333333333333
29000004,5.8,4.5,2.4,4.233333333333333,4.233333333333333
29000005,5.8,5.75,2.8,4.783333333333334,4.783333333333334
29000006,7.8,7.75,5.2,6.916666666666667,6.916666666666667
29000007,6.0,6.75,2.0,4.916666666666667,4.916666666666667
29000008,6.4,6.0,4.4,5.6000000000000005,5.6000000000000005
29000009,8.2,6.25,2.4,5.616666666666666,5.616666666666666
29000010,5.4,7.75,4.0,5.716666666666666,5.716666666666666
29000011,4.2,6.25,2.0,4.15,4.1499999999999995
29000012,5.8,6.25,2.8,4.95,4.95
29000013,6.2,7.0,3.6,5.6000000000000005,5.6000000000000005
29000014,8.2,6.5,4.6,6.433333333333333,6.433333333333333
29000015,7.4,5.75,3.0,5.383333333333333,5.383333333333333
29000016,6.2,5.0,1.6,4.266666666666667,4.266666666666667
29000017,4.6,5.25,3.2,4.3500000000000005,4.3500000000000005
29000018,7.0,7.0,2.6,5.533333333333334,5.533333333333334
29000019,6.6,7.75,3.6,5.983333333333333,5.983333333333333
29000020,3.4,7.0,2.4,4.266666666666667,4.266666666666667
29000021,4.4,5.75,2.8,4.316666666666666,4.316666666666666
29000022,6.0,8.0,4.2,6.066666666666666,6.066666666666666
29000023,4.4,5.75,3.8,4.65,4.6499999999999995
29000024,8.0,6.75,7.8,7.516666666666667,7.516666666666667
29000025,5.6,4.75,2.8,4.383333333333333,4.383333333333333
29000026,2.2,6.5,2.2,3.633333333333333,3.633333333333333
29000027,2.6,5.0,3.4,3.6666666666666665,3.6666666666666665
29000028,4.4,7.0,3.6,5.0,5.0
29000029,7.6,6.25,3.4,5.75,5.75
29000030,4.2,3.67,3.0,3.6233333333333335,3.6233333333333335
29000031,4.2,6.75,3.0,4.65,4.6499999999999995
29000032,3.6,7.5,3.2,4.766666666666667,4.766666666666667
29000033,7.4,8.0,5.4,6.933333333333334,6.933333333333334
29000034,3.8,8.5,3.8,5.366666666666667,5.366666666666667
29000035,7.2,6.5,3.6,5.766666666666667,5.766666666666667
29000036,7.8,8.5,7.6,7.966666666666666,7.966666666666666
29000037,8.4,7.0,4.0,6.466666666666666,6.466666666666666
29000038,4.6,5.5,3.2,4.433333333333334,4.433333333333334
29000039,5.0,6.5,3.2,4.9,4.8999999999999995
29000040,5.4,6.75,4.4,5.516666666666667,5.516666666666667
29000041,2.8,4.0,3.2,3.333333333333333,3.3333333333333335
29000042,1.4,5.75,4.0,3.716666666666667,3.716666666666667
29000043,9.0,7.25,9.2,8.483333333333333,8.483333333333333
29000044,4.0,6.0,2.6,4.2,4.2
29000045,7.0,5.5,3.6,5.366666666666667,5.366666666666667
29000046,4.4,6.5,4.6,5.166666666666667,5.166666666666667
29000047,5.4,5.5,2.2,4.366666666666667,4.366666666666667
29000048,6.4,7.0,2.6,5.333333333333333,5.333333333333333
29000049,3.6,3.25,3.6,3.483333333333333,3.483333333333333
29000050,3.8,4.25,3.2,3.75,3.75
29000051,7.6,6.25,3.2,5.683333333333334,5.683333333333334
29000052,7.6,6.0,3.2,5.6000000000000005,5.6000000000000005
29000053,5.8,6.5,2.8,5.033333333333334,5.033333333333334
29000054,7.6,7.0,2.8,5.8,5.8
29000055,4.0,4.75,2.4,3.716666666666667,3.716666666666667
29000056,4.2,3.0,2.6,3.266666666666667,3.266666666666667
29000057,6.4,5.75,2.6,4.916666666666667,4.916666666666667
29000058,7.0,8.25,5.4,6.883333333333333,6.883333333333333
29000059,6.0,5.58,3.6,5.06,5.06
29000060,4.0,6.0,3.4,4.466666666666667,4.466666666666667
29000061,6.0,5.5,3.0,4.833333333333333,4.833333333333333
29000062,4.4,5.5,4.0,4.633333333333334,4.633333333333334
29000063,6.8,7.25,2.8,5.616666666666667,5.616666666666667
29000064,6.8,7.0,3.6,5.800000000000001,5.800000000000001
29000065,7.8,6.5,2.8,5.7,5.7
29000066,6.6,6.25,2.8,5.216666666666666,5.216666666666666
29000067,4.2,8.0,3.8,5.333333333333333,5.333333333333333
29000068,4.4,7.5,3.4,5.1000000000000005,5.1000000000000005
29000069,4.4,6.5,3.4,4.766666666666667,4.766666666666667
29000070,6.0,7.5,7.0,6.833333333333333,6.833333333333333
29000071,8.6,7.0,3.6,6.4,6.3999999999999995
29000072,4.2,6.0,4.2,4.8,4.8
29000073,8.2,8.75,7.4,8.116666666666667,8.116666666666667
29000074,7.8,6.75,2.8,5.783333333333334,5.783333333333334
29000075,4.4,6.75,3.6,4.916666666666667,4.916666666666667
29000076,3.8,6.5,4.2,4.833333333333333,4.833333333333333
29000077,5.2,7.5,3.2,5.3,5.3
29000078,8.8,8.0,8.8,8.533333333333333,8.533333333333333
29000079,8.8,7.75,9.6,8.716666666666667,8.716666666666667
29000080,7.2,7.5,3.8,6.166666666666667,6.166666666666667
29000081,6.0,8.0,2.2,5.4,5.3999999999999995
29000082,9.6,7.0,9.2,8.6,8.6
29000083,5.2,5.75,1.6,4.183333333333333,4.183333333333333
