SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
27000001,7.0,5.0,3.0,5.0,5.0
27000002,5.2,5.75,2.6,4.516666666666667,4.516666666666667
27000003,6.0,0.0,0.0,2.0,2.0
27000004,3.8,6.0,2.8,4.2,4.2
27000005,6.2,7.0,3.6,5.6000000000000005,5.6000000000000005
27000006,7.8,5.25,3.6,5.550000000000001,5.550000000000001
27000007,7.4,7.5,7.0,7.3,7.3
27000008,5.8,6.75,5.2,5.916666666666667,5.916666666666667
27000009,7.4,5.25,3.4,5.3500000000000005,5.3500000000000005
27000010,6.8,5.5,4.8,5.7,5.7
27000011,7.8,6.5,6.2,6.833333333333333,6.833333333333333
27000012,4.2,4.25,1.2,3.2166666666666663,3.2166666666666663
27000013,4.4,5.5,3.4,4.433333333333334,4.433333333333334
27000014,3.6,7.0,5.0,5.2,5.2
27000015,2.6,4.0,3.6,3.4,3.4
27000016,1.4,5.0,3.0,3.1333333333333333,3.1333333333333333
27000017,5.6,5.5,2.6,4.566666666666666,4.566666666666666
27000018,7.2,6.75,4.8,6.25,6.25
27000019,4.4,5.5,3.2,4.366666666666667,4.366666666666667
27000020,5.8,7.0,3.2,5.333333333333333,5.333333333333333
27000021,6.2,6.25,2.8,5.083333333333333,5.083333333333333
27000022,5.8,5.5,3.4,4.9,4.9
27000023,6.6,7.0,6.4,6.666666666666667,6.666666666666667
27000024,4.4,6.5,3.6,4.833333333333333,4.833333333333333
27000025,5.0,5.25,2.4,4.216666666666667,4.216666666666667
27000026,3.8,6.25,3.0,4.3500000000000005,4.3500000000000005
27000027,5.2,5.5,4.4,5.033333333333333,5.033333333333333
27000028,9.0,7.25,4.6,6.95,6.95
27000029,3.4,5.75,2.6,3.9166666666666665,3.9166666666666665
27000030,4.0,5.25,2.8,4.016666666666667,4.016666666666667
27000031,5.2,5.5,3.4,4.7,4.7
27000032,4.2,4.5,2.6,3.766666666666666,3.766666666666666
27000033,3.0,5.25,2.2,3.483333333333333,3.483333333333333
27000034,8.0,7.25,4.0,6.416666666666667,6.416666666666667
27000035,5.2,5.75,3.4,4.783333333333333,4.783333333333333
27000036,7.0,5.5,2.2,4.9,4.8999999999999995
27000037,3.6,6.0,2.6,4.066666666666666,4.066666666666666
27000038,5.8,7.25,5.2,6.083333333333333,6.083333333333333
27000039,6.6,7.0,3.6,5.733333333333333,5.733333333333333
27000040,3.6,6.25,3.0,4.283333333333333,4.283333333333333
27000041,3.0,5.0,1.6,3.2,3.1999999999999997
27000042,5.4,5.75,3.4,4.8500000000000005,4.8500000000000005
27000043,6.2,0.0,0.0,2.066666666666667,2.066666666666667
27000044,7.2,0.0,0.0,2.4,2.4
27000045,4.6,7.5,3.4,5.166666666666667,5.166666666666667
27000046,3.2,5.25,1.8,3.4166666666666665,3.4166666666666665
27000047,6.0,0.0,0.0,2.0,2.0
27000048,4.8,4.25,2.4,3.816666666666667,3.816666666666667
27000049,6.4,6.25,1.6,4.75,4.75
27000050,5.4,6.0,3.0,4.8,4.8
27000051,7.2,6.25,3.4,5.616666666666666,5.616666666666666
27000052,7.4,7.5,6.4,7.1000000000000005,7.1000000000000005
