SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
26000001,3.0,4.25,0.0,2.4166666666666665,2.4166666666666665
26000002,8.6,4.75,6.6,6.65,6.6499999999999995
26000003,7.2,0.0,0.0,2.4,2.4
26000004,7.8,6.5,4.8,6.366666666666667,6.366666666666667
26000005,5.4,4.5,0.0,3.3000000000000003,3.3000000000000003
26000006,7.2,6.25,9.6,7.683333333333333,7.683333333333333
26000007,7.4,7.0,6.6,7.0,7.0
26000008,8.0,6.0,9.2,7.733333333333333,7.733333333333333
26000009,7.4,5.5,7.2,6.7,6.7
26000010,7.4,5.25,9.4,7.35,7.3500000000000005
26000011,6.6,6.0,7.4,6.666666666666667,6.666666666666667
26000012,6.6,4.75,0.0,3.783333333333333,3.783333333333333
26000013,8.4,7.5,8.4,8.1,8.1
26000014,8.2,6.0,9.4,7.866666666666667,7.866666666666667
26000015,7.8,7.75,7.8,7.783333333333334,7.783333333333334
26000016,3.4,7.0,4.4,4.933333333333334,4.933333333333334
26000017,9.4,5.75,3.2,6.116666666666667,6.116666666666667
26000020,7.0,6.5,0.0,4.5,4.5
26000021,8.4,5.5,5.4,6.433333333333334,6.433333333333334
26000022,8.4,6.5,5.4,6.766666666666667,6.766666666666667
26000023,8.0,4.5,6.6,6.366666666666667,6.366666666666667
26000024,8.6,7.5,8.6,8.233333333333334,8.233333333333334
26000025,5.4,6.25,3.2,4.95,4.95
26000026,9.2,7.5,9.0,8.566666666666666,8.566666666666666
26000027,8.8,5.5,7.8,7.366666666666667,7.366666666666667
26000028,2.6,4.25,0.0,2.283333333333333,2.283333333333333
26000029,7.2,7.25,7.6,7.349999999999999,7.349999999999999
26000030,8.2,0.0,0.0,2.733333333333333,2.733333333333333
26000031,6.2,0.0,0.0,2.066666666666667,2.066666666666667
26000032,8.0,4.5,6.4,6.3,6.3
26000033,7.2,4.5,3.0,4.9,4.8999999999999995
26000034,4.2,4.0,0.0,2.733333333333333,2.733333333333333
26000035,2.4,3.0,0.0,1.8,1.8
26000036,4.2,4.25,0.0,2.8166666666666664,2.8166666666666664
26000037,7.8,7.5,9.2,8.166666666666666,8.166666666666666
26000038,2.8,3.75,0.0,2.183333333333333,2.183333333333333
26000039,8.4,4.5,5.6,6.166666666666667,6.166666666666667
26000040,7.2,0.0,0.0,2.4,2.4
26000041,9.0,4.25,8.0,7.083333333333333,7.083333333333333
26000042,5.8,4.0,0.0,3.266666666666667,3.266666666666667
26000043,2.8,6.0,0.0,2.9333333333333336,2.9333333333333336
26000044,5.0,6.25,2.6,4.616666666666666,4.616666666666666
26000045,2.2,2.25,0.0,1.4833333333333334,1.4833333333333334
26000046,6.8,6.5,7.2,6.833333333333333,6.833333333333333
26000047,3.4,7.5,3.0,4.633333333333334,4.633333333333334
