SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
9000001,7.8,8.5,7.2,7.833333333333333,7.833333333333333
9000002,7.0,7.5,6.6,7.033333333333334,7.033333333333334
9000003,5.8,6.25,6.6,6.216666666666666,6.216666666666666
9000004,5.8,7.0,2.2,5.0,5.0
9000005,6.6,6.75,8.8,7.383333333333333,7.383333333333333
9000006,3.8,7.25,4.2,5.083333333333333,5.083333333333333
9000007,6.4,7.5,4.2,6.033333333333334,6.033333333333334
9000008,6.6,6.5,3.4,5.5,5.5
9000009,5.6,6.25,4.6,5.483333333333333,5.483333333333333
9000010,9.2,7.25,5.0,7.15,7.1499999999999995
9000011,7.8,7.75,6.0,7.183333333333334,7.183333333333334
9000012,3.2,7.5,3.2,4.633333333333333,4.633333333333333
9000013,2.8,5.25,3.2,3.75,3.75
9000014,6.4,7.5,4.0,5.966666666666666,5.966666666666666
9000015,4.2,7.5,4.0,5.233333333333333,5.233333333333333
9000016,7.8,8.75,4.8,7.116666666666667,7.116666666666667
9000017,5.6,7.5,2.8,5.3,5.3
9000018,2.6,5.75,2.6,3.65,3.65
9000019,3.4,6.5,2.8,4.233333333333333,4.233333333333333
9000020,6.6,7.5,3.8,5.966666666666666,5.966666666666666
9000021,4.2,7.0,3.8,5.0,5.0
9000022,6.6,6.75,3.6,5.65,5.6499999999999995
9000023,7.6,7.75,3.6,6.316666666666666,6.316666666666666
9000024,4.0,7.0,2.6,4.533333333333333,4.533333333333333
9000025,6.4,5.75,5.2,5.783333333333334,5.783333333333334
9000026,7.4,8.0,4.6,6.666666666666667,6.666666666666667
9000027,5.6,8.5,6.0,6.7,6.7
9000028,4.2,5.75,3.0,4.316666666666666,4.316666666666666
9000029,5.6,6.25,3.4,5.083333333333333,5.083333333333333
9000030,4.6,7.75,4.2,5.516666666666667,5.516666666666667
9000031,7.4,7.5,3.8,6.233333333333333,6.233333333333333
9000032,4.2,6.5,3.2,4.633333333333333,4.633333333333333
9000033,5.6,6.25,4.4,5.416666666666667,5.416666666666667
9000034,4.4,4.5,2.4,3.766666666666667,3.766666666666667
9000035,5.4,6.0,4.6,5.333333333333333,5.333333333333333
9000036,8.6,5.25,5.2,6.3500000000000005,6.3500000000000005
9000037,4.8,7.25,3.4,5.15,5.15
9000038,5.4,6.5,4.8,5.566666666666666,5.566666666666666
9000039,4.2,7.25,4.2,5.216666666666666,5.216666666666666
9000040,6.8,6.0,5.0,5.933333333333334,5.933333333333334
9000041,5.2,7.25,3.6,5.3500000000000005,5.3500000000000005
9000042,7.0,7.5,6.8,7.1000000000000005,7.1000000000000005
9000043,6.4,6.5,4.6,5.833333333333333,5.833333333333333
9000044,7.4,7.75,4.8,6.65,6.6499999999999995
9000045,5.4,7.25,4.2,5.616666666666667,5.616666666666667
9000046,4.4,7.0,4.0,5.133333333333334,5.133333333333334
9000047,3.0,7.0,3.4,4.466666666666667,4.466666666666667
9000048,7.8,7.75,6.6,7.383333333333333,7.383333333333333
9000049,6.4,8.0,3.0,5.8,5.8
9000050,6.6,7.75,2.8,5.716666666666666,5.716666666666666
9000051,5.8,7.75,2.4,5.316666666666667,5.316666666666667
9000052,4.6,7.25,5.0,5.616666666666667,5.616666666666667
