SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
63000001,7.4,4.75,8.6,6.916666666666667,6.916666666666667
63000002,5.0,5.0,4.4,4.8,4.8
63000003,7.4,8.0,8.6,8.0,8.0
63000004,4.2,4.5,2.4,3.7,3.6999999999999997
63000005,3.6,4.25,0.0,2.6166666666666667,2.6166666666666667
63000006,5.6,4.5,3.8,4.633333333333333,4.633333333333333
63000007,3.6,4.25,4.4,4.083333333333333,4.083333333333333
63000008,5.0,4.5,0.0,3.1666666666666665,3.1666666666666665
63000009,6.2,4.75,5.4,5.45,5.45
63000010,7.4,4.0,6.6,6.0,6.0
63000011,7.2,6.0,4.0,5.733333333333333,5.733333333333333
63000012,7.0,5.5,5.6,6.033333333333334,6.033333333333334
63000013,4.0,3.25,2.6,3.283333333333333,3.283333333333333
63000014,3.6,3.5,2.2,3.1,3.1
63000015,5.8,5.0,3.4,4.733333333333333,4.733333333333333
63000016,3.2,3.5,3.2,3.3000000000000003,3.3000000000000003
63000017,8.0,5.75,5.8,6.516666666666667,6.516666666666667
63000018,8.0,7.0,9.4,8.133333333333333,8.133333333333333
63000019,4.2,4.5,2.6,3.766666666666666,3.766666666666666
63000020,5.4,5.25,3.0,4.55,4.55
63000021,6.8,8.25,9.2,8.083333333333334,8.083333333333334
63000022,4.6,4.25,3.0,3.95,3.9499999999999997
63000023,3.0,2.5,0.0,1.8333333333333333,1.8333333333333333
63000024,4.2,4.0,4.4,4.2,4.2
63000025,4.2,3.75,0.0,2.65,2.65
63000026,6.8,6.75,8.2,7.25,7.25
63000027,8.0,5.0,3.0,5.333333333333333,5.333333333333333
63000028,3.6,4.25,2.0,3.283333333333333,3.283333333333333
63000029,8.0,7.25,6.6,7.283333333333334,7.283333333333334
63000030,5.6,4.5,4.6,4.9,4.8999999999999995
63000031,7.6,6.25,3.8,5.883333333333333,5.883333333333333
63000032,4.0,5.0,3.4,4.133333333333334,4.133333333333334
63000033,6.0,5.5,3.4,4.966666666666667,4.966666666666667
63000034,6.8,7.5,6.0,6.766666666666667,6.766666666666667
63000035,8.2,7.0,7.2,7.466666666666666,7.466666666666666
63000036,5.6,3.75,2.0,3.783333333333333,3.783333333333333
63000037,8.2,7.0,8.2,7.8,7.8
63000038,7.6,5.5,7.0,6.7,6.7
63000039,3.2,4.75,3.2,3.716666666666667,3.716666666666667
63000040,4.8,5.5,3.6,4.633333333333334,4.633333333333334
63000041,7.4,0.0,5.6,4.333333333333333,4.333333333333333
63000042,6.2,6.5,5.0,5.9,5.8999999999999995
63000043,5.2,4.0,2.0,3.733333333333333,3.733333333333333
63000044,6.2,4.0,3.8,4.666666666666667,4.666666666666667
63000045,4.6,4.0,3.8,4.133333333333333,4.133333333333333
63000046,5.6,5.25,3.2,4.683333333333334,4.683333333333334
63000047,4.0,5.0,2.6,3.8666666666666663,3.8666666666666667
63000048,7.4,6.75,3.4,5.8500000000000005,5.8500000000000005
63000049,6.4,7.75,0.0,4.716666666666667,4.716666666666667
63000050,8.4,4.75,4.4,5.8500000000000005,5.8500000000000005
63000051,5.8,5.5,3.8,5.033333333333334,5.033333333333334
63000052,8.0,5.25,7.0,6.75,6.75
63000053,4.0,5.0,3.4,4.133333333333334,4.133333333333334
63000054,3.4,5.0,3.0,3.8,3.8000000000000003
63000055,6.4,6.75,4.8,5.983333333333333,5.983333333333333
63000056,5.6,5.5,4.0,5.033333333333333,5.033333333333333
63000057,2.2,4.5,0.0,2.2333333333333334,2.2333333333333334
63000058,5.2,4.0,3.4,4.2,4.2
63000059,6.6,4.75,3.0,4.783333333333333,4.783333333333333
63000060,6.6,4.75,3.0,4.783333333333333,4.783333333333333
63000061,4.2,4.75,1.8,3.583333333333333,3.5833333333333335
63000062,5.2,5.0,3.2,4.466666666666666,4.466666666666666
63000063,6.8,4.5,5.0,5.433333333333334,5.433333333333334
63000064,3.0,5.0,3.4,3.8,3.8000000000000003
63000065,4.0,2.5,2.6,3.033333333333333,3.033333333333333
63000066,5.8,6.0,5.0,5.6000000000000005,5.6000000000000005
63000067,4.4,4.5,2.8,3.9,3.9
63000068,4.0,4.25,0.0,2.75,2.75
63000069,2.8,2.0,0.0,1.6,1.5999999999999999
63000070,7.6,0.0,0.0,2.533333333333333,2.533333333333333
63000071,5.6,2.75,3.8,4.05,4.05
63000072,5.6,5.5,4.0,5.033333333333333,5.033333333333333
