SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
1000001,7.0,6.0,0.0,4.333333333333333,4.333333333333333
1000002,9.0,6.0,9.4,8.133333333333333,8.133333333333333
1000003,8.8,6.5,6.0,7.1000000000000005,7.1000000000000005
1000004,7.0,0.0,8.2,5.066666666666666,5.066666666666666
1000005,9.0,7.5,9.2,8.566666666666666,8.566666666666666
1000006,7.8,7.75,9.4,8.316666666666668,8.316666666666668
1000007,7.2,7.0,4.4,6.2,6.2
1000008,3.0,3.0,0.0,2.0,2.0
1000009,7.4,6.75,4.4,6.183333333333334,6.183333333333334
1000010,8.0,6.5,4.6,6.366666666666667,6.366666666666667
1000011,8.4,9.0,8.8,8.733333333333333,8.733333333333333
1000012,1.4,4.0,0.0,1.8,1.8
1000013,8.4,6.75,7.6,7.583333333333333,7.583333333333333
1000014,2.6,7.0,3.2,4.266666666666667,4.266666666666667
1000015,8.0,6.75,7.2,7.316666666666666,7.316666666666666
1000016,9.0,8.5,8.0,8.5,8.5
1000017,6.6,5.75,4.4,5.583333333333333,5.583333333333333
1000018,4.0,6.0,0.0,3.333333333333333,3.3333333333333335
1000019,7.8,6.0,6.4,6.733333333333334,6.733333333333334
1000020,8.6,8.75,6.4,7.916666666666667,7.916666666666667
1000021,8.8,7.0,7.0,7.6,7.6000000000000005
1000022,8.8,7.75,9.2,8.583333333333334,8.583333333333334
1000023,6.8,7.0,5.0,6.266666666666667,6.266666666666667
1000024,7.8,8.5,6.0,7.433333333333334,7.433333333333334
1000025,7.4,6.5,6.0,6.633333333333333,6.633333333333333
1000026,7.8,7.5,0.0,5.1000000000000005,5.1000000000000005
1000027,8.4,6.5,6.6,7.166666666666667,7.166666666666667
1000028,8.8,8.0,6.4,7.733333333333334,7.733333333333334
1000029,7.8,5.5,6.4,6.566666666666667,6.566666666666667
1000030,6.0,6.25,4.0,5.416666666666667,5.416666666666667
1000031,7.8,7.5,4.2,6.5,6.5
1000032,8.0,5.5,0.0,4.5,4.5
1000033,8.8,7.25,7.8,7.95,7.95
1000034,7.2,8.5,7.6,7.766666666666666,7.766666666666666
1000035,8.8,6.25,7.6,7.55,7.55
1000036,9.2,8.5,9.0,8.9,8.9
1000037,9.2,6.5,9.0,8.233333333333333,8.233333333333333
1000038,9.2,6.75,6.6,7.516666666666666,7.516666666666666
1000039,7.8,6.0,5.0,6.266666666666667,6.266666666666667
1000040,5.6,5.0,0.0,3.533333333333333,3.533333333333333
1000041,8.0,8.0,7.6,7.866666666666667,7.866666666666667
1000042,4.2,6.75,0.0,3.65,3.65
1000043,8.8,4.5,7.2,6.833333333333333,6.833333333333333
1000044,8.4,8.75,8.6,8.583333333333334,8.583333333333334
1000045,3.4,3.75,0.0,2.3833333333333333,2.3833333333333333
1000046,3.2,3.5,0.0,2.2333333333333334,2.2333333333333334
1000047,2.2,7.25,2.4,3.95,3.9499999999999997
1000048,8.4,6.75,7.6,7.583333333333333,7.583333333333333
1000049,7.2,7.75,7.4,7.45,7.45
1000050,8.8,9.0,7.8,8.533333333333333,8.533333333333333
1000051,8.2,8.0,8.8,8.333333333333334,8.333333333333334
1000052,6.4,6.5,0.0,4.3,4.3
1000053,4.6,8.5,2.8,5.3,5.3
1000054,9.0,8.75,9.0,8.916666666666666,8.916666666666666
1000055,7.0,8.75,6.6,7.45,7.45
1000056,8.6,8.75,8.4,8.583333333333334,8.583333333333334
1000057,8.6,7.5,7.0,7.7,7.7
1000058,7.0,6.0,0.0,4.333333333333333,4.333333333333333
