SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
2000001,6.6,6.25,5.2,6.016666666666667,6.016666666666667
2000002,8.2,7.75,7.0,7.649999999999999,7.6499999999999995
2000003,6.8,6.75,6.0,6.516666666666667,6.516666666666667
2000004,7.8,6.25,5.6,6.55,6.55
2000005,6.4,6.5,8.2,7.033333333333334,7.033333333333334
2000006,6.8,7.5,8.0,7.433333333333334,7.433333333333334
2000007,8.4,8.25,6.4,7.683333333333333,7.683333333333333
2000008,6.8,7.0,4.4,6.066666666666667,6.066666666666667
2000009,7.2,8.0,8.4,7.866666666666667,7.866666666666667
2000010,8.4,7.75,6.4,7.516666666666666,7.516666666666666
2000011,6.4,7.75,5.2,6.45,6.45
2000012,8.0,5.25,8.2,7.15,7.1499999999999995
2000013,8.4,5.75,5.8,6.65,6.6499999999999995
2000014,8.4,7.5,9.2,8.366666666666667,8.366666666666667
2000015,8.2,6.75,8.6,7.849999999999999,7.849999999999999
2000016,8.6,6.75,7.2,7.516666666666667,7.516666666666667
2000017,8.6,6.75,8.8,8.049999999999999,8.049999999999999
2000018,8.0,6.5,8.0,7.5,7.5
2000019,8.2,4.5,7.2,6.633333333333333,6.633333333333333
2000020,8.4,6.25,7.4,7.35,7.3500000000000005
2000021,7.4,6.25,7.0,6.883333333333333,6.883333333333333
2000022,8.8,6.0,6.4,7.066666666666667,7.066666666666667
2000023,7.4,6.5,4.8,6.233333333333333,6.233333333333333
2000024,7.2,8.0,5.4,6.866666666666667,6.866666666666667
2000025,8.4,8.0,8.4,8.266666666666666,8.266666666666666
2000026,8.2,7.0,6.6,7.266666666666666,7.266666666666666
2000027,7.6,7.0,6.4,7.0,7.0
2000028,7.6,7.0,6.6,7.066666666666666,7.066666666666666
2000029,7.8,5.25,7.0,6.683333333333334,6.683333333333334
2000030,8.2,7.5,0.0,5.233333333333333,5.233333333333333
2000031,7.8,7.5,6.8,7.366666666666667,7.366666666666667
2000032,7.8,8.0,7.6,7.8,7.8
2000033,8.4,7.25,7.0,7.55,7.55
2000034,7.8,6.5,0.0,4.766666666666667,4.766666666666667
2000035,6.8,5.5,5.0,5.766666666666667,5.766666666666667
2000036,7.6,6.0,7.4,7.0,7.0
2000037,7.2,5.5,5.0,5.9,5.8999999999999995
2000038,7.8,7.0,6.8,7.2,7.2
2000039,7.2,7.0,5.2,6.466666666666666,6.466666666666666
2000040,8.2,6.75,5.2,6.716666666666666,6.716666666666666
2000041,6.8,6.75,7.4,6.983333333333334,6.983333333333334
2000042,8.2,7.0,8.2,7.8,7.8
2000043,7.4,7.25,6.8,7.15,7.1499999999999995
2000044,8.2,6.5,5.4,6.7,6.7
2000045,7.6,6.25,8.0,7.283333333333334,7.283333333333334
2000046,8.2,6.75,4.2,6.383333333333333,6.383333333333333
2000047,8.6,6.75,6.0,7.116666666666667,7.116666666666667
2000048,6.6,7.0,6.2,6.6000000000000005,6.6000000000000005
2000049,7.8,8.25,6.2,7.416666666666667,7.416666666666667
2000050,8.0,7.75,7.4,7.716666666666666,7.716666666666666
2000051,7.6,7.25,7.4,7.416666666666667,7.416666666666667
2000052,8.6,7.25,8.8,8.216666666666667,8.216666666666667
2000053,6.8,6.75,8.4,7.316666666666667,7.316666666666667
2000054,9.2,6.5,7.0,7.566666666666666,7.566666666666666
2000055,8.8,7.25,8.6,8.216666666666667,8.216666666666667
2000056,8.6,7.25,6.6,7.483333333333333,7.483333333333333
2000057,7.0,6.5,6.2,6.566666666666666,6.566666666666666
2000058,8.2,6.75,6.0,6.983333333333333,6.983333333333333
2000059,8.4,7.5,8.2,8.033333333333333,8.033333333333333
2000060,6.6,4.25,7.4,6.083333333333333,6.083333333333333
2000061,5.2,6.75,4.0,5.316666666666666,5.316666666666666
2000062,6.6,7.25,4.6,6.15,6.1499999999999995
2000063,6.2,7.0,7.0,6.733333333333333,6.733333333333333
2000064,8.2,7.75,7.8,7.916666666666667,7.916666666666667
2000065,7.8,8.25,8.2,8.083333333333334,8.083333333333334
2000066,7.0,7.0,6.2,6.733333333333333,6.733333333333333
2000067,7.0,5.5,7.2,6.566666666666666,6.566666666666666
2000068,8.4,6.5,9.6,8.166666666666666,8.166666666666666
2000069,7.6,8.0,5.8,7.133333333333333,7.133333333333333
2000070,7.0,6.0,5.6,6.2,6.2
2000071,6.2,6.25,7.4,6.616666666666667,6.616666666666667
2000072,8.4,7.75,7.8,7.983333333333333,7.983333333333333
2000073,9.0,8.5,6.4,7.966666666666666,7.966666666666666
2000074,8.6,8.0,7.2,7.933333333333334,7.933333333333334
2000075,7.6,8.0,6.4,7.333333333333333,7.333333333333333
2000076,8.2,8.5,8.2,8.299999999999999,8.299999999999999
2000077,7.2,7.5,5.8,6.833333333333333,6.833333333333333
2000078,7.8,7.0,7.0,7.266666666666667,7.266666666666667
2000079,7.4,7.5,7.0,7.3,7.3
2000080,5.2,5.5,5.8,5.5,5.5
2000081,8.6,5.5,8.4,7.5,7.5
2000082,8.4,6.5,7.2,7.366666666666667,7.366666666666667
2000083,7.6,7.0,7.2,7.266666666666667,7.266666666666667
2000084,7.6,5.5,9.2,7.433333333333333,7.433333333333333
2000085,7.8,6.5,7.2,7.166666666666667,7.166666666666667
2000086,6.2,7.0,6.0,6.4,6.3999999999999995
2000087,6.6,7.0,7.8,7.133333333333333,7.133333333333333
2000088,8.0,6.5,5.8,6.766666666666667,6.766666666666667
2000089,9.0,6.25,6.8,7.35,7.3500000000000005
2000090,7.6,6.5,7.2,7.1000000000000005,7.1000000000000005
2000091,4.8,5.75,5.8,5.45,5.45
2000092,6.8,5.0,7.0,6.266666666666667,6.266666666666667
2000093,9.2,5.25,9.2,7.883333333333333,7.883333333333333
2000094,7.0,6.0,5.0,6.0,6.0
2000095,8.0,7.0,6.0,7.0,7.0
2000096,8.8,7.0,5.4,7.066666666666667,7.066666666666667
2000097,8.8,6.5,8.4,7.900000000000001,7.900000000000001
2000098,5.6,5.75,6.4,5.916666666666667,5.916666666666667
2000099,9.4,6.5,9.0,8.299999999999999,8.299999999999999
2000100,8.2,7.5,8.2,7.966666666666666,7.966666666666666
2000101,7.8,6.75,7.0,7.183333333333334,7.183333333333334
2000102,8.4,6.25,7.0,7.216666666666666,7.216666666666666
2000103,8.2,6.5,7.6,7.433333333333333,7.433333333333333
2000104,8.0,6.0,6.8,6.933333333333334,6.933333333333334
2000105,8.2,5.5,7.2,6.966666666666666,6.966666666666666
2000106,8.2,6.0,7.8,7.333333333333333,7.333333333333333
2000107,6.6,4.0,4.4,5.0,5.0
2000108,8.6,6.75,6.4,7.25,7.25
2000109,7.8,6.5,6.2,6.833333333333333,6.833333333333333
2000110,7.8,7.25,8.0,7.683333333333334,7.683333333333334
2000111,8.6,7.25,5.0,6.95,6.95
2000112,7.6,6.75,7.6,7.316666666666666,7.316666666666666
2000113,6.8,7.5,8.6,7.633333333333333,7.633333333333333
2000114,6.0,7.0,6.6,6.533333333333334,6.533333333333334
