SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
51000001,8.2,7.5,5.6,7.099999999999999,7.099999999999999
51000002,8.4,8.75,6.8,7.983333333333333,7.983333333333333
51000003,4.8,6.25,0.0,3.6833333333333336,3.6833333333333336
51000004,7.6,6.75,6.0,6.783333333333334,6.783333333333334
51000005,6.0,7.75,6.0,6.583333333333333,6.583333333333333
51000006,8.2,5.0,2.8,5.333333333333333,5.333333333333333
51000007,8.8,7.25,4.6,6.883333333333333,6.883333333333333
51000008,4.6,8.25,2.2,5.016666666666667,5.016666666666667
51000009,6.6,8.0,0.0,4.866666666666666,4.866666666666666
51000010,6.6,8.75,5.2,6.8500000000000005,6.8500000000000005
51000011,6.6,8.0,6.6,7.066666666666666,7.066666666666666
51000012,7.8,9.0,6.0,7.6,7.6000000000000005
51000013,7.6,6.5,0.0,4.7,4.7
51000014,8.6,8.75,7.8,8.383333333333335,8.383333333333335
51000015,8.2,8.5,5.6,7.433333333333333,7.433333333333333
51000016,7.6,8.25,6.4,7.416666666666667,7.416666666666667
51000017,8.8,8.0,6.6,7.8,7.8
51000018,8.6,8.75,7.0,8.116666666666667,8.116666666666667
51000019,7.4,8.0,7.2,7.533333333333334,7.533333333333334
51000020,4.0,6.5,0.0,3.5,3.5
51000021,3.2,5.75,0.0,2.983333333333333,2.983333333333333
51000022,3.2,6.25,0.0,3.15,3.15
51000023,8.4,7.0,7.6,7.666666666666667,7.666666666666667
51000024,6.6,7.25,0.0,4.616666666666666,4.616666666666666
51000025,7.2,8.25,6.6,7.349999999999999,7.349999999999999
51000026,7.6,8.5,6.4,7.5,7.5
51000027,4.6,6.75,0.0,3.783333333333333,3.783333333333333
51000028,8.6,8.0,6.6,7.733333333333334,7.733333333333334
51000029,8.6,8.75,8.0,8.450000000000001,8.450000000000001
51000030,8.8,9.0,9.8,9.2,9.200000000000001
51000031,8.2,6.0,5.0,6.4,6.3999999999999995
51000032,8.0,7.75,5.4,7.05,7.05
51000033,8.2,7.25,4.2,6.55,6.55
51000034,7.8,8.5,5.8,7.366666666666667,7.366666666666667
51000035,3.6,4.0,2.0,3.2,3.1999999999999997
51000036,8.6,8.5,6.8,7.966666666666668,7.966666666666668
51000037,9.0,7.0,6.8,7.6,7.6000000000000005
51000038,7.8,8.0,7.4,7.733333333333334,7.733333333333334
51000039,8.2,7.0,8.6,7.933333333333333,7.933333333333333
51000040,7.8,7.75,4.8,6.783333333333334,6.783333333333334
51000041,5.2,7.25,4.0,5.483333333333333,5.483333333333333
51000042,3.8,4.5,0.0,2.766666666666667,2.766666666666667
51000043,0.0,2.5,0.0,0.8333333333333334,0.8333333333333334
51000044,8.8,6.75,9.2,8.25,8.25
51000045,9.0,6.75,6.6,7.45,7.45
51000046,8.2,9.0,8.4,8.533333333333333,8.533333333333333
51000047,8.8,9.25,5.8,7.95,7.95
51000048,3.0,5.25,0.0,2.75,2.75
51000049,4.0,5.75,0.0,3.25,3.25
