SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
23000001,5.6,7.0,5.0,5.866666666666667,5.866666666666667
23000002,7.6,6.5,5.6,6.566666666666666,6.566666666666666
23000003,7.8,6.25,5.4,6.483333333333334,6.483333333333334
23000004,9.2,7.0,9.2,8.466666666666667,8.466666666666667
23000005,9.2,6.5,4.8,6.833333333333333,6.833333333333333
23000006,9.0,7.25,7.8,8.016666666666667,8.016666666666667
23000007,8.2,8.25,7.8,8.083333333333334,8.083333333333334
23000008,9.2,6.25,5.4,6.95,6.95
23000009,8.0,8.0,8.4,8.133333333333333,8.133333333333333
23000010,8.2,7.25,8.8,8.083333333333334,8.083333333333334
23000011,7.8,7.5,6.8,7.366666666666667,7.366666666666667
23000012,7.6,8.0,8.6,8.066666666666666,8.066666666666666
23000013,9.0,8.0,7.6,8.200000000000001,8.200000000000001
23000014,8.0,6.0,7.8,7.266666666666667,7.266666666666667
23000015,8.2,7.25,4.4,6.616666666666667,6.616666666666667
23000016,8.4,8.5,9.6,8.833333333333334,8.833333333333334
23000017,8.0,6.5,6.0,6.833333333333333,6.833333333333333
23000018,9.2,6.0,5.0,6.733333333333333,6.733333333333333
23000019,7.6,6.0,3.6,5.733333333333333,5.733333333333333
23000020,9.0,7.5,4.6,7.033333333333334,7.033333333333334
23000021,4.6,7.0,3.6,5.066666666666666,5.066666666666666
23000022,7.2,6.0,4.8,6.0,6.0
23000023,6.6,7.5,5.2,6.433333333333334,6.433333333333334
23000024,4.6,4.5,2.4,3.8333333333333335,3.8333333333333335
23000025,7.0,7.25,4.4,6.216666666666666,6.216666666666666
23000026,6.8,6.25,5.2,6.083333333333333,6.083333333333333
23000027,7.6,8.5,6.6,7.566666666666667,7.566666666666667
23000028,8.4,7.5,9.4,8.433333333333334,8.433333333333334
23000029,8.8,8.0,5.6,7.466666666666666,7.466666666666666
23000030,7.0,7.75,6.8,7.183333333333334,7.183333333333334
23000031,5.8,8.5,5.6,6.633333333333333,6.633333333333333
23000032,5.0,8.0,4.8,5.933333333333334,5.933333333333334
23000033,7.4,7.5,9.2,8.033333333333333,8.033333333333333
23000034,9.8,6.75,5.6,7.383333333333333,7.383333333333333
23000035,7.0,4.0,6.6,5.866666666666667,5.866666666666667
23000036,8.6,7.75,8.6,8.316666666666668,8.316666666666668
23000037,8.6,7.25,6.2,7.35,7.3500000000000005
23000038,8.6,5.5,2.6,5.566666666666666,5.566666666666666
23000039,4.8,7.75,5.8,6.116666666666667,6.116666666666667
23000040,5.0,7.0,4.0,5.333333333333333,5.333333333333333
23000041,7.6,7.5,5.0,6.7,6.7
23000042,3.2,7.0,3.2,4.466666666666666,4.466666666666666
23000043,7.8,8.5,6.6,7.633333333333333,7.633333333333333
23000044,8.6,6.5,5.0,6.7,6.7
23000045,8.0,6.0,4.2,6.066666666666666,6.066666666666666
23000046,6.6,6.0,5.2,5.933333333333334,5.933333333333334
23000047,8.4,7.0,7.2,7.533333333333334,7.533333333333334
23000048,7.8,7.25,4.2,6.416666666666667,6.416666666666667
23000049,9.0,6.5,5.2,6.9,6.8999999999999995
23000050,8.4,6.75,5.2,6.783333333333334,6.783333333333334
23000051,9.8,6.25,6.2,7.416666666666667,7.416666666666667
23000052,9.2,7.0,8.8,8.333333333333334,8.333333333333334
23000053,8.4,7.25,5.6,7.083333333333333,7.083333333333333
23000054,8.2,6.25,6.8,7.083333333333333,7.083333333333333
23000055,8.2,6.75,9.2,8.049999999999999,8.049999999999999
23000056,8.6,6.0,4.2,6.266666666666667,6.266666666666667
23000057,9.2,7.5,5.6,7.433333333333333,7.433333333333333
23000058,4.6,7.5,3.6,5.233333333333333,5.233333333333333
23000059,6.6,7.75,8.4,7.583333333333333,7.583333333333333
23000060,8.4,6.25,8.6,7.75,7.75
23000061,9.6,5.5,4.8,6.633333333333333,6.633333333333333
23000062,6.2,7.0,3.4,5.533333333333332,5.533333333333332
23000063,8.0,7.75,6.4,7.383333333333333,7.383333333333333
23000064,8.8,6.75,3.4,6.316666666666666,6.316666666666666
23000065,8.0,8.25,6.0,7.416666666666667,7.416666666666667
23000066,8.4,5.75,7.2,7.116666666666667,7.116666666666667
23000067,6.2,6.75,4.4,5.783333333333334,5.783333333333334
23000068,6.8,5.5,4.2,5.5,5.5
23000069,7.0,7.5,7.6,7.366666666666667,7.366666666666667
23000070,8.2,6.5,4.8,6.5,6.5
23000071,9.0,6.75,9.0,8.25,8.25
23000072,8.6,5.0,8.4,7.333333333333333,7.333333333333333
23000073,8.8,7.5,5.8,7.366666666666667,7.366666666666667
23000074,8.2,7.0,7.0,7.399999999999999,7.3999999999999995
23000075,6.0,7.25,7.8,7.016666666666667,7.016666666666667
23000076,8.8,6.5,4.4,6.566666666666667,6.566666666666667
23000077,8.2,6.25,6.8,7.083333333333333,7.083333333333333
23000078,8.6,6.25,4.4,6.416666666666667,6.416666666666667
23000079,8.6,6.5,8.4,7.833333333333333,7.833333333333333
23000080,8.6,6.25,8.4,7.75,7.75
23000081,8.8,6.75,8.2,7.916666666666667,7.916666666666667
23000082,9.8,7.0,6.2,7.666666666666667,7.666666666666667
23000083,7.6,7.5,7.8,7.633333333333333,7.633333333333333
23000084,9.0,6.0,6.6,7.2,7.2
23000085,8.8,7.25,8.4,8.15,8.15
23000086,8.8,6.5,8.6,7.966666666666666,7.966666666666666
23000087,8.4,7.25,9.0,8.216666666666667,8.216666666666667
23000088,8.4,6.0,4.0,6.133333333333333,6.133333333333333
23000089,9.4,5.75,4.4,6.516666666666667,6.516666666666667
23000090,7.0,6.0,5.0,6.0,6.0
23000091,8.0,6.5,6.6,7.033333333333334,7.033333333333334
23000092,9.2,7.0,7.4,7.866666666666667,7.866666666666667
23000093,9.0,7.5,8.2,8.233333333333333,8.233333333333333
23000094,7.2,6.5,4.4,6.033333333333334,6.033333333333334
23000095,8.8,6.25,3.6,6.216666666666668,6.216666666666668
23000096,5.4,6.25,3.2,4.95,4.95
23000097,8.8,7.75,7.6,8.049999999999999,8.049999999999999
23000098,4.8,8.0,4.4,5.733333333333334,5.733333333333334
23000099,8.4,5.5,5.0,6.3,6.3
23000100,7.4,7.75,5.0,6.716666666666666,6.716666666666666
23000101,8.4,6.0,4.0,6.133333333333333,6.133333333333333
23000102,8.0,4.75,4.4,5.716666666666666,5.716666666666666
23000103,9.2,6.5,4.0,6.566666666666666,6.566666666666666
23000104,8.8,6.75,4.6,6.716666666666666,6.716666666666666
23000105,8.0,5.25,5.0,6.083333333333333,6.083333333333333
23000106,6.4,7.0,3.4,5.6000000000000005,5.6000000000000005
23000107,8.4,5.5,7.4,7.1000000000000005,7.1000000000000005
23000108,8.6,6.75,9.4,8.25,8.25
23000109,8.4,7.0,7.2,7.533333333333334,7.533333333333334
23000110,8.2,5.75,4.4,6.116666666666667,6.116666666666667
23000111,8.2,6.25,5.4,6.616666666666667,6.616666666666667
23000112,9.4,6.5,6.8,7.566666666666666,7.566666666666666
23000113,9.6,5.75,5.4,6.916666666666667,6.916666666666667
23000114,7.4,5.75,4.4,5.8500000000000005,5.8500000000000005
23000115,8.2,6.75,7.6,7.516666666666666,7.516666666666666
23000116,5.6,7.75,4.2,5.8500000000000005,5.8500000000000005
23000117,8.2,7.25,3.6,6.3500000000000005,6.3500000000000005
23000118,8.2,6.25,6.0,6.816666666666666,6.816666666666666
23000119,8.8,8.5,8.4,8.566666666666668,8.566666666666668
23000120,7.2,7.5,5.0,6.566666666666666,6.566666666666666
23000121,9.6,7.75,6.4,7.916666666666667,7.916666666666667
23000122,7.0,8.75,6.6,7.45,7.45
23000123,9.2,8.75,4.8,7.583333333333333,7.583333333333333
23000124,7.2,8.75,5.0,6.983333333333333,6.983333333333333
23000125,9.4,7.75,4.6,7.25,7.25
23000126,9.4,8.75,8.4,8.85,8.85
23000127,7.6,8.25,8.0,7.95,7.95
23000128,7.4,8.0,6.8,7.399999999999999,7.3999999999999995
23000129,9.0,7.5,7.0,7.833333333333333,7.833333333333333
23000130,8.2,5.5,4.0,5.9,5.8999999999999995
23000131,8.6,7.75,5.0,7.116666666666667,7.116666666666667
23000132,8.6,7.75,9.2,8.516666666666667,8.516666666666667
23000133,8.4,8.25,9.4,8.683333333333332,8.683333333333332
23000134,8.4,8.25,8.8,8.483333333333333,8.483333333333333
23000135,9.0,7.5,6.0,7.5,7.5
23000136,9.0,8.25,9.2,8.816666666666666,8.816666666666666
23000137,5.8,8.25,3.8,5.95,5.95
23000138,6.8,8.25,5.6,6.883333333333333,6.883333333333333
23000139,5.4,8.75,4.4,6.183333333333334,6.183333333333334
23000140,6.2,7.5,6.8,6.833333333333333,6.833333333333333
23000141,9.2,6.5,5.6,7.099999999999999,7.099999999999999
23000142,9.2,5.0,5.2,6.466666666666666,6.466666666666666
23000143,8.0,6.0,7.4,7.133333333333333,7.133333333333333
23000144,7.6,6.75,3.2,5.8500000000000005,5.8500000000000005
23000145,8.8,8.75,9.2,8.916666666666666,8.916666666666666
23000146,8.6,8.5,8.0,8.366666666666667,8.366666666666667
23000147,8.6,8.75,9.4,8.916666666666666,8.916666666666666
23000148,9.4,8.25,5.2,7.616666666666666,7.616666666666666
23000149,8.0,8.75,4.2,6.983333333333333,6.983333333333333
23000150,7.8,8.25,9.0,8.35,8.35
23000151,9.4,6.75,6.0,7.383333333333333,7.383333333333333
23000152,8.2,7.25,8.8,8.083333333333334,8.083333333333334
23000153,8.2,7.75,10.0,8.65,8.65
23000154,9.2,7.0,8.0,8.066666666666666,8.066666666666666
23000155,6.8,6.5,8.0,7.1000000000000005,7.1000000000000005
23000156,7.2,6.25,7.6,7.016666666666666,7.016666666666666
23000157,9.0,6.0,5.0,6.666666666666667,6.666666666666667
23000158,7.6,4.5,4.6,5.566666666666666,5.566666666666666
23000159,4.4,8.0,4.6,5.666666666666667,5.666666666666667
23000160,9.0,5.0,7.8,7.266666666666667,7.266666666666667
23000161,7.4,7.25,7.0,7.216666666666666,7.216666666666666
23000162,8.4,6.25,2.8,5.816666666666666,5.816666666666666
23000163,8.6,6.5,8.0,7.7,7.7
23000164,8.4,7.5,6.6,7.5,7.5
23000165,9.0,6.25,6.6,7.283333333333334,7.283333333333334
23000166,7.6,7.5,8.4,7.833333333333333,7.833333333333333
23000167,8.8,6.5,3.8,6.366666666666667,6.366666666666667
23000168,9.0,6.25,6.8,7.35,7.3500000000000005
23000169,8.4,5.25,4.0,5.883333333333333,5.883333333333333
23000170,7.2,7.25,4.6,6.349999999999999,6.349999999999999
23000171,7.4,5.25,4.8,5.816666666666666,5.816666666666666
23000172,9.2,6.0,8.2,7.8,7.8
23000173,6.8,8.75,9.6,8.383333333333333,8.383333333333333
23000174,9.2,6.0,3.8,6.333333333333333,6.333333333333333
23000175,8.2,5.5,4.0,5.9,5.8999999999999995
23000176,8.2,5.25,6.0,6.483333333333333,6.483333333333333
23000177,7.6,5.75,6.0,6.45,6.45
23000178,7.4,5.75,3.8,5.65,5.6499999999999995
23000179,8.8,6.25,7.6,7.55,7.55
23000180,8.6,7.5,5.0,7.033333333333334,7.033333333333334
23000181,8.6,7.5,8.6,8.233333333333334,8.233333333333334
