SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
64000001,3.4,4.75,1.8,3.316666666666667,3.316666666666667
64000002,7.6,7.75,4.4,6.583333333333333,6.583333333333333
64000003,8.0,6.5,4.2,6.233333333333333,6.233333333333333
64000004,8.4,7.25,6.6,7.416666666666667,7.416666666666667
64000005,6.6,5.5,3.4,5.166666666666667,5.166666666666667
64000006,8.4,7.5,4.0,6.633333333333333,6.633333333333333
64000007,6.6,6.5,4.4,5.833333333333333,5.833333333333333
64000008,5.2,6.0,3.4,4.866666666666666,4.866666666666666
64000009,6.0,6.0,4.0,5.333333333333333,5.333333333333333
64000010,0.0,7.5,0.0,2.5,2.5
64000011,4.0,3.0,3.0,3.333333333333333,3.3333333333333335
64000012,4.8,5.75,3.4,4.65,4.65
64000013,6.4,5.5,3.2,5.033333333333334,5.033333333333334
64000014,5.2,5.5,3.4,4.7,4.7
64000015,7.8,7.75,4.6,6.716666666666666,6.716666666666666
64000016,4.4,0.0,0.0,1.4666666666666668,1.4666666666666668
64000017,4.4,6.25,0.0,3.5500000000000003,3.5500000000000003
64000018,3.8,5.25,0.0,3.016666666666667,3.016666666666667
64000019,5.8,6.25,4.0,5.3500000000000005,5.3500000000000005
64000020,8.4,7.75,3.4,6.516666666666666,6.516666666666666
64000021,7.8,6.5,4.6,6.3,6.3
64000022,6.8,6.75,3.8,5.783333333333334,5.783333333333334
64000023,3.4,6.0,0.0,3.1333333333333333,3.1333333333333333
64000024,8.4,6.25,5.2,6.616666666666667,6.616666666666667
64000025,6.2,4.5,2.6,4.433333333333333,4.433333333333333
64000026,7.2,6.0,3.8,5.666666666666667,5.666666666666667
64000027,7.2,8.0,4.2,6.466666666666666,6.466666666666666
64000028,6.0,6.0,3.6,5.2,5.2
64000029,7.0,6.5,2.6,5.366666666666667,5.366666666666667
64000030,8.0,8.0,4.4,6.8,6.8
64000031,2.2,4.25,0.0,2.15,2.15
64000032,6.4,7.25,4.2,5.95,5.95
64000033,6.4,7.0,1.8,5.066666666666667,5.066666666666667
64000034,6.6,6.75,3.0,5.45,5.45
64000035,7.6,6.5,2.8,5.633333333333333,5.633333333333333
64000036,5.2,6.0,2.4,4.533333333333333,4.533333333333333
64000037,7.2,5.5,3.6,5.433333333333334,5.433333333333334
64000038,8.8,8.5,4.2,7.166666666666667,7.166666666666667
64000039,8.2,7.25,4.0,6.483333333333333,6.483333333333333
64000040,8.4,7.0,5.4,6.933333333333334,6.933333333333334
64000041,7.2,6.75,0.0,4.65,4.6499999999999995
64000042,8.4,7.0,4.4,6.6000000000000005,6.6000000000000005
64000043,4.0,3.0,2.4,3.1333333333333333,3.1333333333333333
64000044,7.6,6.25,3.8,5.883333333333333,5.883333333333333
64000045,8.8,6.75,5.4,6.983333333333334,6.983333333333334
64000046,7.0,6.5,4.2,5.9,5.8999999999999995
64000047,5.2,6.5,4.4,5.366666666666667,5.366666666666667
64000048,3.4,5.0,1.8,3.4000000000000004,3.4000000000000004
64000049,8.4,7.0,4.0,6.466666666666666,6.466666666666666
64000050,5.6,5.75,3.4,4.916666666666667,4.916666666666667
64000051,7.2,6.0,6.0,6.4,6.3999999999999995
64000052,6.8,7.0,3.2,5.666666666666667,5.666666666666667
64000053,7.4,5.0,5.8,6.066666666666666,6.066666666666666
64000054,5.2,5.75,2.6,4.516666666666667,4.516666666666667
64000055,6.8,6.0,3.6,5.466666666666668,5.466666666666668
64000056,3.6,6.0,0.0,3.2,3.1999999999999997
64000057,6.6,5.75,3.8,5.383333333333333,5.383333333333333
64000058,7.4,5.25,3.6,5.416666666666667,5.416666666666667
64000059,5.8,4.25,3.2,4.416666666666667,4.416666666666667
64000060,4.4,5.0,0.0,3.1333333333333333,3.1333333333333333
64000061,8.2,7.5,3.2,6.3,6.3
64000062,7.2,6.75,5.0,6.316666666666666,6.316666666666666
64000063,7.0,6.25,4.6,5.95,5.95
64000064,9.2,7.25,4.2,6.883333333333333,6.883333333333333
64000065,2.2,4.0,0.0,2.066666666666667,2.066666666666667
64000066,7.2,6.25,5.4,6.283333333333334,6.283333333333334
64000067,5.8,7.25,2.6,5.216666666666667,5.216666666666667
64000068,7.6,6.5,3.2,5.766666666666667,5.766666666666667
64000069,8.6,7.5,3.8,6.633333333333334,6.633333333333334
64000070,7.2,5.75,5.8,6.25,6.25
64000071,5.8,5.75,3.6,5.05,5.05
64000072,6.2,4.0,2.8,4.333333333333333,4.333333333333333
64000073,5.8,6.0,3.2,5.0,5.0
64000074,5.4,6.75,4.4,5.516666666666667,5.516666666666667
64000075,7.0,6.0,3.0,5.333333333333333,5.333333333333333
64000076,6.2,6.25,0.0,4.15,4.1499999999999995
64000077,4.4,6.0,2.2,4.2,4.2
64000078,6.0,6.5,3.0,5.166666666666667,5.166666666666667
64000079,6.0,5.5,1.6,4.366666666666666,4.366666666666666
64000080,5.4,6.5,3.0,4.966666666666667,4.966666666666667
64000081,6.2,6.5,3.4,5.366666666666666,5.366666666666666
64000082,6.8,7.5,4.0,6.1000000000000005,6.1000000000000005
64000083,5.2,7.0,3.2,5.133333333333333,5.133333333333333
64000084,5.2,6.75,3.4,5.116666666666666,5.116666666666666
64000085,4.0,4.5,0.0,2.833333333333333,2.8333333333333335
64000086,7.2,7.75,2.8,5.916666666666667,5.916666666666667
64000087,7.6,6.75,4.2,6.183333333333334,6.183333333333334
64000088,4.0,6.25,3.6,4.616666666666666,4.616666666666666
64000089,6.2,6.5,1.8,4.833333333333333,4.833333333333333
64000090,8.0,0.0,0.0,2.6666666666666665,2.6666666666666665
64000091,6.4,4.0,2.8,4.4,4.3999999999999995
64000092,5.6,7.0,2.4,5.0,5.0
64000093,8.0,7.5,4.2,6.566666666666666,6.566666666666666
64000094,8.4,7.5,6.6,7.5,7.5
64000095,5.6,5.25,2.6,4.483333333333333,4.483333333333333
64000096,7.4,8.0,4.8,6.733333333333333,6.733333333333333
64000097,7.8,8.0,4.0,6.6000000000000005,6.6000000000000005
64000098,4.0,3.75,4.8,4.183333333333334,4.183333333333334
64000099,2.6,6.0,0.0,2.8666666666666667,2.8666666666666667
64000100,6.4,7.0,3.8,5.733333333333333,5.733333333333333
64000101,7.8,6.25,4.6,6.216666666666666,6.216666666666666
64000102,8.4,6.25,5.2,6.616666666666667,6.616666666666667
64000103,6.6,7.25,3.6,5.816666666666666,5.816666666666666
64000104,7.2,7.0,4.2,6.133333333333333,6.133333333333333
64000105,8.0,6.5,5.6,6.7,6.7
64000106,7.4,6.75,2.4,5.516666666666667,5.516666666666667
64000107,6.8,7.5,4.8,6.366666666666667,6.366666666666667
64000108,9.2,7.0,4.8,7.0,7.0
64000109,7.6,7.5,6.0,7.033333333333334,7.033333333333334
64000110,0.0,6.0,0.0,2.0,2.0
64000111,4.2,7.5,0.0,3.9,3.9
64000112,5.2,6.5,0.0,3.9,3.9
64000113,2.2,6.0,0.0,2.733333333333333,2.733333333333333
64000114,7.0,5.75,3.0,5.25,5.25
64000115,7.8,7.75,3.4,6.316666666666666,6.316666666666666
64000116,8.4,7.25,5.8,7.15,7.1499999999999995
64000117,8.2,8.0,5.2,7.133333333333333,7.133333333333333
64000118,7.2,6.5,4.0,5.9,5.8999999999999995
64000119,6.0,5.5,2.6,4.7,4.7
64000120,7.8,5.75,3.8,5.783333333333334,5.783333333333334
64000121,6.0,5.5,3.2,4.9,4.8999999999999995
64000122,9.0,6.0,5.0,6.666666666666667,6.666666666666667
64000123,3.0,5.0,0.0,2.6666666666666665,2.6666666666666665
64000124,6.0,6.0,3.4,5.133333333333334,5.133333333333334
