SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
25000001,9.4,5.75,8.4,7.85,7.8500000000000005
25000002,7.2,7.5,6.2,6.966666666666666,6.966666666666666
25000003,8.6,7.0,6.4,7.333333333333333,7.333333333333333
25000004,9.2,6.5,5.8,7.166666666666667,7.166666666666667
25000005,9.4,8.25,9.2,8.95,8.95
25000006,9.2,7.75,7.0,7.983333333333333,7.983333333333333
25000007,8.4,6.25,9.2,7.95,7.95
25000008,8.2,8.5,8.4,8.366666666666667,8.366666666666667
25000009,8.0,8.5,8.2,8.233333333333333,8.233333333333333
25000010,8.2,8.5,9.6,8.766666666666666,8.766666666666666
25000011,8.0,9.25,8.6,8.616666666666667,8.616666666666667
25000012,8.4,7.5,6.8,7.566666666666666,7.566666666666666
25000013,8.8,8.25,5.0,7.35,7.3500000000000005
25000014,9.4,8.5,9.0,8.966666666666667,8.966666666666667
25000015,8.6,8.5,7.2,8.1,8.1
25000016,8.8,7.75,7.4,7.983333333333334,7.983333333333334
25000017,9.4,7.75,7.6,8.25,8.25
25000018,8.6,8.5,9.8,8.966666666666667,8.966666666666667
25000019,9.2,8.0,10.0,9.066666666666666,9.066666666666666
25000020,8.6,8.0,8.8,8.466666666666667,8.466666666666667
25000021,9.0,8.0,9.6,8.866666666666667,8.866666666666667
25000022,9.0,6.25,8.8,8.016666666666667,8.016666666666667
25000023,8.6,7.75,7.0,7.783333333333334,7.783333333333334
25000024,8.2,8.0,6.4,7.533333333333334,7.533333333333334
25000025,9.2,8.0,7.4,8.200000000000001,8.200000000000001
25000026,9.4,8.5,8.6,8.833333333333334,8.833333333333334
25000027,9.2,8.5,8.8,8.833333333333334,8.833333333333334
25000028,8.2,8.5,7.2,7.966666666666666,7.966666666666666
25000029,8.8,8.25,6.4,7.816666666666667,7.816666666666667
25000030,8.0,8.0,7.8,7.933333333333334,7.933333333333334
25000031,8.6,8.5,8.8,8.633333333333335,8.633333333333335
25000032,8.8,9.5,8.8,9.033333333333331,9.033333333333333
25000033,9.6,7.25,7.2,8.016666666666667,8.016666666666667
25000034,9.0,9.0,8.6,8.866666666666667,8.866666666666667
25000035,9.4,6.0,5.0,6.8,6.8
