SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
45000001,7.6,5.5,4.0,5.7,5.7
45000002,8.8,7.0,3.2,6.333333333333333,6.333333333333333
45000003,8.0,6.5,2.8,5.766666666666667,5.766666666666667
45000004,8.6,6.25,3.8,6.216666666666666,6.216666666666666
45000005,8.0,8.0,5.2,7.066666666666666,7.066666666666666
45000006,9.2,6.25,3.8,6.416666666666667,6.416666666666667
45000007,7.4,4.5,4.8,5.566666666666666,5.566666666666666
45000008,7.6,7.25,3.4,6.083333333333333,6.083333333333333
45000009,7.6,6.25,4.0,5.95,5.95
45000010,5.4,4.75,4.8,4.983333333333333,4.983333333333333
45000011,5.8,6.75,2.6,5.05,5.05
45000012,8.2,7.25,5.6,7.016666666666666,7.016666666666666
45000013,7.0,6.5,2.2,5.233333333333333,5.233333333333333
45000014,7.4,6.5,4.8,6.233333333333333,6.233333333333333
45000015,8.4,7.5,5.8,7.233333333333333,7.233333333333333
45000016,8.6,6.75,5.2,6.8500000000000005,6.8500000000000005
45000017,7.4,7.5,5.0,6.633333333333333,6.633333333333333
45000018,7.4,6.5,4.0,5.966666666666666,5.966666666666666
45000019,6.0,5.75,3.0,4.916666666666667,4.916666666666667
45000020,8.2,6.0,4.6,6.266666666666666,6.266666666666666
45000021,7.6,5.5,5.0,6.033333333333334,6.033333333333334
45000022,6.2,5.25,4.0,5.15,5.1499999999999995
45000023,7.2,6.0,3.6,5.6000000000000005,5.6000000000000005
45000024,8.2,6.25,3.6,6.016666666666667,6.016666666666667
45000025,7.8,5.5,5.0,6.1000000000000005,6.1000000000000005
45000026,8.2,5.5,3.8,5.833333333333333,5.833333333333333
45000027,8.6,6.0,4.6,6.4,6.3999999999999995
45000028,7.0,4.75,3.6,5.116666666666666,5.116666666666666
45000029,8.6,6.5,3.8,6.3,6.3
45000030,7.2,6.5,3.8,5.833333333333333,5.833333333333333
45000031,7.4,5.75,3.4,5.516666666666667,5.516666666666667
45000032,8.6,7.25,8.0,7.95,7.95
45000033,7.0,6.5,4.2,5.9,5.8999999999999995
45000034,7.8,6.25,3.2,5.75,5.75
45000035,8.8,8.25,7.6,8.216666666666667,8.216666666666667
45000036,5.2,8.25,6.2,6.55,6.55
45000037,6.0,6.25,4.6,5.616666666666667,5.616666666666667
45000038,8.4,6.75,5.4,6.8500000000000005,6.8500000000000005
45000039,5.8,6.5,3.0,5.1000000000000005,5.1000000000000005
45000040,5.0,6.75,2.6,4.783333333333333,4.783333333333333
45000041,8.2,7.25,3.8,6.416666666666667,6.416666666666667
45000042,4.8,6.25,3.2,4.75,4.75
45000043,2.6,4.5,6.4,4.5,4.5
45000044,7.6,6.0,2.8,5.466666666666666,5.466666666666666
45000045,8.0,7.0,6.6,7.2,7.2
45000046,8.0,7.0,6.0,7.0,7.0
45000047,1.8,4.5,2.8,3.033333333333333,3.033333333333333
45000048,2.2,6.25,1.6,3.35,3.3499999999999996
45000049,7.0,6.5,3.6,5.7,5.7
45000050,6.8,7.25,3.4,5.816666666666666,5.816666666666666
45000051,5.8,5.25,4.0,5.016666666666667,5.016666666666667
45000052,7.0,5.0,3.2,5.066666666666666,5.066666666666666
45000053,7.8,7.25,9.2,8.083333333333334,8.083333333333334
45000054,7.4,4.25,3.8,5.15,5.1499999999999995
45000055,5.2,6.0,2.0,4.4,4.3999999999999995
45000056,4.6,6.25,5.0,5.283333333333333,5.283333333333333
45000057,5.8,6.5,4.2,5.5,5.5
45000058,6.6,7.5,4.4,6.166666666666667,6.166666666666667
45000059,2.8,6.0,2.4,3.733333333333334,3.733333333333334
45000060,4.8,5.0,2.0,3.9333333333333336,3.9333333333333336
45000061,2.4,5.5,2.6,3.5,3.5
45000062,6.4,7.5,4.4,6.1000000000000005,6.1000000000000005
45000063,6.0,7.25,2.0,5.083333333333333,5.083333333333333
45000064,6.2,6.25,2.8,5.083333333333333,5.083333333333333
45000065,3.4,5.75,2.2,3.7833333333333337,3.7833333333333337
45000066,2.4,4.0,3.2,3.2000000000000006,3.2000000000000006
45000067,7.8,7.0,5.0,6.6000000000000005,6.6000000000000005
45000068,3.0,5.75,3.4,4.05,4.05
45000069,5.4,4.75,2.0,4.05,4.05
45000070,8.4,7.0,4.4,6.6000000000000005,6.6000000000000005
45000071,7.4,5.75,4.0,5.716666666666666,5.716666666666666
45000072,4.4,5.75,3.0,4.383333333333334,4.383333333333334
45000073,6.8,6.75,4.4,5.983333333333334,5.983333333333334
45000074,8.8,7.0,5.2,7.0,7.0
45000075,4.6,6.5,2.8,4.633333333333333,4.633333333333333
45000076,8.0,7.0,5.2,6.733333333333333,6.733333333333333
45000077,7.8,6.75,4.8,6.45,6.45
45000078,8.2,7.5,6.6,7.433333333333333,7.433333333333333
45000079,9.0,6.5,8.0,7.833333333333333,7.833333333333333
45000080,7.6,7.25,5.0,6.616666666666667,6.616666666666667
45000081,8.2,5.75,4.8,6.25,6.25
45000082,8.6,7.75,6.8,7.716666666666668,7.716666666666668
45000083,7.0,6.5,5.8,6.433333333333334,6.433333333333334
45000084,4.6,4.25,4.0,4.283333333333333,4.283333333333333
45000085,3.8,4.0,4.2,4.0,4.0
45000086,8.2,7.5,6.0,7.233333333333333,7.233333333333333
45000087,7.4,6.75,3.4,5.8500000000000005,5.8500000000000005
45000088,8.8,6.75,7.6,7.716666666666666,7.716666666666666
45000089,5.8,7.75,3.8,5.783333333333334,5.783333333333334
45000090,6.2,7.0,2.4,5.2,5.2
45000091,6.6,7.25,2.0,5.283333333333333,5.283333333333333
45000092,2.8,6.0,3.0,3.9333333333333336,3.9333333333333336
45000093,7.2,7.5,3.0,5.9,5.8999999999999995
45000094,6.2,7.0,2.8,5.333333333333333,5.333333333333333
45000095,3.4,4.5,2.0,3.3000000000000003,3.3000000000000003
45000096,4.0,4.5,1.8,3.4333333333333336,3.4333333333333336
45000097,8.6,7.25,4.6,6.816666666666666,6.816666666666666
45000098,6.2,6.25,6.8,6.416666666666667,6.416666666666667
45000099,7.8,8.75,8.2,8.25,8.25
45000100,7.8,6.75,3.0,5.8500000000000005,5.8500000000000005
45000101,8.8,6.0,5.0,6.6000000000000005,6.6000000000000005
45000102,7.6,6.0,3.0,5.533333333333334,5.533333333333334
45000103,3.4,5.75,3.0,4.05,4.05
45000104,8.0,7.75,5.8,7.183333333333334,7.183333333333334
45000105,4.4,6.5,2.2,4.366666666666667,4.366666666666667
45000106,4.6,6.5,4.8,5.3,5.3
45000107,6.6,6.75,3.2,5.516666666666667,5.516666666666667
45000108,6.2,6.25,2.6,5.016666666666667,5.016666666666667
45000109,8.8,5.25,8.8,7.616666666666667,7.616666666666667
45000110,1.8,5.25,2.2,3.083333333333333,3.0833333333333335
45000111,2.2,4.75,2.2,3.0500000000000003,3.0500000000000003
45000112,8.6,8.0,6.6,7.733333333333334,7.733333333333334
45000113,4.8,6.5,2.6,4.633333333333334,4.633333333333334
45000114,7.0,6.25,4.4,5.883333333333333,5.883333333333333
45000115,7.8,6.75,4.4,6.316666666666667,6.316666666666667
45000116,9.0,5.75,3.4,6.05,6.05
45000117,5.8,4.25,2.6,4.216666666666667,4.216666666666667
45000118,9.2,7.25,5.8,7.416666666666667,7.416666666666667
45000119,6.0,7.5,3.4,5.633333333333333,5.633333333333333
45000120,6.6,7.0,4.2,5.933333333333334,5.933333333333334
45000121,5.2,6.25,3.0,4.816666666666666,4.816666666666666
45000122,5.2,5.25,2.2,4.216666666666666,4.216666666666666
45000123,8.2,5.5,4.0,5.9,5.8999999999999995
45000124,6.4,6.5,4.4,5.766666666666667,5.766666666666667
45000125,5.0,7.5,4.2,5.566666666666666,5.566666666666666
45000126,5.2,6.25,3.4,4.95,4.95
45000127,3.2,5.75,2.6,3.85,3.8499999999999996
45000128,7.8,7.0,3.0,5.933333333333334,5.933333333333334
45000129,7.8,6.5,2.8,5.7,5.7
45000130,8.2,7.5,3.4,6.366666666666666,6.366666666666666
45000131,8.0,7.75,5.2,6.983333333333333,6.983333333333333
45000132,7.8,6.75,4.4,6.316666666666667,6.316666666666667
45000133,8.0,7.5,5.2,6.9,6.8999999999999995
45000134,5.2,6.25,3.6,5.016666666666667,5.016666666666667
45000135,6.8,5.25,3.8,5.283333333333334,5.283333333333334
45000136,4.8,3.75,2.4,3.65,3.6500000000000004
45000137,8.2,6.75,4.2,6.383333333333333,6.383333333333333
45000138,6.4,7.75,4.8,6.316666666666666,6.316666666666666
45000139,7.0,7.25,6.0,6.75,6.75
45000140,4.6,6.5,3.4,4.833333333333333,4.833333333333333
45000141,7.2,6.75,2.8,5.583333333333333,5.583333333333333
45000142,7.0,6.5,4.6,6.033333333333334,6.033333333333334
45000143,7.2,6.25,5.8,6.416666666666667,6.416666666666667
45000144,2.6,6.0,3.0,3.8666666666666663,3.8666666666666667
45000145,7.8,8.25,6.6,7.55,7.55
45000146,3.6,5.25,2.6,3.8166666666666655,3.8166666666666664
45000147,3.6,4.0,2.8,3.4666666666666663,3.4666666666666663
45000148,4.8,7.0,2.4,4.733333333333333,4.733333333333333
45000149,6.4,5.75,5.2,5.783333333333334,5.783333333333334
45000150,8.0,7.25,6.8,7.35,7.3500000000000005
45000151,4.0,5.0,2.4,3.8,3.8000000000000003
45000152,8.2,7.5,6.8,7.5,7.5
45000153,8.0,8.5,5.4,7.3,7.3
45000154,6.8,5.75,2.2,4.916666666666667,4.916666666666667
45000155,4.8,4.5,1.8,3.7000000000000006,3.7000000000000006
45000156,7.6,7.0,4.0,6.2,6.2
45000157,5.2,6.75,3.2,5.05,5.05
45000158,7.2,7.75,3.4,6.116666666666666,6.116666666666666
45000159,3.4,5.75,2.0,3.716666666666667,3.716666666666667
45000160,2.4,2.75,2.8,2.65,2.65
45000161,5.8,5.5,2.8,4.7,4.7
45000162,7.2,6.25,2.8,5.416666666666667,5.416666666666667
45000163,8.2,5.0,2.4,5.2,5.2
45000164,6.8,5.75,3.4,5.316666666666667,5.316666666666667
45000165,6.0,5.25,3.4,4.883333333333334,4.883333333333334
45000166,4.2,4.5,2.4,3.7,3.6999999999999997
45000167,8.4,3.75,6.2,6.116666666666667,6.116666666666667
45000168,7.8,6.5,2.0,5.433333333333334,5.433333333333334
45000169,3.4,6.0,3.2,4.2,4.2
45000170,4.2,5.25,6.6,5.349999999999999,5.349999999999999
45000171,2.8,5.25,3.0,3.6833333333333336,3.6833333333333336
45000172,2.8,4.5,2.2,3.1666666666666665,3.1666666666666665
45000173,3.6,5.0,2.8,3.8,3.7999999999999994
45000174,8.6,5.5,4.6,6.233333333333333,6.233333333333333
45000175,7.6,7.0,5.6,6.733333333333333,6.733333333333333
45000176,6.4,6.75,5.6,6.25,6.25
45000177,4.0,5.5,4.0,4.5,4.5
45000178,1.8,3.25,2.6,2.5500000000000003,2.5500000000000003
45000179,7.0,7.0,4.8,6.266666666666667,6.266666666666667
45000180,5.0,6.5,3.2,4.9,4.8999999999999995
45000181,8.8,6.25,4.6,6.55,6.55
45000182,5.6,5.75,4.2,5.183333333333334,5.183333333333334
45000183,8.8,5.75,5.8,6.783333333333334,6.783333333333334
45000184,5.8,4.75,1.8,4.116666666666667,4.116666666666667
45000185,5.8,6.0,4.2,5.333333333333333,5.333333333333333
45000186,9.2,7.75,7.2,8.049999999999999,8.049999999999999
45000187,6.8,6.0,2.8,5.2,5.2
45000188,7.4,6.0,5.2,6.2,6.2
45000189,3.8,4.5,2.8,3.7000000000000006,3.7000000000000006
45000190,3.8,4.75,3.2,3.9166666666666665,3.9166666666666665
45000191,7.2,4.0,2.6,4.6,4.6
45000192,6.6,6.0,2.6,5.066666666666666,5.066666666666666
45000193,5.6,6.0,3.6,5.066666666666666,5.066666666666666
45000194,4.4,6.0,2.8,4.4,4.3999999999999995
45000195,6.0,6.75,3.2,5.316666666666666,5.316666666666666
45000196,5.8,7.25,4.6,5.883333333333333,5.883333333333333
45000197,8.0,6.25,2.8,5.683333333333334,5.683333333333334
45000198,1.6,4.25,2.4,2.75,2.75
45000199,2.6,4.5,1.8,2.966666666666667,2.966666666666667
45000200,7.2,6.5,3.8,5.833333333333333,5.833333333333333
45000201,7.4,6.5,4.6,6.166666666666667,6.166666666666667
45000202,6.6,6.0,4.0,5.533333333333334,5.533333333333334
45000203,3.4,5.25,2.4,3.6833333333333336,3.6833333333333336
45000204,7.4,6.5,7.0,6.966666666666666,6.966666666666666
45000205,8.2,6.0,5.2,6.466666666666666,6.466666666666666
45000206,4.0,5.25,1.8,3.6833333333333336,3.6833333333333336
45000207,4.0,6.5,1.8,4.1000000000000005,4.1000000000000005
45000208,6.2,6.25,3.0,5.15,5.1499999999999995
45000209,6.0,5.5,3.0,4.833333333333333,4.833333333333333
45000210,8.0,6.5,4.0,6.166666666666667,6.166666666666667
45000211,8.2,7.25,5.4,6.95,6.95
45000212,8.4,7.5,7.2,7.7,7.7
45000213,7.0,5.75,2.6,5.116666666666666,5.116666666666666
45000214,6.8,6.75,2.2,5.25,5.25
45000215,5.8,6.5,2.4,4.9,4.9
45000216,6.6,6.25,3.4,5.416666666666667,5.416666666666667
45000217,8.4,5.75,3.6,5.916666666666667,5.916666666666667
45000218,8.4,7.25,5.4,7.016666666666667,7.016666666666667
45000219,3.4,6.5,2.2,4.033333333333334,4.033333333333334
45000220,8.2,6.75,5.8,6.916666666666667,6.916666666666667
45000221,7.6,6.25,4.0,5.95,5.95
45000222,2.6,5.0,2.6,3.4,3.4
45000223,8.2,7.0,6.8,7.333333333333333,7.333333333333333
45000224,6.4,6.0,2.0,4.8,4.8
45000225,5.8,6.5,3.4,5.233333333333333,5.233333333333333
45000226,7.2,5.5,2.4,5.033333333333333,5.033333333333333
45000227,7.2,6.5,4.6,6.099999999999999,6.099999999999999
45000228,7.0,7.0,5.4,6.466666666666666,6.466666666666666
45000229,7.4,6.75,5.8,6.65,6.6499999999999995
45000230,8.0,4.5,3.6,5.366666666666667,5.366666666666667
45000231,3.6,5.25,4.2,4.3500000000000005,4.3500000000000005
45000232,9.2,7.25,6.8,7.75,7.75
45000233,8.2,6.0,4.6,6.266666666666666,6.266666666666666
45000234,6.4,5.0,3.4,4.933333333333334,4.933333333333334
45000235,5.4,6.0,4.8,5.4,5.3999999999999995
45000236,9.2,6.0,2.0,5.733333333333333,5.733333333333333
45000237,3.8,6.5,3.2,4.5,4.5
45000238,5.2,6.75,2.2,4.716666666666666,4.716666666666666
45000239,8.8,6.0,4.4,6.400000000000001,6.400000000000001
45000240,5.6,7.0,4.2,5.6000000000000005,5.6000000000000005
45000241,7.4,6.75,3.8,5.983333333333333,5.983333333333333
45000242,7.6,7.0,3.4,6.0,6.0
45000243,6.0,5.25,2.4,4.55,4.55
45000244,5.8,5.75,2.8,4.783333333333334,4.783333333333334
45000245,7.4,6.25,2.8,5.483333333333333,5.483333333333333
45000246,4.2,7.25,2.4,4.616666666666666,4.616666666666666
45000247,4.4,4.5,2.6,3.8333333333333335,3.8333333333333335
45000248,5.2,4.75,3.8,4.583333333333333,4.583333333333333
45000249,8.4,6.75,3.4,6.183333333333334,6.183333333333334
45000250,7.4,5.25,4.8,5.816666666666666,5.816666666666666
45000251,5.0,5.75,3.2,4.65,4.6499999999999995
45000252,5.0,6.25,2.8,4.683333333333334,4.683333333333334
