SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
17000001,6.0,5.75,2.8,4.8500000000000005,4.8500000000000005
17000002,5.2,5.0,3.2,4.466666666666666,4.466666666666666
17000003,4.8,4.25,1.4,3.483333333333334,3.483333333333334
17000004,6.8,8.0,4.8,6.533333333333334,6.533333333333334
17000005,5.6,4.5,2.0,4.033333333333333,4.033333333333333
17000006,5.6,5.0,4.2,4.933333333333334,4.933333333333334
17000007,5.6,5.25,3.4,4.75,4.75
17000008,5.2,6.0,3.0,4.733333333333333,4.733333333333333
17000009,4.0,7.0,2.6,4.533333333333333,4.533333333333333
17000010,5.4,5.0,2.8,4.4,4.3999999999999995
17000011,5.2,6.0,3.6,4.933333333333333,4.933333333333333
17000012,6.6,3.75,2.2,4.183333333333334,4.183333333333334
17000013,5.0,3.5,3.4,3.966666666666667,3.966666666666667
17000014,4.6,3.75,2.6,3.65,3.65
17000015,4.4,5.25,2.4,4.016666666666667,4.016666666666667
17000016,5.2,6.25,3.2,4.883333333333333,4.883333333333333
17000017,7.0,4.75,4.8,5.516666666666667,5.516666666666667
17000018,9.2,3.75,7.6,6.849999999999999,6.849999999999999
17000019,4.0,4.0,1.6,3.2,3.1999999999999997
17000020,5.4,5.5,3.6,4.833333333333333,4.833333333333333
17000021,5.8,5.25,3.6,4.883333333333334,4.883333333333334
17000022,5.6,5.0,0.0,3.533333333333333,3.533333333333333
17000023,4.6,7.0,4.0,5.2,5.2
17000024,4.4,7.0,3.2,4.866666666666667,4.866666666666667
17000025,5.4,2.25,4.2,3.9500000000000006,3.9500000000000006
17000026,6.2,4.25,0.0,3.483333333333333,3.483333333333333
17000027,5.4,5.75,4.2,5.116666666666667,5.116666666666667
17000028,4.0,6.0,3.0,4.333333333333333,4.333333333333333
17000029,5.4,3.5,2.6,3.8333333333333335,3.8333333333333335
17000030,6.6,5.25,3.2,5.016666666666667,5.016666666666667
17000031,6.0,5.25,2.6,4.616666666666666,4.616666666666666
17000032,3.8,4.75,2.8,3.7833333333333337,3.7833333333333337
17000033,2.2,3.5,1.6,2.4333333333333336,2.4333333333333336
17000034,2.8,2.25,2.4,2.483333333333333,2.483333333333333
17000035,3.4,6.25,3.0,4.216666666666667,4.216666666666667
17000036,3.2,3.5,2.0,2.9,2.9
17000037,3.8,6.25,2.0,4.016666666666667,4.016666666666667
17000038,4.4,3.75,3.4,3.85,3.85
17000039,2.0,3.75,3.0,2.9166666666666665,2.9166666666666665
17000040,5.2,2.0,1.2,2.8000000000000003,2.8000000000000003
17000041,6.6,6.75,0.0,4.45,4.45
17000042,6.0,3.5,2.6,4.033333333333333,4.033333333333333
17000043,5.6,4.75,2.2,4.183333333333334,4.183333333333334
17000044,5.4,6.75,4.6,5.583333333333333,5.583333333333333
17000045,3.8,5.5,0.0,3.1,3.1
17000046,3.0,5.0,3.0,3.6666666666666665,3.6666666666666665
17000047,3.2,2.5,2.4,2.7,2.6999999999999997
17000048,4.8,2.75,2.6,3.3833333333333333,3.3833333333333333
17000049,4.0,5.5,1.2,3.5666666666666664,3.5666666666666664
17000050,3.4,3.25,2.6,3.083333333333333,3.0833333333333335
17000051,3.8,5.0,3.0,3.9333333333333336,3.9333333333333336
17000052,4.4,4.0,2.4,3.6,3.6
17000053,5.2,4.25,3.6,4.35,4.35
17000054,6.4,6.75,2.8,5.316666666666666,5.316666666666666
17000055,6.8,7.0,3.8,5.866666666666667,5.866666666666667
17000056,5.2,5.5,2.6,4.433333333333333,4.433333333333333
17000057,3.6,2.0,3.2,2.9333333333333336,2.9333333333333336
17000058,7.2,6.5,3.8,5.833333333333333,5.833333333333333
17000059,5.0,6.5,2.6,4.7,4.7
17000060,6.6,7.5,4.0,6.033333333333334,6.033333333333334
17000061,4.8,4.75,1.8,3.7833333333333337,3.7833333333333337
17000062,5.8,4.0,1.8,3.866666666666667,3.866666666666667
17000063,4.0,3.75,4.0,3.9166666666666665,3.9166666666666665
17000064,7.0,6.75,3.2,5.65,5.6499999999999995
17000065,6.4,4.25,1.8,4.15,4.15
17000066,5.6,6.5,4.0,5.366666666666667,5.366666666666667
17000067,3.2,5.5,2.2,3.633333333333333,3.633333333333333
17000068,6.6,7.25,7.6,7.15,7.1499999999999995
17000069,1.8,6.5,1.2,3.1666666666666665,3.1666666666666665
17000070,3.8,5.25,3.2,4.083333333333333,4.083333333333333
17000071,3.4,5.25,1.6,3.4166666666666665,3.4166666666666665
17000072,4.2,4.33,3.6,4.043333333333334,4.043333333333334
17000073,5.6,6.25,4.0,5.283333333333333,5.283333333333333
17000074,3.6,4.0,5.4,4.333333333333333,4.333333333333333
17000075,4.4,3.5,0.0,2.6333333333333333,2.6333333333333333
17000076,4.8,6.25,5.4,5.483333333333334,5.483333333333334
17000077,3.8,5.0,3.4,4.066666666666667,4.066666666666667
17000078,7.0,5.25,2.6,4.95,4.95
17000079,4.8,3.5,2.8,3.7000000000000006,3.7000000000000006
17000080,5.4,5.5,3.6,4.833333333333333,4.833333333333333
17000081,4.2,4.25,1.8,3.4166666666666665,3.4166666666666665
17000082,4.4,4.25,2.8,3.8166666666666655,3.8166666666666664
17000083,5.2,6.0,0.0,3.733333333333333,3.733333333333333
17000084,4.6,4.0,2.8,3.8,3.7999999999999994
17000085,1.6,1.25,2.8,1.8833333333333333,1.8833333333333335
17000086,3.8,5.75,3.0,4.183333333333334,4.183333333333334
17000087,5.4,6.5,2.2,4.7,4.7
17000088,5.4,6.0,2.2,4.533333333333334,4.533333333333334
17000089,4.8,6.0,3.0,4.6000000000000005,4.6000000000000005
17000090,1.8,6.0,2.6,3.466666666666667,3.466666666666667
17000091,3.0,5.75,4.8,4.516666666666667,4.516666666666667
17000092,4.2,6.25,4.2,4.883333333333333,4.883333333333333
17000093,5.2,5.0,5.0,5.066666666666666,5.066666666666666
17000094,4.6,4.5,3.4,4.166666666666667,4.166666666666667
17000095,3.4,5.75,0.0,3.0500000000000003,3.0500000000000003
17000096,3.8,6.75,2.4,4.316666666666667,4.316666666666667
17000097,5.6,5.25,2.4,4.416666666666667,4.416666666666667
17000098,3.6,3.75,3.8,3.7166666666666655,3.7166666666666663
17000099,4.4,3.25,2.8,3.483333333333333,3.483333333333333
17000100,2.8,5.25,2.2,3.4166666666666665,3.4166666666666665
17000101,4.6,3.75,2.0,3.45,3.4499999999999997
17000102,3.6,4.75,4.6,4.316666666666666,4.316666666666666
17000103,2.2,4.25,2.2,2.8833333333333333,2.8833333333333333
17000104,6.6,4.75,2.8,4.716666666666666,4.716666666666666
17000105,5.4,4.25,4.0,4.55,4.55
17000106,4.4,4.5,2.2,3.7000000000000006,3.7000000000000006
17000107,3.0,3.0,2.0,2.6666666666666665,2.6666666666666665
17000108,4.2,2.75,3.2,3.3833333333333333,3.3833333333333333
17000109,6.0,4.25,2.6,4.283333333333333,4.283333333333333
17000110,5.0,5.0,5.8,5.266666666666667,5.266666666666667
17000111,2.4,4.0,2.6,3.0,3.0
17000112,2.0,4.0,1.8,2.6,2.6
17000113,6.6,4.5,5.4,5.5,5.5
17000114,3.6,3.0,4.0,3.533333333333333,3.533333333333333
17000115,3.4,4.75,2.2,3.4500000000000006,3.4500000000000006
17000116,5.4,6.5,3.6,5.166666666666667,5.166666666666667
17000117,2.2,4.75,2.6,3.1833333333333336,3.1833333333333336
17000118,5.2,3.0,2.8,3.6666666666666665,3.6666666666666665
17000119,4.8,5.25,2.8,4.283333333333334,4.283333333333334
17000120,4.4,5.0,3.4,4.266666666666667,4.266666666666667
17000121,6.6,7.5,0.0,4.7,4.7
17000122,2.6,6.5,3.6,4.233333333333333,4.233333333333333
17000123,3.8,4.25,3.6,3.883333333333333,3.8833333333333333
17000124,3.6,6.5,4.0,4.7,4.7
17000125,6.8,6.25,2.0,5.016666666666667,5.016666666666667
17000126,6.4,4.75,3.0,4.716666666666667,4.716666666666667
17000127,4.8,4.5,1.6,3.633333333333333,3.6333333333333333
17000128,5.6,5.0,2.0,4.2,4.2
17000129,5.4,4.0,4.8,4.733333333333333,4.733333333333333
