SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
57000001,7.6,6.0,4.0,5.866666666666667,5.866666666666667
57000002,7.6,8.5,6.6,7.566666666666667,7.566666666666667
57000003,7.4,6.0,4.0,5.8,5.8
57000004,5.0,5.75,0.0,3.583333333333333,3.5833333333333335
57000005,8.6,7.5,5.2,7.1000000000000005,7.1000000000000005
57000006,7.6,6.75,4.4,6.25,6.25
57000007,5.2,6.75,3.4,5.116666666666666,5.116666666666666
57000008,3.2,6.5,0.0,3.233333333333333,3.233333333333333
57000009,6.4,6.25,8.4,7.016666666666667,7.016666666666667
57000010,5.8,5.5,4.6,5.3,5.3
57000011,7.8,6.5,6.4,6.900000000000001,6.900000000000001
57000012,1.4,3.75,0.0,1.7166666666666668,1.7166666666666668
57000013,6.0,6.0,4.6,5.533333333333334,5.533333333333334
57000014,7.4,7.0,4.6,6.333333333333333,6.333333333333333
57000015,3.4,6.0,0.0,3.1333333333333333,3.1333333333333333
57000016,4.8,5.5,0.0,3.4333333333333336,3.4333333333333336
57000017,7.4,7.0,5.0,6.466666666666666,6.466666666666666
57000018,8.0,6.5,6.2,6.9,6.8999999999999995
57000019,8.6,6.5,7.8,7.633333333333333,7.633333333333333
57000020,7.6,6.25,5.0,6.283333333333334,6.283333333333334
57000021,9.0,6.75,6.0,7.25,7.25
57000022,9.2,7.0,5.6,7.266666666666666,7.266666666666666
57000023,1.4,5.0,0.0,2.1333333333333333,2.1333333333333333
57000024,4.4,6.25,0.0,3.5500000000000003,3.5500000000000003
57000025,8.4,6.25,3.2,5.95,5.95
57000026,9.0,6.75,5.8,7.183333333333334,7.183333333333334
57000027,4.8,6.5,4.8,5.366666666666667,5.366666666666667
57000028,4.4,6.5,0.0,3.633333333333333,3.6333333333333333
57000029,8.8,7.5,7.6,7.966666666666666,7.966666666666666
57000030,7.6,6.5,3.0,5.7,5.7
57000031,5.6,6.5,3.6,5.233333333333333,5.233333333333333
57000032,8.2,6.0,6.8,7.0,7.0
57000033,8.4,6.5,5.4,6.766666666666667,6.766666666666667
57000034,2.8,5.0,0.0,2.6,2.6
57000035,7.2,7.0,6.4,6.866666666666667,6.866666666666667
