SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
13000001,9.4,7.0,8.6,8.333333333333334,8.333333333333334
13000002,8.2,8.75,8.4,8.450000000000001,8.450000000000001
13000003,9.4,7.75,6.8,7.983333333333333,7.983333333333333
13000004,8.2,8.25,8.6,8.35,8.35
13000005,9.6,9.0,8.4,9.0,9.0
13000006,9.0,5.25,7.2,7.15,7.1499999999999995
13000007,8.8,7.5,7.4,7.900000000000001,7.900000000000001
13000008,9.2,7.5,8.0,8.233333333333333,8.233333333333333
13000009,8.4,3.5,9.2,7.033333333333334,7.033333333333334
13000010,9.4,7.5,8.8,8.566666666666666,8.566666666666666
13000011,9.0,6.0,5.2,6.733333333333333,6.733333333333333
13000012,8.8,6.5,4.4,6.566666666666667,6.566666666666667
13000013,8.0,8.25,6.4,7.55,7.55
13000014,8.0,7.75,6.8,7.516666666666667,7.516666666666667
13000015,8.4,7.5,5.6,7.166666666666667,7.166666666666667
13000016,9.4,5.75,6.6,7.25,7.25
13000017,7.8,7.25,5.8,6.95,6.95
13000018,9.0,6.75,3.8,6.516666666666667,6.516666666666667
13000019,9.0,7.75,5.2,7.316666666666666,7.316666666666666
13000020,7.0,7.25,4.4,6.216666666666666,6.216666666666666
13000021,9.2,6.25,5.8,7.083333333333333,7.083333333333333
13000022,8.2,5.0,8.6,7.266666666666666,7.266666666666666
13000023,8.2,7.5,6.6,7.433333333333333,7.433333333333333
13000024,7.8,8.0,8.4,8.066666666666668,8.066666666666668
13000025,8.6,6.75,8.2,7.849999999999999,7.849999999999999
13000026,8.4,6.75,6.4,7.183333333333334,7.183333333333334
13000027,9.2,5.5,8.0,7.566666666666666,7.566666666666666
13000028,9.0,6.75,6.4,7.383333333333333,7.383333333333333
13000029,8.4,4.75,6.2,6.45,6.45
13000030,9.2,5.0,8.4,7.533333333333334,7.533333333333334
13000031,9.4,5.5,5.6,6.833333333333333,6.833333333333333
13000032,9.4,5.5,7.6,7.5,7.5
13000033,7.0,7.0,4.2,6.066666666666666,6.066666666666666
13000034,7.0,6.0,7.6,6.866666666666667,6.866666666666667
13000035,8.8,6.0,5.2,6.666666666666667,6.666666666666667
13000036,9.0,7.25,8.2,8.15,8.15
