SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
40000001,5.0,5.75,2.6,4.45,4.45
40000002,3.0,3.5,2.6,3.033333333333333,3.033333333333333
40000003,5.0,5.25,2.6,4.283333333333333,4.283333333333333
40000004,7.6,6.75,2.8,5.716666666666666,5.716666666666666
40000005,7.0,8.25,3.2,6.15,6.1499999999999995
40000006,6.4,7.25,4.0,5.883333333333333,5.883333333333333
40000007,5.4,5.25,3.4,4.683333333333334,4.683333333333334
40000008,6.8,6.25,4.4,5.816666666666667,5.816666666666667
40000009,4.6,4.0,3.0,3.8666666666666663,3.8666666666666667
40000010,5.2,6.0,3.4,4.866666666666666,4.866666666666666
40000011,9.0,7.5,3.6,6.7,6.7
40000012,2.8,3.0,3.6,3.1333333333333333,3.1333333333333333
40000013,5.2,4.5,3.8,4.5,4.5
40000014,4.2,4.0,3.2,3.8,3.7999999999999994
40000015,6.2,6.0,2.8,5.0,5.0
40000016,2.6,3.0,1.8,2.4666666666666663,2.4666666666666663
40000017,7.0,6.5,5.8,6.433333333333334,6.433333333333334
40000018,4.4,4.5,2.6,3.8333333333333335,3.8333333333333335
40000019,3.4,4.5,3.0,3.633333333333333,3.6333333333333333
40000020,7.0,6.75,3.6,5.783333333333334,5.783333333333334
40000021,3.4,2.25,2.4,2.6833333333333336,2.6833333333333336
40000022,3.4,3.25,1.2,2.6166666666666667,2.6166666666666667
40000023,7.4,5.5,2.6,5.166666666666667,5.166666666666667
40000024,3.8,5.0,3.2,4.0,4.0
40000025,4.6,6.0,3.6,4.733333333333333,4.733333333333333
40000026,4.4,5.5,3.2,4.366666666666667,4.366666666666667
40000027,2.6,5.0,3.0,3.533333333333333,3.533333333333333
40000028,4.4,4.75,2.6,3.9166666666666665,3.9166666666666665
40000029,7.4,6.75,5.6,6.583333333333333,6.583333333333333
40000030,2.8,3.5,2.4,2.9,2.9
40000031,7.8,5.0,7.0,6.6000000000000005,6.6000000000000005
40000032,7.0,7.75,4.8,6.516666666666667,6.516666666666667
40000033,6.8,7.33,2.4,5.509999999999999,5.509999999999999
40000034,6.0,6.5,2.0,4.833333333333333,4.833333333333333
40000035,2.8,6.0,1.8,3.5333333333333337,3.5333333333333337
40000036,9.0,7.5,6.2,7.566666666666666,7.566666666666666
40000037,6.0,7.25,3.8,5.683333333333334,5.683333333333334
40000038,4.8,6.0,0.0,3.6,3.6
40000039,7.2,7.25,3.6,6.016666666666667,6.016666666666667
40000040,5.6,5.5,3.0,4.7,4.7
40000041,7.8,6.25,3.2,5.75,5.75
40000042,1.4,3.5,1.6,2.1666666666666665,2.1666666666666665
40000043,6.8,4.75,0.0,3.85,3.85
40000044,4.4,4.0,2.6,3.6666666666666665,3.6666666666666665
40000045,3.8,6.25,2.2,4.083333333333333,4.083333333333333
40000046,3.2,5.0,1.6,3.266666666666666,3.266666666666666
40000047,4.0,4.25,1.6,3.283333333333333,3.283333333333333
40000048,6.2,6.25,2.8,5.083333333333333,5.083333333333333
40000049,2.4,4.25,2.2,2.9500000000000006,2.9500000000000006
40000050,8.0,7.25,3.8,6.3500000000000005,6.3500000000000005
40000051,5.2,5.25,1.8,4.083333333333333,4.083333333333333
