SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
10000001,4.0,5.0,0.0,3.0,3.0
10000002,6.0,5.0,0.0,3.6666666666666665,3.6666666666666665
10000003,8.6,5.75,6.6,6.983333333333333,6.983333333333333
10000004,9.4,7.5,9.6,8.833333333333334,8.833333333333334
10000005,6.8,6.0,0.0,4.266666666666667,4.266666666666667
10000006,8.8,6.5,9.8,8.366666666666667,8.366666666666667
10000007,9.2,5.25,8.8,7.75,7.75
10000008,5.8,4.25,0.0,3.35,3.35
10000009,8.4,8.0,9.0,8.466666666666667,8.466666666666667
10000010,8.6,8.0,9.8,8.8,8.8
10000011,8.0,9.0,9.4,8.799999999999999,8.799999999999999
10000012,7.8,7.5,7.8,7.7,7.7
10000013,8.6,5.25,7.8,7.216666666666666,7.216666666666666
10000014,3.6,3.75,0.0,2.45,2.4499999999999997
10000015,9.0,8.25,9.8,9.016666666666667,9.016666666666667
10000016,8.8,6.5,9.4,8.233333333333334,8.233333333333334
10000017,1.6,4.5,0.0,2.033333333333333,2.033333333333333
10000018,6.6,4.25,9.8,6.883333333333333,6.883333333333333
10000019,5.4,4.75,0.0,3.3833333333333333,3.3833333333333333
10000020,7.6,7.0,9.4,8.0,8.0
10000021,3.8,4.5,3.2,3.8333333333333335,3.8333333333333335
10000022,8.8,5.5,9.4,7.900000000000001,7.900000000000001
10000023,4.2,3.75,0.0,2.65,2.65
10000024,2.8,2.75,0.0,1.85,1.8499999999999999
10000025,9.6,7.25,9.0,8.616666666666667,8.616666666666667
10000026,8.0,8.0,9.4,8.466666666666667,8.466666666666667
10000027,9.4,5.75,9.0,8.049999999999999,8.049999999999999
10000028,8.6,6.5,7.4,7.5,7.5
10000029,2.6,2.25,0.0,1.6166666666666665,1.6166666666666665
10000030,8.2,7.0,9.8,8.333333333333334,8.333333333333334
10000031,7.8,7.5,4.6,6.633333333333333,6.633333333333333
10000032,9.2,6.0,9.8,8.333333333333334,8.333333333333334
10000033,7.8,6.0,6.4,6.733333333333334,6.733333333333334
10000034,8.6,7.0,10.0,8.533333333333333,8.533333333333333
10000035,8.6,7.0,9.2,8.266666666666666,8.266666666666666
10000036,2.0,1.5,0.0,1.1666666666666667,1.1666666666666667
10000037,6.4,7.5,8.2,7.366666666666667,7.366666666666667
10000038,8.2,6.5,6.8,7.166666666666667,7.166666666666667
10000039,2.8,1.75,0.0,1.5166666666666666,1.5166666666666666
10000040,5.4,5.25,0.0,3.5500000000000003,3.5500000000000003
10000041,5.8,6.25,0.0,4.016666666666667,4.016666666666667
10000042,2.4,4.5,0.0,2.3000000000000003,2.3000000000000003
10000043,7.0,8.5,7.4,7.633333333333333,7.633333333333333
10000044,2.6,3.75,0.0,2.1166666666666667,2.1166666666666667
10000045,6.8,8.25,8.8,7.95,7.95
10000046,2.4,3.75,0.0,2.0500000000000003,2.0500000000000003
10000047,9.4,8.5,9.8,9.233333333333333,9.233333333333333
10000048,8.4,7.5,7.0,7.633333333333333,7.633333333333333
10000049,2.4,4.25,0.0,2.216666666666667,2.216666666666667
10000050,4.4,5.5,4.6,4.833333333333333,4.833333333333333
10000051,3.8,4.25,0.0,2.6833333333333336,2.6833333333333336
10000052,2.2,4.75,0.0,2.316666666666667,2.316666666666667
10000053,6.6,3.25,0.0,3.283333333333333,3.283333333333333
10000054,3.4,2.75,0.0,2.0500000000000003,2.0500000000000003
10000055,3.6,5.25,0.0,2.95,2.9499999999999997
10000056,4.8,3.75,0.0,2.85,2.85
10000057,2.0,3.0,0.0,1.6666666666666667,1.6666666666666667
10000058,5.2,4.5,0.0,3.233333333333333,3.233333333333333
10000059,7.6,9.25,9.2,8.683333333333334,8.683333333333334
10000060,5.0,5.75,0.0,3.583333333333333,3.5833333333333335
10000061,8.6,6.75,9.8,8.383333333333333,8.383333333333333
10000062,6.8,5.75,10.0,7.516666666666667,7.516666666666667
