SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
55000001,7.0,7.25,4.2,6.15,6.1499999999999995
55000002,7.0,6.75,5.4,6.383333333333333,6.383333333333333
55000003,6.4,6.5,3.8,5.566666666666666,5.566666666666666
55000004,7.0,7.0,7.6,7.2,7.2
55000005,7.6,7.0,6.8,7.133333333333333,7.133333333333333
55000006,6.2,7.5,5.8,6.5,6.5
55000007,5.0,6.5,4.0,5.166666666666667,5.166666666666667
55000008,8.2,8.5,8.8,8.5,8.5
55000009,4.6,6.5,3.6,4.9,4.8999999999999995
55000010,4.6,6.0,2.8,4.466666666666666,4.466666666666666
55000011,4.8,7.0,4.4,5.400000000000001,5.400000000000001
55000012,4.2,5.5,3.8,4.5,4.5
55000013,8.0,6.75,8.8,7.85,7.8500000000000005
55000014,7.6,6.25,7.6,7.15,7.1499999999999995
55000015,4.6,6.0,3.8,4.8,4.8
55000016,6.4,7.75,7.8,7.316666666666666,7.316666666666666
55000017,7.0,7.5,7.0,7.166666666666667,7.166666666666667
55000018,8.6,7.5,8.8,8.3,8.3
55000019,8.4,5.75,8.0,7.383333333333333,7.383333333333333
55000020,8.4,6.25,7.6,7.416666666666667,7.416666666666667
55000021,7.6,8.25,8.8,8.216666666666667,8.216666666666667
55000022,5.2,7.0,4.6,5.599999999999999,5.599999999999999
55000023,7.8,8.0,5.6,7.133333333333333,7.133333333333333
55000024,8.0,7.25,9.0,8.083333333333334,8.083333333333334
55000025,4.6,5.75,5.4,5.25,5.25
55000026,8.6,6.5,4.8,6.633333333333333,6.633333333333333
55000027,4.8,5.0,3.8,4.533333333333334,4.533333333333334
55000028,7.4,8.0,5.8,7.066666666666666,7.066666666666666
55000029,7.0,6.75,5.4,6.383333333333333,6.383333333333333
55000030,4.6,6.0,3.0,4.533333333333333,4.533333333333333
55000031,8.4,6.0,5.8,6.733333333333333,6.733333333333333
55000032,8.6,6.5,7.4,7.5,7.5
55000033,7.8,8.0,7.8,7.866666666666667,7.866666666666667
55000034,7.0,7.5,6.2,6.9,6.8999999999999995
55000035,8.0,9.0,9.0,8.666666666666666,8.666666666666666
55000036,7.4,6.0,7.8,7.066666666666666,7.066666666666666
55000037,6.0,7.0,6.4,6.466666666666666,6.466666666666666
55000038,7.6,6.5,4.4,6.166666666666667,6.166666666666667
55000039,7.8,7.75,3.0,6.183333333333334,6.183333333333334
55000040,4.6,6.5,3.2,4.766666666666667,4.766666666666667
55000041,6.4,6.75,3.8,5.65,5.6499999999999995
55000042,4.6,7.5,4.0,5.366666666666667,5.366666666666667
55000043,3.6,5.0,3.2,3.9333333333333336,3.9333333333333336
55000044,8.0,7.0,6.6,7.2,7.2
55000045,7.8,8.25,8.2,8.083333333333334,8.083333333333334
55000046,6.2,8.0,5.8,6.666666666666667,6.666666666666667
55000047,6.6,8.5,6.2,7.1000000000000005,7.1000000000000005
55000048,4.6,6.75,4.4,5.25,5.25
55000049,7.6,8.75,8.0,8.116666666666667,8.116666666666667
55000050,4.2,5.75,3.6,4.516666666666667,4.516666666666667
55000051,6.6,8.25,6.2,7.016666666666667,7.016666666666667
55000052,6.8,6.25,4.8,5.95,5.95
55000053,6.2,8.25,5.2,6.55,6.55
55000054,8.2,7.5,9.2,8.299999999999999,8.299999999999999
55000055,4.8,6.25,3.2,4.75,4.75
55000056,6.8,7.5,6.0,6.766666666666667,6.766666666666667
55000057,7.2,5.75,3.0,5.316666666666666,5.316666666666666
55000058,9.0,5.75,4.0,6.25,6.25
55000059,5.0,6.0,6.0,5.666666666666667,5.666666666666667
55000060,4.8,6.0,3.8,4.866666666666667,4.866666666666667
55000061,8.0,6.5,8.2,7.566666666666666,7.566666666666666
55000062,5.2,6.0,5.6,5.599999999999999,5.599999999999999
55000063,6.6,7.5,4.8,6.3,6.3
55000064,6.8,8.0,8.8,7.866666666666667,7.866666666666667
55000065,4.0,6.5,3.0,4.5,4.5
55000066,3.2,5.0,2.6,3.6,3.5999999999999996
55000067,7.8,6.25,7.0,7.016666666666667,7.016666666666667
55000068,5.4,4.75,4.6,4.916666666666667,4.916666666666667
55000069,6.8,6.25,5.2,6.083333333333333,6.083333333333333
55000070,8.8,7.75,7.2,7.916666666666667,7.916666666666667
55000071,4.8,8.25,5.8,6.283333333333334,6.283333333333334
55000072,8.4,8.25,8.0,8.216666666666667,8.216666666666667
55000073,3.8,6.5,5.4,5.233333333333333,5.233333333333333
55000074,7.0,7.0,7.8,7.266666666666667,7.266666666666667
55000075,7.2,7.0,5.0,6.4,6.3999999999999995
55000076,8.8,5.75,6.2,6.916666666666667,6.916666666666667
55000077,8.2,6.25,4.6,6.349999999999999,6.349999999999999
55000078,7.0,5.0,4.8,5.6000000000000005,5.6000000000000005
55000079,4.2,5.25,2.4,3.95,3.9499999999999997
55000080,7.0,4.5,4.0,5.166666666666667,5.166666666666667
55000081,7.4,6.25,4.2,5.95,5.95
55000082,6.2,7.0,4.8,6.0,6.0
55000083,6.0,8.0,3.4,5.8,5.8
55000084,7.4,6.25,6.0,6.55,6.55
55000085,4.4,6.5,3.4,4.766666666666667,4.766666666666667
55000086,9.2,8.25,8.0,8.483333333333333,8.483333333333333
55000087,6.4,6.5,5.4,6.1000000000000005,6.1000000000000005
55000088,7.2,7.75,7.0,7.316666666666666,7.316666666666666
