SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
4000001,7.8,8.0,8.4,8.066666666666668,8.066666666666668
4000002,9.0,6.25,9.6,8.283333333333333,8.283333333333333
4000003,8.6,6.25,5.8,6.883333333333333,6.883333333333333
4000004,9.0,6.5,8.6,8.033333333333333,8.033333333333333
4000005,7.8,7.0,9.0,7.933333333333334,7.933333333333334
4000006,6.0,4.0,2.4,4.133333333333334,4.133333333333334
4000007,9.0,6.0,6.0,7.0,7.0
4000008,8.0,5.75,8.4,7.383333333333333,7.383333333333333
4000009,6.4,7.75,4.0,6.05,6.05
4000010,8.2,5.75,4.4,6.116666666666667,6.116666666666667
4000011,8.2,6.0,6.4,6.866666666666667,6.866666666666667
4000012,7.6,6.25,7.4,7.083333333333333,7.083333333333333
4000013,5.6,7.5,5.2,6.1000000000000005,6.1000000000000005
4000014,7.8,7.25,5.4,6.816666666666667,6.816666666666667
4000015,4.8,7.25,7.2,6.416666666666667,6.416666666666667
4000016,6.8,6.5,6.0,6.433333333333334,6.433333333333334
4000017,8.8,6.0,3.8,6.2,6.2
4000018,5.8,6.0,4.6,5.466666666666666,5.466666666666666
4000019,8.2,7.25,7.0,7.483333333333333,7.483333333333333
4000020,7.4,7.75,7.8,7.649999999999999,7.6499999999999995
4000021,6.8,5.25,5.0,5.683333333333334,5.683333333333334
4000022,8.0,6.5,7.4,7.3,7.3
4000023,5.4,3.5,2.4,3.766666666666667,3.766666666666667
4000024,7.4,6.0,9.8,7.733333333333334,7.733333333333334
4000025,6.0,6.75,4.8,5.8500000000000005,5.8500000000000005
4000026,8.4,8.25,8.8,8.483333333333333,8.483333333333333
4000027,5.4,7.75,9.0,7.383333333333333,7.383333333333333
4000028,4.8,7.0,6.0,5.933333333333334,5.933333333333334
4000029,7.6,6.5,6.0,6.7,6.7
4000030,7.4,6.0,7.2,6.866666666666667,6.866666666666667
4000031,8.0,3.25,4.2,5.15,5.1499999999999995
4000032,7.2,6.5,9.2,7.633333333333333,7.633333333333333
4000033,7.6,6.0,7.4,7.0,7.0
4000034,6.6,6.75,5.4,6.25,6.25
4000035,8.0,6.75,5.2,6.65,6.6499999999999995
4000036,5.0,4.25,5.8,5.016666666666667,5.016666666666667
4000037,6.8,5.75,6.0,6.183333333333334,6.183333333333334
4000038,7.0,5.75,3.2,5.316666666666666,5.316666666666666
4000039,8.0,6.0,5.8,6.6000000000000005,6.6000000000000005
4000040,4.4,4.25,2.6,3.75,3.75
4000041,7.4,6.0,6.8,6.733333333333333,6.733333333333333
4000042,4.8,6.0,3.6,4.8,4.8
4000043,6.8,7.5,6.8,7.033333333333334,7.033333333333334
4000044,3.2,4.75,3.0,3.65,3.65
4000045,8.4,7.5,9.4,8.433333333333334,8.433333333333334
4000046,8.8,3.75,7.0,6.516666666666667,6.516666666666667
4000047,6.0,5.75,6.8,6.183333333333334,6.183333333333334
4000048,8.0,6.0,8.8,7.6,7.6000000000000005
4000049,6.4,5.25,6.4,6.016666666666667,6.016666666666667
4000050,5.6,5.5,3.6,4.9,4.8999999999999995
4000051,4.0,3.5,7.4,4.966666666666667,4.966666666666667
4000052,7.4,4.5,7.8,6.566666666666666,6.566666666666666
4000053,8.2,5.0,3.2,5.466666666666666,5.466666666666666
4000054,8.4,4.75,9.6,7.583333333333333,7.583333333333333
4000055,4.0,5.0,4.0,4.333333333333333,4.333333333333333
4000056,7.4,3.75,8.6,6.583333333333333,6.583333333333333
4000057,7.0,5.75,8.8,7.183333333333334,7.183333333333334
4000058,6.2,5.0,8.8,6.666666666666667,6.666666666666667
4000059,6.2,6.0,4.8,5.666666666666667,5.666666666666667
4000060,7.0,5.25,5.0,5.75,5.75
4000061,7.0,7.25,9.0,7.75,7.75
4000062,7.8,7.0,9.0,7.933333333333334,7.933333333333334
4000063,7.8,6.75,7.0,7.183333333333334,7.183333333333334
4000064,6.2,5.0,7.2,6.133333333333333,6.133333333333333
4000065,7.8,7.0,9.6,8.133333333333333,8.133333333333333
4000066,8.8,7.0,8.6,8.133333333333333,8.133333333333333
4000067,7.8,4.0,4.6,5.466666666666666,5.466666666666666
4000068,6.0,4.75,3.2,4.65,4.6499999999999995
4000069,7.2,6.75,4.8,6.25,6.25
4000070,7.8,5.25,3.2,5.416666666666667,5.416666666666667
4000071,6.2,4.75,6.6,5.849999999999999,5.849999999999999
4000072,6.6,5.5,2.2,4.766666666666667,4.766666666666667
4000073,7.6,7.0,9.8,8.133333333333333,8.133333333333333
4000074,6.4,5.5,6.0,5.966666666666666,5.966666666666666
4000075,7.8,8.25,9.2,8.416666666666666,8.416666666666666
4000076,6.4,5.0,5.0,5.466666666666666,5.466666666666666
4000077,8.4,8.25,9.8,8.816666666666666,8.816666666666666
4000078,7.6,5.5,6.6,6.566666666666666,6.566666666666666
4000079,8.2,7.5,9.2,8.299999999999999,8.299999999999999
4000080,7.6,6.25,7.4,7.083333333333333,7.083333333333333
4000081,7.6,6.0,6.8,6.8,6.8
4000082,4.4,5.5,4.2,4.7,4.7
4000083,7.4,6.5,9.4,7.766666666666667,7.766666666666667
4000084,6.8,7.0,3.8,5.866666666666667,5.866666666666667
4000085,5.8,6.5,4.0,5.433333333333334,5.433333333333334
4000086,7.6,5.75,7.4,6.916666666666667,6.916666666666667
4000087,8.2,6.25,3.4,5.949999999999999,5.949999999999999
4000088,5.4,5.75,9.0,6.716666666666666,6.716666666666666
4000089,3.6,3.25,3.0,3.283333333333333,3.283333333333333
4000090,5.0,1.75,3.6,3.45,3.4499999999999997
4000091,7.4,4.0,6.8,6.066666666666666,6.066666666666666
4000092,7.2,4.5,4.6,5.433333333333333,5.433333333333333
4000093,7.8,7.25,6.6,7.216666666666666,7.216666666666666
4000094,7.2,6.25,3.8,5.75,5.75
4000095,8.0,5.75,3.4,5.716666666666666,5.716666666666666
4000096,7.8,6.25,5.4,6.483333333333334,6.483333333333334
4000097,7.6,5.0,4.8,5.8,5.8
4000098,8.8,5.25,7.4,7.150000000000001,7.150000000000001
4000099,8.0,6.5,5.2,6.566666666666666,6.566666666666666
4000100,5.6,6.75,2.8,5.05,5.05
4000101,8.2,6.75,7.4,7.45,7.45
4000102,8.2,7.5,8.0,7.899999999999999,7.8999999999999995
4000103,8.2,5.5,8.4,7.366666666666667,7.366666666666667
4000104,7.0,7.5,2.8,5.766666666666667,5.766666666666667
4000105,8.0,5.25,4.0,5.75,5.75
4000106,6.0,5.0,3.0,4.666666666666667,4.666666666666667
4000107,9.4,5.25,7.4,7.35,7.3500000000000005
4000108,8.0,7.5,7.0,7.5,7.5
4000109,7.0,5.5,4.8,5.766666666666667,5.766666666666667
4000110,7.0,6.25,3.0,5.416666666666667,5.416666666666667
4000111,7.2,6.25,5.4,6.283333333333334,6.283333333333334
4000112,5.4,5.5,3.8,4.9,4.8999999999999995
4000113,8.2,7.75,8.8,8.25,8.25
4000114,7.6,5.5,5.8,6.3,6.3
4000115,6.4,5.0,3.0,4.8,4.8
4000116,7.2,6.0,7.0,6.733333333333333,6.733333333333333
4000117,7.0,6.5,4.6,6.033333333333334,6.033333333333334
4000118,7.0,5.0,4.0,5.333333333333333,5.333333333333333
4000119,7.4,5.75,4.6,5.916666666666667,5.916666666666667
4000120,7.6,5.75,3.6,5.65,5.6499999999999995
4000121,7.8,4.0,3.6,5.133333333333334,5.133333333333334
4000122,4.0,5.0,2.2,3.733333333333333,3.733333333333333
4000123,9.0,5.25,7.4,7.216666666666666,7.216666666666666
4000124,3.6,3.25,2.4,3.083333333333333,3.0833333333333335
4000125,7.8,7.25,3.2,6.083333333333333,6.083333333333333
4000126,8.4,5.75,5.6,6.583333333333333,6.583333333333333
4000127,8.0,6.25,9.4,7.883333333333333,7.883333333333333
4000128,3.4,3.25,5.2,3.9500000000000006,3.9500000000000006
4000129,3.4,4.0,2.8,3.4,3.4
4000130,7.6,6.0,3.8,5.8,5.8
4000131,4.6,5.0,3.8,4.466666666666666,4.466666666666666
4000132,8.4,5.5,6.6,6.833333333333333,6.833333333333333
4000133,7.8,5.5,4.0,5.766666666666667,5.766666666666667
4000134,5.2,7.25,7.2,6.55,6.55
4000135,8.6,6.0,9.4,8.0,8.0
4000136,8.6,6.0,5.4,6.666666666666667,6.666666666666667
4000137,7.8,7.0,7.4,7.400000000000001,7.400000000000001
4000138,7.8,6.75,8.6,7.716666666666666,7.716666666666666
4000139,7.4,6.25,6.4,6.683333333333334,6.683333333333334
4000140,7.2,7.0,9.4,7.866666666666667,7.866666666666667
4000141,5.0,4.5,3.8,4.433333333333334,4.433333333333334
4000142,8.0,7.75,9.4,8.383333333333333,8.383333333333333
4000143,8.8,6.75,8.6,8.049999999999999,8.049999999999999
4000144,8.0,8.5,7.8,8.1,8.1
4000145,7.0,7.0,5.8,6.6000000000000005,6.6000000000000005
4000146,6.0,8.5,6.6,7.033333333333334,7.033333333333334
4000147,8.4,4.75,9.2,7.45,7.45
4000148,7.6,6.0,5.0,6.2,6.2
4000149,9.0,4.5,9.2,7.566666666666666,7.566666666666666
4000150,7.4,7.0,9.0,7.8,7.8
4000151,7.8,6.25,2.6,5.550000000000001,5.550000000000001
4000152,7.4,7.0,7.0,7.133333333333333,7.133333333333333
4000153,7.2,7.0,7.6,7.266666666666666,7.266666666666666
4000154,6.4,8.0,6.2,6.866666666666667,6.866666666666667
