SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
44000001,5.4,7.75,6.0,6.383333333333333,6.383333333333333
44000002,3.0,6.5,4.6,4.7,4.7
44000003,7.4,6.75,7.4,7.183333333333334,7.183333333333334
44000004,9.0,6.75,7.8,7.85,7.8500000000000005
44000005,7.8,7.75,9.0,8.183333333333334,8.183333333333334
44000006,7.4,6.5,0.0,4.633333333333334,4.633333333333334
44000007,9.2,7.25,8.8,8.416666666666666,8.416666666666666
44000008,7.8,7.75,9.0,8.183333333333334,8.183333333333334
44000009,8.2,7.25,7.0,7.483333333333333,7.483333333333333
44000010,8.0,6.25,8.6,7.616666666666667,7.616666666666667
44000011,7.2,7.0,9.2,7.8,7.8
44000012,6.4,6.5,9.6,7.5,7.5
44000014,8.0,7.5,8.6,8.033333333333333,8.033333333333333
44000015,8.6,8.25,9.0,8.616666666666667,8.616666666666667
44000016,8.6,7.25,9.2,8.35,8.35
44000017,6.2,6.25,0.0,4.15,4.1499999999999995
44000018,6.8,6.75,3.8,5.783333333333334,5.783333333333334
44000019,9.0,7.75,8.4,8.383333333333333,8.383333333333333
44000021,5.0,6.0,8.6,6.533333333333334,6.533333333333334
44000022,8.0,7.5,8.8,8.1,8.1
44000023,8.2,7.75,8.2,8.049999999999999,8.049999999999999
44000024,8.2,7.0,8.8,8.0,8.0
44000025,7.6,6.5,0.0,4.7,4.7
44000026,7.8,8.5,8.4,8.233333333333334,8.233333333333334
44000027,9.0,8.5,9.6,9.033333333333331,9.033333333333333
44000028,9.0,8.5,9.6,9.033333333333331,9.033333333333333
44000029,8.4,8.0,9.6,8.666666666666666,8.666666666666666
44000030,6.6,7.75,6.4,6.916666666666667,6.916666666666667
44000031,8.0,7.25,8.2,7.816666666666666,7.816666666666666
44000032,7.4,7.25,6.4,7.016666666666667,7.016666666666667
44000033,7.6,9.0,8.6,8.4,8.4
44000034,7.4,7.5,7.6,7.5,7.5
44000035,6.6,6.75,4.2,5.8500000000000005,5.8500000000000005
44000036,7.0,6.75,7.2,6.983333333333333,6.983333333333333
44000037,8.0,6.25,6.6,6.95,6.95
44000038,8.8,6.75,8.6,8.049999999999999,8.049999999999999
44000039,6.8,5.5,9.8,7.366666666666667,7.366666666666667
44000040,5.2,7.0,6.6,6.266666666666666,6.266666666666666
44000041,8.6,7.5,5.4,7.166666666666667,7.166666666666667
44000042,7.4,8.25,8.4,8.016666666666667,8.016666666666667
44000043,8.8,7.75,9.6,8.716666666666667,8.716666666666667
44000044,8.2,7.75,9.4,8.450000000000001,8.450000000000001
44000045,6.8,8.0,6.6,7.133333333333333,7.133333333333333
44000046,4.4,6.5,0.0,3.633333333333333,3.6333333333333333
44000047,7.0,3.5,7.2,5.9,5.8999999999999995
44000049,8.8,8.0,9.4,8.733333333333334,8.733333333333334
44000050,7.8,7.25,9.0,8.016666666666667,8.016666666666667
44000051,8.6,8.25,9.6,8.816666666666668,8.816666666666668
44000052,8.8,7.5,9.0,8.433333333333334,8.433333333333334
44000053,8.8,7.5,9.2,8.5,8.5
44000054,8.2,7.0,0.0,5.066666666666666,5.066666666666666
44000055,9.0,7.25,9.8,8.683333333333334,8.683333333333334
44000056,8.4,7.0,8.6,8.0,8.0
44000057,6.4,6.25,5.4,6.016666666666667,6.016666666666667
44000058,6.2,7.0,8.6,7.266666666666666,7.266666666666666
44000059,6.4,6.5,7.2,6.7,6.7
44000060,7.2,7.0,6.6,6.933333333333333,6.933333333333333
44000061,7.4,7.0,7.8,7.399999999999999,7.3999999999999995
44000062,7.4,8.25,9.2,8.283333333333333,8.283333333333333
44000063,6.4,7.0,5.6,6.333333333333333,6.333333333333333
44000064,8.8,8.0,9.4,8.733333333333334,8.733333333333334
44000065,6.8,7.0,7.2,7.0,7.0
44000066,6.6,6.25,0.0,4.283333333333333,4.283333333333333
44000067,6.4,6.5,9.2,7.366666666666667,7.366666666666667
44000068,7.2,7.0,7.6,7.266666666666666,7.266666666666666
44000069,9.2,6.5,9.0,8.233333333333333,8.233333333333333
44000070,7.8,8.75,7.4,7.983333333333334,7.983333333333334
44000071,8.4,0.0,0.0,2.8000000000000003,2.8000000000000003
44000072,7.2,7.0,8.0,7.399999999999999,7.3999999999999995
44000073,6.4,6.75,0.0,4.383333333333334,4.383333333333334
44000074,8.2,6.75,8.6,7.849999999999999,7.849999999999999
44000075,6.2,7.0,5.8,6.333333333333333,6.333333333333333
44000076,8.0,7.5,9.6,8.366666666666667,8.366666666666667
44000077,8.2,7.0,9.2,8.133333333333333,8.133333333333333
44000078,8.6,8.0,8.6,8.4,8.4
44000079,9.0,6.5,8.6,8.033333333333333,8.033333333333333
44000080,4.2,5.25,6.8,5.416666666666667,5.416666666666667
44000081,7.8,7.25,7.0,7.35,7.3500000000000005
44000082,8.4,7.5,5.8,7.233333333333333,7.233333333333333
44000083,5.4,6.25,0.0,3.883333333333333,3.8833333333333333
44000084,8.4,7.75,7.8,7.983333333333333,7.983333333333333
44000085,7.4,8.0,9.0,8.133333333333333,8.133333333333333
44000086,7.8,5.0,7.0,6.6000000000000005,6.6000000000000005
44000087,5.4,6.0,9.2,6.866666666666667,6.866666666666667
44000088,5.8,7.5,7.8,7.033333333333334,7.033333333333334
44000089,8.8,7.25,5.8,7.283333333333334,7.283333333333334
44000090,7.6,7.5,9.8,8.299999999999999,8.299999999999999
44000091,7.8,7.0,0.0,4.933333333333334,4.933333333333334
