SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
60000001,9.0,6.75,6.0,7.25,7.25
60000002,7.4,8.0,6.0,7.133333333333333,7.133333333333333
60000003,6.8,6.0,4.6,5.8,5.8
60000004,4.2,6.5,4.4,5.033333333333333,5.033333333333333
60000005,7.2,6.75,6.6,6.849999999999999,6.849999999999999
60000006,5.8,6.25,3.6,5.216666666666667,5.216666666666667
60000007,8.2,7.5,8.0,7.899999999999999,7.8999999999999995
60000008,8.0,8.25,5.2,7.15,7.1499999999999995
60000009,8.0,8.0,6.8,7.6,7.6000000000000005
60000010,7.6,6.75,4.6,6.316666666666666,6.316666666666666
60000011,8.8,8.0,5.0,7.266666666666667,7.266666666666667
60000012,5.4,7.0,4.4,5.6000000000000005,5.6000000000000005
60000013,8.6,8.0,5.6,7.400000000000001,7.400000000000001
60000014,7.6,7.75,5.4,6.916666666666667,6.916666666666667
60000015,7.0,8.0,7.6,7.533333333333334,7.533333333333334
60000016,5.6,6.75,6.4,6.25,6.25
60000017,6.8,6.25,5.4,6.150000000000001,6.150000000000001
60000018,6.4,6.0,5.8,6.066666666666666,6.066666666666666
60000019,7.0,8.0,5.4,6.8,6.8
60000020,6.8,6.75,4.2,5.916666666666667,5.916666666666667
60000021,7.6,7.0,6.8,7.133333333333333,7.133333333333333
60000022,4.2,6.75,2.6,4.516666666666667,4.516666666666667
60000023,7.6,8.0,7.8,7.8,7.8
60000024,6.4,6.5,5.2,6.033333333333334,6.033333333333334
60000025,7.8,7.75,8.6,8.049999999999999,8.049999999999999
60000026,7.8,6.5,4.8,6.366666666666667,6.366666666666667
60000027,4.2,6.75,2.8,4.583333333333333,4.583333333333333
60000028,7.8,8.0,8.6,8.133333333333333,8.133333333333333
60000029,7.0,6.0,8.2,7.066666666666666,7.066666666666666
60000030,8.8,7.0,9.2,8.333333333333334,8.333333333333334
60000031,7.2,5.75,9.4,7.45,7.45
60000032,7.0,7.25,8.2,7.483333333333333,7.483333333333333
60000033,6.6,7.25,8.2,7.349999999999999,7.349999999999999
60000034,7.6,8.5,9.2,8.433333333333334,8.433333333333334
60000035,6.2,7.0,5.0,6.066666666666666,6.066666666666666
60000036,6.6,7.0,3.4,5.666666666666667,5.666666666666667
60000037,6.6,6.25,3.4,5.416666666666667,5.416666666666667
60000038,7.8,7.25,4.8,6.616666666666667,6.616666666666667
60000039,8.4,6.5,7.4,7.433333333333334,7.433333333333334
60000040,4.2,8.75,6.0,6.316666666666666,6.316666666666666
60000041,6.6,7.25,3.2,5.683333333333334,5.683333333333334
60000042,9.0,7.58,9.0,8.526666666666666,8.526666666666666
60000043,7.8,6.25,6.4,6.816666666666667,6.816666666666667
60000044,4.8,4.58,0.0,3.1266666666666665,3.1266666666666665
60000045,8.8,5.25,7.6,7.216666666666666,7.216666666666666
60000046,7.6,6.5,4.0,6.033333333333334,6.033333333333334
60000047,5.2,6.0,6.6,5.933333333333333,5.933333333333333
60000048,6.2,7.5,7.0,6.9,6.8999999999999995
60000049,6.0,7.0,3.2,5.4,5.3999999999999995
60000050,7.4,8.0,8.6,8.0,8.0
60000051,8.4,8.25,8.6,8.416666666666666,8.416666666666666
60000052,8.2,7.5,5.0,6.9,6.8999999999999995
60000053,6.6,8.0,5.0,6.533333333333334,6.533333333333334
60000054,7.8,7.5,8.4,7.900000000000001,7.900000000000001
60000055,5.4,6.5,4.0,5.3,5.3
60000056,5.8,6.0,4.6,5.466666666666666,5.466666666666666
60000057,2.8,6.0,0.0,2.9333333333333336,2.9333333333333336
60000058,8.8,6.25,7.8,7.616666666666667,7.616666666666667
60000059,8.6,6.75,9.2,8.183333333333332,8.183333333333332
60000060,0.0,5.0,0.0,1.6666666666666667,1.6666666666666667
60000061,7.8,7.5,7.2,7.5,7.5
60000062,7.6,8.0,8.2,7.933333333333333,7.933333333333333
60000063,5.2,7.0,2.8,5.0,5.0
60000064,6.4,6.25,3.4,5.3500000000000005,5.3500000000000005
60000065,4.2,6.5,4.4,5.033333333333333,5.033333333333333
60000066,8.2,5.75,5.6,6.516666666666666,6.516666666666666
60000067,5.2,6.75,4.4,5.45,5.45
60000068,5.6,6.25,3.8,5.216666666666666,5.216666666666666
60000069,8.6,7.25,9.6,8.483333333333333,8.483333333333333
60000070,7.4,7.0,9.4,7.933333333333334,7.933333333333334
60000071,5.8,5.75,2.6,4.716666666666667,4.716666666666667
60000072,6.8,8.25,7.6,7.55,7.55
60000073,7.4,5.5,5.2,6.033333333333334,6.033333333333334
60000074,7.0,7.75,5.0,6.583333333333333,6.583333333333333
60000075,5.4,5.75,4.8,5.316666666666666,5.316666666666666
60000076,3.2,5.5,4.0,4.233333333333333,4.233333333333333
60000077,7.6,7.5,6.8,7.3,7.3
60000078,6.4,6.25,5.4,6.016666666666667,6.016666666666667
60000079,7.0,7.5,4.2,6.233333333333333,6.233333333333333
60000080,7.6,8.0,7.2,7.6,7.6000000000000005
60000081,6.2,7.0,4.0,5.733333333333333,5.733333333333333
60000082,6.4,8.25,5.0,6.55,6.55
60000083,6.8,3.75,0.0,3.516666666666667,3.516666666666667
60000084,6.6,6.25,4.0,5.616666666666667,5.616666666666667
60000085,8.8,7.5,9.0,8.433333333333334,8.433333333333334
60000086,0.0,7.25,0.0,2.4166666666666665,2.4166666666666665
60000087,7.0,7.5,6.2,6.9,6.8999999999999995
60000088,7.0,7.0,6.2,6.733333333333333,6.733333333333333
60000089,6.4,7.5,7.6,7.166666666666667,7.166666666666667
60000090,7.6,6.75,6.2,6.8500000000000005,6.8500000000000005
60000091,7.6,7.5,5.6,6.9,6.8999999999999995
60000092,0.0,6.0,0.0,2.0,2.0
60000093,8.4,7.75,7.8,7.983333333333333,7.983333333333333
60000094,4.0,5.75,5.2,4.983333333333333,4.983333333333333
60000095,4.4,7.5,6.2,6.033333333333334,6.033333333333334
60000096,7.2,6.75,5.6,6.516666666666666,6.516666666666666
60000097,7.4,7.25,6.4,7.016666666666667,7.016666666666667
60000098,5.8,7.0,3.6,5.466666666666668,5.466666666666668
60000099,6.8,8.0,6.8,7.2,7.2
60000100,7.6,6.75,8.8,7.716666666666666,7.716666666666666
60000101,6.8,7.5,4.6,6.3,6.3
