SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
11000001,0.0,5.5,0.0,1.8333333333333333,1.8333333333333333
11000002,6.4,6.0,3.2,5.2,5.2
11000003,4.2,5.25,5.2,4.883333333333333,4.883333333333333
11000004,7.6,8.0,6.4,7.333333333333333,7.333333333333333
11000005,7.6,6.0,8.4,7.333333333333333,7.333333333333333
11000006,5.2,7.5,3.4,5.366666666666666,5.366666666666666
11000007,7.6,7.25,6.2,7.016666666666667,7.016666666666667
11000008,3.2,6.75,2.6,4.183333333333333,4.183333333333333
11000009,7.0,4.0,6.2,5.733333333333333,5.733333333333333
11000010,6.8,7.0,5.2,6.333333333333333,6.333333333333333
11000011,7.2,6.0,4.8,6.0,6.0
11000012,5.2,4.25,3.6,4.35,4.35
11000013,0.0,5.25,0.0,1.75,1.75
11000014,4.8,6.25,3.4,4.816666666666667,4.816666666666667
11000015,6.4,5.75,5.2,5.783333333333334,5.783333333333334
11000016,3.0,4.5,3.6,3.7,3.6999999999999997
11000017,5.6,5.75,4.2,5.183333333333334,5.183333333333334
11000018,6.8,6.5,7.2,6.833333333333333,6.833333333333333
11000019,0.0,6.75,0.0,2.25,2.25
11000020,5.6,6.0,5.8,5.8,5.8
11000021,6.0,6.25,5.0,5.75,5.75
11000022,6.4,5.75,6.2,6.116666666666667,6.116666666666667
11000023,5.2,5.75,3.4,4.783333333333333,4.783333333333333
11000024,6.0,5.75,2.4,4.716666666666667,4.716666666666667
11000025,5.8,6.5,4.4,5.566666666666667,5.566666666666667
11000026,0.0,7.75,0.0,2.583333333333333,2.5833333333333335
11000027,5.2,4.25,3.4,4.283333333333333,4.283333333333333
11000028,3.6,6.0,4.2,4.6000000000000005,4.6000000000000005
11000029,6.8,7.5,5.4,6.566666666666667,6.566666666666667
11000030,5.6,4.25,2.2,4.016666666666667,4.016666666666667
11000031,2.0,4.5,3.0,3.1666666666666665,3.1666666666666665
11000032,2.4,5.25,3.0,3.5500000000000003,3.5500000000000003
11000033,4.6,7.0,5.4,5.666666666666667,5.666666666666667
11000034,2.6,3.75,2.4,2.9166666666666665,2.9166666666666665
11000035,6.4,7.0,8.8,7.400000000000001,7.400000000000001
11000036,3.4,7.5,4.2,5.033333333333334,5.033333333333334
11000037,5.2,8.0,3.4,5.533333333333332,5.533333333333332
11000038,4.4,4.5,0.0,2.966666666666667,2.966666666666667
11000039,4.6,6.0,4.2,4.933333333333334,4.933333333333334
11000040,7.0,6.25,4.2,5.816666666666666,5.816666666666666
11000041,6.6,7.5,6.8,6.966666666666666,6.966666666666666
11000042,7.4,6.5,6.0,6.633333333333333,6.633333333333333
11000043,7.4,5.0,1.8,4.733333333333333,4.733333333333333
11000044,7.2,7.75,4.6,6.516666666666666,6.516666666666666
11000045,6.0,7.25,3.2,5.483333333333333,5.483333333333333
11000046,7.2,5.25,8.8,7.083333333333333,7.083333333333333
11000047,3.2,2.25,2.2,2.5500000000000003,2.5500000000000003
11000048,7.4,5.0,6.0,6.133333333333333,6.133333333333333
11000049,3.2,4.0,3.4,3.533333333333333,3.533333333333333
11000050,7.2,5.75,5.4,6.116666666666667,6.116666666666667
11000051,6.6,6.25,2.8,5.216666666666666,5.216666666666666
11000052,4.8,7.0,7.2,6.333333333333333,6.333333333333333
11000053,4.8,7.25,2.4,4.816666666666667,4.816666666666667
11000054,4.2,5.25,4.0,4.483333333333333,4.483333333333333
11000055,4.6,8.25,4.2,5.683333333333334,5.683333333333334
11000056,2.8,3.83,3.0,3.2099999999999995,3.2099999999999995
11000057,5.8,7.25,6.0,6.3500000000000005,6.3500000000000005
11000058,4.4,5.75,4.6,4.916666666666667,4.916666666666667
11000059,4.6,6.0,5.2,5.266666666666667,5.266666666666667
11000060,5.2,6.0,3.2,4.8,4.8
11000061,7.2,6.25,2.4,5.283333333333333,5.283333333333333
11000062,5.2,4.25,2.2,3.883333333333333,3.883333333333333
11000063,4.0,5.25,3.6,4.283333333333333,4.283333333333333
11000064,0.0,5.5,0.0,1.8333333333333333,1.8333333333333333
11000065,5.6,7.0,4.4,5.666666666666667,5.666666666666667
11000066,7.6,7.5,6.6,7.233333333333333,7.233333333333333
11000067,5.4,6.75,4.2,5.45,5.45
11000068,6.0,5.75,5.0,5.583333333333333,5.583333333333333
11000069,7.4,6.25,4.2,5.95,5.95
11000070,6.0,6.0,4.8,5.6000000000000005,5.6000000000000005
11000071,0.0,3.0,0.0,1.0,1.0
11000072,4.0,5.25,2.8,4.016666666666667,4.016666666666667
11000073,5.8,6.0,4.8,5.533333333333334,5.533333333333334
11000074,3.0,5.75,3.0,3.9166666666666665,3.9166666666666665
11000075,5.6,7.5,7.6,6.9,6.8999999999999995
11000076,6.2,7.25,0.0,4.483333333333333,4.483333333333333
11000077,5.6,6.75,5.0,5.783333333333334,5.783333333333334
11000078,7.8,6.5,8.0,7.433333333333334,7.433333333333334
11000079,5.4,6.75,4.4,5.516666666666667,5.516666666666667
