SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
30000001,6.8,6.5,8.4,7.233333333333334,7.233333333333334
30000002,8.6,7.5,7.6,7.900000000000001,7.900000000000001
30000003,4.2,7.25,5.4,5.616666666666667,5.616666666666667
30000004,5.8,7.25,5.4,6.150000000000001,6.150000000000001
30000005,9.0,8.25,8.8,8.683333333333334,8.683333333333334
30000006,6.8,6.0,4.2,5.666666666666667,5.666666666666667
30000007,6.4,6.75,4.8,5.983333333333333,5.983333333333333
30000008,6.8,8.0,5.2,6.666666666666667,6.666666666666667
30000009,9.2,7.5,8.4,8.366666666666667,8.366666666666667
30000010,8.2,7.0,4.2,6.466666666666666,6.466666666666666
30000011,7.0,7.75,4.0,6.25,6.25
30000012,7.6,6.75,5.6,6.65,6.6499999999999995
30000013,6.2,9.0,3.8,6.333333333333333,6.333333333333333
30000014,6.2,7.25,5.6,6.349999999999999,6.349999999999999
30000015,8.2,8.5,8.8,8.5,8.5
30000016,7.0,6.25,3.4,5.55,5.55
30000017,8.2,7.25,7.0,7.483333333333333,7.483333333333333
30000018,7.6,7.75,7.8,7.716666666666666,7.716666666666666
30000019,4.8,7.75,8.4,6.983333333333334,6.983333333333334
30000020,7.6,8.25,5.8,7.216666666666666,7.216666666666666
30000021,8.4,8.0,5.8,7.399999999999999,7.3999999999999995
30000022,7.4,8.25,8.4,8.016666666666667,8.016666666666667
30000023,7.8,7.25,7.6,7.55,7.55
30000024,8.0,8.0,6.8,7.6,7.6000000000000005
30000025,7.4,8.5,8.0,7.966666666666666,7.966666666666666
30000026,9.0,8.0,9.6,8.866666666666667,8.866666666666667
30000027,8.2,7.75,8.6,8.183333333333332,8.183333333333332
30000028,6.0,8.0,4.8,6.266666666666667,6.266666666666667
30000029,8.2,9.25,8.2,8.549999999999999,8.549999999999999
30000030,5.8,8.0,0.0,4.6000000000000005,4.6000000000000005
30000031,8.4,8.25,7.6,8.083333333333334,8.083333333333334
30000032,4.6,7.0,2.0,4.533333333333333,4.533333333333333
30000033,4.8,7.5,2.8,5.033333333333334,5.033333333333334
30000034,7.2,8.0,8.4,7.866666666666667,7.866666666666667
30000035,5.6,6.75,6.4,6.25,6.25
30000036,7.0,9.25,9.0,8.416666666666666,8.416666666666666
30000037,8.0,7.75,4.8,6.8500000000000005,6.8500000000000005
30000038,7.8,7.75,9.0,8.183333333333334,8.183333333333334
30000039,5.8,7.25,6.4,6.483333333333334,6.483333333333334
30000040,7.4,9.0,7.6,8.0,8.0
30000041,9.2,6.25,2.4,5.949999999999999,5.949999999999999
30000042,6.6,7.75,4.6,6.316666666666666,6.316666666666666
30000043,8.4,6.25,6.6,7.083333333333333,7.083333333333333
30000044,7.6,7.75,7.8,7.716666666666666,7.716666666666666
30000045,8.8,8.0,7.4,8.066666666666668,8.066666666666668
30000046,7.2,8.25,7.2,7.55,7.55
30000047,8.2,6.75,5.0,6.65,6.6499999999999995
30000048,9.0,7.75,9.2,8.65,8.65
30000049,4.2,7.5,5.0,5.566666666666666,5.566666666666666
30000050,6.6,5.75,0.0,4.116666666666666,4.116666666666666
30000051,7.0,6.5,5.0,6.166666666666667,6.166666666666667
30000052,7.2,6.25,5.0,6.15,6.1499999999999995
30000053,3.4,5.0,0.0,2.8000000000000003,2.8000000000000003
30000054,6.2,6.5,5.4,6.033333333333334,6.033333333333334
30000055,6.0,6.75,4.2,5.65,5.6499999999999995
30000056,7.2,7.0,6.6,6.933333333333333,6.933333333333333
30000057,2.4,6.25,2.4,3.6833333333333336,3.6833333333333336
30000058,3.4,6.0,0.0,3.1333333333333333,3.1333333333333333
30000059,8.0,8.0,8.0,8.0,8.0
30000060,8.8,6.5,6.8,7.366666666666667,7.366666666666667
30000061,5.8,6.75,0.0,4.183333333333334,4.183333333333334
30000062,7.6,9.0,9.2,8.6,8.6
30000063,7.8,9.25,8.4,8.483333333333334,8.483333333333334
30000064,6.0,7.75,7.2,6.983333333333333,6.983333333333333
30000065,8.2,8.5,6.8,7.833333333333333,7.833333333333333
30000066,8.6,7.5,5.4,7.166666666666667,7.166666666666667
30000067,8.2,8.25,6.4,7.616666666666667,7.616666666666667
30000068,7.2,7.0,7.2,7.133333333333333,7.133333333333333
30000069,9.2,7.5,6.2,7.633333333333333,7.633333333333333
30000070,9.0,8.0,9.8,8.933333333333334,8.933333333333334
30000071,8.4,8.75,9.2,8.783333333333333,8.783333333333333
30000072,8.2,9.0,9.8,9.0,9.0
30000073,7.8,7.0,6.6,7.133333333333333,7.133333333333333
30000074,6.0,5.25,5.2,5.483333333333333,5.483333333333333
30000075,2.6,2.75,0.0,1.7833333333333332,1.7833333333333332
30000076,3.4,3.0,0.0,2.1333333333333333,2.1333333333333333
30000077,3.8,7.25,4.4,5.15,5.15
30000078,6.6,6.5,0.0,4.366666666666666,4.366666666666666
30000079,9.0,6.25,7.6,7.616666666666667,7.616666666666667
30000080,5.0,5.75,0.0,3.583333333333333,3.5833333333333335
30000081,4.6,3.5,0.0,2.7,2.6999999999999997
30000082,3.6,5.75,3.6,4.316666666666666,4.316666666666666
30000083,2.0,4.0,0.0,2.0,2.0
30000084,7.8,7.0,3.6,6.133333333333334,6.133333333333334
30000085,4.2,4.75,2.0,3.65,3.65
30000086,7.6,7.5,5.0,6.7,6.7
30000087,7.6,8.0,5.6,7.066666666666666,7.066666666666666
