SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
41000001,3.4,3.5,3.8,3.5666666666666664,3.5666666666666664
41000002,8.0,7.25,6.4,7.216666666666666,7.216666666666666
41000003,7.6,6.5,6.8,6.966666666666666,6.966666666666666
41000004,4.8,4.25,0.0,3.016666666666667,3.016666666666667
41000005,2.2,3.5,0.0,1.9,1.9000000000000001
41000006,2.6,3.75,4.2,3.516666666666667,3.516666666666667
41000007,2.2,1.75,2.8,2.25,2.25
41000008,3.4,4.0,5.4,4.266666666666667,4.266666666666667
41000009,4.4,1.5,4.0,3.3000000000000003,3.3000000000000003
41000010,3.4,1.25,3.0,2.5500000000000003,2.5500000000000003
41000011,2.0,2.75,0.0,1.5833333333333333,1.5833333333333333
41000012,2.2,1.75,4.0,2.65,2.65
41000013,2.4,3.75,2.2,2.7833333333333337,2.7833333333333337
41000014,3.4,1.75,2.6,2.583333333333333,2.5833333333333335
41000015,4.2,6.5,4.4,5.033333333333333,5.033333333333333
41000016,2.6,1.75,3.4,2.583333333333333,2.5833333333333335
41000017,4.8,4.0,3.2,4.0,4.0
41000018,8.6,7.0,8.4,8.0,8.0
41000019,7.0,6.5,3.0,5.5,5.5
41000020,5.2,2.25,4.2,3.883333333333333,3.8833333333333333
41000021,8.4,7.5,7.6,7.833333333333333,7.833333333333333
41000022,8.0,7.25,4.6,6.616666666666667,6.616666666666667
41000023,2.8,4.5,2.4,3.233333333333333,3.233333333333333
41000024,5.8,6.75,7.8,6.783333333333334,6.783333333333334
41000025,3.2,5.25,5.2,4.55,4.55
41000026,2.4,4.0,2.2,2.866666666666667,2.866666666666667
41000027,2.0,3.0,2.4,2.466666666666667,2.466666666666667
41000028,3.4,2.0,3.2,2.866666666666667,2.866666666666667
41000029,5.4,5.5,0.0,3.633333333333333,3.6333333333333333
41000030,7.0,6.25,7.4,6.883333333333333,6.883333333333333
41000031,7.8,8.0,7.4,7.733333333333334,7.733333333333334
41000032,8.6,5.5,5.4,6.5,6.5
41000033,6.6,6.5,6.4,6.5,6.5
41000034,3.4,4.0,2.8,3.4,3.4
41000035,3.4,2.25,2.6,2.75,2.75
41000036,4.2,3.75,0.0,2.65,2.65
41000037,6.0,7.5,8.6,7.366666666666667,7.366666666666667
41000038,5.0,6.5,5.8,5.766666666666667,5.766666666666667
41000039,7.8,8.0,7.8,7.866666666666667,7.866666666666667
41000040,6.8,8.0,9.6,8.133333333333333,8.133333333333333
41000041,5.0,6.5,2.8,4.766666666666667,4.766666666666667
41000042,8.6,5.75,7.6,7.316666666666666,7.316666666666666
41000043,4.2,7.0,5.6,5.599999999999999,5.599999999999999
41000044,7.2,6.0,4.4,5.866666666666667,5.866666666666667
41000045,2.8,1.5,3.4,2.5666666666666664,2.5666666666666664
41000046,3.2,5.75,2.6,3.85,3.8499999999999996
41000047,0.0,5.75,0.0,1.9166666666666667,1.9166666666666667
41000048,3.2,3.5,2.4,3.033333333333333,3.033333333333333
41000049,3.2,3.25,3.4,3.283333333333333,3.283333333333333
41000050,0.0,5.0,0.0,1.6666666666666667,1.6666666666666667
41000051,2.8,1.25,0.0,1.35,1.3499999999999999
41000052,4.4,5.75,4.8,4.983333333333333,4.983333333333333
41000053,7.0,8.25,9.2,8.15,8.15
41000054,3.4,2.5,4.6,3.5,3.5
41000055,3.6,3.0,2.4,3.0,3.0
41000056,7.4,7.25,8.6,7.75,7.75
41000057,3.8,4.0,3.0,3.6,3.6
41000058,6.6,6.75,4.2,5.8500000000000005,5.8500000000000005
41000059,8.8,6.5,7.4,7.566666666666667,7.566666666666667
41000060,5.6,6.25,5.6,5.816666666666666,5.816666666666666
41000061,4.8,7.0,3.6,5.133333333333334,5.133333333333334
41000062,3.2,5.75,2.2,3.7166666666666655,3.7166666666666663
41000063,7.4,5.75,3.4,5.516666666666667,5.516666666666667
41000064,7.6,6.75,4.0,6.116666666666667,6.116666666666667
41000065,5.8,5.75,3.4,4.983333333333333,4.983333333333333
41000066,4.2,5.0,3.4,4.2,4.2
41000067,3.6,4.75,2.6,3.65,3.65
41000068,5.0,5.25,4.8,5.016666666666667,5.016666666666667
41000069,3.6,2.25,2.0,2.6166666666666667,2.6166666666666667
41000070,2.6,2.0,2.6,2.4,2.4
41000071,0.0,4.5,0.0,1.5,1.5
41000072,4.4,6.0,3.2,4.533333333333334,4.533333333333334
41000073,2.6,3.25,2.8,2.883333333333333,2.883333333333333
41000074,2.4,5.25,3.4,3.6833333333333336,3.6833333333333336
41000075,6.8,2.75,3.0,4.183333333333334,4.183333333333334
41000076,7.2,7.75,5.4,6.783333333333334,6.783333333333334
