SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
31000001,5.0,6.0,4.8,5.266666666666667,5.266666666666667
31000002,8.6,8.75,3.0,6.783333333333334,6.783333333333334
31000003,5.2,5.0,3.0,4.4,4.3999999999999995
31000004,4.8,5.0,3.0,4.266666666666667,4.266666666666667
31000005,5.8,6.5,4.0,5.433333333333334,5.433333333333334
31000006,4.8,3.25,0.0,2.6833333333333336,2.6833333333333336
31000007,4.4,5.75,3.8,4.65,4.6499999999999995
31000008,6.6,5.25,7.8,6.55,6.55
31000009,3.4,3.0,2.8,3.0666666666666664,3.0666666666666664
31000010,2.8,3.75,4.8,3.783333333333333,3.783333333333333
31000011,8.4,0.0,0.0,2.8000000000000003,2.8000000000000003
31000012,6.4,3.75,3.4,4.516666666666667,4.516666666666667
31000013,4.2,0.0,6.6,3.6,3.6
31000014,5.6,3.0,4.0,4.2,4.2
31000015,5.2,4.0,4.4,4.533333333333333,4.533333333333333
31000016,4.2,2.5,3.8,3.5,3.5
31000017,6.4,6.25,7.4,6.683333333333334,6.683333333333334
31000018,8.4,8.25,9.2,8.616666666666665,8.616666666666665
31000019,4.4,5.25,5.0,4.883333333333334,4.883333333333334
31000020,8.4,5.75,7.0,7.05,7.05
31000021,7.4,6.0,3.4,5.6000000000000005,5.6000000000000005
31000022,5.8,4.0,8.2,6.0,6.0
31000023,2.8,2.5,4.2,3.1666666666666665,3.1666666666666665
31000024,4.4,6.5,4.2,5.033333333333334,5.033333333333334
31000025,4.4,6.25,3.4,4.683333333333334,4.683333333333334
31000026,5.0,6.25,2.8,4.683333333333334,4.683333333333334
31000027,2.8,3.5,5.0,3.766666666666667,3.766666666666667
31000028,8.6,4.5,6.6,6.566666666666666,6.566666666666666
31000029,5.2,5.75,3.0,4.65,4.6499999999999995
31000030,6.4,8.0,4.0,6.133333333333333,6.133333333333333
31000031,6.0,4.25,3.6,4.616666666666666,4.616666666666666
31000032,8.2,6.75,5.8,6.916666666666667,6.916666666666667
31000033,2.4,6.0,4.6,4.333333333333333,4.333333333333333
31000035,7.8,5.5,3.4,5.566666666666666,5.566666666666666
31000036,6.8,4.0,5.0,5.266666666666667,5.266666666666667
31000037,4.2,3.5,5.4,4.366666666666667,4.366666666666667
31000038,3.8,2.5,6.4,4.233333333333333,4.233333333333333
31000039,5.8,4.25,5.8,5.283333333333334,5.283333333333334
31000040,5.4,5.75,4.6,5.25,5.25
31000041,4.8,5.5,4.2,4.833333333333333,4.833333333333333
31000042,9.0,7.0,7.6,7.866666666666667,7.866666666666667
31000043,7.8,7.25,4.2,6.416666666666667,6.416666666666667
31000044,5.6,6.0,5.0,5.533333333333334,5.533333333333334
31000045,6.8,8.5,6.8,7.366666666666667,7.366666666666667
31000046,7.6,8.25,5.0,6.95,6.95
31000047,4.2,6.0,3.4,4.533333333333333,4.533333333333333
31000048,4.6,5.0,5.0,4.866666666666666,4.866666666666666
31000049,4.0,4.25,0.0,2.75,2.75
31000050,7.2,2.5,4.2,4.633333333333333,4.633333333333333
31000051,6.0,4.0,2.8,4.266666666666667,4.266666666666667
31000052,8.4,6.5,3.6,6.166666666666667,6.166666666666667
31000053,3.6,6.0,2.2,3.9333333333333336,3.9333333333333336
31000054,5.6,4.75,3.2,4.516666666666667,4.516666666666667
31000055,7.4,6.5,6.6,6.833333333333333,6.833333333333333
31000056,5.4,7.25,3.8,5.483333333333333,5.483333333333333
31000057,4.2,5.5,5.2,4.966666666666666,4.966666666666666
31000058,4.6,6.75,5.0,5.45,5.45
31000059,6.4,7.0,5.2,6.2,6.2
31000060,7.2,8.5,5.4,7.033333333333334,7.033333333333334
31000061,8.4,6.5,2.6,5.833333333333333,5.833333333333333
31000062,4.4,3.75,4.6,4.25,4.25
31000063,0.0,9.0,0.0,3.0,3.0
31000064,5.8,6.75,5.4,5.983333333333334,5.983333333333334
31000065,3.8,6.5,3.2,4.5,4.5
31000066,4.6,8.0,4.0,5.533333333333334,5.533333333333334
31000067,7.2,8.0,8.0,7.733333333333333,7.733333333333333
31000068,6.4,8.25,5.6,6.75,6.75
31000069,8.0,8.0,7.8,7.933333333333334,7.933333333333334
31000070,3.4,8.0,5.4,5.6000000000000005,5.6000000000000005
31000071,6.6,8.0,6.2,6.933333333333334,6.933333333333334
31000072,5.2,6.75,3.8,5.25,5.25
31000073,5.6,6.0,4.4,5.333333333333333,5.333333333333333
31000074,3.6,3.5,3.2,3.4333333333333336,3.4333333333333336
31000075,7.2,0.0,3.4,3.533333333333333,3.533333333333333
31000076,4.2,6.25,4.0,4.816666666666666,4.816666666666666
31000077,9.0,6.75,5.6,7.116666666666667,7.116666666666667
31000078,6.6,6.5,4.6,5.9,5.8999999999999995
31000079,3.4,5.75,2.8,3.983333333333333,3.983333333333333
31000080,6.8,7.0,4.4,6.066666666666667,6.066666666666667
31000081,4.8,6.75,3.8,5.116666666666667,5.116666666666667
31000082,2.8,2.75,2.6,2.716666666666667,2.716666666666667
31000083,7.4,6.5,4.2,6.033333333333334,6.033333333333334
31000084,5.8,2.75,3.2,3.9166666666666665,3.9166666666666665
31000085,5.8,5.75,3.4,4.983333333333333,4.983333333333333
31000086,5.6,5.0,3.4,4.666666666666667,4.666666666666667
