SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
32000001,6.6,6.5,3.4,5.5,5.5
32000002,6.6,4.25,5.8,5.55,5.55
32000003,5.8,0.0,0.0,1.9333333333333331,1.9333333333333333
32000004,7.8,4.0,0.0,3.9333333333333336,3.9333333333333336
32000005,5.6,6.0,5.6,5.733333333333333,5.733333333333333
32000006,6.8,6.0,2.6,5.133333333333334,5.133333333333334
32000007,7.0,6.5,4.2,5.9,5.8999999999999995
32000008,4.4,5.75,1.8,3.983333333333334,3.983333333333334
32000009,5.0,5.75,4.6,5.116666666666666,5.116666666666666
32000010,6.6,4.0,2.4,4.333333333333333,4.333333333333333
32000011,6.0,6.5,8.0,6.833333333333333,6.833333333333333
32000012,6.6,4.25,0.0,3.6166666666666663,3.6166666666666667
32000013,8.8,5.25,9.4,7.816666666666667,7.816666666666667
32000014,5.4,6.5,3.8,5.233333333333333,5.233333333333333
32000015,6.2,6.0,3.6,5.266666666666667,5.266666666666667
32000016,7.2,6.25,5.8,6.416666666666667,6.416666666666667
32000017,4.2,2.75,3.0,3.3166666666666664,3.3166666666666664
32000018,5.6,5.75,4.8,5.383333333333333,5.383333333333333
32000019,5.2,4.75,3.6,4.516666666666667,4.516666666666667
32000020,8.0,6.75,7.2,7.316666666666666,7.316666666666666
32000021,7.0,7.0,6.8,6.933333333333334,6.933333333333334
32000022,7.8,7.0,8.6,7.8,7.8
32000023,8.6,5.5,9.2,7.766666666666666,7.766666666666666
32000024,6.8,7.5,5.4,6.566666666666667,6.566666666666667
32000025,8.0,5.75,8.0,7.25,7.25
32000026,5.2,6.5,4.4,5.366666666666667,5.366666666666667
32000027,7.4,5.25,4.8,5.816666666666666,5.816666666666666
32000028,6.2,6.0,6.6,6.266666666666666,6.266666666666666
32000029,8.2,5.5,3.2,5.633333333333333,5.633333333333333
32000030,5.4,5.25,3.0,4.55,4.55
32000031,8.0,5.5,9.6,7.7,7.7
32000032,3.6,5.25,5.0,4.616666666666666,4.616666666666666
32000033,6.0,6.5,4.0,5.5,5.5
32000034,8.2,8.5,9.4,8.700000000000001,8.700000000000001
32000035,4.2,6.25,2.4,4.283333333333333,4.283333333333333
32000036,6.4,8.75,9.4,8.183333333333334,8.183333333333334
32000037,7.4,7.75,8.8,7.983333333333334,7.983333333333334
32000038,4.6,7.0,3.4,5.0,5.0
32000039,6.8,8.5,6.2,7.166666666666667,7.166666666666667
32000040,6.8,7.5,8.0,7.433333333333334,7.433333333333334
32000041,0.0,7.25,0.0,2.4166666666666665,2.4166666666666665
32000042,7.6,5.0,3.4,5.333333333333333,5.333333333333333
32000043,6.6,8.75,8.4,7.916666666666667,7.916666666666667
32000044,5.6,8.25,6.0,6.616666666666667,6.616666666666667
32000045,5.0,8.25,5.6,6.283333333333334,6.283333333333334
32000046,7.8,6.0,9.4,7.733333333333334,7.733333333333334
32000047,3.4,3.75,0.0,2.3833333333333333,2.3833333333333333
32000048,8.2,4.25,8.8,7.083333333333333,7.083333333333333
32000049,8.2,5.75,6.6,6.849999999999999,6.849999999999999
32000050,8.2,7.0,5.6,6.933333333333333,6.933333333333333
32000051,3.8,7.5,6.0,5.766666666666667,5.766666666666667
32000052,7.0,4.75,5.8,5.8500000000000005,5.8500000000000005
32000053,8.0,8.75,9.0,8.583333333333334,8.583333333333334
32000054,3.6,6.0,3.6,4.4,4.3999999999999995
32000055,5.2,5.75,6.4,5.783333333333334,5.783333333333334
32000056,8.4,6.0,7.2,7.2,7.2
32000057,8.6,8.0,9.6,8.733333333333334,8.733333333333334
32000058,8.2,8.75,7.4,8.116666666666667,8.116666666666667
32000059,7.2,6.5,3.0,5.566666666666666,5.566666666666666
