SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
59000001,4.2,7.75,0.0,3.983333333333333,3.983333333333333
59000002,8.8,8.5,6.8,8.033333333333333,8.033333333333333
59000003,3.6,7.25,0.0,3.6166666666666663,3.6166666666666667
59000004,4.4,6.5,0.0,3.633333333333333,3.6333333333333333
59000005,9.0,7.75,9.4,8.716666666666667,8.716666666666667
59000006,3.2,5.5,0.0,2.9,2.9
59000007,8.4,7.0,8.6,8.0,8.0
59000008,6.6,8.5,8.6,7.899999999999999,7.8999999999999995
59000009,8.4,7.0,6.0,7.133333333333333,7.133333333333333
59000010,9.0,8.5,7.4,8.299999999999999,8.299999999999999
59000011,8.4,8.25,9.8,8.816666666666666,8.816666666666666
59000012,8.4,7.5,7.6,7.833333333333333,7.833333333333333
59000013,7.2,4.75,0.0,3.983333333333333,3.983333333333333
59000014,2.2,7.25,0.0,3.15,3.15
59000015,8.2,8.75,6.0,7.649999999999999,7.6499999999999995
59000016,3.8,6.75,0.0,3.516666666666667,3.516666666666667
59000017,4.8,6.5,0.0,3.766666666666667,3.766666666666667
59000018,3.2,6.0,0.0,3.0666666666666664,3.0666666666666664
59000019,7.4,6.25,9.2,7.616666666666667,7.616666666666667
59000020,6.6,9.0,8.6,8.066666666666666,8.066666666666666
59000021,7.8,8.5,9.2,8.5,8.5
59000022,4.4,6.0,0.0,3.466666666666667,3.466666666666667
59000023,9.2,6.25,9.2,8.216666666666667,8.216666666666667
59000024,7.6,8.75,6.8,7.716666666666668,7.716666666666668
59000025,6.2,7.25,0.0,4.483333333333333,4.483333333333333
59000026,5.8,7.0,0.0,4.266666666666667,4.266666666666667
59000027,3.0,5.75,0.0,2.9166666666666665,2.9166666666666665
59000028,5.2,6.25,0.0,3.8166666666666655,3.8166666666666664
59000029,8.4,8.25,7.0,7.883333333333333,7.883333333333333
59000030,4.8,5.0,0.0,3.266666666666667,3.266666666666667
59000031,7.2,9.25,8.8,8.416666666666666,8.416666666666666
59000032,8.4,7.25,9.0,8.216666666666667,8.216666666666667
59000033,4.8,6.0,0.0,3.6,3.6
59000034,3.2,5.5,0.0,2.9,2.9
59000035,5.6,7.75,0.0,4.45,4.45
59000036,2.6,5.25,0.0,2.6166666666666667,2.6166666666666667
59000037,8.4,7.75,9.4,8.516666666666666,8.516666666666666
59000038,6.6,5.75,0.0,4.116666666666666,4.116666666666666
59000039,6.4,8.5,8.2,7.7,7.7
59000040,8.6,4.75,7.0,6.783333333333334,6.783333333333334
59000041,8.0,8.0,9.0,8.333333333333334,8.333333333333334
59000042,8.4,8.25,9.2,8.616666666666665,8.616666666666665
59000043,8.8,7.0,9.6,8.466666666666667,8.466666666666667
59000044,9.2,8.25,9.8,9.083333333333334,9.083333333333334
59000045,8.8,7.75,9.4,8.65,8.65
59000046,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666
59000047,7.8,8.5,8.8,8.366666666666667,8.366666666666667
59000048,8.4,6.0,6.6,7.0,7.0
59000049,5.2,7.0,0.0,4.066666666666666,4.066666666666666
59000050,8.6,6.0,4.6,6.4,6.3999999999999995
59000051,2.2,3.5,0.0,1.9,1.9000000000000001
59000052,2.4,6.0,0.0,2.8000000000000003,2.8000000000000003
59000053,8.8,8.5,9.6,8.966666666666667,8.966666666666667
