SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
53000001,8.0,7.75,9.2,8.316666666666666,8.316666666666666
53000002,6.4,7.5,4.6,6.166666666666667,6.166666666666667
53000003,6.4,8.0,6.8,7.066666666666666,7.066666666666666
53000004,7.0,8.0,2.2,5.733333333333333,5.733333333333333
53000005,7.4,6.5,7.2,7.033333333333334,7.033333333333334
53000006,8.2,8.25,8.0,8.15,8.15
53000007,7.4,7.0,3.4,5.933333333333334,5.933333333333334
53000008,4.4,5.75,3.8,4.65,4.6499999999999995
53000009,7.0,7.25,4.0,6.083333333333333,6.083333333333333
53000010,6.8,6.0,5.0,5.933333333333334,5.933333333333334
53000012,7.6,8.0,8.2,7.933333333333333,7.933333333333333
53000013,6.6,8.5,8.0,7.7,7.7
53000014,7.0,7.5,8.0,7.5,7.5
53000015,7.6,7.5,7.4,7.5,7.5
53000016,7.8,8.5,8.6,8.299999999999999,8.299999999999999
53000017,7.0,8.75,9.0,8.25,8.25
53000018,9.2,6.5,5.8,7.166666666666667,7.166666666666667
53000019,8.0,6.75,8.8,7.85,7.8500000000000005
53000020,5.8,7.5,2.8,5.366666666666667,5.366666666666667
53000021,7.4,7.75,9.0,8.049999999999999,8.049999999999999
53000022,7.2,7.75,6.2,7.05,7.05
53000023,8.4,7.0,8.2,7.866666666666667,7.866666666666667
53000024,5.0,7.25,5.8,6.016666666666667,6.016666666666667
53000025,7.8,8.25,8.4,8.15,8.15
53000026,7.4,6.25,5.6,6.416666666666667,6.416666666666667
53000027,8.6,8.0,7.6,8.066666666666668,8.066666666666668
53000028,7.2,7.0,7.4,7.2,7.2
53000029,6.4,6.0,7.8,6.733333333333333,6.733333333333333
53000030,4.6,6.25,8.0,6.283333333333334,6.283333333333334
53000031,5.2,4.5,5.2,4.966666666666666,4.966666666666666
53000032,8.0,8.0,6.8,7.6,7.6000000000000005
53000033,7.8,7.5,4.6,6.633333333333333,6.633333333333333
53000034,8.0,8.5,7.2,7.899999999999999,7.8999999999999995
53000035,8.8,8.5,9.8,9.033333333333331,9.033333333333333
53000036,7.4,6.75,3.6,5.916666666666667,5.916666666666667
53000037,6.0,6.5,4.0,5.5,5.5
53000038,7.8,7.0,5.4,6.733333333333334,6.733333333333334
53000039,6.2,8.25,6.4,6.95,6.95
53000040,5.4,6.5,4.0,5.3,5.3
53000041,7.0,6.25,6.6,6.616666666666667,6.616666666666667
53000042,8.6,6.75,8.6,7.983333333333333,7.983333333333333
53000043,5.2,7.25,5.0,5.816666666666666,5.816666666666666
53000044,7.6,8.0,6.6,7.399999999999999,7.3999999999999995
53000045,8.2,6.75,8.0,7.649999999999999,7.6499999999999995
53000046,8.0,5.5,3.8,5.766666666666667,5.766666666666667
53000047,7.6,5.0,5.4,6.0,6.0
53000048,7.4,6.75,3.8,5.983333333333333,5.983333333333333
53000049,5.6,6.0,5.6,5.733333333333333,5.733333333333333
53000050,5.4,8.0,5.4,6.266666666666667,6.266666666666667
53000051,5.4,6.0,4.4,5.266666666666667,5.266666666666667
53000052,7.6,7.5,7.4,7.5,7.5
53000053,7.6,7.5,5.2,6.766666666666667,6.766666666666667
53000054,7.2,8.17,7.4,7.590000000000001,7.590000000000001
53000055,8.2,8.0,8.2,8.133333333333333,8.133333333333333
53000056,8.0,6.0,8.8,7.6,7.6000000000000005
53000057,7.6,6.25,5.2,6.3500000000000005,6.3500000000000005
53000058,5.6,7.0,7.6,6.733333333333333,6.733333333333333
53000059,7.6,7.75,7.0,7.45,7.45
53000060,6.0,7.25,5.6,6.283333333333334,6.283333333333334
53000061,8.4,6.67,5.4,6.823333333333333,6.823333333333333
53000062,5.6,6.75,3.8,5.383333333333333,5.383333333333333
53000063,8.8,5.5,5.0,6.433333333333334,6.433333333333334
53000064,8.2,7.5,4.0,6.566666666666666,6.566666666666666
53000065,6.4,6.75,4.2,5.783333333333334,5.783333333333334
53000066,7.0,6.5,8.2,7.233333333333333,7.233333333333333
53000068,7.2,7.25,8.8,7.75,7.75
53000069,7.0,7.0,5.6,6.533333333333334,6.533333333333334
53000070,7.8,7.5,5.8,7.033333333333334,7.033333333333334
53000071,8.8,6.25,9.4,8.15,8.15
53000072,5.4,6.75,6.4,6.183333333333334,6.183333333333334
53000073,7.0,7.5,5.8,6.766666666666667,6.766666666666667
53000074,6.4,7.25,6.6,6.75,6.75
53000075,7.0,7.0,6.0,6.666666666666667,6.666666666666667
53000076,8.4,6.5,8.2,7.7,7.7
53000077,8.8,6.0,9.6,8.133333333333333,8.133333333333333
53000078,8.4,7.5,5.2,7.033333333333334,7.033333333333334
53000079,7.2,6.5,4.8,6.166666666666667,6.166666666666667
53000080,8.6,7.25,7.4,7.75,7.75
53000081,8.2,9.0,9.4,8.866666666666667,8.866666666666667
53000082,8.0,8.75,8.2,8.316666666666666,8.316666666666666
53000083,6.8,8.25,4.8,6.616666666666667,6.616666666666667
53000084,7.4,7.5,8.2,7.7,7.7
53000085,7.4,9.0,9.4,8.6,8.6
53000086,7.0,5.75,4.2,5.65,5.6499999999999995
53000087,9.0,7.5,9.0,8.5,8.5
53000088,7.2,5.0,7.8,6.666666666666667,6.666666666666667
53000089,6.2,9.0,8.0,7.733333333333333,7.733333333333333
53000090,6.0,8.0,5.8,6.6000000000000005,6.6000000000000005
53000091,8.2,7.25,8.6,8.016666666666666,8.016666666666666
53000092,8.4,7.25,6.4,7.35,7.3500000000000005
53000093,7.6,7.0,5.2,6.6000000000000005,6.6000000000000005
53000094,4.4,7.5,7.4,6.433333333333334,6.433333333333334
53000095,6.2,6.25,4.8,5.75,5.75
53000096,7.4,5.75,4.0,5.716666666666666,5.716666666666666
53000097,8.8,7.5,6.6,7.633333333333333,7.633333333333333
53000098,4.8,8.0,8.2,7.0,7.0
53000099,6.6,6.25,2.0,4.95,4.95
53000100,8.8,8.0,8.4,8.4,8.4
53000101,8.4,7.0,5.0,6.8,6.8
53000102,6.2,7.25,3.6,5.683333333333334,5.683333333333334
53000103,7.4,5.75,5.8,6.316666666666666,6.316666666666666
53000104,7.4,5.75,4.8,5.983333333333333,5.983333333333333
53000105,5.8,7.5,3.4,5.566666666666666,5.566666666666666
53000106,8.2,7.75,8.6,8.183333333333332,8.183333333333332
53000107,7.6,6.5,8.6,7.566666666666666,7.566666666666666
53000108,8.2,8.0,7.0,7.733333333333333,7.733333333333333
53000109,8.6,7.5,9.0,8.366666666666667,8.366666666666667
53000110,8.2,8.0,5.6,7.266666666666666,7.266666666666666
