SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
3000001,8.2,7.75,0.0,5.316666666666666,5.316666666666666
3000002,6.8,8.75,0.0,5.183333333333334,5.183333333333334
3000003,7.0,7.25,8.4,7.55,7.55
3000004,8.4,8.75,0.0,5.716666666666666,5.716666666666666
3000005,8.4,8.0,0.0,5.466666666666666,5.466666666666666
3000006,8.0,8.0,7.2,7.733333333333333,7.733333333333333
3000007,8.0,9.0,9.4,8.799999999999999,8.799999999999999
3000008,9.2,8.5,8.8,8.833333333333334,8.833333333333334
3000009,7.8,7.5,2.2,5.833333333333333,5.833333333333333
3000010,8.8,8.5,4.6,7.3,7.3
3000011,7.0,7.0,3.0,5.666666666666667,5.666666666666667
3000012,8.8,6.25,5.0,6.683333333333334,6.683333333333334
3000013,7.6,7.75,6.6,7.316666666666666,7.316666666666666
3000014,8.0,8.0,7.8,7.933333333333334,7.933333333333334
3000015,8.4,7.5,5.6,7.166666666666667,7.166666666666667
3000016,7.0,6.5,5.0,6.166666666666667,6.166666666666667
3000017,8.0,7.5,4.8,6.766666666666667,6.766666666666667
3000018,4.8,6.5,2.0,4.433333333333334,4.433333333333334
3000019,6.8,8.0,6.4,7.066666666666667,7.066666666666667
3000020,8.6,8.25,7.8,8.216666666666667,8.216666666666667
3000021,7.8,9.0,6.4,7.733333333333334,7.733333333333334
3000022,6.4,8.0,3.6,6.0,6.0
3000023,7.8,8.5,8.4,8.233333333333334,8.233333333333334
3000024,7.4,7.25,5.6,6.75,6.75
3000025,8.2,7.75,5.6,7.183333333333333,7.183333333333333
3000026,7.4,7.75,4.8,6.65,6.6499999999999995
3000027,8.4,6.5,6.2,7.033333333333334,7.033333333333334
3000028,5.4,8.75,0.0,4.716666666666667,4.716666666666667
3000029,8.0,8.25,3.4,6.55,6.55
3000030,8.8,8.0,7.8,8.200000000000001,8.200000000000001
3000031,7.8,8.25,4.6,6.883333333333333,6.883333333333333
3000032,9.0,7.0,6.8,7.6,7.6000000000000005
3000033,8.0,8.0,6.2,7.399999999999999,7.3999999999999995
3000034,8.6,8.25,0.0,5.616666666666667,5.616666666666667
3000035,8.2,7.25,5.8,7.083333333333333,7.083333333333333
3000036,8.2,8.0,7.2,7.8,7.8
3000037,7.2,8.5,6.4,7.366666666666667,7.366666666666667
3000038,7.4,8.25,5.0,6.883333333333333,6.883333333333333
3000039,8.2,8.25,7.0,7.816666666666666,7.816666666666666
3000040,7.0,9.0,2.8,6.266666666666667,6.266666666666667
3000041,6.2,7.5,2.4,5.366666666666666,5.366666666666666
3000042,6.8,8.0,2.4,5.733333333333333,5.733333333333333
3000043,8.8,7.0,5.4,7.066666666666667,7.066666666666667
3000044,7.2,8.75,5.2,7.05,7.05
3000045,6.0,7.75,2.8,5.516666666666667,5.516666666666667
3000046,5.0,8.5,3.8,5.766666666666667,5.766666666666667
3000047,6.2,9.0,7.0,7.399999999999999,7.3999999999999995
3000048,7.0,8.25,4.8,6.683333333333334,6.683333333333334
3000049,8.0,8.75,6.4,7.716666666666666,7.716666666666666
3000050,1.6,8.5,2.4,4.166666666666667,4.166666666666667
3000051,7.0,8.5,2.8,6.1000000000000005,6.1000000000000005
3000052,6.4,8.75,4.8,6.65,6.6499999999999995
3000053,7.4,9.0,5.4,7.266666666666666,7.266666666666666
3000054,5.8,8.0,1.4,5.066666666666667,5.066666666666667
3000055,7.2,7.75,2.4,5.783333333333332,5.783333333333332
3000056,6.6,8.0,8.4,7.666666666666667,7.666666666666667
3000057,6.8,6.0,3.2,5.333333333333333,5.333333333333333
3000058,7.2,8.0,5.6,6.933333333333333,6.933333333333333
3000059,6.4,7.5,5.8,6.566666666666666,6.566666666666666
3000060,4.4,8.25,3.4,5.3500000000000005,5.3500000000000005
3000061,4.6,6.75,2.8,4.716666666666666,4.716666666666666
3000062,7.6,8.5,8.2,8.1,8.1
3000063,5.6,7.5,2.6,5.233333333333333,5.233333333333333
3000064,7.6,6.75,5.0,6.45,6.45
3000065,6.8,8.75,2.8,6.116666666666667,6.116666666666667
3000066,7.6,8.5,9.4,8.5,8.5
3000067,7.8,9.25,9.2,8.75,8.75
3000068,7.2,9.0,7.2,7.8,7.8
3000069,5.4,7.25,3.0,5.216666666666667,5.216666666666667
3000070,7.8,7.25,5.8,6.95,6.95
3000071,5.6,5.0,3.6,4.733333333333333,4.733333333333333
3000072,5.2,6.5,3.6,5.1,5.1
3000073,6.0,8.0,2.8,5.6000000000000005,5.6000000000000005
3000074,8.4,8.25,8.6,8.416666666666666,8.416666666666666
3000075,6.2,8.5,4.0,6.233333333333333,6.233333333333333
3000076,8.6,8.5,6.2,7.766666666666667,7.766666666666667
3000077,8.4,8.0,5.4,7.266666666666666,7.266666666666666
3000078,5.8,6.75,6.4,6.316666666666667,6.316666666666667
3000079,6.4,7.5,3.8,5.9,5.8999999999999995
3000080,7.8,8.5,2.2,6.166666666666667,6.166666666666667
3000081,3.6,7.75,2.6,4.65,4.6499999999999995
3000082,8.8,8.5,8.4,8.566666666666668,8.566666666666668
3000083,3.8,4.5,3.2,3.8333333333333335,3.8333333333333335
3000084,7.6,8.75,6.6,7.650000000000001,7.650000000000001
3000085,5.4,6.5,6.0,5.966666666666666,5.966666666666666
3000086,4.8,6.25,3.2,4.75,4.75
3000087,8.2,9.25,9.6,9.016666666666666,9.016666666666666
3000088,2.6,7.25,2.4,4.083333333333333,4.083333333333333
3000089,7.0,8.75,6.8,7.516666666666667,7.516666666666667
3000090,7.2,8.25,3.4,6.283333333333332,6.283333333333332
3000091,7.4,8.0,3.4,6.266666666666667,6.266666666666667
3000092,8.2,7.75,4.0,6.65,6.6499999999999995
3000093,6.6,7.75,0.0,4.783333333333333,4.783333333333333
3000094,8.0,7.5,4.6,6.7,6.7
3000095,8.4,6.75,7.0,7.383333333333333,7.383333333333333
3000096,8.0,7.0,7.0,7.333333333333333,7.333333333333333
3000097,7.8,7.75,3.6,6.383333333333334,6.383333333333334
3000098,7.6,8.0,7.2,7.6,7.6000000000000005
3000099,8.0,8.25,5.8,7.35,7.3500000000000005
3000100,8.0,8.25,6.6,7.616666666666667,7.616666666666667
3000101,8.6,7.75,6.4,7.583333333333333,7.583333333333333
3000102,6.8,8.0,5.4,6.733333333333334,6.733333333333334
3000103,6.6,6.5,2.8,5.3,5.3
3000104,7.8,8.0,7.8,7.866666666666667,7.866666666666667
3000105,3.0,5.75,4.0,4.25,4.25
3000106,8.8,7.5,8.8,8.366666666666667,8.366666666666667
3000107,7.6,8.25,5.4,7.083333333333333,7.083333333333333
3000108,6.8,8.5,3.6,6.300000000000001,6.300000000000001
3000109,5.8,8.5,6.4,6.900000000000001,6.900000000000001
3000110,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
3000111,7.8,7.75,7.2,7.583333333333333,7.583333333333333
3000112,6.8,9.0,4.2,6.666666666666667,6.666666666666667
3000113,9.2,9.25,9.0,9.15,9.15
3000114,5.4,7.5,4.0,5.633333333333333,5.633333333333333
3000115,7.2,8.75,8.0,7.983333333333333,7.983333333333333
3000116,7.8,8.0,6.4,7.400000000000001,7.400000000000001
3000117,7.4,7.25,6.4,7.016666666666667,7.016666666666667
3000118,8.4,9.0,6.4,7.933333333333333,7.933333333333333
3000119,3.0,7.0,3.4,4.466666666666667,4.466666666666667
3000120,8.2,6.5,5.2,6.633333333333333,6.633333333333333
3000121,8.0,6.75,4.4,6.383333333333333,6.383333333333333
3000122,8.0,8.75,4.8,7.183333333333334,7.183333333333334
3000123,6.8,8.25,4.6,6.55,6.55
3000124,8.2,7.75,8.4,8.116666666666667,8.116666666666667
3000125,8.0,5.5,2.6,5.366666666666667,5.366666666666667
3000126,7.8,6.75,8.8,7.783333333333334,7.783333333333334
3000127,7.2,7.5,7.8,7.5,7.5
3000128,7.4,7.5,5.8,6.9,6.8999999999999995
3000129,5.2,7.25,3.0,5.15,5.1499999999999995
3000130,5.4,7.25,5.8,6.15,6.1499999999999995
3000131,4.8,7.0,1.8,4.533333333333334,4.533333333333334
3000132,7.6,9.0,7.6,8.066666666666668,8.066666666666668
3000133,7.4,8.25,9.4,8.35,8.35
3000134,8.2,7.75,4.2,6.716666666666666,6.716666666666666
3000135,6.2,9.0,5.4,6.866666666666667,6.866666666666667
3000136,5.6,8.5,4.0,6.033333333333334,6.033333333333334
3000137,7.4,8.25,4.0,6.55,6.55
3000138,9.2,9.75,9.2,9.383333333333333,9.383333333333333
3000139,7.6,7.75,4.4,6.583333333333333,6.583333333333333
3000140,7.4,9.0,7.2,7.866666666666666,7.866666666666666
3000141,6.8,8.5,6.0,7.1000000000000005,7.1000000000000005
3000142,8.4,7.75,6.0,7.383333333333333,7.383333333333333
3000143,8.6,9.5,8.0,8.700000000000001,8.700000000000001
3000144,8.4,8.5,4.8,7.233333333333333,7.233333333333333
3000145,4.4,6.5,2.4,4.433333333333334,4.433333333333334
3000146,7.0,8.75,8.4,8.049999999999999,8.049999999999999
3000147,7.2,8.5,6.2,7.3,7.3
3000148,8.2,7.5,7.8,7.833333333333333,7.833333333333333
3000149,9.2,7.5,7.0,7.899999999999999,7.8999999999999995
3000150,8.2,9.0,9.2,8.799999999999999,8.799999999999999
3000151,7.6,7.75,6.8,7.383333333333333,7.383333333333333
3000152,7.0,7.25,4.0,6.083333333333333,6.083333333333333
3000153,6.6,8.0,3.0,5.866666666666667,5.866666666666667
3000154,7.0,6.5,5.8,6.433333333333334,6.433333333333334
3000155,7.4,8.75,3.0,6.383333333333333,6.383333333333333
3000156,8.4,9.0,3.2,6.866666666666666,6.866666666666666
3000157,6.6,8.25,3.8,6.216666666666666,6.216666666666666
3000158,7.8,8.0,5.0,6.933333333333334,6.933333333333334
3000159,6.0,8.25,5.4,6.55,6.55
3000160,6.8,7.25,5.2,6.416666666666667,6.416666666666667
3000161,8.0,8.75,6.6,7.783333333333334,7.783333333333334
3000162,6.8,8.5,6.8,7.366666666666667,7.366666666666667
3000163,8.0,8.0,6.4,7.466666666666666,7.466666666666666
3000164,3.6,7.0,3.0,4.533333333333333,4.533333333333333
3000165,8.0,9.5,7.6,8.366666666666667,8.366666666666667
3000166,7.2,8.75,6.0,7.316666666666666,7.316666666666666
3000167,4.8,7.0,3.8,5.2,5.2
3000168,7.4,8.25,6.4,7.35,7.3500000000000005
3000169,8.8,6.75,4.0,6.516666666666667,6.516666666666667
3000170,7.4,8.5,5.8,7.233333333333333,7.233333333333333
3000171,3.8,6.5,2.8,4.366666666666667,4.366666666666667
3000172,7.8,8.0,4.2,6.666666666666667,6.666666666666667
3000173,5.2,8.0,2.6,5.266666666666667,5.266666666666667
3000174,5.6,8.5,4.6,6.233333333333333,6.233333333333333
3000175,6.6,8.75,5.2,6.8500000000000005,6.8500000000000005
3000176,6.0,7.5,3.6,5.7,5.7
3000177,8.0,8.5,4.6,7.033333333333334,7.033333333333334
3000178,6.4,8.5,5.0,6.633333333333333,6.633333333333333
3000179,7.8,8.5,3.6,6.633333333333334,6.633333333333334
3000180,7.0,8.5,4.8,6.766666666666667,6.766666666666667
3000181,5.6,8.5,5.0,6.366666666666667,6.366666666666667
3000182,4.8,8.0,4.4,5.733333333333334,5.733333333333334
3000183,8.6,8.75,8.8,8.716666666666667,8.716666666666667
3000184,8.0,8.5,6.4,7.633333333333333,7.633333333333333
3000185,8.0,9.25,7.4,8.216666666666667,8.216666666666667
3000186,7.4,7.75,5.4,6.8500000000000005,6.8500000000000005
3000187,6.8,8.5,3.2,6.166666666666667,6.166666666666667
3000188,7.8,9.25,7.0,8.016666666666667,8.016666666666667
3000189,6.6,8.75,8.6,7.983333333333333,7.983333333333333
3000190,6.4,9.0,4.8,6.733333333333333,6.733333333333333
3000191,3.2,7.75,2.4,4.45,4.45
3000192,7.4,8.75,3.2,6.449999999999999,6.449999999999999
3000193,7.2,8.5,3.6,6.433333333333334,6.433333333333334
3000194,4.8,8.0,3.4,5.4,5.3999999999999995
3000195,7.8,8.5,6.2,7.5,7.5
3000196,7.8,7.5,5.4,6.900000000000001,6.900000000000001
3000197,8.6,8.5,9.0,8.700000000000001,8.700000000000001
3000198,7.6,8.0,5.8,7.133333333333333,7.133333333333333
3000199,7.8,8.25,5.4,7.150000000000001,7.150000000000001
3000200,8.2,8.0,7.2,7.8,7.8
3000201,7.6,7.75,5.2,6.8500000000000005,6.8500000000000005
3000202,6.0,8.5,3.0,5.833333333333333,5.833333333333333
3000203,5.6,5.0,2.4,4.333333333333333,4.333333333333333
3000204,6.2,8.0,3.4,5.866666666666666,5.866666666666666
3000205,7.4,8.25,7.0,7.55,7.55
3000206,8.4,9.0,6.2,7.866666666666666,7.866666666666666
3000207,7.6,9.0,1.8,6.133333333333334,6.133333333333334
3000208,7.6,8.75,6.2,7.516666666666667,7.516666666666667
3000209,8.2,8.5,6.2,7.633333333333333,7.633333333333333
3000210,4.0,6.75,3.6,4.783333333333333,4.783333333333333
3000211,5.0,8.0,7.0,6.666666666666667,6.666666666666667
3000212,6.0,8.25,3.2,5.816666666666666,5.816666666666666
3000213,8.8,7.0,6.4,7.400000000000001,7.400000000000001
3000214,7.0,8.0,4.2,6.4,6.3999999999999995
3000215,5.6,6.75,2.4,4.916666666666667,4.916666666666667
3000216,6.4,6.0,4.6,5.666666666666667,5.666666666666667
3000217,4.8,7.5,3.0,5.1000000000000005,5.1000000000000005
3000218,6.8,8.25,7.6,7.55,7.55
3000219,7.4,8.25,4.2,6.616666666666667,6.616666666666667
3000220,8.8,8.0,6.0,7.6,7.6000000000000005
3000221,6.6,7.0,3.8,5.8,5.8
3000222,7.2,8.5,2.6,6.1000000000000005,6.1000000000000005
3000223,8.0,8.0,7.2,7.733333333333333,7.733333333333333
3000224,8.2,8.75,5.2,7.383333333333333,7.383333333333333
3000225,7.6,8.25,8.0,7.95,7.95
3000226,8.4,8.5,7.2,8.033333333333333,8.033333333333333
3000227,5.4,8.5,4.0,5.966666666666666,5.966666666666666
3000228,7.2,8.5,5.8,7.166666666666667,7.166666666666667
3000229,5.2,8.0,3.2,5.466666666666666,5.466666666666666
3000230,7.8,8.0,3.4,6.4,6.3999999999999995
3000231,8.0,8.5,8.2,8.233333333333333,8.233333333333333
3000232,6.0,8.0,3.4,5.8,5.8
3000233,7.4,8.5,7.0,7.633333333333333,7.633333333333333
3000234,4.4,7.25,3.0,4.883333333333334,4.883333333333334
3000235,6.2,8.0,3.2,5.8,5.8
3000236,6.6,9.0,4.4,6.666666666666667,6.666666666666667
3000237,8.6,8.75,8.0,8.450000000000001,8.450000000000001
3000238,5.2,9.5,3.8,6.166666666666667,6.166666666666667
3000239,4.2,8.5,1.6,4.766666666666667,4.766666666666667
3000240,8.2,9.75,8.0,8.65,8.65
3000241,8.6,8.25,9.4,8.75,8.75
3000242,7.8,7.0,5.8,6.866666666666667,6.866666666666667
3000243,7.0,5.25,3.0,5.083333333333333,5.083333333333333
3000244,6.2,8.0,6.2,6.8,6.8
3000245,5.8,7.75,3.4,5.65,5.6499999999999995
3000246,5.8,8.0,4.8,6.2,6.2
3000247,6.6,8.25,2.4,5.75,5.75
3000248,5.6,8.0,3.2,5.6000000000000005,5.6000000000000005
3000249,5.2,8.5,2.4,5.366666666666666,5.366666666666666
3000250,6.6,9.0,8.4,8.0,8.0
3000251,6.6,8.25,3.0,5.95,5.95
